DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
18/04/2005,Aécio Neves,1,[...],[programa ao vivo]
18/04/2005,Aécio Neves,2,Paulo Markun,"Boa noite. [O] 21 de abril, dia de Tiradentes, marca também esta semana os vinte anos da morte de Tancredo Neves {Tancredo Neves: Histórico político mineiro, famoso nacionalmente pela habilidade e competência na arte da política, foi eleito presidente do Brasil, pelo Colégio Eleitoral, no dia 15 de janeiro de 1985, recebendo 480 votos, contra 180 dados a Paulo Maluf e 26 abstenções. Tancredo foi o primeiro presidente civil do Brasil depois de mais de 20 anos de ditadura militar. Sua vitória, mesmo sendo por eleição indireta, foi entusiasticamente recebida pela população e é tida ainda hoje como uma das mais complexas e bem-sucedidas operações da história política do Brasil, numa situação delicada após a campanha pelas “diretas já” ter mobilizado o país. No entanto, Tancredo não chegou a assumir a presidência. Na véspera da posse foi internado no Hospital de Base, em Brasília, com fortes dores abominais. José Sarney, seu vice, substitui-o interinamente em 15 de março de 1985. Depois de sete cirurgias, veio a falecer em 21 de abril, aos 75 anos de idade, vítima de infecção generalizada, causando grande comoção nacional. No dia seguinte, Sarney foi empossado oficialmente no cargo, governando até 1990.}, primeiro presidente civil eleito indiretamente pelo Colégio Eleitoral [que elegeu Tancredo Neves à Presidência, derrotando Paulo Maluf, em 1985] do período militar. Tancredo morreu antes de tomar posse, deixando o país perplexo e com medo de um golpe. Mas a Nova República vingou e o Brasil seguiu o caminho que naquele momento se abria para e redemocratização. Nesses vinte anos de mudanças políticas, um rapaz que antes era apenas o neto, secretário de Tancredo, assumiu a herança política do avô e vem fazendo uma carreira bem parecida, só falta a Presidência da República. O Roda Viva entrevista esta noite Aécio Neves, governador de Minas Gerais, uma das lideranças nacionais do PSDB."
18/04/2005,Aécio Neves,3,[...],[inserção de vídeo]
18/04/2005,Aécio Neves,4,Narração de Paulo Markun,"Aos 45 anos, Aécio Neves da Cunha é uma das jovens lideranças políticas do país. Mineiro de Belo Horizonte, formado em economia, seu destino seria outro, não fosse o avô materno. Tancredo Neves estava começando a campanha para governador de Minas, na eleição de 1982, quando convocou o neto como secretário particular. Figura de peso na política nacional, habilidoso e conciliador, Tancredo elegeu-se e logo passou a lutar ao seu modo pelo fim do regime militar {regime militar: Período da história do Brasil que vai de 1964 - quando houve o golpe militar que derrubou o presidente João Goulart - a 1985. Os militares promoveram repressão, exílios políticos, estabelecimento de legislação autoritária, com supressão dos direitos civis, uso da máquina estatal para manipulação da opinião pública, além de benefícios a determinadas empresas e grupos que financiaram o golpe. Censura da imprensa e das artes, torturas, assassinatos de líderes opositores foram outras das ações perpetradas durante a ditadura, que instaurou um Estado policial, parecido com outros da mesma época na América Latina.}. Com a derrota da emenda das eleições diretas [Diretas Já {Diretas Já: Movimento civil de reivindicação por eleições presidenciais diretas no Brasil desencadeado em 1983, quando o país vivia um processo de abertura política. A campanha foi organizada, primeiramente, pelos partidos de oposição ao regime militar, motivados pelo grande número de vitórias nas eleições diretas para governador em vários estados, em 1982, e rapidamente ganhou força popular devido ao desejo de mudança e à grave crise econômica no país, que apresentava altos índices inflacionários. O movimento teve a participação maciça de lideranças sindicais, civis e estudantis, com destaque para a manifestação na cidade de São Paulo, em 25 de janeiro de 1984, que reuniu mais de 1,5 milhão de pessoas, a maior já vista no país. Nesse mesmo ano ocorreu a votação da emenda constitucional proposta pelo deputado federal Dante de Oliveira, que estabelecia o voto popular direto para presidente e que, por manobras políticas do governo, acabou sendo vetada. No entanto, a campanha ganhara muita força e, em 1985, o Colégio Eleitoral, do governo de João Figueiredo, composto pela Câmara dos Deputados e pelas Assembléias Estaduais, elegeu Tancredo Neves, da oposição, para presidente.}], foi para o Colégio Eleitoral. Eleito, morreu sem tomar posse, num dos episódios mais dramáticos da história política do país. Aécio perdeu o avô, mas acabou assumindo parte de sua herança política, e com ela construiu uma carreira pública precoce. Aos 26 anos, em 1986, tornou-se deputado federal pelo PSDB de Minas Gerais com a maior votação no estado. Reelegeu-se outras três vezes e, em 2001, assumiu a presidência da Câmara Federal. No ano seguinte tornou-se governador. Influente, Aécio recolocou Minas num lugar de destaque na política nacional. Articulador e cauteloso como o avô, parece disposto a trilhar o caminho que já levou oito mineiros à Presidência da República."
18/04/2005,Aécio Neves,5,[...],[fim do vídeo]
18/04/2005,Aécio Neves,6,Paulo Markun,"Para entrevistar o governador de Minas Gerais, Aécio Neves, nós convidamos Eliane Cantanhêde, colunista do jornal Folha de S.Paulo; Carlos Marchi, coordenador de política do jornal O Estado de S. Paulo; Tereza Cruvinel, colunista de política do jornal O Globo; Josemar Gimenez, diretor de redação dos jornais Estado de Minas e Correio Braziliense; Mauro Salles, publicitário, diretor da Consultoria Interamericana e publisher da Agência Salles Norton; Maurício Dias, diretor de redação adjunto da revista Carta Capital; e Alexandre Machado, editor de política da TV Cultura. E a partir de hoje temos também a participação do cartunista Paulo Caruso, que retorna ao Roda Viva com seus desenhos, flagrando e registrando com seus traços de humor os momentos da entrevista desta noite. O Roda Viva, como você sabe, é transmitido em rede nacional de TV para todo o Brasil. Boa noite, governador."
18/04/2005,Aécio Neves,7,Aécio Neves,"Boa noite, Paulo. É um prazer novamente estar aqui com vocês no Roda Viva."
18/04/2005,Aécio Neves,8,Paulo Markun,"O prazer é nosso. No Jornal Nacional [da TV Globo] agora há pouco, uma nota assinada pelos filhos do ex-presidente Tancredo, Inês Maria, Maria do Carmo e Tancredo Augusto Tolentino Neves, desmente a reportagem exibida ontem no programa Fantástico, da Rede Globo. A nota contesta a informação dada pela matéria de que o ex-presidente sofria de crises de bacteremia. Diz ainda ser mentirosa a afirmação do médico Jorge Washington da Cunha de que Tancredo estava doente havia cerca de um ano e que tomava seis medicamentos diariamente contra as crises, receitados por um balconista de São João del-Rei. A família afirma que essas informações beiram o ridículo. Lamenta também as informações do infectologista David Uip; diz que, enfim, os outros médicos citados, o cirurgião Pinheiro da Rocha e o patologista Hélcio Miziara, foram processados pelo Conselho Regional de Medicina do Distrito Federal. Finalmente a nota diz que, vinte anos depois, os médicos continuam faltando com o elemento básico do exercício de sua profissão, que é o respeito ao paciente. Então, eu começo o programa perguntando: como o senhor encarou a reportagem e essa nota da família?"
18/04/2005,Aécio Neves,9,Aécio Neves,"Na verdade, Paulo, eu vou me permitir nessa primeira etapa do programa, respondendo [não] como governador do estado, mas como alguém que viveu muito de perto todo esse episódio. Sempre para nós é muito doloroso voltar a isso. Confesso a você que eu preferiria que nesses vinte anos nós tivéssemos lembrando do legado, enfim, falando daquela que foi talvez a mais bem construída articulação política da história contemporânea..."
18/04/2005,Aécio Neves,10,Paulo Markun,Faremos isso no programa também.
