DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
23/02/2004,Aldo Rebouças,1,[...],"[programa ao vivo, permitindo a participação dos telespectadores]"
23/02/2004,Aldo Rebouças,2,Paulo Markun,"Boa noite. O entrevistado de hoje do Roda Viva costuma dizer que o Brasil é o único país que combate escassez de água com mais oferta de água. É uma visão crítica sobre as políticas públicas que, em geral, se concentram mais na busca de novas fontes de água sem resolver os problemas que comprometem cada vez mais o abastecimento. Recentemente, com a seca, muita gente ficou sem água. Agora com as chuvas, a escassez continua por várias razões: está chovendo no lugar errado e já não se fazem mais reservatórios como antigamente. A crise da água é o tema do programa desta noite com o geólogo e professor Aldo Rebouças, um dos principais pesquisadores brasileiros em hidrologia e planejamento de recursos hídricos."
23/02/2004,Aldo Rebouças,3,[Comentarista],"O professor Aldo da Cunha Rebouças conhece de longa data o que tem de doce, de salgado e de turvo na água brasileira. Ele é formado em geologia no Recife, com mestrado e doutorado em hidrogeologia e recursos hídricos na França. Em 1976, tornou-se professor do Instituto de Geociências da Universidade de São Paulo, onde fez carreira acadêmica e ampliou os estudos e pesquisas sobre recursos hídricos. Autor de quase uma centena de trabalhos e publicações técnicas, o professor participou também da organização e coordenação científica do livro Águas doces no Brasil, um volumoso estudo de setecentas páginas onde ele escreveu três capítulos sobre questões da água e os desafios que ela coloca para governos e sociedades. O Brasil é o país que mais tem água doce no mundo, está cortado por rios perenes que não desaparecem na seca, tem algumas das maiores represas do mundo e a chuva é generosa em 90% do território. 65% dos estados são bem abastecidos de água, 25% têm algum problema localizado e 10% vivem em situação crítica, abandonados pela chuva e pelas políticas públicas. Mas, mesmo quem tem muita água em volta, como o caso de Manaus e Belém, sofre racionamentos frequentes, como sofrem muitas outras cidades, até aquelas onde as chuvas que poderiam melhorar o abastecimento, por ironia, só inundam ruas e não recuperam os reservatórios. São desequilíbrios, contradições e absurdos que ajudam a evidenciar a falta de planejamento e as irracionalidades no sistema. A água, tão abundante pela própria natureza, pode não faltar porque a quantidade existente no planeta não diminui, ela se recicla, mas a água doce, boa de beber, está ficando escassa, ameaçada pelo mau uso, poluição, desperdício, especulação e descaso. Esta semana, o jornalismo público da TV Cultura se dedica ao tema, com o Roda Viva de hoje e uma série especial de cinco reportagens no Diário Paulista [telejornal da TV Cultura] até sexta-feira. A primeira, já exibida hoje, mostrou situações de mananciais na Grande São Paulo, que, a exemplo de outras regiões metropolitanas, estão comprometidos pela poluição, desmatamento e ocupação urbana descontrolada. Bairros inteiros invadem áreas de proteção e mesmo onde há preocupações com o esgoto, o cuidado não compensa o erro da ocupação indevida. Nos próximos dias, o Diário Paulista vai mostrar como as cidades estão dependendo cada vez mais de águas distantes. São Paulo, por exemplo, precisa da ajuda do rio Jaguari, que nasce em Minas Gerais e vem auxiliar o abastecimento da cidade. No litoral paulista, Guarujá captava a água no rio Jurubatuba, que nasce perto da Serra do Mar. Com o crescimento da população e do turismo, foi preciso buscar água no vizinho [rio] Jurubatuba-mirim, que já não é mais suficiente. A cidade agora vai gastar nove milhões de reais para atravessar o canal com uma adutora e trazer água tratada do rio Cubatão. Mas, a busca de águas de rios também tem o seu lado sujo. O Brasil continua jogando esgoto nos rios, no contra-senso claro e estúpido de sujar a água que se vai beber. Pouco mais de 10% das cidades brasileiras fazem hoje o tratamento de seus esgotos. E as reservas subterrâneas? O Aquífero Guarani {Aquífero Guarani: Trata-se do maior manancial de água doce subterrânea transfronteiriço do mundo, localizado na região centro-leste da América do Sul e abrangendo os estados de Goiás, Mato Grosso do Sul, Minas Gerais, São Paulo, Paraná, Santa Catarina e Rio Grande do Sul, além de trechos do Paraguai, Uruguai e Argentina. Nomeado em homenagem aos índios da região, possui um volume de aproximadamente 55 mil quilômetros cúbicos e profundidade máxima de 1,8 metros. Devido a uma possível falta de água potável no planeta, o aquífero tem sido constante objeto de discussões entre cientistas e políticos de vários países.}, a imensa fonte de água debaixo de oito estados brasileiros e mais Uruguai, Paraguai e Argentina, agora também é fonte de preocupação. O aquífero aflora em Ribeirão Preto, no interior de São Paulo, e abastece toda a região com a água pura, resultante da demorada filtragem da água da chuva no solo, mas a sensação de abundância estimulou a perfuração desenfreada e clandestina de poços artesianos e eles se tornaram possíveis pontos de contaminação do lençol subterrâneo. A torneira que hoje está negando a água boa e farta é o alerta mais visível para o uso racional da água, a começar pela própria torneira. O pinga-pinga durante um mês pode encher uma caixa d’água de mil litros. Na rede pública, a falta de atenção e investimentos deixa vazar por canos furados a água que poderia ser usada por milhões de pessoas. Ligações clandestinas em São Paulo, por exemplo, roubam 15% da água produzida pela Sabesp [Companhia de Saneamento Básico do Estado de São Paulo]. Na irrigação agrícola, o pivô central, o preferido, gasta o dobro da água necessária e no jardim doméstico a mangueira esquecida escorre para o ralo, teima em substituir a vassoura nas calçadas e deixa escapar mais de quinhentos litros de água cada vez que alguém lava o carro sem usar o balde. O desperdício continua persistindo no banho demorado, nas torneiras abertas desnecessariamente em banheiros e cozinhas, nas máquinas de lavar que sempre trabalham em nível mais alto e nos vasos sanitários antiquados que gastam até o triplo da água em relação aos modelos ecológicos. Na ponta final do cano, a torneira, que antes pingava fechada por vazamento, agora já está pingando aberta por escassez."
23/02/2004,Aldo Rebouças,4,Paulo Markun,"Para entrevistar o geólogo Aldo Rebouças, nós convidamos o Washington Novaes, documentarista, consultor de meio ambiente da TV Cultura e supervisor geral do programa Repórter Eco; Lourival Santana, repórter especial do jornal O Estado de S. Paulo; Ricardo Araújo, coordenador técnico do programa “Mananciais” da Companhia de Saneamento Básico do Estado de São Paulo, a Sabesp; Mariana Viveiros, repórter do jornal Folha de S.Paulo; Guido Gelli, diretor de geociências do Instituto Brasileiro de Geografia e Estatística [IBGE]; Gustavo Faleiros, repórter do jornal Valor Econômico. O Roda Viva é transmitido em rede nacional para todos os estados brasileiros e também para Brasília. Boa noite, professor Aldo."
23/02/2004,Aldo Rebouças,5,Aldo Cunha Rebouças,Boa noite.
23/02/2004,Aldo Rebouças,6,Paulo Markun,"Assistindo a essa reportagem, dá vontade de voltar para casa e desistir de tudo. Ela não traz nenhum fato novo, mas o encadeamento das informações sobre o desperdício, poluição, ocupação de mananciais, contaminação do lençol freático, enfim, é assustador. A pergunta é: essa situação tem saída?"
23/02/2004,Aldo Rebouças,7,Aldo Cunha Rebouças,"Tem saída sim, na medida em que a sociedade e o governo tomarem consciência disso e nós tivermos políticas públicas de Estado e não políticas de governo."
23/02/2004,Aldo Rebouças,8,Paulo Markun,Qual é a diferença?
23/02/2004,Aldo Rebouças,9,Aldo Cunha Rebouças,"A diferença fundamental é que a política pública de Estado são políticas de longo prazo, médio prazo, de dez, 15, vinte anos, que passa governo, entra governo e não importa, segue o seu rumo. A política de governo é aquela que visa só o efeito eleitoreiro, tem curtíssimo prazo - de um a três anos - e atende exclusivamente ao efeito eleitoreiro."
23/02/2004,Aldo Rebouças,10,Paulo Markun,O senhor enxerga nesse horizonte uma mudança de política de governo para política de Estado?
