DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
07/02/2000,Alfredo Rizkallah,1,[...],"[Programa ao vivo, que permitiu a participação do telespectador por telefone, fax e internet]"
07/02/2000,Alfredo Rizkallah,2,Paulo Markun,"Boa noite. A fusão das bolsas de valores do Rio e de São Paulo abre caminho para a união das bolsas brasileiras e para a integração das bolsas da América Latina. A Bolsa do Brasil é o tema do Roda Viva desta noite. No centro do debate está o presidente da Bolsa de Valores de São Paulo, Alfredo Rizkallah. Ele nasceu em São Paulo, tem 69 anos, é casado, três filhos, e é dono de um extenso currículo profissional. Alfredo Rizkallah formou-se engenheiro civil pela USP, fez cursos de extensão em administração de empresas e mercado de capitais, e preside desde 1996 o Conselho de Administração da Bovespa [Bovespa é a instituição administradora de mercado de bolsa e de balcão organizado, de centros de negociação de valores mobiliários, efetuando compras e vendas desses valores através de sistemas eletrônicos de negociação] pela segunda vez. A primeira vez foi de 1973 a 76."
07/02/2000,Alfredo Rizkallah,3,[Comentarista],"A fusão das duas maiores bolsas de valores do país formalizada no mês passado põe fim a uma rivalidade histórica entre os dois centros financeiros. A partir do mês que vem, São Paulo vai centralizar os negócios com ações e o Rio de Janeiro deverá trabalhar exclusivamente com títulos públicos; mercado em que as instituições financeiras vendem entre si os papéis emitidos pelo governo. Cada qual com sua especialidade. O próximo passo será integrar ao sistema as demais bolsas de valores existentes no país, formando a Bolsa do Brasil. A idéia é concentrar o mercado de ações na Bolsa de São Paulo, que em breve passará a abrigar também os negócios dos pregões [modalidade de licitação para a aquisição de bens e serviços com características, especificações e padrões de qualidade definidos em edital] de Porto Alegre, Curitiba, Belo Horizonte, Recife e Fortaleza. Os objetivos são: tornar competitivos os mercados de capitais do país e reduzir os custos operacionais. Nos últimos anos, as bolsas brasileiras vinham perdendo espaço para as de outros países. As bolsas estrangeiras, como a de Nova Iorque, atraem empresas brasileiras porque têm custos baixos e não cobram impostos, como ocorre nas bolsas brasileiras, onde os negócios estão sujeitos a tributação da CPMF [Contribuição Provisória sobre Movimentação Financeira, cobrança de caráter provisório, criada em 1996, que incidia sobre as movimentações bancárias. Foi prorrogada até dezembro de 2007]. Para complicar, no ano passado, mais de 35 empresas anunciaram a intenção de fechar o capital no país, deixando de negociar suas ações em bolsa. A criação da Bolsa do Brasil deve intensificar o processo de inserção do seu mercado de capitais na economia mundial e vai também facilitar sua modernização. A venda de ações foi uma das primeiras coisas a decolar na internet. Seis corretoras brasileiras já vendem ações pela rede mundial de computadores desde março do ano passado e existe uma previsão de que daqui a três anos 30% do movimento das bolsas brasileiras seja realizado pela Internet, que atraiu gente que nunca havia comprado ações antes. Quanto ao pregão de viva voz, está virando coisa do passado. Nas bolsas modernas, a compra e venda de ações dispensa gritaria. São feitas pelos terminais do sistema eletrônico."
07/02/2000,Alfredo Rizkallah,4,Paulo Markun,"Para entrevistar o presidente da Bovespa, Alfredo Rizkallah, nós convidamos o jornalista Celso Pinto, diretor do jornal que vai surgir agora em abril, Valor Econômico, e colunista da Folha de S.Paulo; convidamos também o jornalista Paulo Henrique Amorim, do programa Conversa Afiada, aqui da TV Cultura; o economista Roberto Teixeira da Costa, vice-presidente do conselho de administração do Banco Sul América; o jornalista José Paulo Kupfer, colunista e editor de opinião do jornal Gazeta Mercantil; a jornalista Sônia Racy, colunista do jornal O Estado de S. Paulo; e o economista Alfried Ploger, presidente da Abrasca, Associação Brasileira das Companhias Abertas. [...] Doutor Rizkallah, boa noite."
07/02/2000,Alfredo Rizkallah,5,Alfredo Rizkallah,Boa noite.
07/02/2000,Alfredo Rizkallah,6,Paulo Markun,"Eu estava vendo as imagens da matéria de apresentação do senhor, do programa que nós estamos discutindo. Eu estava me lembrando que, como jornalista de televisão já há vinte anos, e de jornal um pouco mais, eu já fui em diversas ocasiões à Bolsa de Valores, sempre como repórter de economia, mas para cobrir situações como a de hoje, por exemplo, quando a bolsa alcança um novo recorde. Ou em outras situações, quando havia uma queda surpreendente. Mais recentemente, a própria televisão passa a trazer programas e índices da Bolsa de Valores mas, apesar de tudo isso, para o grande público, para a maioria da população, a Bolsa de Valores continua sendo uma coisa esquisita, as pessoas vêem aquele monte de gente correndo para lá e para cá, gritando, assistem aqueles filmes de Hollywood em que há sempre um misterioso comando da subida e da descida das ações, mas na verdade não faz parte da vida das pessoas. Quando é que o senhor imagina que isso vai acontecer, se é que vai acontecer no Brasil?"
07/02/2000,Alfredo Rizkallah,7,Alfredo Rizkallah,"Eu acredito que é um processo cultural. Nós não temos um risco de ações no Brasil de longa data. Nos Estados Unidos nós temos um mercado que já tem mais de duzentos anos. Muitos fatores podem ser elencados para justificar este noviciado no mercado de ações. Quer dizer, tem fatores culturais que remontam inclusive ao período de colonização brasileira e americana, que eu acho que não precisamos tocar. Mas realmente no que diz respeito, por exemplo, à legislação, o Brasil veio a ter uma legislação que instituiu o sistema financeiro nacional somente em 1965. A própria lei de SAs [Sociedades Anônimas – empresas cujo capital é dividido em partes iguais chamadas ações] é de 1975. Essa lei veio substituir a antiga lei de 1940, que tratava mais das sociedades limitadas [aquelas constituídas por dois ou mais sócios, detentores de cotas não necessariamente iguais]. A lei que permite o acesso a investidores estrangeiros no Brasil é de 1991 e, eu gostaria de lembrar, por exemplo, que nos Estados Unidos, quando os americanos decidiram construir as suas ferrovias em direção ao oeste, isso há mais de duzentos anos atrás, eles foram buscar capital estrangeiro, foram buscar capital em Londres. E também não é novidade para nós, porque o Barão de Mauá, por exemplo, no século passado, foi buscar capital em Londres. Mas capital estrangeiro para nós, portanto, de verdade, passou a existir só a partir de 1991. Fora essa parte de legislação, nós temos que incluir também que, a partir de 1975, quando nós já tínhamos uma legislação de SAs, nós entramos num período inflacionário, nós passamos aí trinta anos com uma inflação de quase 1% ao dia em alguns períodos. Seria praticamente impossível você aconselhar alguém a investir no mercado de risco num período tão tenso como aquele que nós passamos. Fora disso, também, nós temos que considerar que a própria legislação que regulou a constituição das sociedades corretoras, do mercado etc., teve um período de adaptação. E o mercado de ações passa a ter a possibilidade de existir nesses últimos cinco anos de estabilidade. Somente com estabilidade você pode realmente imaginar a possibilidade de existência de um mercado de ações."
07/02/2000,Alfredo Rizkallah,8,Paulo Markun,"O senhor acha que, hoje, por exemplo, já seria... porque também era uma pergunta que o jornalista era obrigado a fazer e uma recomendação que praticamente se repetia, que era dizer o seguinte: “Olha, você está animado agora porque a bolsa registrou um novo recorde, houve uma alta muito grande. Não entre na bolsa agora porque isso não é negócio para amador”. Continua valendo essa recomendação?"
07/02/2000,Alfredo Rizkallah,9,Alfredo Rizkallah,"Essa é uma recomendação que a gente ouve com freqüência. Realmente eu espero que a gente não vá continuar ouvindo isso por muito tempo, porque todo o povo brasileiro está se acostumando a esse mercado. Esse mercado, como você disse, seria possivelmente um reduto de uma elite. Hoje, no mundo inteiro, bolsa é um assunto de primeira página dos jornais, portanto não é um assunto que pode interessar somente a um reduzido número de experts ou analistas. É um assunto que interessa ao próprio país. A evolução da bolsa, como também a evolução da cotação da sua moeda, são indicadores hoje muito importantes para definir qual é o grau de desenvolvimento ou do estágio do país. Portanto, a bolsa passa a ser um fator inerente ao nosso dia-a-dia. E isso vai começar realmente a influir definitivamente no conhecimento do público em relação à bolsa."
07/02/2000,Alfredo Rizkallah,10,Sonia Racy,"Doutor Alfredo, o que a bolsa está fazendo para abrir mais esse mercado para novos investidores? O que vocês estão fazendo em termos de divulgar informações, abrir espaço, mostrar o caminho das pedras, o que vocês estão fazendo nesse sentido?"
