DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
22/01/2001,Amartya Sen,1,Mônica Teixeira,"Boa noite! Ele diz que não se pode medir o crescimento ou o desenvolvimento de um país sem levar em conta o que realmente acontece na vida das pessoas. Desenvolvimento econômico precisa significar desenvolvimento do bem-estar social. O Roda Viva entrevista hoje o economista indiano Amartya Sen, prêmio Nobel de economia em 1998 por seus estudos sobre a fome e a pobreza."
22/01/2001,Amartya Sen,2,Narrador (Madeleine Alves),"Estudioso do desenvolvimento humano e do bem-estar social, Amartya Sen virou celebridade em 1998, ao ganhar o Nobel de economia. Foi a primeira vez, em 30 anos, que o prêmio teve como alvo um trabalho voltado para a questão do bem-estar social. Amartya Sen tem procurado mudar o entendimento do mundo sobre fome e miséria. O pensamento econômico tradicional sempre colocou a falta de comida como a questão fundamental da fome. Estudando o problema nos países pobres da Ásia e da África, Amartya Sen concluiu que a falta de alimentos durante as crises de fome não era maior que em outras épocas. Na realidade, havia alimentos, mas eles não eram acessíveis a todos. Ocorria que a população atingida pela fome não tinha dinheiro para comprar comida. No entendimento de Amartya Sen, a fome precisa ser enfrentada com políticas econômicas que ofereçam crescimento e oportunidades sociais às populações carentes de forma que mais gente possa ter melhor renda, melhor poder de compra e chance real de desenvolvimento humano. São idéias que reforçam a corrente do pensamento econômico mais humanista e contraria uma linha da engenharia econômica que olha mais para os números do que para as pessoas."
22/01/2001,Amartya Sen,3,Mônica Teixeira,"Para entrevistar o economista Amartya Sen, nós convidamos: o economista José Eli da Veiga, professor do Departamento de Economia e coordenador do programa de pós-graduação em ciência ambiental da Universidade de São Paulo; convidamos também o economista e escritor Eduardo Giannetti, professor da Faculdade de Economia da USP; a socióloga Aspásia Camargo, professora da Fundação Getúlio Vargas; o jornalista José Paulo Kupfer, colunista da Gazeta Mercantil; também o jornalista Luiz Nassif, colunista da Folha de S. Paulo; o economista e sociólogo Gilson Schwartz, professor visitante do Instituto de Estudos Avançados da USP e colaborador da Folha de S. Paulo, o jornalista Carlos Eduardo Lins e Silva, diretor adjunto de redação do jornal Valor, e finalmente o professor de economia da Fundação Getúlio Vargas e senador do Partido dos Trabalhadores, Eduardo Matarazo Suplicy. O Roda Viva é transmitido em rede nacional para todos os estados brasileiros, também para Brasília. O programa de hoje está gravado, e por isso, infelizmente, não será possível a participação dos telespectadores. Boa noite, doutor Amartya!"
22/01/2001,Amartya Sen,4,Amartya Sen,Obrigado!
22/01/2001,Amartya Sen,5,Mônica Teixeira,"O senhor recebeu um prêmio Nobel especialmente por seus trabalhos a respeito da questão da desigualdade. No entanto, eu li o press release com que o prêmio Nobel justificou a sua escolha em 1998 e tem ali um lugar notável para o seu trabalho, a respeito da questão da fome - lançado em 1981 - em Bangladesh, Índia e nos países do Saara. Eu gostaria de saber o que o senhor descobriu ao estudar a fome nesses países, a respeito da fome, e por que isso foi tão importante na época em que foi publicado?"
22/01/2001,Amartya Sen,6,Amartya Sen,"Bom, eu não conheço toda a importância, mas a fome a que se refere, do início dos anos 80, foi na Etiópia. Não houve fome na Índia ou Bangladesh. A última fome na Índia foi em 1943, antes da independência. A única fome subcontinental no sul da Ásia ocorreu em Bangladesh, em 1974, logo depois da independência de Bangladesh. Acho que os principais estudos não foram de uma fome em particular, eu estudei de 20 a 30 fomes no mundo todo. A primeira fome que estudei foi a de Bengala, 1943, na qual três milhões de pessoas morreram. Eu testemunhei, quando criança. Eu tinha nove anos, morava em Bengala, na época. Um dos motivos para o problema me interessar, mesmo quando criança, foi a crença geral de que o suprimento total de comida não foi ruim naquele ano, não houve nenhuma catástrofe. Então, houve duas questões. Uma questão era como a fome ocorreu, a segunda é que o governo não era muito simpático, ainda fazia parte do domínio colonial do império Britânico. Lidávamos com Winston Churchill {Churchill: Winston Churchill (1874-1965). Estadista britânico, escritor, jornalista, orador e historiador que teve a reputação universalizada pelo papel decisivo que teve na vitória dos chamados Países Aliados na Segunda Guerra Mundial, em 1945, quando era primeiro ministro da Inglaterra. Esteve durante 65 anos no centro das maiores crises mundiais mas entrou para a história pelas firmes e fundamentais posições políticas nesse que é considerado o conflito armado mais significativo da história contemporânea, em particular pelo surgimento do nazismo. Com vasta bibliografia, com mais de quarenta obras, a maioria de caráter histórico ou político, recebeu o prêmio Nobel de literatura em 1953. Encerrou a carreira política em 1955, aos 80 anos, como primeiro ministro pela segunda vez.}, que não era muito simpático às questões relativas ao bem-estar indiano. Mas a segunda questão era até que ponto o governo se mantivera apenas insensível ou se tinha sido enganado pelas estatísticas de alimentos. A segunda resposta é fácil. No geral, o governo tinha boas estatísticas. E eles estavam certos em achar que a situação dos alimentos não estava ruim naquele ano. Não foi uma conspiração colonial, foi uma leitura objetiva. Mas o que deu errado foi a crença de que a fome é relacionada ao suprimento total de comida, primariamente, e não a outras coisas. O erro foi na compreensão das causas da fome, e não nas estatísticas de alimentos. O que me leva à primeira questão. Por que a fome ocorre? A característica da fome quer seja na Índia, China, Bangladesh, no passado, ou na África hoje, Coréia do Norte, ou em qualquer lugar, ou no Camboja, antes. Basicamente, vemos grupos inteiros de pessoas que não têm meios econômicos para comprar comida. Isso pode ser ligado ao fracasso na agricultura porque muita gente obtém sua renda a partir da agricultura. E não precisa ser produção de alimentos, pode ser de matérias-primas ou outra coisa qualquer. Mas pode ocorrer por outros motivos. Desemprego pode ser um motivo. Mesmo com uma inundação ou uma seca que afete a colheita apenas um pouco, e só muito mais tarde pode haver fome imediata, pois a subsistência de muita gente, o salário, depende de se conseguir um emprego. E se eles não têm emprego, passam fome. Acho que é preciso mudar o foco de atenção dos estudos da fome na direção da capacidade das pessoas de comprar comida. Estabelecer um controle sobre a comida, em vez de apenas olhar as estatísticas mecânicas dos suprimentos de alimentos."
22/01/2001,Amartya Sen,7,Mônica Teixeira,"E isso o senhor acha que tem alguma relação com o fato de hoje nós vivermos num mundo que talvez nunca tenha sido tão rico, e ainda existam pessoas submetidas à condição de fome?"
22/01/2001,Amartya Sen,8,Amartya Sen,"Sim, mas acho que o problema é maior que isso. Esse tipo de fome desapareceu no subcontinente, na Índia, Paquistão, Bangladesh, não há fome atualmente. A de Bangladesh foi a última, em 1974, antes do restabelecimento do regime democrático. A fome normalmente não ocorre em países democráticos, e posso discutir os motivos para isso. O motivo básico é muito simples. O governo, em um país democrático, tem um grande incentivo para prevenir a fome, porque não se ganha eleição após uma fome, e ninguém quer ser criticado pela oposição e imprensa. A fome desapareceu por esse motivo, e a fome continua, quando se fala dela, agora, ela continua, como sempre no passado, em países com regimes autoritários. Pode ser a Coréia do Norte, Etiópia, Sudão. É onde ela continua. E as experiências recentes, nas últimas duas décadas, foram principalmente na África. Mais uma vez, ligadas a ditaduras militares. E, no passado, a fome na China, de 59/61, na qual morreram 30 milhões de pessoas, a maior fome registrada na história, também ligada ao autoritarismo. Não se pode ficar imune à fome só porque o mundo é rico. É preciso um governo responsável. O governo é extremamente importante. Há duas coisas cruciais na fome. Uma é a economia, para que o indivíduo, todos os indivíduos tenham meios de ter uma renda. Há pessoas como o senador Suplicy, que discute a questão da renda mínima, e isso garantirá renda para todos, mas a maioria das sociedades não tem isso. Nesse contexto, haverá o potencial para a fome, se sua renda decair. Mesmo não havendo uma renda mínima regular, um governo responsável intervirá e criará uma renda, o que é muito fácil. Só é preciso providenciar a geração de empregos públicos. E isso terá o efeito de dar às pessoas o poder necessário para comprar comida. Então, é preciso uma economia em que não haja muitas pessoas excluídas, e é preciso um governo responsável. Esses são os dois fatores, e a prosperidade geral do mundo é um fator muito remoto, não afeta isso."
22/01/2001,Amartya Sen,9,Luiz Nassif,"Eu queria pegar um pouquinho essa questão do papel dos governos, e provocar um tema que é muito grato ao senador Suplicy, que é a questão da renda mínima. Saindo do campo da miséria absoluta para o campo da pobreza, nós tivemos algumas experiências no Brasil, em Vitória especificamente, em que a algumas regiões de favelas foram levados infra-estrutura, recursos, e tudo, provocou uma valorização dos imóveis, dos barracos, e o que a prefeitura notou lá é que um contingente ficou e um contingente foi buscar outras favelas. O que eles dizem é que são condenados à miséria. Ou porque não se adaptam a um padrão um pouco superior, ou porque vivem da miséria alugando barracões, vivendo do lixo, e tudo mais. Programas de renda mínima, na sua opinião - a não ser no caso da fome absoluta mesmo - eles são eficazes para promover o crescimento do indivíduo?"
22/01/2001,Amartya Sen,10,Amartya Sen,"A idéia da renda mínima é uma idéia muito antiga em economia, remonta há muito tempo. E isso foi imaginado como uma forma de garantir a subsistência básica das pessoas. Certamente, é uma idéia importante e interessante, e foi representada sob diferentes formas. Na história européia, as leis de assistência social podem ser vistas como uma espécie de garantia de renda mínima. Mas é interessante você dar o exemplo desse deslocamento de favelados de um lugar para o outro. Uma das críticas que o pai da economia moderna, Adam Smith {Adam Smith: (1723-1790) Economista e filósofo escocês, é considerado pai da economia moderna e o mais importante teórico do liberalismo econômico. Sua obra mais conhecida Uma investigação sobre a natureza e a causa da riqueza das nações, continua a ser referência para gerações de economistas. Smith procurou demonstrar que a riqueza das nações resultava da atuação de indivíduos que, movidos apenas pelo seu próprio interesse (self-interest), promoviam o crescimento econômico e a inovação tecnológica.}, fez às leis de assistência social não foi a de que elas davam assistência às pessoas, dando uma renda mínima, mas ele criticava o fato de que o apoio vinha de governos locais. Assim, ao mudar de um lugar para outro, a pessoa perde o direito à renda. Ele achava que isso tornava a mobilidade natural das pessoas mais difícil, devido a essas leis. Ele achava que elas não tratavam os pobres muito bem. Era sua crítica. Mas acho que o principal argumento a favor de se ter uma renda mínima é forte, se pensarmos em termos de benefícios previdenciários europeus. Os nomes mudam, já foi chamado de “benefício suplementar”, há nomes diferentes em diferentes países. Mas a idéia é que nem todos recebem a mesma renda, a mesma renda mínima. Mas se sua renda cair abaixo de um certo nível, você pode requisitar um auxílio, nessa situação. Há três tipos diferentes de arranjos. Em um deles, todos recebem uma determinada renda mínima. Isso é muito caro, pois você dá para toda a população. Por outro lado, a vantagem é que não há estigmas, você não precisa declarar: “Sou pobre, ajude-me”. Não é preciso pedir. É um direito do cidadão. Há algo muito nobre nessa idéia. Mas é uma idéia muito cara. A segunda idéia, que é idéia do Estado previdenciário europeu, diz que você deve requisitar, e dizer: “Eu sou pobre, dê-me uma renda”. E você tem o direito, e terá uma renda. Isso talvez não dure muito, pois em todos os países europeus estão tentando reduzir isso, em parte para reduzir o fardo do Estado previdenciário. Claro, nos EUA, as restrições são muito mais severas. Então, a segunda coisa, desde que continue, dará uma garantia, mas a dificuldade por outro lado é que, se houver pessoas que não queiram dizer: “Eu vou me ajoelhar e pedir ajuda do Estado”, essas pessoas não receberão ajuda. Não há essa característica de nobreza social que a renda mínima, a mais cara renda mínima tem. A terceira é aquela na qual lidamos, respondendo à pergunta da Mônica, em relação aos países pobres. Não só países em desenvolvimento, mas países que são muito mais pobres que o Brasil. Lidamos com países na África, sul da Ásia, etc. Nesses países, não há um sistema regular de renda mínima, de nenhum tipo. Mas, se houver ameaça de fome, o governo imediatamente organiza geração de empregos. E agem rapidamente oferecendo empregos, não são empregos que exigem muito, mas que oferecem alguma dificuldade, para que as pessoas se mobilizem para estar lá, para receber essa renda. Na Índia não há fome desde a independência, em 1947, principalmente porque quando há ameaça de fome, a Constituição exige, assim como o bom senso político do governo exige, que se criem empregos para evitar a fome. Por isso não houve fome. O que houve, por exemplo, na China, quando ocorre a fome, em 59/61, conforme já discutimos, é que não havia tais garantias. Em geral o sistema chinês tem muitas garantias, mas essa garantia, de criar empregos, que é ligada à prática democrática, não existia. É um sistema complexo."
