DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
11/02/2008,Amit Goswami,1,Heródoto Barbeiro,"Olá, boa noite. Ele une ciência e espiritualidade. Busca, com a física quântica, responder questões que há tempos a ciência, a filosofia, as artes e as religiões tentam encontrar. E considera que é possível explicar e provar cientificamente conceitos como imortalidade, reencarnação e vida após a morte. O Roda Viva entrevista esta noite o físico indiano Amit Goswami, um cientista que vem propondo para a ciência uma visão menos materialista e mais espiritual. Você acompanha a entrevista num instante."
11/02/2008,Amit Goswami,2,[...],[intervalo]
11/02/2008,Amit Goswami,3,[Comentarista],"Há vinte anos o físico indiano Amit Goswani está envolvido em estudos que buscam conciliar ciência e religião. Phd em física nuclear, contraria a idéia de que a origem de todas as coisas é a matéria. E propõe que haja um fundamento de tudo que conhecemos e percebemos, que é a consciência. Amit Goswami nasceu na Índia e obteve seu doutorado em física nuclear teórica na Universidade de Calcutá em 1964. Professor de física da Universidade de Oregon nos Estados Unidos durante 32 anos, Amit Goswami é autor de vários livros e estudos técnicos onde expõe suas teorias nos campos da física e da espiritualidade. Tornou-se mais conhecido a partir de 2004 ao participar e expor suas idéias no filme Quem somos nós?, distribuído também no Brasil. Considerado um dos mais originais pensadores contemporâneos nessa área, Amit Goswami também já causou polêmica nos meios acadêmicos e até foi alvo de críticas por suas idéias de estabelecer uma ponte entre a ciência e espiritualidade. Goswami é apontado como um caso pouco comum de cientista transformado por seu próprio trabalho. Na metade da carreira questionou a visão materialista da ciência, mudou o seu foco de pesquisa e passou a produzir estudos unindo conhecimento de tradições místicas como exploração científica. Em suas teorias, Goswami procura mostrar que o universo é matematicamente consistente sem a existência de um conjunto superior – no caso, Deus. E considera que, com o desenvolvimento dos estudos nessa área, Deus será cada vez mais objeto de ciência e não mais de religião. Aposentado como professor de física da Universidade de Oregon desde 2003, Amit Goswami dedica-se, atualmente, a fazer palestras pelo mundo e também dá aulas sobre ciência e vida espiritual em entidades e institutos dedicados a estudos religiosos e filosóficos nos Estados Unidos, Portugal e no Brasil."
11/02/2008,Amit Goswami,4,Heródoto Barbeiro,"Para entrevistar o físico indiano Amit Goswami, foram convidados: Ulisses Capozzoli, editor da revista Scientific American Brasil; Maurício Tuffani, jornalista e assessor de comunicação da Unesp (Universidade Estadual Paulista); Mirna Grzich, jornalista e colaboradora da revista Época; Laís Wollner, doutora em física quântica, professora de tai-chi-chuan e crítica de arte; Osvaldo Pessoa Junior, professor de filosofia da ciência da USP; Mônica Teixeira, diretora de redação da Inova da Unicamp [Universidade Estadual de Campinas] e assessora do Núcleo de Educação da Fundação Padre Anchieta. Temos também a participação do cartunista Paulo Caruso, registrando em seus desenhos os momentos e os flagrantes do programa Roda Viva, que é transmitido em rede nacional de TV para todo o Brasil. Como o programa de hoje está sendo gravado, não podemos contar com a participação dos telespectadores, mas você pode mandar sua crítica, sugestão ou comentário pela internet. É só acessar o próprio site do programa www.tvcultura.com.br/rodaviva e mandar seu e-mail. Professor Amit Goswami, obrigado por participar do Roda Viva. Boa noite."
11/02/2008,Amit Goswami,5,Amit Goswami,É muito bom estar aqui.
11/02/2008,Amit Goswami,6,Heródoto Barbeiro,"A minha primeira pergunta, professor Amit, é: o que é a morte?"
11/02/2008,Amit Goswami,7,Amit Goswami,"O que é a morte? A morte é quando a consciência pára de causar o colapso das possibilidades quânticas em eventos reais da experiência. Essa é a definição técnica da morte. Então, isso é interessante, pois na física quântica todos os objetos são possibilidades. Na verdade, momento após momento, incluindo nosso corpo e nosso cérebro, momento após momento nós causamos o colapso dessas possibilidades em eventos reais que experimentamos com o nosso corpo e o nosso cérebro. Quando perdemos essa capacidade de converter as possibilidades em eventos reais, nós morremos. Mas perceba o que está acontecendo: as possibilidades permanecem. É claro que algumas dessas possibilidades são possibilidades materiais. Essas possibilidades vão se desintegrar, no sentido do desaparecimento gradativo da estrutura, do desaparecimento gradativo da memória. Os corpos se desintegram. Mas, além do material, temos também componentes sutis, como a nossa mente, como o vital, como os nossos arquétipos supramentais, que vão além da mente e do vital, que também definem o nosso ser. Esses corpos são sutis. Eles não têm estrutura nenhuma. Eles podem continuar para além da nossa morte. Esse é o conceito da sobrevivência após a morte."
11/02/2008,Amit Goswami,8,Ulisses Capozzoli,Posso fazer uma primeira questão?
11/02/2008,Amit Goswami,9,Heródoto Barbeiro,Ulisses Capozzoli.
11/02/2008,Amit Goswami,10,Ulisses Capozzoli,"Professor, o senhor faz uma interação muito bonita, eu quero confessar a minha simpatia por ela, entre humanismo idealista e o realismo materialista. De qualquer forma, a revolução científica do século XVII está por trás do realismo materialista e ela produz telefones, produz carros, produz automóveis, produz a televisão. É muito difícil a gente sensibilizar as pessoas para uma outra perspectiva. Essa, por exemplo, do humanismo idealista... Quem são, na opinião do senhor, os interlocutores capazes de receber esse novo paradigma e ajudá-lo a ampliar? São pesquisadores científicos, intelectuais? Que tipo de gente é mais sensível a essa outra abordagem?"
11/02/2008,Amit Goswami,11,Amit Goswami,"Essa é uma boa pergunta. De acordo com a minha impressão e as minhas experiências, na verdade, os cientistas puros – aqueles das ciências puras – têm mais dificuldade com a consciência e com a idéia de que a consciência é a base de todo o ser. O que é uma resposta melhor para alguns dos problemas dos quais os materialistas não conseguem tratar. Então, cientistas têm mais dificuldades em entender isso do que pessoas comuns. Na verdade, pessoas de todas as áreas de trabalho, empresários, engenheiros, médicos, psicólogos, eles têm mais facilidade do que os físicos, os químicos e os biólogos, representantes das ciências puras. E se espera que seja assim, pois, como o grande físico Richard Feynman [(1918-1988) foi um dos pioneiros da eletrodinâmica quântica, juntamente com Sin-Itero Tomonaga e Julian Schwinger, ganhando o prêmio Nobel em 1965. Para ele, “Deus é sempre inventado para explicar coisas que você não entende”] disse uma vez, os cientistas devem vestir a camisa-de-força do materialismo, caso contrário não é possível fazer ciência. Esse conceito está profundamente infundido nas ciências puras. É claro que, assim que você começa a lidar com medição quântica e conforme as possibilidades quânticas se tornam eventos reais da experiência, você deve pressupor a consciência. Não tem saída. Essa é a única explicação e interpretação livre de paradoxos possíveis para a física quântica. Então, nós aceitamos o monismo idealista, mas ao mesmo tempo percebemos que, no seu próprio âmbito, a filosofia materialista e suas conseqüências são válidas, nada é negado. Então, na verdade, expandimos a nossa ciência para novos domínios de experiências dos quais a antiga ciência simplesmente não consegue tratar. Então, todos deveriam realmente recebê-la bem, ao invés de ser antagônicos a ela."
11/02/2008,Amit Goswami,12,Mirna Grzich,"Professor, o senhor se tornou muito famoso depois do filme What the bleep do we know [Quem somos nós?], que foi feito inspirado no seu livro O universo autoconsciente. Eu queria que o senhor falasse sobre a questão da intenção. Como a intenção... quer dizer, a colocação que o senhor faz de que observador é responsável pela mudança que acontece na realidade, pelas alterações na realidade... E isso está se transformando num movimento mundial, as pessoas estão começando a usar isso em vários sentidos e até erroneamente. Eu queria que o senhor comentasse sobre esses filmes: O segredo [2007] e Quem somos nós? [2004], que foi o nome brasileiro de What the bleep. Como o senhor vê a intenção, como que o senhor explica isso?"
11/02/2008,Amit Goswami,13,Amit Goswami,"Obrigado por essa pergunta maravilhosa. Então, as intenções são relacionadas à física quântica bastante elementar, porque nós já postulamos que a consciência é a base de todo o ser e compreende em si as possibilidades quânticas. E a consciência escolhe, dentre essas possibilidades, uma faceta e esta faceta se torna um evento real da experiência consciente. Afinal, o que é essa consciência? O nosso bom senso diz sermos nós, o nosso ego, o estado comum da nossa consciência e, por isso, nós escolhemos. E muitas pessoas, de fato, lançaram-se a essa idéia quando um físico cunhou a frase “nós escolhemos a nossa própria realidade”. Parece maravilhoso. Assim, as pessoas começaram a escolher automóveis, grandes casas e começaram a desejar esse tipo de coisa. O filme O segredo, na verdade, propaga essa idéia mesmo no ano de 2006, 2007. Portanto, mesmo a idéia original tendo esmorecido nos anos 1970, ela renasceu agora. Temos, portanto, esse problema. O que se deve fazer é analisar essa situação com um pouco mais de profundidade. É mais sutil. Se dissermos que a escolha se dá no nível do ego individual, então surge um paradoxo. Suponha uma situação dicotômica. Por exemplo, um semáforo com duas possibilidades, duas possibilidades quânticas, verde e vermelho. Você se aproxima dele por uma rua e sua amiga pela rua perpendicular. Dado que são pessoas ocupadas, ambas vão desejar o verde. Mas, qual escolha vai valer? Esse paradoxo, chamado de paradoxo de Victor Franz Hess [(1883-1964), físico austríaco que descobriu, em 1911, os raios cósmicos ganhando o Nobel em 1936], porque o ganhador do Nobel da física, Victor Franz Hess nos deu esse paradoxo – não é facilmente resolvível – porque se você diz que a sua escolha domina, você será chamado de solipsista [aquele para quem só importam seu próprio eu e suas sensações]. Não tem nenhum problema nisso, mas sua amiga também pensará da mesma forma – que ela é o centro do universo – e não você. O paradoxo é apenas deslocado de quem escolhe para quem se torna o centro do universo. Dessa forma, esse paradoxo realmente frustrou todos os esforços em trazer a consciência para dentro da física por muitas décadas. Até que Ludvik Bass [matemático, professor emérito da Universidade de Queensland, que foi o último aluno de Erwin Schrödinger [(1887-1961) físico austríaco que fez grandes contribuições à mecânica quântica, especialmente a “equação de Schrödinger” que descreve a evolução dos sistemas físicos sujeitos à mecânica quântica ao longo do tempo, pela qual recebeu o prêmio Nobel de física em 1933] na Universidade de Dublin. No artigo “A mente do amigo de Wigner”, argumenta em favor da existência de uma única consciência, uma única mente, uma única alma. O “amigo de Wigner” é também o nome de um paradoxo, proposto teoricamente pelo físico Eugene Wigner [(1902-1995), matemático e físico húngaro laureado com o prêmio Nobel de 1963 por suas grandes contribuições para a teoria dos átomos nucleares e das partículas elementares, particularmente pela criação e aplicação dos princípios fundamentais da simetria. No final da vida, voltou sua atenção para assuntos mais filosóficos, como o significado da vida. Com isso, acabou se interessando pela filosofia hinduísta Vedanta, na qual o universo é visto como uma consciência cósmica] para refletir sobre o momento em que se faz uma mensuração na mecânica quântica. O experimento desenhado para responder a pergunta mostra que Wigner acreditava nessa consciência única, cósmica, como necessária ao processo de medição] na Austrália, eu em Oregon e Casey Blood [físico e matemático, professor emérito de física da Universidade Rutgers, nome da Universidade Estadual de Nova Jersey. Fez pesquisas e tem artigos publicados em física quântica. Escreveu em 2001 o livro Science, sense & soul - the mystical-physical nature of human existence. Para Blood, o teorema de John Stuart Bell (ou teorema da impossibilidade de teorias de variáveis ocultas locais) implica uma base idealista para a realidade, pois requer o abandono de três elementos fundamentais na física clássica: realidade, localidade e indução] em Nova Jersey chegamos todos à mesma solução. Uma solução muito estranha, fora do comum e muito mística. Ela consiste na idéia de que a escolha se dá no nível de um estado incomum da consciência, de unidade cósmica onde todos nós estamos interconectados. Essa interconexão da consciência – ou a própria consciência como uma interconectividade que transcende o tempo e o espaço e não requer uma conexão por meio de sinais– é nova e pertence somente à física quântica. Esse conceito não pode ser gerado por nenhum tipo de física newtoniana {física newtoniana: Publicados em 1687 por Isaac Newton no livro Philosophiae Naturalis Principia Mathematica, três postulados procuram explicar o movimento relativo aos objetos. Tais leis são consideradas a base da física mecânica. Segundo a primeira lei de Newton, ou princípio da inércia, todo corpo tende a permanecer em seu estado de repouso ou movimento retilíneo uniforme a menos que sobre ele seja aplicada uma força externa. A segunda lei de Newton, também considerada a lei fundamental da mecânica, afirma que a aceleração produzida sobre um corpo por uma força é diretamente proporcional à intensidade da força e inversamente proporcional à massa do corpo. E, por fim, a lei de ação e reação, postula que a toda força de ação corresponde uma força de reação igual e oposta, em sentido contrário.} ou nenhum tipo de extensão desta. Ele é radicalmente novo e é chamado de não-localidade quântica. Portanto, a consciência é não-local. É justamente isso que falta na expectativa do senso comum, que preconiza a possibilidade de mudar uma possibilidade em um evento real com o cérebro a partir da nossa identidade comum e local, escolhendo assim coisas desejáveis para nós. Nós não podemos, infelizmente."
11/02/2008,Amit Goswami,14,Mônica Teixeira,"Dr. Goswami, é possível medir esse fenômeno do qual o senhor está falando? Porque a física é sobre medir, né?"
11/02/2008,Amit Goswami,15,Amit Goswami,"Obrigado pela pergunta. Sim, isso é uma conseqüência da teoria da consciência como base de todo o ser, que escolhe, dentre as possibilidades quânticas, o evento real da experiência. Dessa forma, essa consciência deve ser não-local. Devemos ter uma interconectividade não-local. E, portanto, duas pessoas deveriam ser capazes de se comunicar não-localmente sem a troca de nenhum sinal. Mas, para ser crível, é melhor que um fenômeno cerebral seja transferido para outro cérebro. E, de fato, Jacobo Grinberg, um neurofisiologista da Universidade do México, verificou justamente isto, colocando duas pessoas para meditar juntas com a intenção de se comunicarem diretamente, sem a troca de sinais. E, realmente, após um breve tempo de meditação, separados em gaiolas de Faraday independentes – câmaras eletromagneticamente impermeáveis – e com os cérebros conectados a máquinas de eletroencefalograma [EEG], foram mostrados flashes de luz para apenas um dos sujeitos. Então, o cérebro desse sujeito tem uma série de formas de atividade elétrica em resposta aos flashes."
11/02/2008,Amit Goswami,16,Mônica Teixeira,E essa atividade elétrica foi medida?
