DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
20/03/2006,Anthony Garotinho,1,[...],Programa ao vivo.
20/03/2006,Anthony Garotinho,2,Paulo Markun,"Boa noite. Foram duas batalhas: uma na Justiça, outra dentro do próprio partido. O PMDB viveu neste final de semana uma grande confusão em torno da escolha prévia de seu pré-candidato à presidência da República. No final, barrada pela Justiça, a prévia virou consulta informal, e o ex-governador do Rio de Janeiro Anthony Garotinho venceu, apesar do concorrente Germano Rigotto ter recebido quase o dobro dos votos. Garotinho foi favorecido pelo critério antecipadamente combinado da média ponderada que dá peso diferente aos votos nos estados. Rigotto, governador licenciado do Rio Grande do Sul, tentou questionar, mas voltou atrás e reconheceu a vitória de Anthony Garotinho, convidado desta noite do Roda Viva, na qualidade de pré-candidato do PMDB à presidência da República. O presidente nacional do PMDB, deputado Michel Temer, reconheceu hoje que a consulta informal de ontem não deve ter validade legal, tudo ainda depende da convenção nacional do partido, em junho. Mas a vitória de Anthony Garotinho como pré-candidato é um resultado político, tanto para os oposicionistas do PMDB quanto para ele próprio que se coloca na corrida presidencial pela segunda vez em sua vida política."
20/03/2006,Anthony Garotinho,3,[Comentarista],"Anthony Garotinho nasceu no dia 18 de abril de 1960, em Campos, no norte do estado do Rio. Em 75 entrou para o Movimento Estudantil onde deu seus primeiros passos na política sob influência do Partidão, o antigo PCB. Garotinho participou da fundação do Partido dos Trabalhadores [PT] da cidade de Campos. Em 86, foi o candidato mais votado para a Assembléia Legislativa do estado, pelo PDT de Leonel Brizola. Dois anos depois, venceu a disputa para prefeitura de Campos. Em 96, foi novamente eleito prefeito da cidade já no primeiro turno, com mais de 70% dos votos válidos. Em 1998, Garotinho venceu a disputa pelo governo do Rio com mais de 3 milhões de votos. Quatro anos depois concorreu à presidência pelo PSB. Anthony Garotinho recebeu mais de 15 milhões de votos, terminando em 3º lugar. Agora, pelo PMDB, tenta a presidência depois de derrotar Germano Rigotto na consulta realizada pelo partido. Garotinho também trabalhou em rádios como locutor e narrador de corridas de cavalo e partidas de futebol. Casado com a atual governadora do Rio, Rosinha Mateus, teve nove filhos, cinco deles, adotados."
20/03/2006,Anthony Garotinho,4,Paulo Markun,"Para entrevistar o pré-candidato do PMDB, Anthony Garotinho, nós convidamos Ricardo Boechat, apresentador do Jornal da Band. Carlos Marchi, repórter e analista de política do jornal Estado de S. Paulo. Tereza Cruvinel, colunista de política do jornal O Globo. Denise Rothenburg, colunista de política do jornal Correio Brasiliense. Plínio Fraga, coordenador da sucursal da Folha de S. Paulo no Rio de Janeiro. E Alexandre Machado, editor de política da TV Cultura. O Roda Viva é transmitido em rede nacional de TV para todo Brasil. Boa noite, governador."
20/03/2006,Anthony Garotinho,5,Anthony Garotinho,"Boa noite, Paulo, é um prazer muito grande estar aqui no Roda Viva com você e com todos os telespectadores."
20/03/2006,Anthony Garotinho,6,Paulo Markun,"Prazer é meu. Eu começo, governador, com perguntas dos telespectadores, que já fizeram antes mesmo do programa iniciar, porque é possível isso também, e todas a respeito das prévias. Eu vou relacioná-las porque são bastante próximas. Cléo Oliveira, de Tocantins, diz o seguinte: “como é que o senhor considera a sua condição no partido já que, apesar da vitória na consulta, Rigotto foi muito mais votado, isso não pode ser considerado falta de apoio das bases”? Aline Ventura, da Bahia pergunta: “o que o senhor achou do José Sarney [ex-presidente, senador federal em 2006] e Renan Calheiros [presidente do Senado Federal, de 2005 a 2007] que boicotaram as prévias”? Daniel Larroque, de Mato Grosso, “qual o motivo que levará a maioria dos peemedebistas que votou em Rigotto a apoiar Garotinho para presidente”? E, finalmente, Leonardo Freitas, de Santa Catarina, “que critério absurdo foi esse”, segundo ele, “onde quem recebeu mais votos perdeu e quem recebeu menos ganhou”?"
20/03/2006,Anthony Garotinho,7,Anthony Garotinho,"Em primeiro lugar, Paulo, e a todos os telespectadores que formularam essa pergunta, é preciso reconhecer que eu e governador Germano Rigotto fizemos uma campanha limpa, em nenhum momento o governador Rigotto teve qualquer palavra que comprometesse o respeito ao seu adversário e eu também, e isso ajudou muito a motivar o PMDB no Brasil inteiro. Partido ficou muito entusiasmado, e toda nossa disputa se deu no plano das idéias, sem ataques pessoais, sem nenhum tipo de agressão. Isso foi bom para vida interna do PMDB. Devo reconhecer aqui que eu disputei com um concorrente que foi leal. A primeira pergunta, quanto ao critério, veja, o critério da proporcionalidade é que provocou um equilíbrio entre os candidatos, porque, vejamos só: o Rio Grande do Sul tem 490 municípios, o Rio de Janeiro tem 92. Se fôssemos adotar o critério do voto direto, cada delegado e cada suplente de cada cidade, mais os vereadores com direito a voto, o Rio Grande do Sul tinha três mil delegados na convenção, Rio de Janeiro tinha mil. Só para você ter uma idéia dessa desproporcionalidade, caso não fosse adotado o critério do peso por estado, os estados do Paraná, Santa Catarina, Rio Grande do Sul, e São Paulo, juntos tinham dez mil votos, Rio tinha mil. Embora o Rio tenha 10 milhões de eleitores, 14 milhões de habitantes. Então foi criado um critério pelo qual fazia-se uma média ponderada entre o número de eleitores do estado e o número de votos que o partido obteve na eleição à Câmara Federal e ao Senado. E no caso específico do Distrito Federal, foram computados os votos, como não tem eleição municipal, foram computados os votos do governador Joaquim Roriz. Foi um critério discutido, aprovado por todos, aprovado, inclusive, pelos que estavam representando o governador Germano Rigotto. Pelo critério do voto direto, era impossível qualquer candidato vencer."
20/03/2006,Anthony Garotinho,8,Paulo Markun,"Mas isso, que senhor explicou, mas isso não elimina a questão que foi colocada aqui, o que levará a maioria dos peemedebistas, feita pelo Daniel Larroque, que apoiaram Rigotto, apoiar Garotinho?"
20/03/2006,Anthony Garotinho,9,Anthony Garotinho,"Não tenho dúvida de que a própria declaração do governador Germano Rigotto hoje, a própria conversa que eu tive antes de vir para cá com o senador Pedro Simon, que disse: “Amanhã nós vamos reunir o PMDB, e a primeira sessão do Brasil a declarar o apoio a você será o Rio Grande do Sul”. Nós fizemos uma campanha muito juntos, para você ter uma idéia na sexta-feira à noite, eu e Rigotto jantamos juntos, no mesmo restaurante, na mesma mesa, sob o patrocínio do presidente do partido Michel Temer. Todos nós defendíamos a mesma tese: o PMDB precisa ter um candidato próprio, com um novo programa para o país, um programa que pregue o desenvolvimento, que pregue a redução da taxa de juros, e leve o Brasil a um novo período de crescimento, que o país não vê já há algum tempo. Então, eu não creio que haja ressentimentos, se fosse uma campanha onde tivesse cotovelada, deslealdade, ficaria ressentimento, não há ressentimento nenhum entre Garotinho e Rigotto. Nem entre os partidários de Garotinho, nem entre os partidários de Rigotto, todos são partidários da mesma idéia, a idéia de que o partido necessita ter uma candidatura própria."
20/03/2006,Anthony Garotinho,10,Carlos Marchi,"Governador, o senhor é candidato para ganhar ou é candidato para atrapalhar?"
20/03/2006,Anthony Garotinho,11,Anthony Garotinho,"Olha, eu não vou ser candidato para atrapalhar, eu sou candidato para ganhar, e acho que tenho todas as condições de ganhar. Eu parto de um princípio da eleição passada, porque eu não posso partir do princípio do que vai acontecer no futuro. O futuro é uma hipótese, mas o passado é uma realidade. Da eleição passada eu disputei ponto a ponto a ida para o segundo turno com Lula e com José Serra. José Serra tinha dez minutos de televisão, eu tinha um minuto, quase dois minutos, não chegava a dois minutos. José Serra tinha como apoiador, em São Paulo, como candidato a governador, Geraldo Alckmin. Eu tinha como candidato em São Paulo, todo respeito que ele merece, e até se dispôs a candidatar, o sargento Pitoli. E em Minas Gerais, o José Serra tinha como apoiador da sua candidatura, e foi eleito governador, Aécio Neves, eu tinha professora Margarida."
20/03/2006,Anthony Garotinho,12,Carlos Marchi,O senhor agora vai arranjar candidatos melhor nos estados?
20/03/2006,Anthony Garotinho,13,Anthony Garotinho,"Só [para] concluir. No Rio Grande do Sul o Serra tinha o apoio do Rigotto, a aliança era PMDB-PSDB, meu candidato chamava-se Calebe. Em Santa Catarina, o Serra tinha apoio do Esperidião Amin, meu candidato chamava-se Antônio Belo. No Paraná, ele tinha o apoio do Jaime Lerner, Roberto Richa, eu tinha do Seu Severino, eu podia citar todos os outros. Então veja, não tinha palanques, eu não tinha tempo de televisão, eu tive 15 milhões de votos e Serra teve 19. A nossa diferença foi pouco mais de 4%. Então, eu creio que com tempo de televisão, hoje o PMDB tem candidatos fortes, competitivos. No Rio Grande do Sul, o próprio Germano Rigotto que é o favorito nas pesquisas. No Paraná, Roberto Requião. Em Santa Catarina, Luís Henrique. Em São Paulo, Orestes Quércia. No Rio, Sérgio Cabral. No Espírito Santo, Paulo Hartung. Em Goiás, Maguito Vilela. Na Paraíba, José Maranhão. No Piauí, Mão Santa. Só para concluir Tereza, só um minutinho."
20/03/2006,Anthony Garotinho,14,Paulo Markun,"O senhor pode concluir, só queria... se o senhor pudesse sintetizar, eu agradeço."
20/03/2006,Anthony Garotinho,15,Anthony Garotinho,"Eu vou sintetizar. Me desculpe, mas eu queria dar uma resposta mais completa ao Carlos. Então eu creio que com maior tempo de televisão, um partido mais estruturado, e certamente com a experiência dos erros que eu cometi na campanha passada, eu devo fazer uma campanha melhor do que foi a passada."
20/03/2006,Anthony Garotinho,16,Denise Rothenburg,"Agora, muitos do que o senhor falou aí já abandonaram outros candidatos do PMDB para apoiar Fernando Henrique Cardoso, para apoiar até mesmo Fernando Collor, em outras oportunidades eles não ficaram com candidatos do PMDB, o que lhe garante que agora eles vão ficar?"
20/03/2006,Anthony Garotinho,17,Tereza Cruvinel,"Deixa eu complementar com a pergunta da Denise, esses cabos eleitorais, esses caciques do PMDB que o senhor acabou de citar que serão seus aliados realmente, são pessoas com muita influência regional, mas nós sabemos que essa situação de hoje que permitiu a realização da consulta que não foi prévia e que lhe deu a vitória, essa situação pode se alterar em breve quando o Supremo Tribunal Federal esclarecer definitivamente que haverá verticalização. E, nesse momento, boa parte desses caciques do PMDB que o senhor enumerou vão estar mais interessados na disputa do mando local, em ficar fora da eleição presidencial para ter liberdade de se coligar do que encarregar um candidato com todo o potencial que senhor tem, por mais promissor que o senhor seja como candidato. O senhor não receia isso, que ganhou agora, mas não levará na convenção?"
20/03/2006,Anthony Garotinho,18,Anthony Garotinho,"Tereza, Denise, veja, nós temos que ser práticos. Se a candidatura decolar, ninguém abandona, se a candidatura não decolar, é natural o espírito de sobrevivência dessas pessoas todas. Afinal de contas, são políticos que querem buscar o seu espaço político. Agora, eu creio que eu saí de um patamar, DataFolha 12%, Ibope 14%, eu acho que eu tenho os votos que eu tive na eleição passada para começar, em torno de 15 milhões de votos, se você for levar para voto válido, os dois vão dar em torno de 15, 16%, eu tive 18. Então, eu creio que ninguém vai abandonar um candidato que começa com 18%. Ninguém vai abandonar. Então, isso é fato na política, isso é experiência, e a vida que vai te mostrando. Você quer candidato mais representativo da história do PMDB, da imagem do PMDB, aquele que na hora de fazer saudação dizia: “saudação militante peemedebista” que Ulysses Guimarães? E, conforme foi dito pela própria Denise, a realidade, uma candidatura com dificuldades eleitorais naquele momento, foi abandonado [na campanha de 1989, Ulysses Guimarães, líder histórico do PMDB, obteve baixíssimo apoio popular e teria sido “abandonado” pelo PMDB]."
20/03/2006,Anthony Garotinho,19,Tereza Cruvinel,"Então o senhor tem até junho para crescer bastante, não é?"
20/03/2006,Anthony Garotinho,20,Anthony Garotinho,Nem tão bastante.
20/03/2006,Anthony Garotinho,21,Tereza Cruvinel,O senhor precisa crescer a curto prazo?
20/03/2006,Anthony Garotinho,22,Anthony Garotinho,"Nem tanto, nem tão rápido assim."
20/03/2006,Anthony Garotinho,23,Tereza Cruvinel,Vai sair em junho?
20/03/2006,Anthony Garotinho,24,Paulo Markun,O senhor está altamente otimista?
20/03/2006,Anthony Garotinho,25,Anthony Garotinho,"Eu tenho 12%, 14, 15, se crescer cinco pontos eu vou para 20%. O atual governador de São Paulo, pessoa que tenho grande respeito, carinho por ele, com toda visibilidade que teve nos últimos dias, grande visibilidade, até pela disputa que se travou dentro do PSDB, com José Serra [em 2006, houve indefinição do PSDB entre José Serra e Geraldo Alckmin sobre quem seria o candidato à presidência. Alckmin acabou escolhido e Serra candidatou-se a gornador], teve uma visibilidade enorme, ele tem 23%. Então, eu acho que a gente não deve viver com ansiedade, ansiedade é inimiga do político. Político tem que ter calma."
20/03/2006,Anthony Garotinho,26,Tereza Cruvinel,Só que tem os prazos eleitorais.
20/03/2006,Anthony Garotinho,27,Anthony Garotinho,"Mas a gente tem que ter calma, paciência, e entender, e se der para o candidato crescer no tempo certo, ele crescerá. Se o candidato falar, se o candidato falar a realidade ao povo brasileiro, que está hoje no coração da maioria do povo brasileiro, que é o desejo de mudança, devia substituir essa política econômica aqui, levou o país a esta situação de dificuldade, bem. Agora, se ele também não conseguir transmitir isso à população, aí a responsabilidade é minha, eu não posso botar culpa no eleitor."
20/03/2006,Anthony Garotinho,28,Alexandre Machado,"Governador, como o senhor recebeu a declaração do ex-presidente Sarney, que declarou que entre os motivos para que o PMDB não devesse apresentar candidatura é de que o PMDB não tinha nenhum candidato competitivo?"
20/03/2006,Anthony Garotinho,29,Anthony Garotinho,"Bom, opinião dele. Respeito a opinião, o ex-presidente Sarney é uma pessoa com quem eu tenho experiências, mas é uma figura respeitável, né?, República brasileira, então, respeito, mas é opinião dele. Não é a maioria do PMDB, a maioria do PMDB pensa diferente. Eu até sugeri, sabe, Alexandre, num determinado momento, que os governistas assumissem uma posição, isso foi publicado nos jornais. E qual era a posição? Eles não defendem apoio a Lula ir até a prévia, então deveria ter três opções na prévia. A primeira opção: Germano Rigotto. Segunda opção, Garotinho. Terceira opção, apoiar Lula. Por que não fizeram isso? Eles iam perceber que eles estão descolados do sentimento da base do partido."
20/03/2006,Anthony Garotinho,30,Plínio Fraga,"Governador, questão importante nesta campanha..."
20/03/2006,Anthony Garotinho,31,Anthony Garotinho,"Só um minutinho. A pesquisa interna feita por eles próprios aponta que 95% dos peemedebistas desejam candidatura própria, não tinha passagem essa tese de apoio ao governo."
