DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
28/06/1999,Antônio Carlos Magalhães,1,Paulo Markun,"Boa noite. Ele diz que quando se tem brilho próprio é indiferente estar no governo ou na oposição e é certamente por isso que há mais de quatro décadas ele está sempre em evidência no cenário político brasileiro. No governo e às vezes na oposição. Na série especial comemorativa dos 30 anos da TV Cultura o convidado desta noite é o senador Antônio Carlos Magalhães, presidente do Congresso Nacional. Mas, antes da gente conversar com ele, vamos relembrar um pouco do passado do Roda Viva, que nesses 13 anos de existência, tem sido um importante espaço de discussão da vida brasileira. presidentes, governadores, parlamentares e pensadores já passaram por aqui debatendo idéias e propostas para transformação da realidade brasileira. Vamos relembrar alguns."
28/06/1999,Antônio Carlos Magalhães,2,[...],[são exibidos vários vídeos]
28/06/1999,Antônio Carlos Magalhães,3,"Ulysses Guimarães, 1989 (presidente do PMDB)","Eu entendo que o partido é fundamental. Uma das definições de democracia é: não havendo partidos, não há democracia. Havendo partidos fortes, bem aparelhados, é uma melhoria para a democracia, tanto que escolher um presidente da República sem o respaldo partidário de deputados e senadores é uma verdadeira aventura."
28/06/1999,Antônio Carlos Magalhães,4,"Luiz Carlos Prestes, 1986 (ex-secretário do Partido Comunista do Brasil)","Para fundar um partido revolucionário aqui no nosso país, um partido comunista verdadeiro, armado com a teoria do proletariado é necessário partir de um núcleo marxista firme, conhecedor da ciência para poder realmente formar este partido. Essa é a minha tese, e é por isso que eu estou lutando. Eu estou certo de que a situação das massas do Brasil vai se agravar cada vez mais, elas não vão ficar de braços cruzados. Nenhum povo enfrenta a fome sem lutar. Porque o nosso povo também enfrenta grandes lutas e essas lutas também serão reprimidas, mas a classe operária vai aprender muito com isso."
28/06/1999,Antônio Carlos Magalhães,5,"Luís Inácio Lula da Silva, 1986 (presidente do PT)","Eu sei que o Congresso Nacional tem uma grande maioria de pessoas do mais alto conservadorismo, representantes quase que na sua grande maioria de um segmento social chamado poder econômico direto ou indireto. Eu já vi cinco mil pessoas naquele Congresso Nacional fazer deputado mudar de voto. O que é preciso é criar instrumentos para que a sociedade possa pressionar. E quando eu sugeri de que poderia haver um televisionamento, é porque eu acho que é uma das formas do cidadão acompanhar melhor Brasília."
28/06/1999,Antônio Carlos Magalhães,6,"Leonel Brizola, 1989 (candidato do PDT nas eleições presidenciais de 1989)","Não há um problema de confronto entre capitalismo e socialismo, há rigor nessa quadra da vida brasileira? O que há é uma classe dirigente arrogante, preconceituosa, uma classe dirigente egoísta e, sobretudo, incompetente que fez isto com o nosso país."
28/06/1999,Antônio Carlos Magalhães,7,"Fernando Collor, 1989 (candidato do PRN nas eleições presidenciais de 1989)","A corrupção ela sempre vem associada à impunidade. Quer dizer, se na sociedade de um país, na sociedade considerada, não houvesse a impunidade, a corrupção seguramente ou inexistiria ou seria muito reduzida. E o que é a impunidade? A impunidade é a certeza de que o corrupto ou delinqüente tem de que cometido o ato delituoso ou mesmo o ato de corrupção nada vai lhe acontecer porque haverá sempre alguém na estrutura do poder a lhe proteger, a lhe colocar as mãos em cima, a impedir que a Justiça faça justiça, que coloque atrás das grades."
28/06/1999,Antônio Carlos Magalhães,8,"Ciro Gomes, 1995 (ex-ministro da Fazenda)","O que eu pretendo neste instante, honestamente, e que quero fazer isso olhando para a câmera, ser candidato a nada, se eu pretendesse, eu estaria aqui como as pessoas que querem militar estão. Um dia, se o desenho do cenário for uma coisa que seja pertinente, objetiva, séria, que não seja objeto de uma postulação sem fundamento imposta por vaidade, por qualquer coisa outra coisa menor minha, acontecesse uma oportunidade de eu servir ao Brasil em qualquer posição eu terei entusiasmo em fazê-lo, porque essa é a minha vocação e eu gosto disso."
28/06/1999,Antônio Carlos Magalhães,9,"Paulo Maluf, 1989 (prefeito de São Paulo)","Eu acho que no Brasil cabem cinco partidos. O resto são legendas de aluguel. O nosso PPB (partido progressista brasileiro), o PMDB, que tem 101, 102 deputados, o PFL que tem 89, 90 deputados, o PSDB que está também com 80 e poucos deputados, e o PT ideológico. Eu acho que estes cinco partidos têm condições de existir. São 19 partidos que têm representação no Congresso, alguns com um deputado. O partido com um deputado dá o direito do sujeito ter uma hora em cadeia nacional duas vezes por ano. Isso é um abuso!"
28/06/1999,Antônio Carlos Magalhães,10,"Delfin Neto, 1991 (deputado federal/PDS)","Duvido se não tem como construir uma maioria estável com 50 facções, não tem como manter uma maioria estável! Você precisava, e precisa hoje de uma modificação do sistema, primeiro, do sistema partidário, você tem que construir uma lei partidária que produza dois ou três grandes partidos, não mais do que isso, e que você introduza de volta a fidelidade partidária."
28/06/1999,Antônio Carlos Magalhães,11,"Michel Temer, 1997 (presidente da Câmara Federal)","O partido pode mudar de programa. O integrante do partido pode mudar as suas idéias, então, não é possível o engessamento definitivo. O que eu proponho em matéria de fidelidade partidária é que o parlamentar, o integrante do partido, obrigatoriamente quando eleito, ele deve permanecer três anos e meio, três anos e quatro meses, pelos um mandato, mas quando chegar na próxima eleição, e antes do registro, ele pode ter a oportunidade de migrar para outro partido, não pode mudar no dia seguinte."
28/06/1999,Antônio Carlos Magalhães,12,"José Genuíno, 1991 (deputado federal/PT)","Nós temos que em primeiro lugar que estabelecer nessa iniciativa da oposição uma relação de alianças políticas. Segundo, eu acho que nós devemos trabalhar. Eu defendo que o Congresso Nacional tem uma grande responsabilidade nesse momento. Eu acho que este é o grande dilema do Congresso, ora ele é uma delegacia de polícia, ora ele fica envolvido com querelas. Ele tem que pensar uma pauta para o Brasil e discutir isso. Ou através de iniciativas de lei, pode fazer isso, ou através de uma relação de poder para poder com o executivo."
28/06/1999,Antônio Carlos Magalhães,13,"Sérgio Motta, 1996 (ministro das Comunicações)","Eu concordo com você que a coligação partidária feita que dê sustentação para o governo precisa do que eu chamo da lógica perversa dos três quintos que foi posta na Constituição de 1988. essa lógica te obriga a se decompor; ou você governa de forma estreita, pode inviabilizar o governo, ou você tem uma base parlamentar ampla em função do programa mínimo, e isso foi feito. O governo Fernando Henrique está governando em função de um programa que tem adesão de partidos que aceitaram este programa, em toda a reforma."
