DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
24/02/2003,Cacá Diegues,1,[...],[programa ao vivo]
24/02/2003,Cacá Diegues,2,Paulo Markun,"Boa noite. Até ontem, 1,058 milhão de brasileiros haviam assistido, em apenas quatro semanas, ao último filme dele. Ele é um integrante do grupo de cineastas brasileiros que, no início da década de 60, mudou o jeito de pensar e fazer cinema no Brasil. Ao contrário do que pensava no início da carreira, ele sabe hoje que o cinema não pode mudar o mundo, mas acha que é possível mudar o jeito de se olhar o mundo. No centro do Roda Viva esta noite, Cacá Diegues, diretor de Deus é brasileiro, o filme que abriu a temporada 2003 do cinema nacional e que, há menos de um mês em cartaz, já é um sucesso de público."
24/02/2003,Cacá Diegues,3,[inserção de vídeo],"[fala de Antônio Fagundes, que interpreta Deus, no filme Deus é brasileiro] “É só Deus me dê saúde, Deus me dê marido, Deus me faça ganhar na loteria, Deus mais isso, Deus mais aquilo, é Deus quem sabe. Não tem quem agüente mais. Tudo eu, eu, eu, eu, eu. A pessoa se estressa”. [Narração de Valério Grillo] Cansado dos erros da humanidade, Deus resolve tirar umas férias e decide procurar no Brasil, um país muito religioso, um santo capaz de cuidar temporariamente dos problemas do mundo. O filme é baseado num conto de João Ubaldo Ribeiro. Deus, para encontrar o santo pretendido, arranja um guia que o levará do litoral de Alagoas ao interior do Tocantins, numa aventura divertida e humanista, reveladora da vida brasileira e dos nossos dramas sociais. Há mais de 40 anos olhando o Brasil pelas câmeras, Cacá Diegues já colocou em seus filmes parte de sua própria história de nordestino que foi para a cidade grande. Carlos José Fontes Diegues veio criança de Alagoas para o Rio de Janeiro, onde estudou até formar-se em direito na Universidade Católica. Integrante do Centro Popular de Cultura da União Nacional dos Estudantes, virou cineasta amador em companhia de Arnaldo Jabor, David Neves, Paulo Perdigão e outros. Eles foram um dos núcleos de fundação do Cinema Novo, no final da década de 50. Produzindo curtas-metragens, trabalhou também como jornalista, escrevendo críticas e ensaios sobre o cinema. Em 1961, veio o seu primeiro filme profissional, Escola de samba Alegria de viver, episódio de Cinco vezes favela, tido como um dos filmes inaugurais do Cinema Novo brasileiro [Cinema Novo] {[Cinema Novo]: Denso e produtivo movimento estético e intelectual do cinema brasileiro da década de 1960, bastante influenciado pelo neo-realismo italiano e a nouvelle vague francesa, cujos principais representantes são Glauber Rocha, Ruy Guerra, Cacá Diegues, Paulo Cesar Saraceni, Walter Lima Jr. e Nelson Pereira dos Santos (diretor de Rio 40 graus no início do movimento), que propunham uma estética da fome e filmar apenas com “uma câmera na mão e uma idéia na cabeça”, frase célebre do principal deles, Glauber Rocha, realizador de Deus e o Diabo na terra do sol (1964) e Terra em transe (1967) entre outros. Revolucionário e utópico, o movimento, mesmo combatido pelo poder militar e econômico, pode não ter conseguido atingir o público que pretendia, mas entrou para a história do cinema, brasileiro e mundial, sendo até hoje referência.}. Depois, fez seus três primeiros longas-metragens, Ganga Zumba, em 64, A grande cidade, em 66, e Os herdeiros, em 69. Na seqüência, filmou Quando o carnaval chegar [1972]; Joanna Francesa [1973]; Xica da Silva [1976]; Chuvas de verão [1978]; Bye bye Brasil [1979]; Quilombo [1984]; Um trem para as estrelas [1987]; e Dias melhores virão [1989], dias que não vieram no governo Collor, quando a Embrafilme e o Concine [Conselho Nacional de Cinema] foram extintos e a produção cinematográfica no Brasil entrou em crise. Nessa época, em 1994, Cacá Diegues, numa co-produção com a TV Cultura, produziu o longa-metragem Veja esta canção, em quatro episódios inspirados na música popular brasileira. Em 96, no ressurgimento dos filmes nacionais, veio Tieta do agreste, depois Orfeu [1999] e, agora, Deus é brasileiro [1993]. Polêmico, criticado, reconhecido e com prêmios importantes no Brasil e no exterior, Cacá Diegues já acumula 16 longas em 42 anos de trabalho, uma filmografia que teve início na utopia do Cinema Novo, no sonho de um país novo. Suas histórias e personagens ajudam a revelar um Brasil rural que virou urbano, que tornou-se violento e mais injusto, que desaventurou-se na política e fez aumentar seus conflitos humanos. Um Brasil que continua oferecendo enredo para qualquer diretor de cinema que quiser falar de desesperança ou de esperança."
24/02/2003,Cacá Diegues,4,[...],[fim do vídeo]
24/02/2003,Cacá Diegues,5,Paulo Markun,"Para entrevistar o cineasta Cacá Diegues, nós convidamos Hugo Sukman, crítico de cinema e repórter especial de cultura do jornal O Globo; Ubiratan Brasil, repórter do Caderno2 do jornal O Estado de S. Paulo; Gustavo Dahl, cineasta e presidente da Agência Nacional do Cinema, a Ancine; Paulo Thiago, cineasta, diretor dos filmes Policarpo Quaresma e Poeta de sete faces; Orlando Senna, secretário do Audiovisual do Ministério da Cultura; e Silvana Arantes, repórter de cinema nacional da folha Ilustrada do jornal Folha de S.Paulo. O Roda Viva é transmitido em rede nacional para todos os estados brasileiros e para Brasília também. Boa noite, Cacá."
24/02/2003,Cacá Diegues,6,Cacá Diegues,Boa noite.
24/02/2003,Cacá Diegues,7,Paulo Markun,Eu queria começar pelo seguinte: você esperava o resultado de bilheteria que o filme deu até o momento?
24/02/2003,Cacá Diegues,8,Cacá Diegues,"Não. Quer dizer, a gente sempre espera que o filme faça sucesso. Eu faço filmes para os outros, eu quero que os outros gostem dos filmes que eu faço, até para gostarem mais de mim. A gente faz filmes para ser amado e eu faço os filmes pensando nos outros, mas um sucesso dessa natureza nunca pode ser esperado. É uma pretensão muito grande você terminar um filme com a certeza de que ele vai fazer um sucesso tão grande quanto o que o [filme] Deus é brasileiro está fazendo."
24/02/2003,Cacá Diegues,9,Paulo Markun,"Eu sei que a primeira resposta sua será certamente dizer que não sabe dizer o motivo desse sucesso, mas no que você imagina que “pegou na veia” o filme?"
24/02/2003,Cacá Diegues,10,Cacá Diegues,"Não, eu acho que eu até sei um pouco o motivo do sucesso. Eu acho que todo sucesso parte da qualidade do filme. Evidentemente, o público precisa gostar do filme para que ele faça sucesso, mas eu acho que há uma porção de outras circunstâncias que aumentam esse sucesso, que inflam esse sucesso, e acho que uma das coisas que aconteceram em relação a Deus é brasileiro é que, embora eu tenha começado a escrever esse filme há três anos, filmei-o há um ano e meio, ele na verdade é lançado, ele surge, coincidentemente, por uma coincidência muito feliz, exatamente num momento que corresponde muito ao espírito dele, um espírito de esperança, uma volta a um gosto pelo Brasil, um retorno à curiosidade pelo Brasil."
24/02/2003,Cacá Diegues,11,Paulo Markun,"O seu plano era lançar no ano passado, até março do ano passado, não é?"
24/02/2003,Cacá Diegues,12,Cacá Diegues,"Março provavelmente não, mas o filme estava marcado para estrear em agosto, setembro do ano passado. Não estreou porque eu atrasei a produção, porque o filme foi todo finalizado em alta definição digital, e isso atrasou um pouco a finalização do filme e aí ele só ficou pronto praticamente em novembro, e dezembro não é uma boa época para esse tipo de filme, porque em dezembro estão passando os filmes infantis, os filmes de férias, e ficou então para janeiro, quando o clima do país é muito parecido, muito semelhante com o que o filme propõe, que é exatamente essa volta ao gosto pelo Brasil, o retorno ao interesse pelo Brasil, à curiosidade pelo Brasil. E também uma certa coisa que eu chamaria de tolerância com a condição humana. Eu acho que os progressos que a humanidade fez, os progressos científicos, os progressos intelectuais que a humanidade fez no século XX fizeram com que a gente, de certo modo, começasse a ter a ilusão de que poderia ser Deus. E nós não somos deuses. Então, essa tolerância com a condição humana que o filme tem de uma maneira muito clara, essa espécie de volta a certos sentimentos básicos, não só os sentimentos básicos fundamentais da humanidade, mas como aqueles que a gente está mais precisando hoje, a solidariedade, o fim da solidão das pessoas, uma maior tolerância entre as diferenças, e essa descoberta de que nós não somos deuses. De certo modo, eu costumo dizer que o filme é um elogio da imperfeição. Eu acho que, no fundo, o que a gente diz é que é possível fazer das nossas fragilidades, das nossas imperfeições a nossa força, ou pelo menos começar daí. Eu acho que tudo isso junto, e esse horizonte iluminado que a gente tem hoje no Brasil, graças à volta da esperança, um sentimento de que o Brasil pode dar certo, e essa vontade de que o Brasil dê certo... e quando eu digo que o Brasil dê certo, significa que nós nos entendamos. Eu acho que tudo isso ajudou muito o sucesso do filme. E são circunstâncias que eu não controlo, que eu não domino. Eu apenas fiz o filme."
24/02/2003,Cacá Diegues,13,Paulo Markun,Nunca pensou nisso quando...?
24/02/2003,Cacá Diegues,14,Cacá Diegues,"Não. É claro que isso aí... [...] Eu pensava sobre isso, mas não sabia que ia coincidir com esse momento. Na verdade, como eu disse, eu comecei a fazer o filme há um ano e meio, quando o Brasil ainda estava meio fora de moda, o pessimismo, o cinismo, o derrotismo eram constantes, pelo menos mais presentes do que são hoje."
24/02/2003,Cacá Diegues,15,Hugo Sukman,"Cacá, quando você fez Bye bye Brasil, minha impressão é de que esse seu diagnóstico do Brasil de hoje era o oposto, quer dizer, os valores básicos, os antigos valores brasileiros seriam irremediavelmente diluídos num progresso, e que esse progresso seria inevitável... uma certa idéia de globalização já naquela época, e agora você fala em volta dos sentimentos básicos. Naquele contexto, você tinha o fim da ditadura, hoje você tem o início de um novo governo. São dois momentos históricos muito marcados. Qual era o seu sentimento na época, quando você fez o Bye bye Brasil, em comparação com o seu sentimento hoje?"
24/02/2003,Cacá Diegues,16,Cacá Diegues,"Essa pergunta tem ocorrido muito com o lançamento do Deus é brasileiro. Você mesmo, no jornal, começou a nossa entrevista fazendo essa pergunta, e eu juro a você que quando eu resolvi fazer Deus é brasileiro, quando eu comecei a escrever o filme, quando eu comecei a ter idéia de fazer esse filme, eu não pensei em Bye bye Brasil, de jeito nenhum. Eu só comecei a pensar em Bye bye Brasil no dia em que eu comecei a filmar. Eu olhei e disse: “Ué, eu estou na estrada, como estive há 23 anos atrás”. Só nesse momento é que me ocorreu que aquele filme tinha um quê familiar de 23 anos atrás. Eu acho que naquela época... claro, passaram-se 23 anos, eu mudei, o Brasil mudou, o mundo mudou, o cinema mudou, tudo mudou, graças a Deus. Nós todos mudamos; temos imaginação suficiente para mudar sempre. Agora, eu acho que o fundamental é que, veja bem, Bye bye Brasil foi um filme feito no final de um período ditatorial em que a realidade brasileira estava proibida. Eu acho que um dos grandes males que a ditadura causou ao Brasil, sobretudo às artes, ao trabalho intelectual no Brasil, foi exatamente esse de exilar a realidade brasileira, ela tornou-se proibida. E, de repente, nós voltávamos a falar do Brasil. E essa volta redundou numa espécie de grande surpresa, porque além da ditadura, estavam acontecendo ali várias outras coisas, inclusive uma modernização agressiva, violenta, muito rápida do Brasil naquele período, e nós todos estávamos meio perplexos em relação àquilo, o que aquilo ia dar. Hoje não, hoje a realidade brasileira, em todos os seus aspectos, está liberada, a gente vem tratando dela já há muito tempo, e já tem um certo conforto em relação a ela. Conforto que eu digo é que a gente não tem muitas dúvidas sobre o que está se passando. Agora, pessoalmente, acho que hoje eu estou mais interessado em civilização do que em progresso. Se houver um confronto entre progresso e civilização, eu fico com civilização. Mas acho que esse confronto também pode ser evitado. Acho que o Brasil viveu aí no século XX, continua a viver de certo modo um conflito meio artificial entre modernização capitalista e romantismo revolucionário. Eu acho que é possível fazer uma modernização revolucionária, e para que isso se faça é preciso partir de certas circunstâncias que são brasileiras, que fazem parte do que a gente poderia chamar de civilização brasileira. Eu acho que é essa a diferença fundamental."
24/02/2003,Cacá Diegues,17,Hugo Sukman,"Você acha que a vitória do Lula [eleito presidente da República em 2002], este novo momento é essa opção pela civilização? Quer dizer, quando naquele momento era uma opção pelo progresso...?"
