DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
05/12/1994,Florestan Fernandes,1,Heródoto Barbeiro,"Boa noite. No início dos anos 1950, quando ainda era um aluno de filosofia, o presidente eleito, Fernando Henrique Cardoso [presidente de 1995 a 2002], foi convidado por um dos seus professores para um chope em um bar no centro de São Paulo. Fernando Henrique preferiu tomar um guaraná, mas aceitou a outra sugestão do professor, e que acabaria por mudar toda a sua vida: a dedicar-se à sociologia. Mas não foi só a cabeça do presidente que se deixou influenciar pela do professor Florestan Fernandes, centro do Roda Viva que começa agora pela Rede Cultura. Deputado federal pelo PT [Partido dos Trabalhadores], professor emérito da Universidade de São Paulo, autor de três dezenas de livros de teoria política, Florestan Fernandes esteve no centro de todas as grandes discussões políticas nos últimos quarenta anos neste país. De origem humilde - chegou a engraxar sapatos para sobreviver -, ele optou pela sociologia por razões econômicas, pois o que considerava sua verdadeira vocação, a engenharia química, só era dada em horário integral e estava além da sua capacidade financeira. Trotskista {Trotskista: Trotskismo: movimento comunista revolucionário, que defende uma revolução permanente e mundial, conduzida pelas classes trabalhadoras, que acabe com o capitalismo e coloque os meios de produção a serviço de toda a humanidade. Para os trotskistas, o Estado tem de desaparecer gradualmente, do contrário tende a se burocratizar. Opõe-se, até a atualidade, ao stalinismo. Inspirado nas idéias de Leon Trotsky, revolucionário russo, que fundou em 1938, em Paris, a IV Internacional, organização considerada por seus membros a herdeira legítima da I Internacional, tentativa de internacionalização do movimento revolucionário operário na forma proposta por Karl Marx (1818-1883 - autor de O Capital) e Friedrich Engels (teóricos do socialismo cujo conjunto de idéias filosóficas, econômicas, políticas e sociais deu origem ao marxismo).} na juventude, marxista {marxista: Conjunto de idéias filosóficas, econômicas, políticas e sociais elaboradas por Karl Marx e Friedrich Engels, expressas na obra O manifesto comunista de 1848. Para eles, a vida social se dá conforme a dinâmica da luta de classes e dos diversos modos de produção. Além disso, a transformação das sociedades se dá de acordo com as leis do desenvolvimento histórico de seu sistema produtivo. Tornou-se base para os sistemas econômicos adotados nos países socialistas. Além disso, no final do século XIX e início do século XX, o marxismo ultrapassou as idéias dos seus precursores e se tornou uma corrente político-teórica que abrange uma ampla gama de pensadores e militantes, nem sempre coincidentes e assumindo posições teóricas e políticas às vezes antagônicas, tornando-se necessário observar as diversas definições de marxismo e suas diversas tendências, especialmente a social-democracia, o bolchevismo e o comunismo de conselhos.} na universidade e, hoje, um auto-denominado “socialista que defende o humanismo”, Florestan Fernandes foi sempre irredutível no que considera serem seus princípios ideológicos. Foi essa postura que o inspirou quando, após a vitória [nas eleições presidenciais de 1994] de seu aluno e amigo, Fernando Henrique Cardoso, escreveu um artigo onde dizia haver sofrido uma decepção imprevista. Florestan Fernandes escreveu o seguinte: “Foi perturbador ver Fernando Henrique conformar-se com o bloco político de sustentação da ditadura e dos paladinos da reação”. Para entrevistar o professor Florestan Fernandes, nós convidamos o jornalista Ottoni Fernandes; também o jornalista Carlos Rydle, que é repórter de política do jornal O Estado de S. Paulo; José Eduardo Faria, editorialista do Jornal da Tarde; Marcelo Beraba, secretário de redação do jornal Folha de S. Paulo; Milton Abrucio, repórter de política do Jornal do Brasil; e também o jornalista Milton Coelho da Graça, da TVE do Rio de Janeiro. Este programa, Roda Viva, é retransmitido ao vivo por outras 27 emissoras de televisão de todo o Brasil. Você pode participar desse Roda Viva através do telefone 252-6525; vou repetir: 252-6525. A Shizuka, a Cristina e a Ana estarão aqui anotando as suas perguntas. Se você preferir, você pode usar o nosso fax, que é o 874-3454. 874-3454. Professor Florestan Fernandes, boa noite!"
05/12/1994,Florestan Fernandes,2,Florestan Fernandes,"Boa noite! [durante a entrevista inteira, ele segura, com a mão esquerda, uma folha de papel dobrada; fala também muito lentamente, com verdadeiras pausas entre as palavras]"
05/12/1994,Florestan Fernandes,3,Heródoto Barbeiro,"Professor, faltando 26 dias para a posse do presidente eleito, Fernando Henrique Cardoso, o senhor vê algum sinal que o novo presidente possa vir a exercer o seu poder de maneira diferente do chamado, velho estilo das elites, como o senhor, inclusive escreveu recentemente no jornal Folha de S. Paulo?"
05/12/1994,Florestan Fernandes,4,Florestan Fernandes,"Bem, a possibilidade existe, mas as circunstâncias são difíceis. A questão é saber se o homem e suas circunstâncias vão poder se harmonizar, coisa que é difícil no cenário brasileiro, principalmente quando se conhece a composição dos partidos conservadores do nosso parlamento. Eu sei que o Fernando Henrique é um homem tenaz, inteligente e deu provas de brilhantismo em todas as atividades em que esteve envolvido. Mas ele não pode fazer como aquele papa que disse: “Papa sou!” Até ser eleito, ele era uma espécie de Maria-vai-com-as-outras, aceitava tudo; mas, assim que se viu investido na condição de papa, ele passou a exercer o poder papal em toda plenitude, de uma maneira autocrática, e aqueles que votaram nele sofreram uma grande decepção. Eu acho isso difícil, por varias razões: porque, quando se fala de direita, se esquece também de condições externas que estão desempenhando um papel muito importante na situação brasileira e que são muito mais difíceis de contornar e de vergar do que os interesses dos políticos fisiológicos e paternalistas, clientelistas brasileiros. De modo que é preciso encarar os problemas através de diferentes variáveis. E, quanto maior for o apoio popular que o Fernando Henrique Cardoso conseguir atrair para si, tanto maior o grau de liberdade que ele poderá ter em relação aos políticos conservadores. Agora, esse grau de liberdade é quase igual a zero no que diz respeito ao exterior. Para mim, a coisa mais preocupante que vem com o governo de Fernando Henrique Cardoso é a aceitação integral - que já foi demonstrada na prática - da influência do FMI [Fundo Monetário Internacional], do Banco Internacional de Desenvolvimento Econômico, do Banco Americano e de várias instituições que têm sido, na América Latina, o braço direito da política econômica dos Estados Unidos e, ao mesmo tempo, sempre em colaboração com os países que estão ligados a outros blocos na Europa e na Ásia. Esse grau de liberdade em relação ao exterior só pode ser aumentado usando um artifício que eu mencionei uma vez, em um velho ensaio que está publicado em Mudanças sociais no Brasil. O Brasil precisaria ter a capacidade de ampliar a sua gama de relações econômicas, culturais e políticas com países das diferentes regiões do mundo. Fernando Henrique Cardoso foi a países que naturalmente poderiam preencher essas condições, mas a visita é uma coisa e a realidade que vai se processar é outra. Agora, eu acho, com toda franqueza, que é muito cedo para nós prognosticarmos o que vai ser o governo Fernando Henrique Cardoso. Governar é como comer um bolo; só depois de comer o bolo é que a gente sabe se ele é bom ou ele é ruim. E ele precisará comer muito bolo para demonstrar qual é a sua capacidade, não só de ingestão, mas de digestão."
05/12/1994,Florestan Fernandes,5,Heródoto Barbeiro,"Está certo. Professor, participa conosco do Roda Viva, o professor Paulo Sérgio Pinheiro, que é professor de ciências políticas da Universidade de São Paulo. Já está aqui conosco. Quero passar a participação, agora, para o jornalista Marcelo Beraba, da Folha de S. Paulo. Marcelo, por favor."
05/12/1994,Florestan Fernandes,6,Marcelo Beraba,"Professor, quando o senhor disse que ficou decepcionado com o presidente eleito, imaginei que o senhor estivesse se referindo basicamente à aliança com o PFL [Partido da Frente Liberal; a partir de 2008, Democratas] feita para vencer a eleição. É isso? Esse é o ponto que o decepcionou na campanha do Fernando Henrique? E qual é a interpretação que o senhor faz da eleição? Por que foi possível ele vencer a eleição de uma maneira relativamente fácil, mesmo diante de um PT que vinha bem?"
05/12/1994,Florestan Fernandes,7,Florestan Fernandes,"Realmente, ele tem a personalidade própria para o papel que iria desempenhar..."
05/12/1994,Florestan Fernandes,8,Marcelo Beraba,Physique du rôle? [do francês: jeito adequado de desempenhar um papel]
05/12/1994,Florestan Fernandes,9,Florestan Fernandes,"Physique du rôle. Mas eu estava fazendo um comentário restrito ao Brasil. Mas tarde, eu fiz outros comentários que incidiam - como recentemente escrevi um - sobre globalização e “neoliberalismo” - “neoliberalismo” entre aspas. E não atribuí ao presidente da República qualquer conluio com forças externas adversas ao Brasil. Mas não é preciso levar a imaginação tão longe, porque nós sabemos que esse modelo de desenvolvimento econômico que está sendo posto em prática hoje é um modelo de alta concentração da riqueza, da cultura e do poder nos países centrais. Enquanto que a indústria que nasceu da substituição de importações [entre os anos 1930 e 1980] dependia da montagem de uma infra-estrutura de montagem econômica - e, embora nós tenhamos comprado fábricas e tecnologias obsoletas, nós estávamos transplantando para o Brasil técnicas de produção que nós não tínhamos -, hoje é muito difícil, quando se considera a tecnologia avançada de hoje, é impossível pensar que os países centrais vão jogar na periferia essa tecnologia. E os países da periferia vão ter o seu papel redefinido. Eles não vão ser só dependentes: eles vão ter nexos neocoloniais; vai haver uma interação dialética entre dependência e nexos neocoloniais que vão sufocar a capacidade produtiva original dos países..."
05/12/1994,Florestan Fernandes,10,Marcelo Beraba,"Com o Fernando Henrique, o senhor acha que o Brasil está fadado a isso?"
