DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
12/12/2005,Geraldo Alckmin,1,Paulo Markun,"Boa noite. Conhecido pelo perfil discreto, de fala curta e calma, ele investiu, nos últimos anos, na imagem de gerente para firmar uma carreira política iniciada como vereador, depois prefeito, deputado, mais tarde vice-governador e governador. Agora, quem sabe, presidente da República. Ele tem fugido como pode da conversa dizendo que isso é assunto para 2006, mas agora só faltam 20 dias para 2006. O Roda Viva entrevista esta noite o governador de São Paulo Geraldo Alckmin, que entra na reta final de seu governo como um dos nomes fortes do PSDB [Partido da Social Democracia Brasileira] para a disputa presidencial do ano que vem."
12/12/2005,Geraldo Alckmin,2,[Comentarista],"Geraldo Alckmin é novo para o veterano que é: 53 anos de idade e 34 de política. Paulista de Pindamonhangaba, no Vale do Paraíba, foi vereador aos 19 anos e prefeito aos 24. Médico anestesista, seguiu carreira política elegendo-se deputado estadual e duas vezes deputado federal. Foi um dos fundadores do PSDB e despontou como vice na chapa vitoriosa de Mário Covas {Mário Covas: (1930-2001) Iniciou a carreira política nos tempos de faculdade, tendo sido vice-presidente da União Nacional dos Estudantes em 1955, quando cursava engenharia na USP. Foi deputado federal no início dos anos 1960 pelo Partido Social Trabalhista (PST) e, em 1965, ajudou a fundar o Movimento Democrático Brasileiro (MDB), partido de oposição no regime militar. Com a instauração do AI-5 na presidência de Costa e Silva, foi cassado e perdeu os direitos políticos por dez anos. Nos anos 1980 foi um dos fundadores do Partido do Movimento Democrático Brasileiro (PMDB), sucessor do MDB. Foi prefeito de São Paulo e depois, no Senado, participou da elaboração da Constituição de 1988. Em 1994, foi eleito governador de São Paulo com o vice Geraldo Alckmin, cargo que exerceu por dois mandatos consecutivos, até 2001, quando faleceu vítima de câncer na bexiga. Seu governo foi marcado por um acentuado corte de gastos para recuperar os cofres do estado, privatizações de empresas como a Eletropaulo, o Banespa e a Fepasa, e de importantes rodovias, além da resistência contra a greve salarial dos professores.} ao governo paulista, em 1994, mesma chapa reeleita em 1998. Com a doença e morte de Covas em 2001, Alckmin assumiu o cargo, sendo reeleito em 2002. Herdeiro político de Mário Covas, foi se afastando da imagem do ex-governador, imprimindo marca pessoal à sua administração, mas mantendo a obsessão de Covas no controle das finanças do estado. Vem exibindo, nos balanços anuais da Secretaria da Fazenda, resultados que demonstram o cumprimento da lei de responsabilidade fiscal e melhorias na arrecadação e no combate à sonegação. No site do governo paulista na internet, estão destacadas as obras que devem marcar seu governo. Entre elas, a recuperação de rodovias, o projeto Tietê de despoluição e combate às enchentes do rio na grande São Paulo, o Rodoanel [é uma estrada que está sendo construída em torno da região metropolitana de São Paulo com o objetivo de diminuir o trânsito da cidade. A previsão para o fim das obras é 2014], agora em fase de licenciamento ambiental para a construção do trecho sul, as novas obras do metrô, prolongamento da linha 2 e início de construção da linha 4. Mas a despeito das realizações, o governador tem enfrentado críticas em áreas tradicionalmente sensíveis. Na Assembléia Legislativa, vários pedidos de instalação de CPIs [Comissões Parlamentares de Inquérito] estão parados. A oposição acusa a bancada de apoio ao governo de barrar as investigações. No mapa da violência, São Paulo voltou a liderar, pelo quinto ano consecutivo, o ranking das 100 cidades mais violentas do país. A Febem [Fundação Estadual para o Bem-Estar do Menor. Foi fundada em 1979 com o objetivo de promover a ressocialização do menor infrator na sociedade. Atualmente, chama-se Fundação Casa, ligada ao governo estadual e vinculada à Secretaria de Assistência e Desenvolvimento Social], velha pedra no sapato do governo paulista, registrou mais de 30 rebeliões este ano. Na última, um interno morreu e mais de 50 pessoas ficaram feridas. O governador Geraldo Alckmin cobrou ações do Ministério Público e criticou entidades não governamentais que não colaboram com o governo, mas também recebeu críticas pelo atraso na construção de 41 novas unidades da Febem prometidas para 2005. De olho em seu último ano de governo, Geraldo Alckmin centra as atenções em seus projetos estratégicos e busca firmar a imagem de eficiência em gestão, armas úteis em campanhas eleitorais e que também serão exibidas pelos adversários internos: o prefeito paulistano, José Serra e o governador mineiro Aécio Neves [eleito governador de Minas Gerais em 2002 e em 2006], também potenciais candidatos do PSDB às eleições presidenciais em 2006 [nessas eleições, Alckmin foi o candidato do partido e perdeu para Luiz Inácio Lula da Silva no segundo turno. Lula foi eleito presidente do Brasil em 2003 e reeleito na eleição seguinte]. A crise política, com o conseqüente desgaste do governo Lula, fortaleceu a esperança do PSDB na disputa eleitoral, mas o primeiro passo é enfrentar a disputa interna. Qual dos três nomes o partido vai escolher? A decisão deve ocorrer antes de março, que é o prazo para o indicado deixar o atual cargo e entrar em campanha."
12/12/2005,Geraldo Alckmin,3,Paulo Markun,"Para entrevistar o governador de São Paulo, Geraldo Alckmin, nós convidamos: Paulo Moreira Leite, repórter especial do jornal O Estado de S. Paulo; Rodolfo Lago, colunista e repórter especial do jornal Correio Brasiliense; Teresa Cruvinel, colunista do jornal O Globo; José Paulo Kupfer, chefe de redação do jornalismo da TV Cultura; Fernando Barros e Silva, editor de política do jornal Folha de S. Paulo; Guilherme Evelin, editor do Brasil da revista Época e Marcelo Carneiro, repórter de política da revista Veja. Também tem a participação no programa o cartunista Paulo Caruso, que registra com seus desenhos os momentos e os flagrantes do programa. Boa noite, governador."
12/12/2005,Geraldo Alckmin,4,Geraldo Alckmin,"Boa noite, Markun."
12/12/2005,Geraldo Alckmin,5,Paulo Markun,"Como este programa já é parte da história do Brasil, e eu tenho muita satisfação de dizer isso, ele tem 19 anos, mais de 1000 programas realizados, a primeira pergunta é a seguinte: o senhor é candidato a presidente da República?"
12/12/2005,Geraldo Alckmin,6,Geraldo Alckmin,Sou.
12/12/2005,Geraldo Alckmin,7,Paulo Markun,Boa resposta [risos]. Como é que o senhor faz? Excelente resposta [risos]. Como é que o senhor faz... [sendo interrompido]... só um pouquinho. Como é que o senhor pretende cimentar essa fase da disputa interna?
12/12/2005,Geraldo Alckmin,8,Geraldo Alckmin,"Olha, eu entendo que o PSDB deva decidir juridicamente no mês de julho, que é o mês das convenções por lei, que se lança a candidatura, homologa candidatura e juridicamente passa a ter candidato. Mas há uma data anterior, que é a chamada data da desincompatibilização. Quem é governante precisa se desincompatibilizar se quiser ser candidato. Eu diria que até março, mais ou menos, o PSDB deve definir a sua candidatura, não há razão para fazê-lo agora, mas acredito que no início do ano que vem, primeiro trimestre do ano que vem, o PSDB decidirá."
12/12/2005,Geraldo Alckmin,9,Teresa Cruvinel,"Governador, já que o senhor está sendo tão franco, vamos usar a prerrogativa aqui hoje. Vamos a uma questão que também vai interferir nesse processo de escolha do candidato: nós sabemos que o quê o PSDB está fazendo em relação à reeleição, pregando o fim da reeleição, não é apenas porque constatou os defeitos da reeleição, aqueles argumentos que o PSDB usava com tanta convicção, em 1997, de que a reeleição era ótima para o país, permitia aos investidores ter um cenário de longo prazo para programarem a vida administrativa do país. Todos esses argumentos hoje estão arquivados e o PSDB quer acabar com a reeleição argumentando que a experiência foi ruim. Nós sabemos que isso embute uma estratégia de facilitar, convencer o senhor e o governador Aécio Neves de que vocês podem esperar, que o prefeito José Serra pode ser candidato agora porque, não havendo reeleição, daqui a quatro anos vocês, os dois, terão também uma chance. Um ou outro ou um depois do outro. Eu quero saber se o senhor apoiará esse movimento que o PSDB está fazendo, já está até conversando com o PT [Partido dos Trabalhadores] e outros partidos, para encerrar a experiência da reeleição."
12/12/2005,Geraldo Alckmin,10,Geraldo Alckmin,"Olha, eu acho muito cedo nós analisarmos, concluirmos, se a reeleição foi boa ou ruim. Nós tivemos um presidente reeleito. É muito cedo para se tirar uma conclusão em relação a isso. A reeleição não obriga reeleger ninguém. A reeleição dá ao eleitor mais um direito: “Olha, se você quiser, pode reeleger”. Não é obrigatório. Aliás, precisa ser um grande governo para reeleger. O argumento da possibilidade de planejamento maior é verdadeiro. Nos Estados Unidos se faz o seguinte: a pessoa é eleita, o presidente é eleito por oito anos, sendo confirmado na metade. Pode, se não tiver bem, sair no meio, mas é eleito por oito, praticamente. Eu acho que é cedo para se concluir: “Olha a reeleição não deu certo”."
12/12/2005,Geraldo Alckmin,11,Guilherme Evelin,"Então, o senhor é contra essa mexida aí que está sendo proposta? Tem até uma emenda do deputado..."
12/12/2005,Geraldo Alckmin,12,Geraldo Alckmin,"[interrompendo] Evelin, primeiro eu sou contra para o atual presidente da República. Eu acho que não teria o menor sentido tirar do presidente Lula o direito de disputar a reeleição."
12/12/2005,Geraldo Alckmin,13,Guilherme Evelin,"É, mas a proposta é para 2008."
12/12/2005,Geraldo Alckmin,14,Geraldo Alckmin,"Para o futuro. Eleição com quatro anos e não ter reeleição me parece muito pouco. Eleição com cinco anos é discutível. Eu entendo que é cedo para você poder concluir que a reeleição não é boa. Eu entendo que a população está extremamente madura. Se você tiver um bom governo, porque não reelegê-lo?"
12/12/2005,Geraldo Alckmin,15,Fernando Barros e Silva,"Governador, o seu adversário interno real é o Serra, como todos sabemos. O senhor disse em uma entrevista, no dia 3 de novembro do ano passado, logo depois que ele foi eleito prefeito, que seria inadmissível que ele se candidatasse à presidência, que isso estava fora de cogitação. Não está mais fora de cogitação. Eu quero saber se o senhor continua achando inadmissível."
12/12/2005,Geraldo Alckmin,16,Geraldo Alckmin,"Olha, deixa eu colocar primeiro uma coisa: eu acho muito bom o partido ter várias e boas opções. Isso é bom para o PSDB, é bom para o Brasil, é bom para a democracia, ninguém deve ser escolhido por “wo” [acrônimo da palavra inglesa without que significa que uma disputa foi ganha pela ausência de um dos oponentes, seja numa partida esportiva ou numa convenção partidária]. Ninguém quer ser tão... Você sabe, eu acho muito bom você poder ter várias opções. Eu acho que o partido vai poder errar menos, acertar mais, escolher bem. Eu não posso responder pelo prefeito, eu respondo por mim. Quero ser candidato, estou animado, vou trabalhar para isso. Eu acho que o Brasil está preparado para dar um grande salto de qualidade, sair desse marasmo. Não quero ser presidente por ser, para mudar “status quo”, para não mudar as coisas. Quero ser presidente para fazer as reformas que o Brasil não fez. No mundo, no nosso tempo, onde a marca é a mudança, a velocidade da mudança, nós temos que fazer reforma tributária, cortar gasto público, temos um problema fiscal grave. O brasileiro trabalha janeiro, fevereiro, março, abril [pontuando com os dedos], um pedaço de maio para sustentar o governo. A conta não fecha, você tem déficit nominal, gasta muito e gasta mal. Nós mostramos aqui em São Paulo que é possível cortar imposto e você fazer mais, você investir mais."
12/12/2005,Geraldo Alckmin,17,Fernando Barros e Silva,"Governador, só insistindo em um ponto, o senhor acha que o prefeito deveria concluir o mandato? Eu vou insistir, vou ser bem objetivo. Eu quero uma resposta objetiva, na medida do possível."
12/12/2005,Geraldo Alckmin,18,Teresa Cruvinel,Igual aquela: “Sou”.
12/12/2005,Geraldo Alckmin,19,Geraldo Alckmin,"Eu posso responder por mim, eu não posso responder pelo prefeito. O Serra, depois ele responde."
12/12/2005,Geraldo Alckmin,20,Teresa Cruvinel,"O senhor admite a candidatura dele? O senhor achava inadmissível. O senhor admite, por exemplo, ir a uma prévia com ele, então?"
12/12/2005,Geraldo Alckmin,21,Geraldo Alckmin,"Você vê aqui que querem me intrigar com o Serra [risos]. Na realidade, o Serra responde, ele tem dito “n” vezes que não é candidato, não há nenhuma razão para achar que isso não é verdadeiro. Sou candidato e vou trabalhar porque acredito que o país está preparado para dar um salto."
12/12/2005,Geraldo Alckmin,22,Paulo Moreira Leite,"Governador, deixa eu lhe perguntar, dar um parabéns aí pela franqueza: “Sou candidato”, é uma coisa muito boa. Agora, o Markun, na introdução, falou na imagem de gerente do senhor. E eu queria, assim... o senhor tem uma imagem de gerente, e a gente sabe que gerente talvez para presidente da República é pouco. Gerente pode funcionar no banco, pode funcionar na prefeitura, pode funcionar no governo do estado, agora, para ser candidato a presidente tem que ser um pouco mais que gerente. Como é que o senhor acha que está preparado para isso, como é que o senhor acha que dá para isso, de onde vem a convicção aí de que o senhor é candidato?"
12/12/2005,Geraldo Alckmin,23,Geraldo Alckmin,"Olha, primeiro, a experiência acumulada. Você não vai dirigir, pilotar um airbus, sem antes ter passado por um monomotor, por um bimotor. Isso se aprende, são experiências acumuladas na vida. Eu fui prefeito da minha cidade natal com 23 anos de idade. Seis anos prefeito, em oposição, no tempo do “manda brasa”, do MDB [Movimento Democrático Brasileiro. Era um partido de oposição ao governo na época da ditadura, com integrantes provenientes de vários movimentos da esquerda brasileira e vasta diversidade ideológica, foi apelidado de “manda brasa” por seus integrantes e simpatizantes], em oposição ao governo do estado e ao governo federal. Quando o governo queria cooptar todos, nós criamos uma frente de resistência. Laerte Mendes [morto em 1976] morreu, prefeito de Matão, nós o homenageamos. Ficamos 33 prefeitos resistindo, perto de 600 prefeitos, deputado estadual, deputado federal. Fui co-piloto de um grande comandante, o governador Mário Covas. Não tinha teoria, era aula prática. Depois de seis anos como co-piloto, seis anos no governo do estado. São Paulo é um país, é maior que a Argentina, população de mais de 40 milhões de pessoas. Todo mundo conhece os problemas, problemas é juros alto, é carga tributária alta, é câmbio ruim, são as burocracias [pontuando com os dedos], o problema é como resolver. Mas nós temos a prática, nós fizemos. O estado de São Paulo estava falido em janeiro de 1995. O governador Mário Covas não conseguiu pagar a folha. O estado hoje reduz imposto e vai investir nove bilhões no ano que vem."
12/12/2005,Geraldo Alckmin,24,Paulo Moreira Leite,"Governador, sem tirar nenhum mérito do governo, a questão é: são questões de outro nível."
12/12/2005,Geraldo Alckmin,25,Geraldo Alckmin,"Mas é óbvio. É óbvio, claro."
12/12/2005,Geraldo Alckmin,26,Paulo Moreira Leite,São questões de nação.
12/12/2005,Geraldo Alckmin,27,Geraldo Alckmin,"Claro, mas é óbvio. Esta questão de gerente, isso aí foi um amigo numa convenção do PSDB. Inadvertidamente, tenho alguns “amigos da onça” [referência ao personagem de quadrinhos que coloca “amigos” em apuros], que lançou..."
12/12/2005,Geraldo Alckmin,28,Paulo Moreira Leite,"[interrompendo] Na época era bom, né?"
12/12/2005,Geraldo Alckmin,29,Geraldo Alckmin,"Eu acho que ele imaginou presidente com gerente, achou que rimava, tal, mas é ótimo."
12/12/2005,Geraldo Alckmin,30,José Paulo Kupfer,"Dá uma chance para cá [para o outro lado da bancada]. O senhor é candidato e já está falando que precisa fazer reforma tributária, reforma trabalhista, reforma disso, reforma aquilo. Quer dizer que os juros, o senhor só vai baixar, como presidente, depois disso tudo?"
12/12/2005,Geraldo Alckmin,31,Geraldo Alckmin,"Não. A política econômica está errada. Errada. Como não tem credibilidade, não tem confiança, ela está sendo monitorada de forma errada. Se eu pudesse definir o governo Lula, eu diria o seguinte: é o governo de perda de oportunidades. Perdeu todas as oportunidades, deixou passar todas as oportunidades. Juros, está errado. Agora, você vai só..."
12/12/2005,Geraldo Alckmin,32,José Paulo Kupfer,[interrompendo] Estava certo antes?
12/12/2005,Geraldo Alckmin,33,Geraldo Alckmin,Como?
12/12/2005,Geraldo Alckmin,34,José Paulo Kupfer,Estava certo antes?
12/12/2005,Geraldo Alckmin,35,Geraldo Alckmin,"Momento diferente, momentos diferentes. O presidente Fernando Henrique primeiro estabilizou a moeda, plantou uma árvore. A minha geração não sabia o que era a moeda estável. Depois, além de estabilizar a moeda, enfrentou quatro crises internacionais. É evidente que essa taxa de juros está errada. Como é que os países emergentes..."
12/12/2005,Geraldo Alckmin,36,José Paulo Kupfer,"[interrompendo] O senhor acha que pode baixar ela num ato de vontade, não demais, mas é um ato político baixar a taxa de juros?"
12/12/2005,Geraldo Alckmin,37,Geraldo Alckmin,"Não. Por isso que eu citei o seguinte, nós temos o quê? Um círculo vicioso: juros altos, carga tributária alta. Há um problema fiscal grave, que está na gênese de muitos dos nossos problemas."
12/12/2005,Geraldo Alckmin,38,José Paulo Kupfer,"[interrompendo] Provocado, em parte, pelos juros altos."
