DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
30/04/1990,Helio Jaguaribe,1,Jorge Escosteguy,"Boa noite! Estamos começando mais um Roda Viva pela TV Cultura de São Paulo. Este programa é transmitido ao vivo pelas TVs Educativas de Porto Alegre, Minas Gerais, Espírito Santo, Piauí, TV Cultura de Curitiba e TV Cultura do Pará. É ainda retransmitido por mais 15 emissoras que formam a Rede Brasil através da TVE, no Rio de Janeiro. O convidado desta noite é o professor e cientista político Helio Jaguaribe. Você, que está nos assistindo em casa, se quiser fazer perguntas por telefone, pode chamar 252-6525 e 252-6525. A Bernadete, a Iara e a Edna estão anotando suas perguntas. Para entrevistar Helio Jaguaribe esta noite no Roda Viva, nós convidamos os seguintes jornalistas: Marcelo Beraba, editor de política da Folha de S. Paulo; Luís Weis, editor-chefe da revista Superinteressante, da Editora Abril; Mauro Chaves, editorialista do jornal O Estado de S. Paulo e comentarista político da rádio Eldorado; José Antônio Severo, jornalista da Gazeta Mercantil; José Carlos Bardawil, editor de política da revista IstoÉ Senhor; Ivan Ângelo, editor-chefe do Jornal da Tarde; Luiz Lanzetta, chefe de redação da TV Cultura de São Paulo. Além desses jornalistas, nós também convidamos o cientista político e professor da USP [Universidade de São Paulo], Celso Lafer, autor, entre outras coisas, do livro A reconstrução dos direitos humanos, sobre o pensamento de Hannah Arendt. Para registrar os melhores momentos do programa, está conosco também o cartunista Paulo Caruso. Na platéia, assistem ao programa convidados da produção. O professor e cientista político Helio Jaguaribe, 65 anos, é um dos mais conhecidos intelectuais brasileiros. Sua produção científica reflete os diversos períodos da vida política brasileira desde os anos 50. Foi fundador e é decano do Instituto de Estudos Políticos e Sociais (Iepes). Foi um dos pais da ideologia do desenvolvimento nacionalista. Em 1964, Jaguaribe deixou o Brasil para morar nos Estados Unidos. Lá, lecionou nas universidades de Harvard e Stanford e no Michigan Institute of Technology. Social-democrata, é filiado ao PSDB [Partido da Social Democracia Brasileira] e autor do documento que recomendou a participação do partido no governo Collor {governo Collor: Fernando Collor de Mello foi o primeiro presidente da República eleito pelo voto direto após o regime militar, em 1989, após carreira política que havia culminado com a eleição para governador de Alagoas com fama de “caçador de marajás” (funcionários de altos salários e pouco trabalho). Seu governo foi marcado pela implementação do Plano Collor (que visava conter a inflação e que consistiu, basicamente, na retirada maciça de moeda de circulação por meio do bloqueio de valores depositados em contas bancárias), pela abertura do mercado nacional às importações e pelo início do Programa Nacional de Desestatização. Durante seu mandato, costumava fazer exibições de vigor físico, como fazer cooper, pilotar avião supersônico e andar de jet-ski. Renunciou ao cargo em razão de um processo de impeachment fundamentado em acusações de corrupção. Teve seus direitos cassados por oito anos e só seria eleito para cargo público novamente em 2006, tomando posse como senador por Alagoas, em 2007.} de Mello. Suas publicações dão ênfase a algumas preocupações permanentes ligadas ao futuro do Brasil. Helio Jaguaribe publicou Brasil, 2000: por um novo pacto social e a coletânea Brasil: reforma ou caos. De acordo com ele, o país viverá, nos próximos cinco anos, um período definidor: ou supera seus males para firmar-se como uma nação equilibrada e democrática ou será o caos. Boa noite, professor."
30/04/1990,Helio Jaguaribe,2,Helio Jaguaribe,Boa noite!
30/04/1990,Helio Jaguaribe,3,Jorge Escosteguy,"Diante dos últimos... “acontecimentos”, vamos dizer assim, no Brasil [o Plano Collor {Plano Collor: Plano econômico lançado em 1990 pelo presidente Fernando Collor de Mello para conter a inflação galopante, que chegara a mais de 82% em março de 1990. Para isso, além de introduzir uma nova moeda, o cruzeiro, impôs um congelamento de preços. Para impedir que o superaquecimento da economia frustrasse o congelamento, como aconteceu com os anteriores, bloqueou contas correntes e investimentos bancários. Além disso, para reduzir o deficit público, aumentou os impostos, extinguiu incentivos fiscais, demitiu funcionários públicos em massa e instituiu o Programa Nacional de Desestatização (PND). Finalmente, para tornar a economia mais competitiva, instituiu a Política Industrial e de Comércio Exterior (PICE), que reduziu as alíquotas de importação - o que gerou crises nas indústrias brasileiras. O Plano Collor resultou na maior recessão da história do Brasil. A inflação voltou e, em 1991, foi lançado o Plano Collor II, caracterizado por uma política financeira de juros elevados - que também não teve sucesso.} foi anunciado em 16 de março de 1990, um mês e meio antes da entrevista], nós estamos mais perto do equilíbrio ou do caos?"
30/04/1990,Helio Jaguaribe,4,Helio Jaguaribe,"Bem, eu diria que nós saímos do caos, mas ainda não atingimos o equilíbrio. O país estava, realmente, na iminência de uma hiperinflação {hiperinflação: Entre meados da década de 1980 e 1993, o Brasil viveu um período de inflação muito alta e, em muitos momentos, “galopante” (aumentava muito rapidamente): no pior período, em outubro de 1989, a inflação do Índice Nacional de Preços ao Consumidor (INPC) aumentou em 38,76%; em março, em 82,18%. Entre 1986 e 1991, o governo tentou controlar a inflação com diversos planos econômicos, a maior parte deles usando congelamento de preços. Houve cinco congelamentos e a moeda foi mudada cinco vezes no período. O Plano Collor, de 1990, chegou a confiscar a poupança de toda a população por doze meses para evitar o superaquecimento da economia. Os preços só se estabilizaram a partir de julho de 1994, com o Plano Real.} explosiva nos últimos dias do governo [José] Sarney [1985-1990]. Não pode haver nenhuma dúvida quanto ao fato de que, se o governo Collor não tivesse iniciado, no primeiro momento de sua administração, um conjunto de medidas absolutamente drásticas, que tivessem, entre outros resultados, a capacidade de produzir uma imediata reversão das expectativas, o país mergulharia no caos da hiperinflação."
30/04/1990,Helio Jaguaribe,5,Luís Weis,"Professor, eu pergunto..."
30/04/1990,Helio Jaguaribe,6,Jorge Escosteguy,"Luís Weis, por favor [todos os entrevistados têm, antes de falar, seu nome citado por Jorge Escosteguy, para dar-lhes a palavra]."
30/04/1990,Helio Jaguaribe,7,Luís Weis,"O senhor, há pouco, falava na existência de utopias viáveis e utopias inviáveis."
30/04/1990,Helio Jaguaribe,8,Helio Jaguaribe,Certo.
30/04/1990,Helio Jaguaribe,9,Luís Weis,"No seu modo de ver, será uma utopia viável ou inviável, no Brasil, atacar um problema do porte da hiperinflação e fazer uma reforma modernizadora do Estado sem agredir a lei nem ofender a cidadania, como está acontecendo hoje?"
30/04/1990,Helio Jaguaribe,10,Helio Jaguaribe,"A pergunta é interessante. Certamente, as utopias se dividem entre viáveis e inviáveis. Eu creio que não escapará a nenhum brasileiro o fato de que a proposta de modernizar o Brasil, arrancá-lo do subdesenvolvimento e conduzi-lo à condição de uma sociedade moderna, equânime e democrática é uma utopia altamente viável. Eu diria mesmo que não chega nem a ser utopia, é um objetivo de realização eminentemente possível. Agora, eu não negaria o fato de que a transição de um país que estava absolutamente à beira de uma hiperinflação explosiva, com uma taxa superior a oitenta e tantos por cento ao mês, e, por outro lado, um país que tem - aí, sim - uma Constituição marcada por alguns traços de utopia, nem todas viáveis, ele [o país] teria alguma dificuldade em conseguir superar essa situação extremamente difícil se, por um lado, não produzisse alguns sacrifícios na população e se, por outro lado, ele não tivesse uma certa capacidade de contornar, sem ferir, alguns dispositivos legais."
