DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
08/05/2000,Henry Philippe Reichstul,1,[...],[Programa ao vivo]
08/05/2000,Henry Philippe Reichstul,2,Paulo Markun,"Boa noite. Ele comanda a maior multinacional brasileira, um gigante estatal que já foi monopólio, que agora tem o desafio de transformar na maior companhia de petróleo da América Latina e em uma das principais empresas de energia no mundo. O Roda Viva entrevista esta noite Henry Philippe Reichstul, o presidente da Petrobras. Francês naturalizado, esse economista já participou da administração de grandes empresas estatais. No ano passado assumiu a presidência da Petrobras para virar a companhia de ponta cabeça. No começo deste ano, enfrentou o maior desastre ecológico já provocado pela empresa em seus quase cinqüenta anos, que foi o vazamento de óleo na Baía de Guanabara. O acidente levou a Petrobras a rever a política de proteção ambiental, e Reichstul agora conduz a mega empresa de 36 mil funcionários de modo a transformá-la de empresa de petróleo em empresa de energia, de empresa doméstica em empresa internacional, de corporação pesada e quase monopolista a uma firma ágil e preocupada com o lucro como todas as companhias. Para entrevistar o presidente da Petrobras nós convidamos a jornalista Célia de Gouveia Franco, editora de Brasil do jornal Valor; Chico Santos, repórter de Economia da Folha de S. Paulo; Carlos Alberto Sardenberg, comentarista do programa Opinião Nacional da TV Cultura; Sônia Racy, colunista do jornal O Estado de S. Paulo e da Rádio Eldorado; o vereador do Partido Verde, no Rio de Janeiro, Alfredo Sirkis, vice-presidente da ONG Onda Azul, e a editora executiva da revista Exame, Nely Caixeta."
08/05/2000,Henry Philippe Reichstul,3,Paulo Markun,"Boa noite, presidente."
08/05/2000,Henry Philippe Reichstul,4,Henry Philippe Reichstul,Boa noite.
08/05/2000,Henry Philippe Reichstul,5,Paulo Markun,Acompanhando aí o material que registra a sua participação nesse... Já fez um ano de Petrobras?
08/05/2000,Henry Philippe Reichstul,6,Henry Philippe Reichstul,"Já, um ano e dois meses."
08/05/2000,Henry Philippe Reichstul,7,Paulo Markun,"Um ano e dois meses. E descontada mesmo a questão do acidente ecológico, sobre o qual certamente nós vamos falar, me resta uma pergunta. Qual é ou qual tem sido o maior desafio para o senhor: é mudar a mentalidade da corporação, é mudar a estrutura de funcionamento da Petrobras? Ou é se adaptar para comandar uma empresa desse tamanho?"
08/05/2000,Henry Philippe Reichstul,8,Henry Philippe Reichstul,"Olha, eu acho que é o conjunto dessas várias coisas. Eu acho que o setor de petróleo, quer dizer, a economia brasileira, o país, está vivendo um período de transição importante, e no setor de petróleo a Petrobras está vivendo essa transição. Então, a transformação da empresa que viveu durante mais de quarenta anos numa estrutura de monopólio, que a protegia de uma certa forma, mas com o tempo passou a atrapalhá-la também... E transformar essa empresa em uma empresa que seja bem sucedida num mercado competitivo vai implicar em mexer na estrutura da empresa, na cultura da empresa; vai mexer nos procedimentos, nas práticas de negócios. Enfim, vai mexer em tudo da empresa."
08/05/2000,Henry Philippe Reichstul,9,Paulo Markun,"Agora, a Petrobras sempre teve, apesar dessa característica monopolista, ou talvez até por causa disso, uma imagem positiva, não é? Imagino que se perguntar para o cidadão comum o que ele acha da Petrobras ele acha, em primeiro lugar, que a Petrobras é bacana, para usar um jargão popular. Em segundo lugar, que ela funciona direito; e em terceiro lugar, que ela é um patrimônio brasileiro. Tanto assim que as iniciativas tímidas aí do governo de falar em privatização da Petrobras e tal, imediatamente recuou dessa hipótese, e já colocou “não, isso não é para agora, é mais para diante”, porque não colou bem. Essa visão que o público, que o leigo tem da Petrobras confere com a realidade, a Petrobras é realmente uma empresa que merece, é motivo de orgulho para o brasileiro?"
08/05/2000,Henry Philippe Reichstul,10,Henry Philippe Reichstul,"Eu acho que com certeza. Eu acho que não há uma necessidade histórica de um país como o nosso ter uma Petrobras. Ela foi construída com muito trabalho, sangue, suor e tecnologia dos brasileiros. Então, eu acho que ela é uma empresa que conseguiu ter uma liderança na área de águas profundas, que foi em função da própria realidade brasileira, pois nós achamos pouco petróleo em terra, e nós tivemos que ir para o mar que é um processo muito mais custoso, mais difícil tecnologicamente falando. E a Petrobras conseguiu ter uma liderança clara nessa tecnologia de águas profundas que é reconhecida por todas as grandes empresas do mundo. A Petrobras conseguiu ter sucessivos aumentos de produção de petróleo, hoje nós estamos produzindo dois terços do consumo nacional, enfim, ela claramente é um motivo de orgulho para todos nós. Agora ela..."
08/05/2000,Henry Philippe Reichstul,11,Sônia Racy,Presidente...
08/05/2000,Henry Philippe Reichstul,12,Henry Philippe Reichstul,"Só um minutinho. Por outro lado, ela precisa ser transformada para ficar melhor ainda, para ter um sucesso empresarial num mercado competitivo. E ela tem todas as condições, eu acho, para ela ser bem sucedida."
08/05/2000,Henry Philippe Reichstul,13,Paulo Markun,"Eu vou pedir... desculpa, normalmente eu procuro democratizar aí as perguntas evidentemente, mas eu queria insistir neste ponto. Tudo bem, se ela é um orgulho para os brasileiros e se ela funcionou durante tanto tempo - quase cinqüenta anos - dessa maneira, o que mudou na realidade que faz com que hoje em dia tenha que mudar, tenha que fazer parcerias... Enfim, [por que] que ela tem que ficar parecida com as outras companhias, por que ela deixa de ser aquela Petrobras do passado?"
08/05/2000,Henry Philippe Reichstul,14,Henry Philippe Reichstul,"Isso foi uma decisão de governo, da sociedade brasileira de promover uma abertura, uma globalização, uma maior inserção do Brasil na economia internacional. E essa maior inserção se dá no nível micro abrindo os vários mercados. Então foi uma decisão tomada em 1997, depois de um longo debate, que acabou com o monopólio da Petrobras. Ela passou então a ter as mesmas condições de atuação - não totalmente iguais ainda, porque ainda falta liberar ainda importação de gasolina e diesel - mas em princípio ela está caminhando para um regime de plena concorrência. Então essa decisão veio de um debate que aconteceu e está trazendo para o país uma série de benefícios também, porque o fato de você ter outros investidores procurando petróleo, gás, atuando no mercado de energia, eu acho que é bom para o país. E para a Petrobras não é ruim. Eu acho que ela tem todas as condições de competir com sucesso e ser vencedora, mesmo com concorrentes. Nós, este ano, por exemplo, já assinamos mais de 35 parcerias joint ventures [modelo estratégico de parceria empresarial para alcançar objetivos comuns, em que há união legal entre duas empresas sem que haja necessariamente subordinação societária], com mais de trinta empresas, e nós estamos ampliando o leque de investimento e, para o país, a probabilidade de encontrar mais petróleo, aumentar a produção, aumenta."
08/05/2000,Henry Philippe Reichstul,15,Sônia Racy,Presidente.
08/05/2000,Henry Philippe Reichstul,16,Henry Philippe Reichstul,Pois não.
08/05/2000,Henry Philippe Reichstul,17,Sônia Racy,"Eu tenho aqui uma dúvida. O senhor assumiu a Petrobras com a missão de torná-la uma empresa mais competitiva, mais globalizada, enfim, entrar com todas as práticas do comércio privado dentro dessa empresa. Por outro lado, o governo ainda é dono desta empresa. Não existe aqui um conflito de interesses, como, por exemplo, caso haja uma oportunidade dentro do mercado nacional brasileiro de compra de outras empresas pela Petrobras, e a Petrobras analisar que essa compra desse ativo seria uma boa aquisição, que agregaria valor à empresa? Por outro lado, o monopólio foi quebrado, mas não de fato, em vários setores do petróleo. O governo, a Petrobras, ainda controlam 90% do setor do petróleo. Como é que você soma essas duas coisas? O bem do consumidor, que o governo tem que defender e a Petrobras como empresa cujo objetivo é lucro? Como é que soma essas duas coisas dentro de uma só empresa?"
08/05/2000,Henry Philippe Reichstul,18,Henry Philippe Reichstul,"Eu acho que é possível somar, tanto é que esse é o exercício que a gente está praticando. A companhia tem um Conselho de Administração, que tem o governo, com dois ministros. O presidente do conselho é o ministro [Rodolpho] Tourinho [ex-ministro das Minas e Energia], tem o Pedro Parente que é o ministro da Casa Civil, que também é membro do conselho, tem quatro a cinco membros do setor privado que estão atuando. E, obviamente, ela não é privada, não vai ser privatizada, mas o objetivo que nós temos é transformá-la em uma corporação transnacional, em uma grande corporação."
08/05/2000,Henry Philippe Reichstul,19,Sônia Racy,"Então, crescer para fora, não para dentro do país?"
08/05/2000,Henry Philippe Reichstul,20,Henry Philippe Reichstul,"Não, também para dentro, eu acho que obviamente ela vai estar procurando..."
08/05/2000,Henry Philippe Reichstul,21,Sônia Racy,"Agora, para dentro do país, ela cada vez vai ficar maior e o monopólio dela vai ser maior?"
08/05/2000,Henry Philippe Reichstul,22,Henry Philippe Reichstul,"Mas ela vai ter restrições, ela tem restrições de atuação. Você tem organismos que, no caso da guerra da cerveja [referência à polêmica fusão, em 1999, entre as maiores fabricantes de cerveja no Brasil, Brahma e Antarctica, criando a Ambev (Companhia de Bebidas das Américas)], houve uma atuação clara de vários organismos dentro do governo para regulamentar isso, definir parâmetros. E a Petrobras vai atender a esses parâmetros como qualquer outra empresa que está atuando no Brasil, brasileira ou estrangeira atuando no Brasil."
08/05/2000,Henry Philippe Reichstul,23,Sônia Racy,"Então, por que a Petrobras não compra um pólo petroquímico, por exemplo, que seria um bom negócio para ela?"
08/05/2000,Henry Philippe Reichstul,24,Henry Philippe Reichstul,"Porque nós não temos interesse em pólos petroquímicos, nós saímos dos pólos petroquímicos."
08/05/2000,Henry Philippe Reichstul,25,Sônia Racy,Por quê? Ele não dá lucro?
