DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
16/12/2002,Inezita Barroso,1,Paulo Markun,"Boa noite. Ela é um símbolo da preservação cultural e se transformou na mais importante divulgadora da música de raiz no Brasil. Cantando há cinqüenta anos, parece ter passado a vida “tocando viola de papo para o ar”. Mas, na verdade, são cinquenta anos de muito trabalho e de pesquisa que ajudam a manter viva a memória da música caipira, da autêntica música sertaneja brasileira. No centro do Roda Viva, esta noite, Inezita Barroso, que completou cinqüenta anos de carreira e 22 anos do programa Viola, Minha Viola, na TV Cultura."
16/12/2002,Inezita Barroso,2,[Comentarista],"Um programa [de] que tanta gente gosta, marca registrada das manhãs de domingo na TV Cultura. No público presente e nos milhares de telespectadores, os sorrisos se abrem e se encontram nas músicas e nos versos da mais autêntica música popular brasileira. A música de raiz entrou cedo na vida da paulistana Inês Madalena Aranha de Lima, que aprendeu a tocar piano e violão aos 11 anos de idade. Aos 25, já cantava no rádio, quando virou Inezita - apelido de infância - e Barroso, sobrenome do marido. Nos anos 50, vieram os dois primeiros sucessos: a “Marvada pinga” [ou “Moda da pinga”] e “Lampião de gás”, que marcaram para sempre o repertório de Inezita. Cantando no rádio e no cinema, onde trabalhou em vários filmes e ganhou o Prêmio Saci de melhor atriz, em 1955, em Mulher de verdade [de Alberto Cavalcanti], Inezita Barroso passou a ser chamada de rainha do folclore brasileiro e acumulou mais de duzentos prêmios por seu trabalho de pesquisa e divulgação da música popular, da moda de viola, do pastoril, das canções do Brasil caboclo. Fez isso durante dez anos na rádio USP FM de São Paulo e quase outros dez na nossa Rádio Cultura no programa Estrela da manhã. Em 1998, foi a estrela do carnaval paulistano em uma homenagem que recebeu da escola de samba Pérola Negra. Agora, em dezembro, a homenagem veio na forma de uma doce viola [um bolo em forma de viola] e um programa especial para comemorar os cinquenta anos de carreira. Desses cinquenta, 22 foram vividos aqui, no Viola, Minha Viola."
16/12/2002,Inezita Barroso,3,"[VT de Inezita Barroso em gravação do Viola, Minha Viola]","Tudo começou em 28 de abril de 1980, com o meu querido e inesquecível amigo Moraes Sarmento [Rubens Sarmento (1922-1998) foi criador do programa Viola, Minha Viola e é considerado um marco do rádio e da TV no país, tendo atuado nas rádios Cultura, Cosmos, Tupi, São Paulo e Bandeirantes e, com o advento da televisão, nas emissoras Bandeirantes, Record e Cultura] e com outro companheiro maravilhoso, Nonô Basílio [Alcides Felisbino de Souza (1922-1997), compositor. cantor e diretor artístico. Formou com sua esposa a dupla Nonô e Naná, com a qual chegou a gravar dez álbuns e participou do filme No rancho fundo (1971), de Osvaldo de Oliveira. Em 1996, a dupla gravou seu último disco, Nossa última lembrança. Naná passou a apresentar problemas na voz e Nonô faleceu no ano seguinte]. Eu vim um pouquinho depois, fui convidada a participar do programa, apresentar o Viola em agosto de 1980."
16/12/2002,Inezita Barroso,4,[Comentarista],"O mais antigo programa da TV Cultura e um dos primeiros a abrir espaço para a música caipira na TV, O Viola teve várias mudanças ao longo dos anos, mas a essência permaneceu. Inezita recebeu artistas do Brasil inteiro: violeiros, cantores, duplas, uns conhecidos e outros que aqui tiveram oportunidade de mostrar trabalho e iniciar carreira. As músicas, as histórias, os “causos” aqui contados ajudam a compor um mapa musical que a veterana professora vem montando ao longo da vida, ela mesma, uma violeira que já cantou de tudo em seus mais de setenta discos e que não tem jeito, continua tendo que cantar a velha e divertida “Marvada pinga” [“Moda da pinga”]. Dessa, ela não se livra mais!"
16/12/2002,Inezita Barroso,5,Paulo Markun,"Para entrevistar Inezita Barroso, nós convidamos Muibo Cesar Cury, locutor noticiarista do jornal Em três tempos, da Rádio Bandeirantes, e apresentador do programa Raízes do Brasil, da Rádio Cultura AM; Assis Angelo, jornalista e apresentador da Rádio Capital; a cantora Suzana Salles; Lázaro de Oliveira, jornalista do programa Metrópolis, da TV Cultura; Omar Jubran, pesquisador de música popular brasileira responsável pela recuperação e remasterização de toda a discografia de Noel Rosa [(1910 -1937), sambista, cantor, compositor, bandolinista e violinista considerado um dos mais importantes artistas brasileiros, autor de mais de 300 composições, entre as quais sucessos como o samba bem-humorado “Com que roupa?”, “As pastorinhas”, em parceria com João de Barro, “Feitiço da Vila” e “Palpite infeliz”, esses dois últimos escritos para atacar o seu rival e também compositor Wilson Barbosa] e que está hoje fazendo o mesmo trabalho com a obra de Ary Barroso [(1903-1964), radialista, músico e compositor, cujas músicas mais conhecidas são “Aquarela do Brasil” e “No rancho fundo”]; e o compositor Renato Teixeira [compositor e intérprete da música popular brasileira, autor das canções “Amanheceu, peguei a viola” e “Romaria”]. [Programa ao vivo, que permitiu a participação dos telespectadores por telefone, fax e internet] Boa noite, Inezita. É um prazer ter você aqui."
16/12/2002,Inezita Barroso,6,Inezita Barroso,Boa noite. É um grande prazer para mim.
16/12/2002,Inezita Barroso,7,Paulo Markun,"Imagina! Vamos começar jogando a bola para frente. Você, em janeiro, está lançando um novo CD. Como é este CD?"
16/12/2002,Inezita Barroso,8,Inezita Barroso,"É, eu estarei lançando. Não deu tempo este ano, mas em janeiro eu acho que ele sai pela Trama [gravadora]. Eu fui contratada recentemente pela Trama, e é uma produção do Fernando Faro [Fernando Abílio de Faro Santos, jornalista, apresentador de rádio, escritor, diretor de programas para a TV e produtor musical, trabalhou em várias emissoras de televisão, destacando-se na idealização e direção do programa Ensaio, na TV Cultura de São Paulo, um dos mais importantes registros da música brasileira] e os arranjos do Théo de Barros [diretor musical e compositor, destacou-se no Teatro Arena durante a década de 1960. Em parceria com Geraldo Vandré, compôs “Disparada”, que fez enorme sucesso na voz de Jair Rodrigues e dividiu o primeiro lugar no II Festival de Música Popular Brasileira, promovido pela Record em 1966, com “A banda”, de Chico Buarque]."
16/12/2002,Inezita Barroso,9,Paulo Markun,Como é que chama?
16/12/2002,Inezita Barroso,10,Inezita Barroso,"Hoje lembrando. Esse título é porque eu gravei dois sambas inéditos do Paulo Vanzolini [renomado compositor da música popular brasileira, cuja dedicação dividia-se entre a arte e a carreira acadêmica. Destacou-se, ao lado de Adoniram Barbosa, como um dos pioneiros na composição de samba paulista, além de ter se projetado no campo científico como doutor em zoologia pela Universidade de Harvard, sendo um dos zoólogos mais respeitados pela comunidade científica internacional - ver entrevista com Paulo Vanzolini no Roda Viva], e um deles chama-se “Hoje lembrando” [Inezita lançou esse álbum aos 78 anos, reunindo 13 canções, das quais dez regravações de obras raras de sua carreira]."
16/12/2002,Inezita Barroso,11,Paulo Markun,E você foi a responsável pela primeira gravação de “Ronda” [composição mais famosa de Paulo Vanzolini]. Em que ano foi isso?
