DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
20/01/1992,Jaime Lerner,1,Jorge Escosteguy,"Boa noite. O brasileiro costuma cultivar algumas unanimidades em relação a certas figuras públicas. São pessoas que, de certa forma, estão um pouco acima do bem e do mal. Raramente são criticadas e em geral são muito elogiadas. Formam unanimidades nacionais, por exemplo, o [cantor e compositor] Chico Buarque na música, o Antônio Ermírio de Moraes na área empresarial [empresário, engenheiro e industrial brasileiro, proprietário do grupo Votorantim. Foi candidato ao governo de São Paulo em 1986, mas ficou em segundo lugar]. Às vezes, essas unanimidades são passageiras e fica-se sem saber se elas eram baseadas em fatos objetivos, reais ou apenas mais uma ilusão do brasileiro, baseada em um bom trabalho de marketing político. No centro do Roda Viva esta noite está uma dessas unanimidades, o prefeito de Curitiba, Jaime Lerner. Jaime Lerner, na última pesquisa de opinião, apresentou 82% de ótimo e bom, 13% de regular, o que dá uma aceitação técnica de 95%. Ele é o entrevistado desta noite no Roda Viva. Jaime Lerner tem 54 anos, é casado, [tem] dois filhos, está na sua terceira gestão como prefeito de Curitiba. Foi nomeado em 1971, em 1979 e eleito em 1988. Numa campanha-relâmpago, de 12 dias, conseguiu se eleger. Ele é inovador em termos de urbanismo. Criou várias novidades em Curitiba, copiadas até por outras cidades, como o corredor exclusivo de ônibus. Curitiba hoje é considerada a cidade com maior índice de área verde por habitante: cinquenta metros quadrados por habitante. Ele tem idéias inovadoras nesse campo e acha, entre outras coisas, que o bonde é o transporte do futuro. Nós vamos discutir com Jaime Lerner esta noite, inclusive, essa questão do bonde. Para entrevistar Jaime Lerner, nós convidamos Augusto Nunes, diretor de redação do jornal Zero Hora; Carlos Alberto Sardenberg, editor do Jornal do Brasil em São Paulo; o jornalista Luiz Weis; Luiz Henrique Fruet, diretor de redação da revista Globo Ciência; Ibsen Spartacus, chefe de redação da sucursal em São Paulo do jornal O Globo; Nilson de Oliveira, editor-adjunto do caderno Cotidiano do jornal Folha de S.Paulo; Paulo Markun, jornalista e diretor da Agência Deadline, e Juca Kfouri, diretor editorial das revistas Playboy e Placar e comentarista esportivo da Rede Globo. Boa noite, prefeito."
20/01/1992,Jaime Lerner,2,Jaime Lerner,Boa noite.
20/01/1992,Jaime Lerner,3,Jorge Escosteguy,"Dizem os seus adversários que o senhor, como prefeito, no fundo, exerce um trabalho de marketing, que o senhor ganha dinheiro mesmo é no intervalo das suas administrações, vendendo consultoria. O senhor diz, inclusive, ao Juca Kfouri na entrevista para a Playboy, que ganhou muito dinheiro dando consultoria, mas perdeu tudo. Perdeu como, na política, sendo prefeito? Como foi isso?"
20/01/1992,Jaime Lerner,4,Jaime Lerner,"Todas às vezes em que assumi a prefeitura, é evidente que tem que haver uma dose de renúncia, não só com o salário de prefeito, isso dá uma interrupção no trabalho profissional, no escritório em que venho desenvolvendo trabalho há alguns anos. Mas acho que eu jamais me queixei disso, gosto de administrar uma cidade, tenho prazer, curto isso e não acho que seja uma carga. O fato de não ter bons rendimentos e bons vencimentos durante quatro anos... Acho que as gratificações que a gente tem fazendo as coisas acontecerem não tem o que pague."
20/01/1992,Jaime Lerner,5,Augusto Nunes,"Qual é o seu salário hoje, prefeito?"
20/01/1992,Jaime Lerner,6,Jaime Lerner,"Hoje, três milhões [o cruzeiro era a moeda corrente em 1992]."
20/01/1992,Jaime Lerner,7,Augusto Nunes,Quanto o senhor ganharia se pudesse fazer trabalhos e consultoria?
20/01/1992,Jaime Lerner,8,Jaime Lerner,"Depende, você sabe que trabalho de consultoria é um trabalho de risco, depende dos canos..."
20/01/1992,Jaime Lerner,9,Augusto Nunes,"No caso do senhor é um risco menor, não é?"
20/01/1992,Jaime Lerner,10,Jaime Lerner,...depende dos canos que a gente leva como profissional.
20/01/1992,Jaime Lerner,11,Luiz Weis,"Prefeito, como todo ser humano, que é um fazedor de coisas, o senhor é um otimista. Eu gostaria de cutucar o seu otimismo em relação ao universo urbano, em relação às cidades. Me permita jogar alguns números. Em 1900, 10% da espécie humana, apenas 10%, apenas um em cada dez seres humanos morava em cidade. Daqui a nove anos, no ano 2000, metade da humanidade vai morar em cidades. Dessa metade da humanidade, algo como três em cada vinte pessoas, ou seja, 15% vão morar em 48 cidades com cinco milhões de habitantes ou mais. Para piorar as coisas, dessas 48 megalópoles 36 se localizam no Terceiro Mundo, entre elas, São Paulo, Rio de Janeiro, Belo Horizonte, capitanedas por essa coisa inabitável chamada Cidade do México, do tamanho de um país, com 26 milhões de habitantes previstos. O economista Carlos Lessa, da Unicamp [Universidade Estadual de Campinas], chama essas cidades de “nações de miséria”. E é cada vez maior o consenso, desde a pessoa comum que perde metade do seu dia indo e vindo, até os urbanistas, os teóricos, os sociólogos, de que aquela que foi a maior característica do modo de viver do século XX, a urbanização, esgotou-se. A grande cidade é a prova do fracasso daquilo que foi um grande sucesso e ela não tem saída. A grande cidade tem saída, prefeito?"
20/01/1992,Jaime Lerner,12,Jaime Lerner,"Tem saída. Acho que nós temos que pensar a grande cidade de outra maneira. Acho que nós temos que saber que nós vamos viver com multidões, é quase uma tecnologia para multidões. Não acho que nós tenhamos que ser pessimistas. Eu acho que existe uma coisa chamada “síndrome da tragédia” no Brasil. Os números são colocados como se fossem a grande tragédia e isso está estimulando até, uma certa imobilidade, inércia..."
20/01/1992,Jaime Lerner,13,Luiz Weis,"Mas, me permita, não é uma questão... não é “síndrome de tragédia” no Brasil. Esses números são, hoje, brandidos até pelos ecologistas, que consideram que o maior problema ecológico do mundo é a cidade."
20/01/1992,Jaime Lerner,14,Jaime Lerner,"Pois é, verdade. Acho que só a ação local vai resolver o problema global. Em 1995, 98% dos problemas de meio ambiente, problemas globais de meio ambiente podem ser resolvidos na cidade. O que nos deixa bastante otimistas, porque se pode resolver o problema. Acho que se muitas cidades fizerem as coisas direito, se forem ambientalmente corretas daqui para frente, nós não vamos ter problemas de meio ambiente. Então acho... Eu só quero dizer o seguinte: uma coisa do problema de... Essa bomba demográfica que todo mundo esperava, ela não aconteceu por uma razão. Existe uma frase de um famoso microbiologista, tenho usado muito essa frase, que é do René Dubos [(1901-1982) microbiologista, ganhador do Prêmio Pulitzer, em 1969, pelo livro So human an animal (Um animal tão humano)]. Ele diz: “tendência não é destino”. No momento em que a sociedade detecta uma tendência não-desejável, ela mesmo começa a corrigir. Então, não acho que o fato de conviver com grandes populações... Agora, é necessário que haja adequação para trabalhar com esses números."
20/01/1992,Jaime Lerner,15,[...],"Como se faz isso, prefeito?"
20/01/1992,Jaime Lerner,16,Jaime Lerner,"Como se faz isso? Não tenho todas as respostas. Mas acho que um caminho importante é o seguinte: as cidades, as grandes cidades, as megacidades têm que ter, no mínimo, o seguinte: primeiro, o domínio do seu crescimento. Isso é possível, as cidades têm o instrumento para isso, podem estabelecer pelo planejamento o domínio do seu crescimento. Elas têm instrumento para isso..."
20/01/1992,Jaime Lerner,17,Paulo Markun,"Tem que mandar na especulação imobiliária, então?"
20/01/1992,Jaime Lerner,18,Jaime Lerner,"Então... também, mas a cidade tem que definir o que quer. O segundo ponto hoje é a escolha da tecnologia. Acho que o grande problema das cidades daqui para frente... Porque nós vamos encontrar tecnologias que, no caso do transporte, são tecnologias que exigem integração. Então, no caso do Rio, é a barca, o metrô, o trem de subúrbio, ônibus. Então, nós temos que ter uma tecnologia de integração. Já o problema de saneamento e esgoto tem que ser uma tecnologia de descentralização. Essa visão da cidade tem que começar. O terceiro ponto importante é aprender a conviver com o setor informal, porque senão nós estaremos nos iludindo, achando que estamos planejando a cidade, quando 40, 50% da população está no setor informal. São invasões, é o comércio ambulante. Então, nós temos que encontrar uma maneira de promover a integração do setor formal com o informal. Agora, tudo isso nós temos que começar a não ignorar e trabalhar nesse sentido. Acho que tem uma maneira, vocês vão dizer, o Luiz Weis vai dizer que é otimista. Se nós não podemos resolver o problema daqui para trás, é mais fácil resolver daqui para frente. Isso quer dizer o seguinte: daqui para frente as cidades têm que ser ambientalmente corretas. Daqui para frente as cidades terão que resolver os problemas sociais importantes, o problema da criança de rua, por exemplo. Daqui para frente as cidades terão que resolver as necessidades básicas da população. Nós temos que municipalizar as necessidades básicas..."
20/01/1992,Jaime Lerner,19,Luiz Weis [interrompendo],"Prefeito, me permita, sem querer monopolizar esse debate, mas “vai ter que”, as cidades “vão ter que” e assim por diante... não é um desiderato que vai visitar cidades para fazer tudo isso. Cada vez mais, elas precisam de recursos. A grande cidade hoje, paradoxalmente, é cada vez mais a grande cidade pobre. As metrópoles americanas estão falidas."
20/01/1992,Jaime Lerner,20,Jaime Lerner,Nós nunca tivemos...
20/01/1992,Jaime Lerner,21,Luiz Weis,"Não espere que Calcutá, Bombaim, Cairo e Cidade do México tenham recursos para atender a esses “vai ter que”."
20/01/1992,Jaime Lerner,22,Jaime Lerner,Só vou dar um exemplo. Nós nunca tivemos tanta dificuldade financeira como temos agora. E é a época em que nós estamos encontrando um maior número de soluções. A escassez é o caminho da criatividade...
20/01/1992,Jaime Lerner,23,[...],"E de onde elas vêm, prefeito?"
20/01/1992,Jaime Lerner,24,Jaime Lerner,"Vêm da necessidade de resolver o problema na escala que o problema se apresenta. Nós não podemos nos enganar, existe essa visão pontual da cidade. Acho que nós temos que encontrar o caminho para fazer esse gerenciamento da cidade. Hoje, o gerenciamento correto da cidade tem que resolver, ao mesmo tempo, as necessidades que a população joga diariamente e as potencialidades que os responsáveis pela cidade têm por obrigação resolver. Se eu ficar na prefeitura de Curitiba 24 horas por dia, só atendendo a necessidades, vou trabalhar contra a minha cidade. Agora, se eu trabalhar só com as potencialidades, com os programas globais, aqueles que realmente atendem a um grande número, eu me afasto do povo. Então, hoje, gerenciar uma cidade é fazer esse balanceamento correto entre necessidades que a população coloca e as potencialidades que você tem por obrigação visualizar."
20/01/1992,Jaime Lerner,25,Ibsen Spartacus,"O senhor pode dar exemplo de como administrar diante dessa falta de recursos, encontrar uma solução?"
20/01/1992,Jaime Lerner,26,Jaime Lerner,"O lixo. O programa do lixo em Curitiba não nos custou um tostão a mais. E, no entanto, a cidade de Curitiba está oferecendo um exemplo para todas as cidades do mundo, inclusive do Primeiro Mundo, [sobre] como se resolver o problema do lixo."
20/01/1992,Jaime Lerner,27,[...],[Sobreposição de vozes]
20/01/1992,Jaime Lerner,28,Luiz Weis,"Mas há uma questão de escala, prefeito. Em Nova Iorque, a população produz toneladas de lixo por ano [a mais em relação] ao habitante de Curitiba. Não há como resolver o problema da maneira como o senhor falou. De uma cidade de um milhão e meio de habitantes, com uma renda per capita bastante inferior à de lá. Não acho que seja um exemplo, me desculpe, para qualquer cidade do mundo."
20/01/1992,Jaime Lerner,29,Jaime Lerner,"Vocês não vão me tirar da discussão colocando Curitiba como um problema pequeno e diferente dos demais. Não é verdade. Curitiba é uma cidade diferente, porque ela se tornou diferente. E o problema da escala é uma questão de escala. Vou dar um exemplo, a separação do lixo não é um problema de escala, é um problema de comportamento da população..."
20/01/1992,Jaime Lerner,30,Augusto Nunes [interrompendo],"Como o senhor resolveu? Desculpe, só para entender, porque o senhor está falando de uma solução para o problema do lixo e nós não sabemos como foi."
20/01/1992,Jaime Lerner,31,Jaime Lerner,"Na realidade, a população toda faz a separação do lixo orgânico e do lixo reciclável. Isso é uma questão de conscientização da população. Por que muitas cidades do Primeiro Mundo não conseguem resolver? Porque eles querem fazer disso um ato voluntário. Já imaginou pegar o seu lixo e levar até um posto aonde você vai levar o seu lixo reciclável? Quem é que vai fazer isso?"
20/01/1992,Jaime Lerner,32,Jorge Escosteguy,"O senhor, de certa forma, deu uma recompensa. O senhor deu vale-transporte."
20/01/1992,Jaime Lerner,33,[...],Como o senhor fez lá?
