DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
27/07/2009,José Antônio Dias Toffoli,1,[...],[programa ao vivo]
27/07/2009,José Antônio Dias Toffoli,2,Heródoto Barbeiro,"Boa noite. A gente poderia, assim, de uma forma mais popular, dizer que ele é um advogado republicano. Afinal, é ele quem defende na Justiça os três poderes da União, e também tem a função de dar assessoria jurídica direta ao presidente da República e orientar o governo para que as decisões da administração federal sejam tomadas dentro da lei, para que obviamente o executivo não corra o risco de cometer atos ilegais. Esse é o papel do advogado-geral da União, que desde março de 2007 está sob a responsabilidade de Antonio Dias Toffoli, convidado desta noite do Roda Viva. Com especialização em direito eleitoral, José Antonio Dias Toffoli foi o advogado das três últimas campanhas eleitorais do presidente Lula. E agora, como advogado-geral da União, presta assessoria jurídica e consultoria direta à Presidência da República."
27/07/2009,José Antônio Dias Toffoli,3,[...],[inserção de vídeo]
27/07/2009,José Antônio Dias Toffoli,4,Narração de Valéria Grillo,"José Antonio Dias Toffoli nasceu na cidade paulista de Marília no dia 15 de novembro de 1967. É formado em direito pela Universidade de São Paulo, com especialização em direito eleitoral, e foi professor de direito constitucional e direito de família. Entre 1995 e 2000, Toffoli foi assessor parlamentar da liderança do Partido dos Trabalhadores na Câmara Federal. Ele foi também advogado das três últimas campanhas do presidente Lula à Presidência, em 1998, 2002 e 2006. Em 2003, desfiliou-se do partido para ser subchefe de assuntos jurídicos da Casa Civil. E em março de 2007, aceitou o convite do presidente Lula para assumir a Advocacia-Geral da União. A AGU surgiu na Constituição de 1988. Incluída no capítulo das “Funções essenciais à Justiça”, só foi regulamentada pelo Congresso Nacional cinco anos depois. Foi criada para garantir o interesse da sociedade e fazer a defesa judicial do Estado, funções que antes eram do Ministério Público. Para isso, a AGU conta com mais de 11 mil servidores, sendo três mil administrativos e 8.500 advogados. Como advogado-geral da União, Toffoli tem a função de defender na Justiça os três poderes da União: executivo, legislativo e judiciário. Mas tem maior proximidade com o executivo, por prestar também assessoria jurídica e consultoria direta ao presidente. Faz parte das suas atribuições orientar o governo para que ele não cometa atos ilegais."
27/07/2009,José Antônio Dias Toffoli,5,[...],[fim do vídeo]
27/07/2009,José Antônio Dias Toffoli,6,Heródoto Barbeiro,"Para entrevistar o José Antonio Dias Toffoli, convidamos aqui o Rui Nogueira, que é chefe de redação do jornal O Estado de S. Paulo na sucursal de Brasília; conosco também a jornalista Mônica Bergamo, colunista do jornal Folha de S.Paulo; o Claudio Weber Abramo, que é diretor executivo da Transparência Brasil; e também é nosso convidado o advogado Gabriel Ferreira. O cartunista Paulo Caruso está aqui conosco com suas charges, e ao meu lado está aqui a repórter Juliana Barletta, minha colega aqui da TV Cultura que apresenta as perguntas que são encaminhadas pelo nosso endereço eletrônico. Quero lembrar você que o Roda Viva é transmitido toda segunda-feira, ao vivo aqui pela internet às seis e meia da tarde, e também pode ser visto na íntegra sem edição ou corte às 10 horas da noite aqui na nossa TV Cultura. Doutor Toffoli, boa noite, muito obrigado pela participação aqui no Roda Viva."
27/07/2009,José Antônio Dias Toffoli,7,José Antônio Dias Toffoli,"Boa noite, Heródoto, boa noite a todos que estão nos assistindo nesta noite."
27/07/2009,José Antônio Dias Toffoli,8,Heródoto Barbeiro,"Doutor Toffoli, recentemente o senhor deu a seguinte declaração: “O problema é nossa herança de confundir o público e o privado. É preciso acabar com o costume de passar a mão na cabeça, dizendo que o erro foi pequeno e que foi só uma passagem aérea. É preciso tolerância zero”, diz o senhor aqui. Eu gostaria de saber se essa questão da tolerância zero se aplica também ao Senado, agora que o país inteiro ficou sabendo que o presidente do Senado, José Sarney {José Sarney: Batizado como José Ribamar Ferreira de Araújo Costa (1930-), passou a adotar o nome José Sarney de Araújo Costa em 1965, sendo Sarney o nome de seu pai. Tornou-se presidente em 1985, após a morte do presidente eleito Tancredo Neves, de quem era vice e que faleceu antes de tomar posse. Seu mandato caracterizou-se pela consolidação da democracia brasileira após o fim da ditadura militar, incluindo a Assembléia Constituinte e a promulgação da Constituição de 1988, mas também por uma grave crise econômica que evoluiu para a hiperinflação e a moratória na dívida externa. Para combater a crise, lançou o Plano Cruzado em 1986, que congelou os preços por 12 meses, mas que logo foi perdendo a eficiência; sobreveio uma grave crise de abastecimento e o retorno da inflação. Seu governo foi dificultado também pela CPI da Corrupção, que envolveu seu nome, mas que foi engavetada, e pelo seu envolvimento pessoal nas negociações sobre a votação do tamanho do seu mandato, na Assembléia Constituinte. O mandato foi fixado em 5 anos. Em 2009 voltou aos noticiários pelo fato de, sendo então presidente do Senado, ter sido acusado de nomear parentes e conhecidos para cargos públicos. Sarney é também escritor e pertence à Academia Brasileira de Letras.}, entre outras coisas, colocou lá o seu neto, através de uma jogada nepotista dentro do Senado. Qual é a opinião do senhor, aplica-se também para ele tolerância zero?"
27/07/2009,José Antônio Dias Toffoli,9,José Antônio Dias Toffoli,"Olha, essa questão relativa ao Senado, especificamente esse caso a que você faz menção, é algo curioso porque é, segundo as informações que eu li na imprensa, um caso que envolve o namorado de uma neta. Do ponto de vista legal, estritamente jurídico e legal, não existe ilegalidade. Pode-se falar em uma eventual imoralidade, se falar em eventuais situações... Aliás, ali não se aplicaria nem o enunciado... agora, a súmula do Supremo sobre nepotismo, porque não há uma relação de vínculo, não há uma relação de casamento, é uma relação de namoro. E é uma situação, portanto, que do ponto de vista legal, estritamente legal, nesse caso específico não há que se falar que houve uma ilegalidade. Mas é o fato de se discutir sim, e há que se discutir, essa questão de mistura do público com o privado. Porque não se pode ter a idéia de que um determinado cargo pode ser apropriado para determinadas situações. É um cargo público que deve ser preenchido para os cumprimentos das questões públicas. Eu posso dar o exemplo da Advocacia-Geral da União. Na Advocacia-Geral da União, eu procurei preencher todos os cargos, com algumas raras exceções, como por exemplo o meu assessor de imprensa, porque eu não tenho dentro da AGU uma carreira de jornalista,,, mas as áreas fins da Advocacia-Geral da União foram preenchidas com pessoas concursadas. Eu acho que, nessa questão, não é discutir o neto, não é discutir o genro, é discutir os cargos em comissão."
27/07/2009,José Antônio Dias Toffoli,10,Heródoto Barbeiro,O fórum então aqui é a Comissão de Ética do Senado?
