DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
07/09/1992,José Saramago,1,Rodolfo Konder,"Boa Noite! Estamos começando, pela Rede Cultura de São Paulo, mais um Roda Viva. (...). O convidado desta noite é o escritor português José Saramago, que veio visitar o Brasil, onde abriu o Congresso Internacional promovido pela Universidade de São Paulo, a USP, sobre o tema “América 92: raízes e trajetórias”. Como este programa é, excepcionalmente, gravado, os telespectadores, infelizmente, não poderão fazer perguntas. Para entrevistar José Saramago, convidamos Luiz Antonio Giron, repórter do jornal Folha de S. Paulo; Hamilton dos Santos, editor do suplemento Cultura, do jornal O Estado de S. Paulo; Edla Van Steen, escritora; Gilberto Mansur, jornalista e escritor; Roberto Pompeu de Toledo, editor-especial da revista Veja; Fábio Lucas, crítico e professor da Universidade de Brasília; Ivan Ângelo, editor-executivo do Jornal da Tarde; e Jayme Martins, jornalista da TV Cultura. Boa noite, professor Saramago. É um prazer tê-lo aqui."
07/09/1992,José Saramago,2,José Saramago,"Não professor, apenas..."
07/09/1992,José Saramago,3,Rodolfo Konder,Para nós o senhor será sempre um professor.
07/09/1992,José Saramago,4,José Saramago,"Não ganho, nem perco com isso. [simpático]"
07/09/1992,José Saramago,5,Rodolfo Konder,"Então está bem. Eu vou abrir falando um pouco das comemorações da independência do Brasil. O Brasil está vivendo um período de comemorações da independência. Mas, ao mesmo tempo, há uma preocupação muito grande com a reaproximação com Portugal, tanto no plano econômico, quanto no plano cultural. Estamos vivendo uma nova época. Os valores da independência estão sendo substituídos pelos valores da “interdependência”?"
07/09/1992,José Saramago,6,José Saramago,"É assim? Aqui? É assim aqui e é assim, de uma certa maneira, em toda parte. A questão que penso, que se deve pôr, é se junto a essas questões, dependência e independência, se devemos juntar, digamos, essa outra, de valores, quer dizer, eu compreendo esse sentido do colega dizer valores da interdependência, mas começo a ter algumas dúvidas se isso fala de valores da dependência. Suponho que a dependência, qualquer que ela seja, embora é realmente verdade que neste mundo global em que nós vivemos já há uma interdependência mútua, mas o que acontece é que em casos como esse, mesmo que essa interdependência pareça, ou devesse ser, digamos, entre iguais, porque uma verdadeira e bem entendida interdependência deveria ser entre iguais, que dependessem um do outro, mas que dependessem igualmente, quando, enfim, quando nós sabemos que não é isso que se passa, quer dizer, nesse mundo de interdependências há uns que são mais dependentes do que outros. Então, estamos cá em saber em que grau que se coloca esse grau de dependência, quer o Brasil, que estamos aqui a falar, quer o meu próprio país, que em matéria de dependência, haveria muita coisa a que se dizer. O que eu duvido é que se possa falar em valores de dependência. Valores de interdependência penso que sim, mas sob condição de que a relação seja entre iguais, tanto quanto possível."
07/09/1992,José Saramago,7,Edla Van Steen,"Eu vou fazer uma pergunta literária para você, que é a minha área. Eu sei que você é poeta..."
07/09/1992,José Saramago,8,José Saramago,"Já fui, já fui..."
07/09/1992,José Saramago,9,Edla Van Steen,Já foi poeta. Você precisa me explicar como é que é isso de dizer que deixou de ser poeta?
07/09/1992,José Saramago,10,José Saramago,"Não, deixei de fazer versos... [risos]"
07/09/1992,José Saramago,11,Edla Van Steen,"Ah, só nesse sentido?"
07/09/1992,José Saramago,12,José Saramago,Pode-se dizer que sim.
07/09/1992,José Saramago,13,Edla Van Steen,"Eu acho que o Brasil ainda não descobriu que você é um ótimo autor de teatro. Você tem três peças publicadas. O que eu queria saber é em que momento você escolhe o gênero, que você decide o gênero daquilo que você vai escrever?"
07/09/1992,José Saramago,14,José Saramago,"Vamos ver. O teatro no meu trabalho foi, e continua sendo, de certo modo, algo que depende das solicitações exteriores. Eu creio, estou convencido disso, e olhando para trás posso comprovar, que nunca, de modo próprio, por um movimento meu, eu iria escrever uma peça de teatro. Sempre aconteceu que alguém me pediu. E a primeira vez que me pediram, eu disse: “isso é um disparate, eu nunca fiz teatro, não sei”. Mas esses pedidos, esses pequenos desafios, levam a pessoa a colocar-se, efetivamente a questão: serás capaz ou não serás capaz? E assim fiz a primeira peça de teatro..."
07/09/1992,José Saramago,15,Edla Van Steen,Eu acho que a maioria dos autores...
07/09/1992,José Saramago,16,José Saramago,"Eu penso que sim. Digamos, enfim, é realmente isso que se sucede, na verdade é que mesmo quando esses desafios não nos vêm de fora, temos que, digamos, temos que estabelecê-los dentro de nós próprios. Depois dessa primeira peça, veio uma outra..."
07/09/1992,José Saramago,17,Edla Van Steen,"Foi A Noite, não?"
