DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
06/01/1997,Leonardo Boff,1,[...],"Programa gravado, sem pergunta dos telespectadores."
06/01/1997,Leonardo Boff,2,Matinas Suzuki,"Boa noite. Além de ser um conhecido teólogo, ele agora está lançando também um livro de ficção. No centro do Roda Viva está Leonardo Leonardo Boff."
06/01/1997,Leonardo Boff,3,"[Comentarista, Valéria Grillo]","Leonardo Boff é franciscano no sentido estrito da palavra. Ele se define como ‘herdeiro do espírito de São Francisco’, o que ajuda a entender, um pouco melhor, a vida e a produção deste intelectual, que tornou-se um dos teólogos mais vigiados pela Igreja Católica, no Brasil, neste fim de século. Ele foi perseguido, punido e censurado por suas idéias. Em 1992, terminava um capítulo importante da caminhada do frei, a inquisição dos tempos modernos, aparentemente, marcava um ponto. Depois de uma sucessão de censuras e castigos, Leonardo Boff se divorciava da Igreja. Ele saiu dizendo que não estava mudando de batalha e sim de trincheira. A batalha dele ganhou força, no final dos anos 60, com o surgimento da Teologia da Libertação, durante a conferência geral do episcopado latino-americano, na Colômbia. A teologia, altamente questionadora das realidades sociais, lançou uma luz sobre a leitura do evangelho. As mensagens contidas no evangelho seriam adaptadas aos contextos sociais e não seriam impostas. Leonardo Boff desafiou a Igreja. Embora soubesse que associar o discurso da fé com o da pobreza e da injustiça traria riscos políticos e eclesiásticos, ele se dizia convicto de que Deus tomou o partido dos pobres. Em Igreja, carisma e poder, um dos mais de 50 livros escritos pelo frei, ele condenou as violações aos direitos humanos dentro da Igreja e propôs um modelo eclesial baseado na comunhão e na participação. Esta tese foi considerada perigosa pelo Vaticano. O ano era 1985, e o castigo veio rápido, o silêncio obsequioso. Os onze meses que se seguiram foram férteis. Nesse período ele escreveu três livros. Mas, à medida que suas idéias eram conhecidas e sua obra traduzida em vários idiomas, os setores conservadores da Igreja e da sociedade se uniam para desarticular as teorias libertadoras de Leonardo Boff. As comunidades eclesiais de base começavam a ser combatidas. No vácuo delas, na interpretação do teólogo, se multiplicavam as Igrejas pentecostais. Até que, em 92, o frei catarinense foi vítima da última perseguição do seu principal censor, o cardeal Ratzinger {Ratzinger: Joseph Ratzinger, alemão (1927-). Eleito como o 265º papa, em 19 de abril de 2005, com a idade de 78 anos, sucedeu o Papa João Paulo II e passou a ser chamado Papa Bento XVI. Em setembro de 1984, Ratzinger, na condição de cardeal e prefeito da Congregação para a Doutrina da Fé ‐ nome dado ao antigo tribunal da Inquisição ‐, conduziu o interrogatório que culminou na condenação de Boff a um ano de “silêncio obsequioso”, em razão de suas teses ligadas à Teologia da Libertação, apresentadas no livro Igreja, carisma e poder.}, prefeito da sagrada congregação para a doutrina da fé. Leonardo Boff foi proibido de lecionar, dar entrevistas ou publicar artigos sem autorização. Em junho do mesmo ano, ele pediu o desligamento da Igreja de Roma, mas na prática reafirmava os votos franciscanos de defesa da natureza e de respeito aos seres vivos. Hoje, casado com a teóloga e colaboradora Márcia Miranda, Leonardo Franciscano Boff continua a ensinar e a praticar a Teologia da Libertação."
06/01/1997,Leonardo Boff,4,Matinas Suzuki,"Bem, para entrevistar o professor Leonardo Boff, nós convidamos esta noite o Fernando Mitre, diretor de jornalismo da Rede Bandeirantes de Televisão. Dom Amaury Castanho, bispo da diocese de Jundiaí. Marcelo Cavalari, que é jornalista da Folha de S. Paulo. O frei Vitório Mazzuco, editor chefe da Editora Vozes. O jornalista e escritor Fernando Morais. O Mário Simas, que é jornalista da revista Istoé. O Rinaldo Gama, editor do Caderno de Literatura Brasileira do Instituto Cultural Moreira Salles. Mateus Soares de Azevedo, que é jornalista e escritor. O Roda Viva é transmitido em rede nacional com 150 outras emissoras de 21 estados brasileiros."
06/01/1997,Leonardo Boff,5,Leonardo Boff,"Boa noite, Matinas Suzuki."
06/01/1997,Leonardo Boff,6,Matinas Suzuki,"Professor, como eu disse na nossa abertura, o senhor está lançando este livro Brasas sobre cinzas - história do anticotidiano. Parece que na sua longa estante de livros publicados é o primeiro que se ocupa de ficção. É verdade isso?"
06/01/1997,Leonardo Boff,7,Leonardo Boff,"É, toda a teologia tem certa ficção. E aqui eu explicitei, e o próprio título diz algo da intenção do livro, Brasas sobre cinzas. Eu creio que o ser humano é dominado por um fogo interior. Aquilo que os místicos chamam: “O nascimento de Deus na alma humana”. E a tese do livro, se é que se pode falar em tese, é a descoberta de que este fogo se dá nas dobras do cotidiano. Não só no arrebatamento místico, na contemplação, mas a vida é generosa e toda a existência humana é animada por este fogo e a tarefa, talvez, do pensador é remover as cinzas, desentulhar as memórias sepultadas lá dentro, para que cada um descubra esse fogo, que às vezes é um vulcão que explode dentro de cada pessoa humana."
06/01/1997,Leonardo Boff,8,Matinas Suzuki,"É engraçado, porque também há um livro famoso, de um outro religioso brasileiro, cujo título é O deserto é fértil [de dom Hélder Câmara], que os dois lidam com essa idéia de algo que há de vivo por trás de algo de uma aparência, de alguma coisa morta."
06/01/1997,Leonardo Boff,9,Leonardo Boff,"Certo, Matinas, eu suspeito que hoje, ao nível mundial, está havendo uma volta desta chama interior. Todos os movimentos místicos, espirituais, esotéricos, dão testemunho de que nós não temos só uma cultura material, do trabalho, da transformação do mundo. Mas estão se fazendo exigências do mundo interior do ser humano, da sua dimensão espiritual, que possivelmente, essa dimensão aponte para um novo paradigma civilizacional, isto é, uma civilização centrada não só na materialidade, nós precisamos dela para atender as demandas humanas. Mas também há outras demandas, talvez mais profundas, que é a sede de infinito do ser humano, a sua dimensão espiritual, o outro lado da existência. E é exatamente isso que se nota de uma forma, quase exaltada, em todas as partes, e, particularmente, também no nosso país."
06/01/1997,Leonardo Boff,10,Rinaldo Gama,"O senhor está lançando um livro de ficção depois de ter abandonado a Igreja. Eu queria saber se é por que a sua militância teológica, do ponto de vista teórico, não era suficiente, não dava conta, foi preciso recorrer agora à ficção para transmitir, digamos assim, a sua mensagem."
06/01/1997,Leonardo Boff,11,Leonardo Boff,"Veja, Rinaldo, a teologia tem muitas vertentes. E uma delas se chama teologia narrativa. Eu, na verdade, sempre exerci, dentro da minha produção, este tipo de teologia: inserindo contos, linguagem do povo, histórias. E produzindo mesmo uma certa literatura. Ela tem um livro inteiro sobre isso chamado Sacramentos da vida e a vida dos sacramentos, que é um esforço, já nos anos 70, de, a partir da narrativa, das experiências humanas, desentranhar a sua dimensão teológica, dimensão divina. Este livro, na verdade, nasceu do meu diário, porque eu conduzo um diário já há mais de 30 anos. E, durante as férias, lendo o meu próprio diário, eu disse: “Puxa, tem uma série de contos aqui que eu precisaria desentranhar, elaborar um pouco melhor, e fazer um texto sobre isso”. Porque eu mesmo não havia me dado conta desse conteúdo mais literário na minha própria produção. E foi uma descoberta, e por isso eu já trabalhei um pouco melhor, e este livro é fruto desta diligência, digamos assim. Mas eu não quero ensinar nada a ninguém, aliás, nunca pretendi nos meus textos… Escrevo participando da busca cultural, da ânsia do ser humano de descobrir a si mesmo, decifrar o seu mistério e esse livro se inscreve dentro dessa preocupação mais ampla."
06/01/1997,Leonardo Boff,12,Fernando Mitre,"Professor? O senhor analisa… O senhor destaca uma tensão dentro da Igreja, entre as forças comunitárias, digamos assim, e a hierarquia. E o senhor faz uma previsão de que para a hierarquia o senhor não vê esperança. E o senhor relaciona isso com as forças dominantes da sociedade. Eu vou fazer aquela pergunta elementar, se prevalecer a hierarquia na Igreja, o que acontece com ela?"
