DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
16/10/2006,Luiz Inácio Lula da Silva,1,Paulo Markun,"Boa noite. O Roda Viva faz hoje o primeiro dos dois programas especiais para este segundo turno da eleição presidencial. Em contrapartida aos debates programados, duas entrevistas destinadas a aprofundar a discussão de questões que devem pesar nesta definição eleitoral: Uma com o candidato à reeleição, o presidente Luiz Inácio Lula da Silva, e outra com o candidato da oposição, o ex-governador de São Paulo, Geraldo Alckmin. A produção do Roda Viva definiu, com representantes dos dois candidatos, por sorteio, a seqüência das entrevistas. Ficou definido que Luiz Inácio Lula da Silva fará a primeira, que apresentamos hoje, e Geraldo Alckmin a seguinte, excepcionalmente apresentada no próximo domingo, às 10:30h da noite em razão de haver um debate programado para segunda-feira no horário do programa. Nós estamos no Palácio da Alvorada, residência oficial da Presidência da República. O cenário é a biblioteca onde também realizamos outras edições do Roda Viva com o ex-presidente Fernando Henrique Cardoso [presidente do Brasil de 1995 a 2002]. Esta é uma prerrogativa do presidente da República que, no exercício do cargo, mesmo sendo candidato à reeleição, tem o direito de conceder entrevistas em local e data que melhor se adaptam às funções da sua agenda. Para a entrevista de hoje, nós convidamos Tereza Cruvinel, colunista do jornal O Globo, Alexandre Machado, comentarista de política da TV Cultura, Lourival Sant’Anna, repórter especial do jornal O Estado de S. Paulo, Renata Lo Prete, editora do caderno Painel do jornal Folha de S. Paulo, Denise Rothenburg, colunista de política do jornal Correio Brasiliense e Cristiano Romero, repórter especial e colunista do jornal O Valor Econômico. Boa noite, presidente, obrigado por ter aceitado nosso convite."
16/10/2006,Luiz Inácio Lula da Silva,2,Luiz Inácio Lula da Silva,"Boa noite, Markun. É um prazer saber que nós estamos aqui nesta entrevista vigiados pelo Juscelino Kubitschek [(1902-1976), presidente do Brasil de 1956 a 1961. Considerado um político de estilo inovador, foi o responsável pela mudança da capital do Brasil do Rio de Janeiro para Brasília. Durante o seu governo, o Brasil viveu um período de desenvolvimento econômico e estabilidade política], que nos olha ali da mesa."
16/10/2006,Luiz Inácio Lula da Silva,3,Paulo Markun,"Presidente, primeira pergunta: Em 1989, a candidatura do senhor foi abatida pelo terrorismo eleitoral do adversário [referindo-se à Fernando Collor {Collor: Nascido em 1949, Fernando Collor de Mello foi o primeiro presidente da República eleito pelo voto direto após o regime militar. Começou sua carreira política como prefeito nomeado de Maceió, em 1979, cargo ao qual renunciou em 1982, quando foi eleito deputado federal pelo PDS (antiga Arena). Votou a favor do movimento das “Diretas Já”, em 1984, e, com a derrota dessa proposição, votou em Paulo Maluf no Colégio Eleitoral em 1985. Filiou-se, depois, ao PMDB e foi eleito governador de Alagoas em 1986. Durante sua gestão empreendeu uma estratégia de combate a alguns funcionários públicos que recebiam altos salários, fato que o fez ser conhecido nacionalmente como caçador de marajás. Renunciou ao governo em 1989 e iniciou as articulações para concorrer à Presidência da República. O seu governo foi marcado pela implementação do Plano Collor, pela abertura do mercado nacional às importações e pelo início do Programa Nacional de Desestatização. Renunciou ao cargo em razão de um processo de impeachment fundamentado em acusações de corrupção. Teve seus direitos cassados por oito anos, e só seria eleito para cargo público novamente em 2006, tomando posse como senador por Alagoas em 2007.} de Mello]. Diziam que quem tinha um apartamento de dois quartos ia perder um quarto, que 800 mil empresários iam deixar o país se o senhor fosse eleito, que iam confiscar o dinheiro nos bancos, que petistas tinham seqüestrado o empresário Abílio Diniz [empresário brasileiro, dono da Companhia Brasileira de Distribuição, também conhecida como “Grupo Pão de Açúcar”, uma rede de supermercados]. Agora os seus partidários, e o senhor inclusive, têm dito que o Geraldo Alckmin vai privatizar a Petrobras, o Banco do Brasil e os Correios [empresas estatais e de economia mista] e, no programa de ontem ainda, no horário político, falava-se que ele poderá acabar com o Bolsa Família [programa brasileiro de transferência de renda para famílias pobres com o objetivo de acabar com a miséria]. Tem diferença de um comportamento e outro?"
16/10/2006,Luiz Inácio Lula da Silva,4,Luiz Inácio Lula da Silva,"Tem, tem diferença porque, naquele tempo, inclusive, diziam que eu ia fechar as igrejas evangélicas, você esqueceu dessa [gesticulando]... Veja, o que nós falamos do meu adversário é um histórico da vida do PSDB [Partido da Social Democracia Brasileira], ou seja, nós não falamos nada mais do que a imprensa brasileira constatou durante todo o mandato do presidente Fernando Henrique Cardoso, do mandato do governador Alckmin, que privatizaram quase tudo que tinha no estado de São Paulo e no Brasil, apenas nós contatamos isso. Nós temos precedentes de pessoas ligadas ao governo no programa do PFL [Partido da Frente Liberal. Tornou-se Democratas em 2007] que fala de privatizar o que puder privatizar. Eu tenho dito que a idéia deles básica é o seguinte: O trabalho administrativo deles é vender o patrimônio público, gastar o patrimônio público e, depois, as dívidas não se quer, sequer são pagas. Ora, se ele não vai fazer, ele que diga que não vai fazer."
16/10/2006,Luiz Inácio Lula da Silva,5,Paulo Markun,Mas se ele já disse não é o caso.
16/10/2006,Luiz Inácio Lula da Silva,6,Luiz Inácio Lula da Silva,"Mas ele que diga que ele não vai fazer, não... Veja, ele acabou de privatizar a Cetesb [Companhia de Tecnologia e Saneamento Ambiental de São Paulo], em São Paulo, acabou de privatizar, faz pouquíssimo tempo que ele privatizou, portanto, nós não estamos inventando alguma coisa, nós estamos insinuando. Ele que diga textualmente que não vai fazer, ele pode dizer para a opinião pública: “Estou assinando um documento aqui que não vou privatizar coisíssima nenhuma” e acabou, fica o dito pelo não dito. Agora, a prática não tem sido essa, a prática do PSDB não tem sido essa [sendo interrompido], a prática deles tem sido privatizar."
16/10/2006,Luiz Inácio Lula da Silva,7,Cristiano Romero,"Presidente, por que o senhor é contra a privatização?"
16/10/2006,Luiz Inácio Lula da Silva,8,Luiz Inácio Lula da Silva,"Veja, eu sou contra a privatização daqueles setores que são considerados estratégicos para a soberania nacional."
16/10/2006,Luiz Inácio Lula da Silva,9,Cristiano Romero,"O senhor disse que não privatizaria as teles [referindo-se às empresas de telecomunicações], ou seja, as teles privatizadas investiram cerca de 160 bilhões desde a privatização, em 1998. O senhor acha que o Estado teria condições de bancar esse investimento? O Estado que o senhor, enfim, administra teria condições de fazer esse investimento?"
16/10/2006,Luiz Inácio Lula da Silva,10,Luiz Inácio Lula da Silva,"Veja, primeiro eu disse que não privatizaria, já está privatizada, agora nós temos que lidar com as empresas privatizadas. Segundo, porque é importante lembrar que este país deu um salto de qualidade extraordinário com a Embratel [Empresa Brasileira de Telecomunicações. Uma das maiores empresas de telecomunicações do Brasil. Desde 2004, a Embratel passou a ser dirigida pela Telmex, empresa mexicana fundada em 1947] , sabe, num momento importante, quando as pessoas diziam que o telefone era caro. As pessoas se esqueciam de dizer que o povo que comprava um telefone era acionista e, portanto, ele era dono de um patrimônio, sabe, que não era descartável."
