DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
04/06/1990,Márcio Souza,1,[...],"[Programa ao vivo, permitindo a participação dos telespectadores]"
04/06/1990,Márcio Souza,2,Rodolfo Konder,"Boa noite. Estamos transmitindo mais um Roda Viva. O convidado desta noite é o escritor Márcio Souza. Para entrevistá-lo, temos os seguintes convidados: Felipe Lindoso, editor da Marco Zero; Jefferson Del Rios, jornalista e crítico de teatro; Alexandre Machado... o convidado Alexandre Machado ainda não chegou; Djalma Limongi Batista, cineasta; Júlio Carlos Duarte, diretor executivo da revista Leia; Deonísio da Silva, escritor; Rinaldo Gama, editor assistente de artes e espetáculos da revista Veja; Ricardo Amaral, subeditor de política do jornal O Estado de S. Paulo. Para registrar os melhores momentos do programa, está conosco também o cartunista Paulo Caruso. Na platéia, assistem ao programa, convidados da produção. Amazonense de Manaus, o escritor Márcio Souza tem 44 anos, está certo?"
04/06/1990,Márcio Souza,3,Márcio de Souza,Correto.
04/06/1990,Márcio Souza,4,Rodolfo Konder,"E é do signo de peixes. Filho mais velho do operário gráfico e sindicalista Jamaci e de dona América, Márcio herdou do pai a paixão pela literatura. Essa paixão estendeu-se ao cinema e, aos 14 anos, já escrevia críticas nos jornais de Manaus. Aos 17 anos, deixa a casa do pai e se muda para São Paulo, vem estudar ciências sociais na USP, mas larga o curso em 1969. Nessa época é preso duas vezes por motivos políticos. Ao mesmo tempo em que faz a faculdade, escreve roteiros, faz assistência de produção e direção em curtas e médias para a Boca do Lixo {Boca do Lixo: Região da cidade de São Paulo, reduto da malandragem e prostituição e polo de produção de cinema popular e de baixo custo, na década de 1960, cujos filmes tinham grande apelo sexual (as pornochanchadas), ou eram do chamado “cinema marginal” (retratando excluídos e personagens do submundo) - em sua fase de decadência produziu apenas filmes pornoeróticos de baixa qualidade, ainda mais prejudicados pela censura da ditadura militar. Apesar disso, foi berço de muitos diretores e atores de cinema, teatro e televisão que alcançariam sucesso.}. Ainda em 1967, publica seu primeiro livro, O mostrador de sombras, um volume de crítica que não faz sucesso nem entre os amigos. Depois das prisões, põe o pé no mundo, vai a Nova Iorque, Paris, Londres, Amsterdã, Bogotá e Lima. Volta a Manaus em 1973 e passa a dirigir o teatro experimental do Sesc. Faz também um filme, A selva, que causa um grande mal-estar, porque mostra uma Amazônia sem papagaios. Durante esse tempo já vinha gestando o que se torna o passaporte para o sucesso, ao ser lançado em 1976, o romance folhetim Galvez, o imperador do Acre. O livro virou peça de teatro e teve os direitos para o cinema comprados por Hector Babenco [roteirista, produtor e diretor de cinema, nascido na Argentina e naturalizado brasileiro – ver entrevista com Babenco no Roda Viva] e ainda lhe rende muitos dólares pelas traduções em diversas línguas. Quantas línguas?"
04/06/1990,Márcio Souza,5,Márcio de Souza,Doze.
04/06/1990,Márcio Souza,6,Rodolfo Konder,"Doze línguas. Na esteira de Galvez, vieram outros nove livros, entre eles Mad Maria, A ordem do dia e A condolência, além de dez peças de teatro. Esse trabalho lhe rende hoje a tranqüilidade de poder viver exclusivamente de direitos autorais. Felipe Lindoso, o sócio da editora Marco Zero, diz que Márcio é um convicto desde 1983, quando deixou Manaus. E mora hoje na praia do Leme, no Rio de Janeiro, de onde não se muda de jeito nenhum. É convicto também no casamento: vive há 18 anos com a jornalista gaúcha Ida Vicenzia. E também não abandonou a questão amazônica. Márcio está agora na praça com a história e ensaio O empate contra Chico Mendes {Chico Mendes: Francisco Alves Mendes Filho (1944-1988), mais conhecido como Chico Mendes, de líder sindical e seringueiro, transformou-se em símbolo de luta pela preservação da Amazônia, que lhe custou a própria vida. Foi assassinado em 22 de dezembro de 1988 com um tiro de espingarda na porta de sua casa. O fazendeiro Darly Alves e o filho Darcy foram apontados como mandante e autor, respectivamente, do crime. Em 1990, os dois foram condenados a 19 anos de prisão, mas fugiram da prisão em Rio Branco, em fevereiro de 1993, sendo recapturados três anos depois. Chico Mendes é considerado também um dos precursores do ambientalismo no Brasil, pois defendia a exploração dos recursos naturais de maneira sustentável. Lutou intensamente contra a transformação da floresta em pasto para criação de gado. No fim da década de 1970, a luta dos seringueiros do Acre chegou à imprensa nacional e internacional devido aos “empates”, eventos em que grupos de seringueiros, mulheres e crianças formavam barreiras humanas para impedir o trabalho das motosserras. Com a repercussão dos empates e a ativa liderança de Chico sobre os trabalhadores da floresta, ele passou a ser odiado e perseguido por políticos e fazendeiros da região, dos quais passou a receber ameaças constantes até ser de fato morto.}. O livro lançado ao mesmo tempo no Brasil e em vários países da Europa fala da morte do seringalista Chico Mendes e denuncia quem o escritor considera os verdadeiros responsáveis pela destruição da Amazônia. Márcio, boa noite."
04/06/1990,Márcio Souza,7,Márcio Souza,Boa noite.
04/06/1990,Márcio Souza,8,Rodolfo Konder,"Você, com Galvez, o imperador do Acre, disse uma vez que queria mostrar como é cruel a história do colonialismo na Amazônia. Agora, com O empate contra Chico Mendes, você retoma um pouco esse tema, só que os inimigos da Amazônia... A Amazônia nesse momento está nesse centro de grandes discussões, inclusive internacionais. Os inimigos da Amazônia mudaram, são outros? Quem são os inimigos da Amazônia hoje?"
04/06/1990,Márcio Souza,9,Márcio Souza,"Olha, o interessante é que a história da minha região é uma história bastante constante. Na verdade, os inimigos continuam exatamente os mesmos. E a história parece que se repete sempre exatamente igual na região – e como farsa desde o início–. Hoje nós temos uma encenação que já aconteceu, por exemplo, no início do século, com as denúncias feitas por um missionário protestante, que denunciou a existência de índios escravizados nos seringais, de uma região não muito distante do Acre, que era o rio Putumayo, entre o Brasil e o Peru. Ele fez essa denúncia, foi um escândalo internacional, apareceram amigos da região, solidariedade em relação à região. E já tinham ocorrido também coisas semelhantes de viajantes no século 18, no século 19. Enfim, os amigos e inimigos são exatamente os mesmos."
04/06/1990,Márcio Souza,10,Rodolfo Konder,"E você pretende, nesse novo livro sobre Chico Mendes, retomar esse tema, fazer as denúncias e examinar em profundidade essa questão da Amazônia?"
