DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
21/06/2004,Marco Aurélio Garcia,1,[...],[programa ao vivo]
21/06/2004,Marco Aurélio Garcia,2,Paulo Paulo Markun,"Boa noite. Num momento de impasse no sistema mundial de comércio, muito gente pergunta quais as dificuldades e as possibilidades do Brasil no mercado internacional. E qual é a chance real que o país tem de aumentar parcerias e achar um espaço melhor no mercado mundial. Na semana passada, representantes de 192 países se reuniram aqui em São Paulo na Unctad, Conferência das Nações Unidas para Comércio e Desenvolvimento, e discutiram idéias e possibilidades para o novo comércio global. Hoje, o Roda Viva discute esse tema. Nosso convidado é Marco Aurélio Garcia, assessor especial de política externa da Presidência da República e um dos responsáveis pelos novos posicionamentos do Brasil nas relações internacionais."
21/06/2004,Marco Aurélio Garcia,3,[Comentarista],"Vem de longe o envolvimento de Marco Aurélio Garcia com assuntos internacionais. Um dos fundadores do PT, em 1980, atuou durante mais de dez anos como secretário de Relações Internacionais do partido, além de ter sido também um dos principais coordenadores dos programas de governo de Lula nas sucessivas campanhas presidenciais do PT. Advogado, filósofo, pós-graduado na Escola de Altos Estudos e Ciências Sociais de Paris, Marco Aurélio Garcia é professor licenciado de história, na Unicamp, a Universidade de Campinas. Foi secretário da Cultura de São Paulo, no início da administração Marta Suplicy [prefeita da cidade de São Paulo no período de 2001 a 2004] e, com a eleição do presidente Lula, assumiu a assessoria especial de política externa da Presidência da República. Foi um sinal do governo de que as relações internacionais brasileiras tomariam rumos diferentes da política tradicional do Itamaraty. A ênfase nas relações sul-americanas ficou clara logo de início. Um dia depois de ter sido confirmado no cargo, Marco Aurélio foi enviado pelo presidente Lula à Venezuela, marcando a participação brasileira na busca de soluções para a crise que ameaçava o governo do presidente venezuelano Hugo Chávez [crise Venezuela {crise Venezuela: Em dezembro de 2002, a Venezuela passou por uma grave crise econômica em decorrência do locaute da empresa estatal petrolífera PDSVA (Petróleo de Venezuela Sociedade Anônima) que tinha como objetivo desestabilizar o governo de Hugo Chávez. Eleito presidente da Venezuela em 1998, com discurso e apoio de partidos de esquerda, Chávez foi um dos responsáveis pelas alterações na Constituição do país - principalmente para permitir a sua recondução à Presidência - aprovando projetos sociais com o capital petrolífero que fizeram crescer enormemente o apoio popular ao seu governo. A PDSVA é a quinta exportadora mundial de petróleo bruto e contribui com a metade da receita para o orçamento nacional. Com a paralisação, houve atrasos nas exportações de petróleo e também diminuição no transporte e distribuição de gasolina, gerando a falta de alimentos. O locaute só acabou depois que Chávez conseguiu que militares e funcionários da estatal atuassem na empresa. Além disso, foi nesse período que o Brasil, sob a coordenação de Lula, que ainda não havia assumido a Presidência, enviou uma carga de gasolina para normalizar o abastecimento do mercado interno no país a pedido de Marco Aurélio Garcia, que havia visitado o país. Ver entrevista com Hugo Chávez no Roda Viva.}]. Rebatendo críticas de que seu cargo conflitava com a ação do Ministério das Relações Exteriores e sempre afirmando que trabalha afinado com o chanceler Celso Amorim, Marco Aurélio Garcia tem papel fundamental na formulação da política externa do governo Lula. Atua tanto nos preparativos das viagens do presidente da República, quanto nos encaminhamentos das negociações que buscam abrir novos caminhos para o Brasil no mercado internacional. Essa política tem se baseado, cada vez mais, na assinatura direta com outros países como forma do Brasil escapar do forte protecionismo dos grandes blocos econômicos, como o dos EUA e da comunidade européia. É nessa perspectiva de encontrar novos parceiros e através de acordos bilaterais que o Brasil busca ter melhores resultados no comércio externo e relacionar esses resultados a um projeto de desenvolvimento interno."
21/06/2004,Marco Aurélio Garcia,4,Paulo Markun,"Para entrevistar Marco Aurélio Garcia, nós convidamos: Sérgio Malbergier, editor do Caderno Mundo do jornal Folha de S.Paulo; Lourival Sant'Anna, repórter especial do jornal Estado de S. Paulo; Ilimar Franco, repórter de política da sucursal de Brasília do jornal O Globo; Jaime Spitzcovsky, editor chefe do site Terra e membro do Grupo de Análise de Conjuntura Internacional da Universidade de São Paulo; convidamos também Reinaldo Azevedo, diretor de redação da revista e do site Primeira Leitura e, Demétrio Magnoli, editor do jornal Mundo, Geografia e Política Internacional dirigido a estudantes. O Roda Viva é transmitido em rede nacional para todos os estados brasileiros e também para Brasília pela rede pública de televisão [...] Boa noite, professor."
21/06/2004,Marco Aurélio Garcia,5,Marco Aurélio Garcia,Boa noite.
21/06/2004,Marco Aurélio Garcia,6,Paulo Markun,"Nós vamos começar falando não da política internacional e nem nada disso, mas do fato que aconteceu agora, às 21h20 da noite, que foi a morte de Leonel Brizola {Leonel Brizola: Leonel Brizola (1922-2004), influente político, nascido no Rio Grande do Sul, lançado na vida pública por Getúlio Vargas, de quem era conterrâneo, foi o único político eleito pelo povo para governar dois estados diferentes (Rio Grande do Sul e Rio de Janeiro) em toda história do Brasil. Exerceu também a presidência de honra da Internacional Socialista. Brizola foi prefeito de Porto Alegre, governador do Rio Grande do Sul, deputado federal pelo extinto estado da Guanabara, e duas vezes governador do Rio de Janeiro, quando criou, junto com Darcy Ribeiro, um modelo de escola chamado Ciep. Sua influência política no Brasil durou aproximadamente cinqüenta anos dando origem ao movimento político denominado brizolismo, formado por um fervoroso eleitorado. Teve brigas famosas com poderosos, começando com a resistência contra o veto dos militares à posse de João Goulart (que era seu cunhado) após a renúncia de Jânio Quadros, colocando tropas no palácio do governo gaúcho e obtendo adesão do III Exército, num impasse que se resolveria quando os militares aceitaram a fórmula conciliadora do parlamentarismo que viabilizou a posse de Jango. Foi um dos líderes da resistência à ditadura militar, período em que ficou exilado. É marcante também a briga que manteve durante anos com a Rede Globo de Televisão. Por duas vezes foi candidato a presidente do Brasil pelo PDT, partido que fundou em 1980, não conseguindo se eleger. Morreu aos 82 anos de idade, vitimado por problemas cardíacos.}, presidente nacional do PDT, uma figura única na história brasileira. Eu sei que você o conheceu bem, não só pelo fato dele ser gaúcho também, mas pelo fato de que na época em que Brizola teve seu maior protagonismo na história brasileira, em 1961, na renúncia de Jânio Quadros {Jânio Quadros: Jânio da Silva Quadros (1917-1992) nasceu no estado do Mato Grosso mas destacou-se como político em São Paulo onde foi deputado, prefeito e governador. Foi presidente do Brasil de janeiro a agosto de 1961, sendo eleito com 5,6 milhões de votos - a maior votação até então jamais obtida no país. Renunciou alegando que “forças ocultas” o obrigavam a isso. Acredita-se que essa renúncia era uma encenação para que o Parlamento lhe concedesse liberdade governamental e para obter o apoio do exército. Figura singular, falava um português peculiarmente castiço e tomou medidas famosas, destinadas a criar uma imagem de inovação dos costumes e saneamento moral, como a proibição de biquínis, do lança-perfume e das brigas de galos. A criação de reservas indígenas, novas formas de relações internacionais e a condecoração do guerrilheiro Che Guevara foram outras de suas ações espetaculares. Utilizava uma vassoura como símbolo de campanha sinalizando que varreria a corrupção do governo.}, o senhor era vice-presidente da UNE [União Nacional de Estudantes] e acabou indo parar no Rio Grande do Sul. O senhor estava relembrando isso agora há pouco... Primeiro, qual é a avaliação que o senhor faz do Brizola e como o senhor o conheceu?"
21/06/2004,Marco Aurélio Garcia,7,Marco Aurélio Garcia,"Eu acho que é uma perda importante para a política brasileira. É uma figura muito controvertida, mas bastariam alguns momentos da sua extensa carreira política para justificar a sua presença na história do Brasil, na história republicana. E eu acho que um desses momentos, justamente, é o episódio da legalidade [cadeia da legalidade {cadeia da legalidade: Principal foco de resistência ao veto dos militares à posse do vice-presidente João Goulart (Jango), depois da renúncia de Jânio Quadros em 1961, no Dia do Soldado, 25 de agosto. O momento era perigoso à ordem democrática: setores conservadores viam Jango como representante do comunismo; ele encontrava-se na China, país comunista, no auge da Guerra Fria (naquele ano foi construído o Muro de Berlim e os EUA tentaram invadir Cuba). Após a reação militar, Leonel Brizola, governador do Rio Grande do Sul, fechou as rádios Farroupilha e Guaíba e passou a fazer pronunciamentos nesta última, junto com jornalistas, radialistas e políticos, tentando garantir a posse. Recebeu apoio do III Exército, em especial do general Machado Lopes, distribuiram-se armas e ergueram-se barricadas nas ruas. Os militares só aceitaram Jango quando o Congresso instalou o parlamentarismo no país ‐ no qual o chefe de governo é o primeiro-ministro.}]. Nessa ocasião, nós tínhamos sido recém empossados na União Nacional dos Estudantes quando houve a renúncia do presidente Jânio Quadros, com quem nós havíamos estado na véspera. E, com a tentativa de golpe de Estado por parte de alguns militares, a sede da UNE foi ocupada e os meus colegas de diretoria decidiram que [...] saudoso dirigente estudantil daquela época, que morreu recentemente e eu, pelo fato de sermos gaúchos, deveríamos ir para Porto Alegre para tentar transferir a sede da UNE para lá porque era um dos poucos lugares seguros. Nós estávamos sendo procurados pela polícia e vivendo, talvez, o que seria a nossa primeira experiência de clandestinidade. E foi efetivamente o que nós fizemos, saímos no último avião do Rio de Janeiro e, chegando a Porto Alegre, num dia crucial, que foi o dia em que, justamente, o general Machado Lopes [na época, comandante do III Exército], depois de uma certa hesitação, aderiu à tese da legalidade e nós conseguimos manter um contato com o governador Brizola, e partir daí, acertar as condições que permitiram a transferência da UNE para Porto Alegre. Daí então, ela pôde, pela cadeia da legalidade, conclamar os estudantes brasileiros todos a resistir ao intento de golpe, que havia naquele momento. Depois, evidentemente, cruzei várias vezes com o governador, seja no exílio e, mais recentemente, na história política do PT, nós tivemos muitos encontros e alguns desencontros. De qualquer maneira, eu acho que a política brasileira está mais pobre hoje com a morte dessa figura controvertida, mas, sem dúvida nenhuma, um líder respeitável."
21/06/2004,Marco Aurélio Garcia,8,Paulo Markun,"Muito bem, vamos falar, então, de política internacional. Qual é o balanço que o senhor faz dessa reunião da Unctad? Houve alguma coisa efetiva ou a política internacional só se move nos interesses do império do governo americano e da sua gigantesca força?"
21/06/2004,Marco Aurélio Garcia,9,Marco Aurélio Garcia,"Veja bem, as reuniões internacionais sempre são muito difíceis de avaliar no imediato. Elas, em geral, são pontos de convergência de certas tendências e também, quando são exitosas, instauram novos períodos. Eu tenho a impressão que a reunião da Unctad reúne essas duas condições. Ela significa, sem dúvida nenhuma, um movimento, por parte dos países em desenvolvimento, no sentido de estabelecer um novo trato, um novo pacto, no que diz respeito às questões econômicas e comerciais. E a impressão que eu tenho também, nos debates aí ocorridos, é de que nós tivemos condições de assentar bases para um novo relacionamento. Um traço que deve ser destacado e que foi mencionado, inclusive, antes da própria reunião da Unctad, é que, nos últimos anos vêm se acentuando muito o comércio sul-sul e vêm se multiplicando também reações muito claras, da parte dos países em desenvolvimento, de práticas protecionistas. Nós tivemos vários episódios que ilustram isso: a reunião de Cancun, onde formou-se o G-20, o próprio rumo das negociações para a formação da área de livre comércio [refere-se à 5ª Conferência Ministerial da Organização Mundial do Comércio (OMC), realizada em Cancún, no México em setembro de 2003. Foi para essa reunião que chefes de Estados de vinte países em desenvolvimento formaram um grupo, denominado G-20, com o objetivo de discutir e defender temas relacionados à agricultura]. Enfim, eu tenho a impressão que todas esses elementos configuram, sem dúvida nenhuma, uma nova postura dos países em desenvolvimento e nós temos certeza que desaguaram de forma muito positiva na reunião da Unctad, aqui, em São Paulo, e, sem dúvida nenhuma, vão ter desdobramentos posteriores que eu acho úteis."
21/06/2004,Marco Aurélio Garcia,10,Paulo Markun,"Isso tem uma carga de terceiro-mundismo, novo terceiro-mundismo, ou uma movimentação de países não alinhados? Se é que essas expressões fazem sentido na realidade de hoje..."
