DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
14/08/2000,Mário Covas,1,[...],[programa ao vivo]
14/08/2000,Mário Covas,2,Paulo Markun,"Boa noite. O horário eleitoral gratuito, que começa amanhã no rádio e na televisão, vai dar início à etapa mais agitada da campanha dos candidatos a vereador e a prefeito. As eleições municipais deste ano, além de permitirem, pela primeira vez, a reeleição de prefeitos, também terão outra importância: vão organizar forças e determinar alguns rumos na corrida presidencial de 2002. Para discutir o quadro político que se desenha a partir de agora no país, e também porque o tema sucessão presidencial passa necessariamente por São Paulo, o Roda Viva entrevista esta noite o governador paulista, Mário Covas. Para participar da entrevista, nós convidamos: Ricardo Amaral, repórter especial de política da sucursal de Brasília do jornal Valor Econômico; Dora Kramer, colunista de política do Jornal do Brasil; Eliane Cantanhêde, diretora da sucursal de Brasília do jornal Folha de S. Paulo; Gerson Camarotti, repórter especial do jornal O Estado de S. Paulo; Ricardo Kotscho, repórter sênior da revista Época; e a jornalista Mônica Teixeira, da TV Cultura de São Paulo. Boa noite, governador."
14/08/2000,Mário Covas,3,Mário Covas,Boa noite.
14/08/2000,Mário Covas,4,Paulo Markun,"Nós estamos começando aqui o Roda Viva no dia em que a TV Cultura assume publicamente o slogan de jornalismo público, independente do poder e do mercado. Eu sei que há muitos telespectadores que confundem, e alguns jornalistas também, TV pública com TV estatal. Então, eu queria que o senhor dissesse, do ponto de vista do senhor, como o senhor encara a TV Cultura. O que ela é para o governo de São Paulo?"
14/08/2000,Mário Covas,5,Mário Covas,"Para o governo de São Paulo, ela é exatamente isso que ela pretende ser hoje, isto é, uma TV pública. Estatal, ela não é. A interferência do poder executivo, e até mesmo do poder legislativo, aqui na TV Cultura é nenhuma. É nenhuma."
14/08/2000,Mário Covas,6,Paulo Markun,Mas é o governo do estado que paga a maior parte da conta.
14/08/2000,Mário Covas,7,Mário Covas,"A intervenção é nenhuma; a conta, é ele que paga. Isso não tem dúvida. Mas simplesmente o estado decidiu ter uma TV pública e, portanto, faz esse investimento anualmente. Eu acho que a diferença entre uma TV estatal e uma TV pública é que a TV estatal fica sob comando da área estatal, fica sob comando do executivo. Há estados que ainda são assim, onde a TV está subordinada ao chefe do executivo na hierarquia, que tem as outras secretarias ou outros instrumentos de governo. Aqui não, aqui nós temos uma TV totalmente comandada por um conselho, um conselho com as suas regras próprias, com as suas eleições e reeleições previamente determinadas, e que atua em todos os campos. É lógico que quando se trata de recursos adicionais ou qualquer coisa desse tipo, há sempre uma discussão, como qualquer outro setor tem, mas, fora isso, a atividade da TV é uma atividade totalmente independente, tal qual a universidade, por exemplo. As universidades em São Paulo têm total autonomia. Elas recebem uma parcela do orçamento – diferente da TV, que é calculada ano a ano –, mas as universidades recebem 9,57% do ICMS que o estado recebe, e portanto têm total independência, total autonomia e funcionam como tal."
14/08/2000,Mário Covas,8,Ricardo Amaral,"Governador Mário Covas, desculpe interromper, nesse conceito que o senhor está expondo de TV pública, seria cabível um episódio, como houve recentemente, da interdição da divulgação de uma entrevista de um adversário do governo? Eu estou citando, nominalmente, o presidente do MST, João Pedro Stédile. Recentemente, houve uma intervenção, não do senhor, mas de uma autoridade federal, para evitar que esse programa, essa entrevista, fosse divulgada dentro da amplitude planejada [no dia 5/5/2000, o ministro-chefe da Secretaria de Comunicação do governo, Andrea Matarazzo, impediu que a entrevista do dirigente do MST ao programa Opinião Nacional fosse transmitida em rede pela TV Educativa]. Esse conceito de que o senhor fala impediria esse tipo de coisa?"
14/08/2000,Mário Covas,9,Mário Covas,"Bem, eu acho que eu dei a resposta no dia seguinte, quando me contaram essa história. Eu disse: olha, se eu estivesse lá, eu não obedeceria à ordem, eu passaria o programa. Se dependesse de mim, se essa ordem fosse dada para mim, eu passaria o programa."
14/08/2000,Mário Covas,10,[...],[sobreposição de vozes]
14/08/2000,Mário Covas,11,Ricardo Amaral,E teria o seu emprego garantido no dia seguinte?
14/08/2000,Mário Covas,12,Mário Covas,"Aí não há nenhum problema de ser estatal ou pública, é problema de liberdade de comunicação, liberdade de pensamento, a eliminação de qualquer tipo de censura..."
14/08/2000,Mário Covas,13,Paulo Markun,Só [queria] esclarecer que essa entrevista mencionada foi exibida pela TV Cultura e não foi retransmitida [pela TV Educativa].
14/08/2000,Mário Covas,14,Mário Covas,"Eu sei que foi exibida pela TV Cultura. Todavia, eu podia até discordar... de fato não foi, pelo contrário. Achei absolutamente correto. Não tem nenhum sentido a TV [não] oferecer a oportunidade do seu microfone para qualquer cidadão que apresente algum nível de interesse para a sociedade, independente de a gente concordar ou não com as posições desse cidadão. Ou então você não poderia fazer política multipartidária."
