DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
01/10/2007,Nelson Jobim,1,Paulo Markun,"A crise aérea acaba de completar um ano e o Roda Viva entrevista hoje Nelson Jobim, novo ministro da Defesa, responsável pelo setor da aviação e pela reformulação do Plano Nacional de Defesa. Você vê a entrevista em um instante."
01/10/2007,Nelson Jobim,2,[...],[intervalo]
01/10/2007,Nelson Jobim,3,Paulo Markun,"Nelson Jobim integra uma lista de quase uma dezena de políticos que trabalharam, ou estavam politicamente ligados ao governo Fernando Henrique [Fernando Henrique Cardoso, sociólogo e presidente do Brasil entre 1994 e 2002 pelo Partido da Social Democracia Brasileira (PSDB)] e que foram chamados para fazer parte da administração Lula [Luis Inácio Lula da Silva, presidente do Brasil desde 2003 pelo Partido dos Trabalhadores (PT)]. À frente do Ministério da Defesa, ele assume uma área delicada: militares insatisfeitos com salários, falta de verba para as Forças Armadas e a desorganização que se abateu sobre o sistema de transporte aéreo do país."
01/10/2007,Nelson Jobim,4,[Comentarista],"Nelson Jobim é o quarto ministro de Lula na Defesa. E o sexto desde que o órgão foi criado em 1999 por Fernando Henrique Cardoso para integrar as três Forças Armadas [Exército, Marinha e Aeronáutica] e colocá-las sob o comando de um ministro civil. Gaúcho de Santa Maria e formado em direito, Jobim começou carreira política nos anos 1980 e se elegeu duas vezes deputado federal pelo Rio Grande do Sul. Em 1995, foi ministro da Justiça de FHC [Fernando Henrique Cardoso] e depois ministro e presidente do Supremo Tribunal Federal. Aposentado em 2006, tentou disputar a presidência do PMDB [Partido do Movimento Democrático Brasileiro], mas desistiu. Voltou agora à cena federal como ministro da Defesa no pico da crise do setor aéreo, desencadeada depois do acidente com o Boeing da Gol [empresa Gol Linhas Aéreas] na Amazônia, no ano passado. O choque do Boeing com um jato executivo, que deixou 154 mortos, levantou suspeitas sobre a segurança do controle aéreo no país. Acusados e pressionados, os controladores reagiram até com motins para protestar contra o excesso de trabalho, falhas em equipamentos e defasagem tecnológica do sistema de controle do tráfego de aviões. Atrasos e cancelamentos de vôos provocaram tumultos nos aeroportos, prejuízos econômicos e conflito político em Brasília. Duas CPIs [Comissão Parlamentar de Inquérito] foram criadas - uma na Câmara, outra no Senado - para apurar responsabilidades pelo apagão aéreo. Mas tudo ficou ainda pior em julho deste ano, com o mais grave desastre aéreo do Brasil com o Airbus da TAM em São Paulo e que matou 199 pessoas. Exploração comercial excessiva, infra-estrutura saturada, incapacidade administrativa, denúncias de irregularidades, descaso, erro humano. A tragédia de Congonhas [Aeroporto de Congonhas, em São Paulo] expôs ainda mais os problemas do setor aéreo, questionando principalmente a ação dos órgãos de controle, no caso, a Anac [Agência Nacional de Aviação Civil], a agência que regula o transporte aéreo, e a Infraero [Empresa Brasileira de Infra-estrutura Aeroportuária], empresa que administra os aeroportos. Desgastado por dez meses de crise, o então ministro da Defesa, Waldir Pires, foi substituído por Nelson Jobim que, de imediato, deu início ao processo de troca das diretorias da Infraero e da Anac, além de abrir investigação sobre irregularidades nas duas empresas. O novo ministro também determinou a reforma da pista do aeroporto de Guarulhos [Aeroporto Internacional de São Paulo Governador André Franco Montoro, também conhecido como aeroporto de Cumbica], reduziu as pistas de Congonhas para criar áreas de escape, diminuindo também o número de operações diárias e de conexões no aeroporto mais movimentado do país. Mas a reestruturação do setor aéreo terá que enfrentar suas próprias estatísticas. O número de passageiros cresceu de 72 milhões, em 2003, para 102 milhões, em 2006. O aumento é de 42%. O número de aeronaves, no entanto, caiu. Em 2003, a frota era de trezentos e cinqüenta aviões. Em 2006, 265, 25% a menos. Com isso, os aviões passaram a voar mais horas por dia. Em 2003, eram sete horas por dia. Em 2006, passou para três horas por dia, 86% a mais. O tempo de manutenção da frota diminuiu. A pontualidade também. Em 2003, o atraso atingia 14% dos vôos. Em 2006, os atrasos envolveram 25% dos vôos. Quanto à segurança das pistas, oito dos dez principais aeroportos do país apresentam defeitos, que vão de pista escorregadia até buracos nos asfalto. Entre todos, só Cumbica tem um sistema completo de segurança. Relatório recente da Iata [sigla em inglês da Associação Internacional em Transporte Aéreo] informou que o Brasil teve 3,5 vezes mais acidentes do que a média mundial em 2006, e que o controle de tráfego aéreo compromete a segurança dos vôos no país."
01/10/2007,Nelson Jobim,5,Paulo Markun,"Para entrevistar o ministro da Defesa, Nelson Jobim, convidamos Roberto Godoy, jornalista do jornal O Estado de S. Paulo, especialista em assuntos militares; Merval Pereira, colunista de O Globo; Eliana Cantanhêde, colunista do jornal Folha de S. Paulo; Mário Simas Filho, editor-chefe da revista IstoÉ; Eliézer Rizzo de Oliveira, pesquisador do Núcleo de Estudos Estratégicos da Universidade Estadual de Campinas. Convidamos também João Roberto Martins Filho, sociólogo e professor da Universidade Federal de São Carlos e presidente da Associação de Estudos de Defesa. Temos a participação do cartunista Paulo Caruso, registrando em seus desenhos os momentos e flagrantes do programa. O Roda Viva é transmitido em rede nacional de TV pela rede pública para todo o Brasil. Também é transmitido pela Rádio Cultura AM. Para participar, você pode fazer sua pergunta pelo telefone (11) 3677-1310 ou pelo fax (11) 3677-1311, e pode também mandar sua pergunta pelo site . Boa noite, ministro."
01/10/2007,Nelson Jobim,6,Nelson Jobim,Boa noite.
01/10/2007,Nelson Jobim,7,Paulo Markun,"A gente pode ter a impressão de que o auge da crise aérea ficou para trás, evidentemente isso é indiscutível. O senhor acha que em algum momento nós teremos um raio X completo do que aconteceu, para que se possa saber as responsabilidades efetivas?"
01/10/2007,Nelson Jobim,8,Nelson Jobim,"Bem, o Decea [Departamento de Controle do Espaço Aéreo], que é o organismo que verifica não a responsabilidade, mas as causas dos dois acidentes, tanto da Gol como da TAM no Brasil, já está encerrando a parte relativa à Gol. O da TAM, ainda há algumas análises a fazer para verificar as causas do acidente e recomendar providências. Veja bem, o Decea não apura responsabilidades..."
01/10/2007,Nelson Jobim,9,Paulo Markun,"[interrompendo] Mas nós estamos falando... Eu perguntei, ministro, não exatamente sobre os acidentes - porque acidentes a gente apura a causa, em todos os países - mas eu digo do apagão aéreo, da crise aérea, seja como for que a gente denominar essa seqüência de problemas que se inicia muito claramente no acidente da Gol e se potencializa no acidente da TAM."
01/10/2007,Nelson Jobim,10,Nelson Jobim,"Houve uma série de problemas que nós estamos tentando compor. Principalmente, houve uma espécie de desorganização do sistema. As entidades vão conversar entre si, a Infraero, Anac, a Conac [Conselho de Aviação Civil]. Faltava uma estruturação do sistema e nós fizemos uma linha de princípio e ordem no sistema. Ou seja, nós temos de um lado a Infraero, que opera com a infra-estrutura portuária, isto é, aeroportos, pistas, etc, e a Anac, que opera com a fiscalização e regulação. E esses organismos não estavam, digamos, concatenados, no sentido de atender a uma regra. E o que nós precisamos fazer é exatamente isso, via Conac, que é o órgão máximo do sistema. Procurarmos otimizar e maximizar o uso da infra-estrutura portuária, a bem do cliente, do consumidor. E essa maximização definida pelo Conac, a ser executada pela Anac e Infraero, além do Decea, que faz o controle aéreo, nos leva a ter segurança, regularidade, pontualidade, qualidade dos serviços e preços."
