DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
13/08/2007,Nouriel Roubini,1,[...],[Programa gravado não permitindo a participação de telespectadores]
13/08/2007,Nouriel Roubini,2,Paulo Markun,"Boa noite. Os americanos estão endividados e muitos não conseguem pagar a prestação da casa própria. Por conta do alto volume de empréstimos de alto risco, o calote que abriu uma crise no mercado imobiliário dos Estados Unidos ameaça espalhar seus efeitos. Para muitos analistas a bolha imobiliária americana [estadunidense] já deu sinais de fraqueza e preocupa agora o mercado financeiro internacional. Para discutir o que está acontecendo na economia dos Estados Unidos e do mundo o Roda Viva entrevista hoje o economista Nouriel Roubini. Ele foi consultor econômico da Casa Branca e se tornou conhecido por sua oposição à política monetária {política monetária: Instrumentos à disposição do governante para controle da quantidade de dinheiro em circulação (a chamada liquidez monetária). Uma política monetária restritiva implica em menos dinheiro circulante, o que acarretará um desaquecimento econômico. O contrário ocorrerá se o governante promover uma política monetária expansiva. Os instrumentos utilizados neste controle são: a taxa de juros praticada pelo Banco Central ao emprestar dinheiro para os bancos comerciais; o depósito compulsório no Banco Central de parte dos depósitos recebidos pelos bancos comerciais de seus clientes; e a negociação de títulos públicos.} do Banco Central americano nos últimos anos. O Roda Viva começa num instante."
13/08/2007,Nouriel Roubini,3,[...],[intervalo]
13/08/2007,Nouriel Roubini,4,Paulo Markun,"Nouriel Roubini é considerado voz dissonante no mercado global. Doutor em economia pela Universidade de Harvard, com especialização em economia internacional e em macroeconomia, ele tem vários livros publicados e atualmente é professor da Universidade de Nova York. Foi da equipe de conselheiros do presidente norte‑americano Bill Clinton, entre 1998 e 1999, e também trabalhou no FMI – o Fundo Monetário Internacional – e no Banco Mundial. Nos últimos anos fez oposição às previsões otimistas do Banco Central americano. Nouriel Roubini alertava que a economia dos Estados Unidos não estava crescendo e, sim, caminhando para uma recessão."
13/08/2007,Nouriel Roubini,5,[Comentarista],"As preocupações com a recessão americana se tornaram mais fortes com os ataques terroristas de setembro de 2001. O presidente Bush [George Walker Bush (período: 2001 – 2009)] chegou a pedir que os americanos fossem às compras, após os atentados, para evitar a retração da economia. Os juros foram reduzidos e, com taxas mais baratas e crédito fácil, muita gente refinanciou a casa própria obtendo com isso dinheiro novo para gastar. O consumo aumentou, o mercado imobiliário aqueceu, e o governo começou a fazer previsões de crescimento da economia. Nouriel Roubini, desde o ano passado, vem na contramão desse pensamento, alertando que os Estados Unidos caminhavam para uma recessão, e criticando o Banco Central pela falta de controle da bolha imobiliária. Com imóveis cada vez mais valorizados, empresas de financiamento expandiram o negócio, facilitando crédito para os chamados clientes classe B. Mesmo sem comprovar renda era fácil obter empréstimo. Mas, dois ou três anos depois, com as prestações corrigidas por juros mais altos, muita gente começou a atrasar ou deixar de pagar as mensalidades. Analistas consideraram que houve exagero e descuido na concessão de empréstimos, e a conseqüente inadimplência com o crescente número de imóveis à venda inverteram a tendência do mercado, derrubando preços de casas e apartamentos – prejuízos para as empresas de crédito e investidores, e turbulência nas bolsas de valores. A possibilidade de a crise imobiliária afetar outras áreas cresceu, e foi recentemente admitida pelo ex‑presidente do Banco Central dos Estados Unidos, Alan Greenspan [período: 1987 – 2006]. O atual presidente Ben Bernanke também já reconheceu que as preocupações com o crédito estão se espalhando para além do mercado imobiliário, embora ainda mantenha a previsão de crescimento econômico, mesmo que moderado. Europa e países emergentes perguntam: o que realmente está acontecendo na economia americana? E que reflexos isso pode ter nos planos de cada um dos parceiros econômicos dos Estados Unidos?"
13/08/2007,Nouriel Roubini,6,Paulo Markun,"Para entrevistar o economista americano Nouriel Roubini, nós convidamos: Luis Nassif, comentarista de economia da TV Cultura; José Paulo Kupfer, chefe da redação do departamento de jornalismo da Rede Gazeta de Televisão e comentarista de economia do Jornal da Gazeta; Maria Lúcia Pádua Lima, coordenadora de relações internacionais da Faculdade de Direito e do Centro de Estudos Estratégicos Internacionais da Fundação Getúlio Vargas. Convidamos ainda Cida Damasco, editora de economia do jornal O Estado de S. Paulo; Alastair Stewart, correspondente da Agência Dow Jones em São Paulo; Sérgio Malbergier, editor de economia da Folha de S. Paulo; e Eduardo Salgado, editor de finanças da revista Exame. Também temos a participação do cartunista Paulo Caruso registrando em seus desenhos os momentos e os principais flagrantes do programa. O Roda Viva é transmitido em rede de TV para todo Brasil pela Rede Pública. Boa noite. Eu queria começar com o seguinte: na questão, por exemplo, do aquecimento global – um fenômeno muito menos decorrente da ação humana direta, do humor da sociedade –, os cientistas tem dificuldades de prever o que é que pode acontecer no futuro. As previsões são: algumas pessimistas, outras catastrofistas e algumas que chamam de realistas. Eu queria entender como é que é possível ser um catastrofista ou pessimista – como o senhor tem sido cunhado – no campo da economia, que é tão mais decorrente do humor da sociedade do que, por exemplo, o clima? Quer dizer, é possível fazer previsão em economia?"
13/08/2007,Nouriel Roubini,7,Nouriel Roubini,"Olá. Boa pergunta. Prever o futuro da economia é tão difícil quanto fazer a previsão do tempo. Mas agora temos sofisticados modelos econômicos que podem nos dar uma previsão de como serão as mudanças climáticas em alguns anos ou o tempo daqui a algumas semanas. Acho que quando você olha as variáveis macroeconômicas e as coloca juntas, você vê padrões. Então você pode ver, por exemplo, porque os EUA [Estados Unidos da América] atravessaram períodos de recessão em 1990 e 2001. O choque foi geral em ambas as ocasiões, com alta do preço do petróleo. E aí você tem, por exemplo, a situação de uma bolha no mercado imobiliário nos anos 1980, quando explodiu. E, novamente, bolhas nesse mercado em 2000, quando houve nova explosão, e então tivemos o aperto da política monetária nos períodos em que o Banco Central aumentou as taxas de juros de novo em 2000. Então, quando olho para as crises no passado e no presente, vejo semelhanças. Essa bolha do mercado imobiliário vai explodir. Nós temos o preço do petróleo subindo a 75 dólares o barril, e o processo de redução ou aumento das taxas de juros pelos bancos centrais. [o preço do petróleo é um indicativo do aquecimento econômico, pois uma maior demanda por energia implica em um preço mais alto para o petróleo] E temos ainda o colapso do crédito no mercado financeiro. Um choque não é suficiente para nos conduzir a uma reviravolta ou a uma recessão econômica, mas sucessivos choques no passado nos conduziram a uma desaceleração econômica, se não a uma recessão. Por isso é que não há só arte, mas também uma ciência nisso."
13/08/2007,Nouriel Roubini,8,José Paulo Kupfer,"Senhor Roubini, diz-se que o economista é aquele sujeito, aquele cidadão que, como um relógio parado, um relógio quebrado, em algum momento vai acertar a hora do dia. O senhor vem falando há vários anos na recessão, nos problemas que a economia americana vai enfrentar, e [por fim] contaminando o resto do mundo. Até agora... O senhor previu problemas em 2005 – se não me engano –, em 2006... Estamos em 2007 e o senhor continua prevendo problemas, e a economia mundial de uma maneira ou outra está aí bastante bem, ainda bastante bem. Ainda que eu concorde com o senhor que... também concordo que o pessimista é um otimista bem informado, eu queria saber se o economista que fica numa posição e não sai dela termina acertando sempre."
13/08/2007,Nouriel Roubini,9,Nouriel Roubini,"Você coloca uma questão válida. Meu ponto de vista não é sempre pessimista, mesmo se tenho observado e analisado, nos últimos anos, por exemplo, as crises que têm ocorrido em uma variedade de mercados emergentes. Então é mais uma questão de tentar entender alguns dos riscos e vulnerabilidades da economia global. O que preocupa os EUA – e não estou sendo catastrófico – é que em 2005, quando havia consenso sobre o crescimento significativo da economia em 2006, eu previ a desaceleração da economia americana, o que de fato aconteceu em 2006. E, há um ano, quando a economia piorou e teve início a crise do mercado imobiliário, eu disse que havia um aumento no risco de recessão econômica. Este ano, os problemas atuais nos mercados financeiro e imobiliário podem levar a uma queda na economia."
13/08/2007,Nouriel Roubini,10,José Paulo Kupfer,"E [a economia] vai “pousar” em crash [de modo turbulento], ou vai pousar suave?"
