DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
22/10/1990,Paulo Roberto Falcão,1,[...],[Programa ao vivo]
22/10/1990,Paulo Roberto Falcão,2,Rodolfo Konder,"Boa noite. Estamos começando mais um Roda Viva [...] O convidado desta noite é o técnico da Seleção Brasileira de Futebol, Paulo Roberto Falcão [...] Para entrevistar Paulo Roberto Falcão estão conosco: Juca Kfouri, diretor editorial do grupo de revistas masculinas da Editora Abril; Ruy Carlos Ostermann, cronista esportivo do jornal Zero Hora e comentarista da Rádio Gaúcha RBS e TV, de Porto Alegre; Oldemário Touguinhó, repórter especial do Jornal do Brasil, sucursal do Rio de Janeiro; Antônio Carlos Ferreira, comentarista do Bom Dia, São Paulo, da TV Globo; Cynthia Greiner, editora executiva da revista Nova; Roberto Avallone, diretor de esporte da TV Gazeta; Roberto Drummond, escritor e cronista do Jornal Hoje, em Belo Horizonte; e Osmar Santos, diretor de esporte da Rádio e TV Record."
22/10/1990,Paulo Roberto Falcão,3,[Comentarista Rodolfo Konder],"Paulo Roberto Falcão nasceu em Chapecó, Santa Catarina. Tem 37 anos, aos dez já jogava em times infantis [entre esses] Juventus, Expressinho São Luiz e Fragata. Um ano depois, entra na escolinha do Internacional, passa para o juvenil e consegue o vice-campeonato brasileiro. Em 1973, já faz parte do time principal do clube que ganha o Campeonato Brasileiro. Logo vem o bicampeonato Gaúcho e o bicampeonato Brasileiro. Em 1980, deixa o Brasil, vai para a Itália jogar na Roma, o time italiano se torna campeã e Falcão o “Rei de Roma”. Em 1984, cria uma grife e entra no mercado da moda, participa de duas copas: 1982 e 1986. Em 1985, rompe com a Roma e passa a apresentar um programa de entrevistas na TV italiana. Na Copa de 1990, mostra a Itália para os brasileiros através da TV Manchete. Sempre gravando teipe de jogos e assistindo aos melhores times do mundo, Paulo Roberto Falcão assumiu em julho passado a direção da Seleção Brasileira propondo novas mudanças e um novo futebol. Boa noite, Falcão."
22/10/1990,Paulo Roberto Falcão,4,Paulo Roberto Falcão,"Boa noite, tudo bem?"
22/10/1990,Paulo Roberto Falcão,5,Rodolfo Konder,"Esse novo futebol é mais ou menos o quê? Em linhas gerais, como você definiria o novo futebol que você está propondo?"
22/10/1990,Paulo Roberto Falcão,6,Paulo Roberto Falcão,"Eu acho que o grande problema que nós vivemos não é o novo futebol, é uma nova mentalidade que tem que ser criada na cabeça do brasileiro e, obviamente, na cabeça do jogador brasileiro mais em nível externo do que propriamente dentro de campo. Acho que a nossa preocupação maior é deixar bem claro, que... E aí, acho, que o grande problema quando você vai assistir ao jogo, você vai assistir à realidade do nosso futebol e não assistir ao jogo na expectativa de ver um futebol que, infelizmente, nós não jogamos mais. Então, eu acho que esse é o grande problema. A gente vai para o estádio na expectativa de observar um futebol que nós víamos há alguns anos e que não vemos hoje. E eu acho que tem que mudar essa mentalidade. Isso é fundamental para o sucesso da Seleção Brasileira e do futebol brasileiro."
22/10/1990,Paulo Roberto Falcão,7,Rodolfo Konder,Juca Kfouri.
22/10/1990,Paulo Roberto Falcão,8,Juca Kfouri,"Falcão, você tem se caracterizado por não ser só um técnico que convoca e treina a Seleção, até por que treinar é difícil. Você tem posto o dedo nas feridas do futebol brasileiro, você está propondo a chamada privatização dos clubes. Você, que durante anos disputou campeonatos estaduais no Rio Grande do Sul e os campeonatos brasileiros, foi campeão nos dois e depois foi para a Itália, só disputou o Campeonato Nacional, você diria que uma das maneiras de solucionar o problema do calendário do futebol brasileiro é que essa estrutura se defina por uma coisa ou por outra: ou ter o campeonato nacional, como na Itália, ou vamos ter campeonatos estaduais. É impossível compatibilizar os dois?"
22/10/1990,Paulo Roberto Falcão,9,Paulo Roberto Falcão,"Olha, Juca, eu acho que, antes de mais nada, a gente tem que procurar casar o calendário brasileiro com o calendário europeu, acho que isso é fundamental. Existem fatores políticos que fazem com que, às vezes, os campeonatos regionais aconteçam. Eu acho que ele pode ser realizado. [Mas] eu acho que o fundamental é ter tempo suficiente para deixar o jogador trabalhar. Isto é, começar uma temporada em que você possa dar ao [jogador] - e dando a ele você estará dando aos treinadores, aos preparadores físicos, ao médico, à própria imprensa - o seguinte: um período para começar a entrar na condição física. Tem um período para o treinador começar a colocar a parte tática dentro do grupo. E aí você [poderá] entrar no campeonato regional, depois no campeonato nacional, [isso] não é o problema. O que não pode acontecer, na minha opinião, é que você tem, às vezes, clube no Brasil que disputa quatro competições ao mesmo tempo. Isso não existe nem na Europa. Na Europa, um clube pode participar do quê? Vamos falar da Itália, da Copa Itália, na Espanha seria a Copa do Rei, em que você, um mês antes de começar o campeonato nacional, você faz uma eliminatória. No período que eu estava em Roma seriam 48 times. Aí saiam automaticamente oito grupos de seis, desses oitos grupos, saem dois, ficando 16 no total. [Então] encerra a Copa Itália para começar o Campeonato Italiano, e de repente, em uma quarta-feira lá na frente, tem outro jogo eliminatório da Copa Itália. Aí você começa a fazer por eliminatórias. Quando ficam os últimos oito, às vezes os últimos quatro, é que se define o título da Copa Itália, depois do Campeonato Italiano. Então, não existe aquele desgaste: [jogos de] quarta e domingo, quarta e domingo. Alguns times que são os melhores times do futebol italiano do mundo [competem] na Copa dos Campeões, Copa Uefa [Uefa é o nome da federação européia] e tal, mas um time que ganha o Campeonato Italiano disputa apenas o campeonato nacional e disputa também a Copa dos Campeões. Então, no máximo ele faz três competições, quando ele não sai na primeira rodada durante a Copa Itália, até porque, às vezes, acham que é melhor sair para enfrentar duas competições. No Brasil não. Aqui você tem um risco de ter times fazendo quatro competições. Então, esse é o grande problema."
22/10/1990,Paulo Roberto Falcão,10,Juca Kfouri,"Mas, se você tivesse que pôr na balança: os seus três títulos nacionais pesam mais ou menos do que os oito títulos estaduais que você tem?"
22/10/1990,Paulo Roberto Falcão,11,Paulo Roberto Falcão,"Eu acho que em nível de projeção, sem dúvida, o campeonato nacional. Mas o campeonato regional dentro do estado, às vezes, tem muito mais valor que o nacional, é só uma questão de ver o que pode ser feito para que se possa ter... Não tenha dúvida que o pessoal do Rio Grande do Sul valoriza muito o Campeonato Gaúcho, o pessoal de Belo Horizonte valoriza muito o campeonato de Belo Horizonte [Campeonato Mineiro]. Quer dizer, eu acho que o importante é você dar tempo ao jogador de treinar, dar tempo ao preparador físico de colocar o jogador em condição, tempo ao treinador de trabalhar, e você [terá] condição, aí sim, de fazer um trabalho longo. Do jeito que está eu acho impossível, porque não trabalha o jogador, não trabalha o médico, não trabalha a imprensa. Então, eu acho que é tudo contra hoje. Eu acho que tem que ser feita alguma coisa, rapidamente, para que a gente possa ter condições de melhorar um pouquinho o nível técnico do nosso futebol, porque só jogando todo dia você não melhora nos campos."
22/10/1990,Paulo Roberto Falcão,12,Rodolfo Konder,Oldemário.
22/10/1990,Paulo Roberto Falcão,13,Oldemário Touguinhó,"Primeiro, satisfação de estar aqui [porque] essa é a verdadeira Seleção, não a do Falcão. Falcão, eu justamente queria perguntar a você o seguinte: você não acha... Para mim, por exemplo, o presidente da CBF [Ricardo Teixeira] não entende nada de futebol, ele nunca teve vivência no futebol. O presidente da CBF trabalha com dinheiro, ele tinha uma empresa que negociava com dinheiro, investimentos e tal. Então, a vivência com o futebol que ele tem é só com o João Havelange {João Havelange: (1916) nadador do Fluminense. Fez parte do Comit}, quando ele o convoca ou o chama, aí ele vai passear com o João Havelange. Então, o conhecimento dele é zero no futebol. [Ele é] boa pessoa, me dou até bem com ele, mas isso não pode se acrescentar de que ele entenda de futebol, quem entende de futebol é o técnico de futebol. Você não acha que, [partindo] desse princípio, você já não está se submetendo muito aos caprichos do presidente que não sabe nada disso e chegou, e fez algumas exigências, como por exemplo, “Não vamos convocar estrangeiros; não vamos convocar os jogadores que estão aqui; não vamos convocar o jogador que faz pipi na cama; não vamos convocar o jogador que dorme até mais tarde”; aquela série de coisas que aconteceram na Copa do Mundo, da qual você não tem nada com isso, mas, para mim, o treinador de futebol não tem compromisso com ninguém. Então, não é porque todo mundo reclamou que tinha o Neto [meio-campista com fama de indisciplinado. Se destacou no Corinthians], e ele, nos dois últimos jogos do Corinthians – eu acompanhando o comentário até do [...] – fez três e quatro, e agora vai se convocar o Neto. Acho que tem que convocar o Neto porque [ele] joga bem, pela sua consciência de que [ele] joga bem. Então, eu estou preocupado um pouco com esse tipo de coisa. Eu acho que o presidente não entende nada, como não entende o Salgado [Jorge Salgado. Presidente do Vasco em 1990], que é diretor de futebol, isso eu digo para eles, não é novidade nenhuma. Quem me conhece do Rio sabe que eu digo para o Salgado, digo para ele e digo para o Américo [Américo Faria, administrador, exerceu diversas funções diretivas na CBF], que é diretor também, que é o que cuida, é o burocrata da CBF, que também, o conhecimento dele... Ele chegou lá feito um burocrata, só dão papel para ele escrever e, para mim, no futebol não é dar papel para escrever, é para executar alguma coisa. E ele, na Copa do Mundo, não executou nada, assim como Salgado e como Ricardo [Teixeira]. Bem, esse é um princípio. Então, você, que chega como a nossa esperança, com o [seu] conhecimento [de] futebol...Você e um realizador no futebol. Eu, felizmente, tenho a satisfação de ter acompanhado bastante a sua carreira e você me conhece, sabe do meu comportamento, só que eu não quero saber se o cara é do Rio, de São Paulo de Nova Iorque, eu vivo do futebol. Para mim, quanto melhor o jogador [for], quanto melhor for a Seleção, será melhor para mim."
22/10/1990,Paulo Roberto Falcão,14,Rodolfo Konder,"Oldemário, vamos à pergunta, por favor."
22/10/1990,Paulo Roberto Falcão,15,Oldemário Touguinhó,"Então, você não acha que o presidente, fazendo essas exigências para você – não convoca aqui, não convoca ali – isso, de fato, não é um começo ruim para uma pessoa como você, que teria que ter a liberdade de escolher quem você [quiser], se é do estrangeiro, se não é do estrangeiro? Você não acha que isso está diminuindo um pouco as suas chances de poder ter, pelo menos, um melhor estímulo nesse início de trabalho?"
