DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
05/05/1997,Roberto Campos,1,Matinas Suzuki,Boa noite. Ele completa 80 anos e diz estar festejando a sobrevivência. No centro do Roda Viva está o economista e deputado federal Roberto Campos.
05/05/1997,Roberto Campos,2,[Comentarista Valéria Grillo],"Roberto de Oliveira Campos, mato-grossense, 80 anos. Por sua conhecida afinidade com idéias americanas, recebeu dos adversários o apelido de Bob Fields [alcunha que é a tradução literal de seu nome para o inglês, recebida por mostrar-se aberto ao capital estrangeiro, e por firmar contratos de risco com os EUA no fim dos anos 50]. Para os amigos é simplesmente Roberto. Roberto Campos, um defensor ferrenho do livre mercado, da redução do tamanho do Estado e da privatização. Ex-seminarista, ex-diplomata, político e um dos economistas e intelectuais brasileiros mais influentes, ele é o principal representante do pensamento liberal clássico no país. Começou a participar da vida econômica brasileira no segundo governo de Getúlio Vargas {Vargas: Getúlio Dornelles Vargas (1882-1954), um dos mais importantes políticos brasileiros, chefe civil da Revolução de 1930 que pôs fim à chamada República Velha, foi, por duas vezes, presidente da República. Ficou conhecido como “pai dos pobres” por ter criado leis de apoio aos trabalhadores. Governou o Brasil de 1930 a 1937; de 1937 a 1945 no Estado Novo (como ditador); e de 1951 a 1954 como presidente eleito pelo voto direto. O período de 1945 a 1964 foi marcado pela influência do getulismo nas políticas governamentais. No último mandato de Getúlio, a política nacional polarizou-se fortemente e uma crise política grave sobreveio após a revelação de que o chefe da guarda pessoal de Getúlio, Gregório Fortunato, seria o mandante da tentativa fracassada de assassinato do líder opositor Carlos Lacerda. Diante da iminência de um golpe, Getúlio suicidou-se com um tiro no coração em 1954. Embora tenha sido um ditador, de ter governado com medidas controladoras e populistas e de ter perseguido implacavelmente adversários políticos, Vargas foi um presidente marcado pelo investimento no Brasil. Além de criar obras de infra-estrutura e desenvolver o parque industrial brasileiro, tomou medidas favoráveis aos trabalhadores, ainda que mantendo os sindicatos sob estrito controle do Estado. Foi na área do trabalho que deixou sua marca registrada, com a criação da CLT.}, quando criou o Banco Nacional de Desenvolvimento Econômico. Mais tarde lançou as bases do Programa de Metas [conhecido também como Plano de Metas {Plano de Metas: Em 1956, com a chegada de Juscelino Kubitschek ao poder, o Brasil entra na chamada fase desenvolvimentista. Juscelino estabeleceu um plano de metas que tinha como objetivo “crescer cinqüenta anos em cinco”: desenvolver a indústria de base, investir na construção de estradas e de hidrelétricas e fazer crescer a extração de petróleo, tudo a fim de transformar o Brasil num país industrializado. Os industriais brasileiros continuavam investindo nos setores tradicionais (tecido, móveis, alimentos, roupas e construção civil) e as multinacionais entraram no Brasil pela primeira vez, para a produção de bens de consumo. Por um lado, houve a modernização da indústria, por outro, um grande endividamento internacional foi causado pelos empréstimos que fizeram possível a realização do plano. Além disso, houve aumento do êxodo rural, porque os centros urbanos se desenvolviam, criando oportunidades, ao passo que a vida rural não progredia.}] do governo JK {JK: Juscelino Kubitschek de Oliveira(1902-1976), médico, militar e político brasileiro, conhecido como JK, foi presidente do Brasil entre 1956 e 1961. Seu governo é lembrado como uma época de otimismo e seu nome é referência para políticos de várias tendências. Com estilo inovador na política brasileira até então, Juscelino conquistou a simpatia e confiança dos brasileiros. Foi o responsável pela construção da nova capital federal, Brasília, colocando em prática o antigo projeto de mudança da capital para promover o desenvolvimento do interior e a integração do país. Introduziu uma política conhecida como desenvolvimentismo, que consistia em incentivar o progresso econômico do país estimulando a industrialização. Ao assumir o poder, Juscelino estabeleceu um plano ambicioso de realizações prometendo “cinqüenta anos de progresso em cinco de governo”.}. Nos anos 60, Roberto Campos se tornou ainda mais conhecido por sua atuação junto aos governos militares. Ministro do Planejamento de Castelo Branco [primeiro presidente do regime militar instaurado pelo golpe militar de 1964, governou o país de 1964 a 1967], dividiu com Otávio Gouveia de Bulhões [(1906-1990), economista de tendência neoliberal, preocupava-se principalmente com a estabilidade da moeda e o combate à inflação] a autoria do plano de ação para o controle da inflação."
05/05/1997,Roberto Campos,3,"[Trecho de pronunciamento de Roberto Campos, em 1964, quando era ministro do Planejamento]",Semeamos erros ao longo de vários anos. Tínhamos inevitavelmente que colher tempestades e crises por força de uma dessas fatalidades históricas.
05/05/1997,Roberto Campos,4,[Comentarista Valéria Grillo],"No governo do general Ernesto Geisel [período:1974-1978] foi nomeado embaixador na Inglaterra. Em 1983, ao lado de João Batista Figueiredo [período: 1979 a 1985], o último general presidente, subiu no palanque para se eleger senador pelo Mato Grosso. Apoiou o breve governo de Fernando Collor de Mello [período:1990-1992], mas já como deputado federal pelo Rio de Janeiro, acabou votando a favor do impeachment do presidente. Atualmente exerce o segundo mandato na Câmera Federal como representante do PPB [Partido Progressista Brasileiro], partido do ex-prefeito de São Paulo, Paulo Maluf. Hoje, Roberto Campos está entre os que reclamam da lentidão reformista do projeto neoliberal do presidente Fernando Henrique Cardoso [FHC governou o Brasil por dois mandatos: de 1995 a 2003]. Nas várias vezes em que participou do programa Roda Viva, aqui na Rede Cultura, Roberto Campos mostrou com transparência o pensador que é. Um idealista polêmico, cheio de inimigos e admiradores, mas que tem recebido, mesmo de adversários, o reconhecimento pela inteligência e pela coerência intelectual e ideológica em torno de suas idéias e de sua vida pública."
05/05/1997,Roberto Campos,5,Matinas Suzuki,"Para entrevistar o deputado Roberto Campos, nós convidamos, esta noite, o jornalista Augusto Nunes, vice-presidente de comunicação do Banco de Boston; o economista Maílson da Nóbrega, ex-ministro da Fazenda; a Eleonora de Lucena, secretária de redação da Folha de S.Paulo; o economista Gilberto Dupas do Instituto de Estudos Avançados da USP, do Conselho Diretor da Fundação Getúlio Vargas; Marco Aurélio Garcia, professor do Departamento de História da Unicamp e diretor do Departamento de Relações Internacionais do Partido dos Trabalhadores; e o jornalista Miguel Jorge, que é vice-presidente da Volkswagen do Brasil. Boa noite, deputado."
05/05/1997,Roberto Campos,6,Roberto Campos,Boa noite.
05/05/1997,Roberto Campos,7,Matinas Suzuki,"Como que foi a festa dos 80 anos, deputado? Parece que o senhor não queria a festa, mas pelo jeito foi uma festa muito bonita. [Em 17/04/1997 - jantar de gala, no Copacabana Palace, que reuniu mais de seiscentos convidados, entre empresários, políticos, economistas, intelectuais e banqueiros, e onde estavam presentes o presidente das Organizações Globo, Roberto Marinho, a presidente da Academia Brasileira de Letras, Nélida Piñon, o banqueiro Valter Moreira Sales e o ex-presidente José Sarney, entre outros.]"
05/05/1997,Roberto Campos,8,Roberto Campos,"Eu tinha consentido apenas numa pequena reunião dos sobreviventes, gente com mais de 70 anos que tivesse trabalhado comigo desde os anos 50. Festejaríamos não o aniversário, que é uma fatalidade biológica horrível que acontece à revelia, e sim o fato de termos sobrevivido, quando a expectativa média do brasileiro de vida é 66 anos. Estamos, portanto, gozando um saldo [risos]."
05/05/1997,Roberto Campos,9,Matinas Suzuki,"Deputado, quando o senhor completou 50 anos, em 1967, o senhor citou uma frase do [André] Malraux [(1901-1976) escritor francês, crítico de arte e político ativista, autor de A condição humana] que dizia o seguinte: “O mundo começou um dia a ficar parecido com meus livros”. Aos 80 anos o senhor pode dizer que o Brasil começou a ficar parecido com as suas idéias pelo menos, deputado?"
05/05/1997,Roberto Campos,10,Roberto Campos,"Eu acredito que sim. Eu, afinal de contas, venho defendendo, há muitos anos, idéias liberais, abertura econômica, internacionalização da economia, e o Brasil está marchando nesse sentido. Está longe de ser um país liberal, não somos vítimas do liberalismo, nem sequer somos ameaçados pelo neoliberalismo. Duas pesquisas recentes sobre o grau comparativo de liberdade no mundo, uma da Heritage Foundation e outra do Fraser Institut, indicam que o Brasil é mais ou menos o 94º país em termos de grau de liberdade, quer dizer, não é um país livre. É um país extremamente amarrado por monopólios estatais, regulamentações de todo tipo. Só aqui no Brasil se tem essa impressão de que o Brasil é um país seriamente ameaçado pelo liberalismo. Quiçá fosse. Não é esse o caso."
05/05/1997,Roberto Campos,11,Augusto Nunes,"Deputado, nos artigos dominicais publicados na Folha, o senhor mostra com freqüência um certo desalento em relação ao Brasil, sempre defendendo as idéias que o senhor apregoa e sugerindo que o Brasil vai demorar muito ainda para chegar a esse tipo de modernidade. Nos últimos 30 anos, desde a frase mencionada pelo Matinas até hoje, o Brasil melhorou ou piorou na opinião do senhor?"
05/05/1997,Roberto Campos,12,Roberto Campos,"O Brasil primeiro piorou e piorou bastante. Tivemos, afinal de contas, uma década perdida {década perdida: Fenômeno de estagnação econômica que atingiu várias países do mundo. Na América Latina, teve início no final dos anos 70, quando alguns de seus países passaram a sentir brutalmente os efeitos da crise mundial derivada do segundo choque dos preços do petróleo. Os juros internacionais subiram, impactando especialmente o Brasil, Argentina e México, que haviam contraído grandes empréstimos internacionais. No Brasil, o “milagre econômico” da década de 1970 se deu, em grande parte, devido ao estímulo desses empréstimos, os quais financiaram o desenvolvimento industrial. Na tentativa de combater a crise e manter o setor exportador competitivo, o governo produziu forte desvalorização da moeda, por meio de uma política monetária expansionista. Com isso a inflação alcançou índices anuais de 110,2% em 1980 e 223,8% em 1984. O quadro recessivo nos EUA provocou default mexicano de 1982, ocasionando nova escassez de crédito internacional e crise, arrastando consigo países devedores como o Brasil. Não havendo meios de se socorrer de empréstimos privados para fechar seu balanço de pagamentos, o governo recorreu a mais empréstimos junto ao FMI em 1983, que impôs condições, com severas restrições ao crescimento. Em meados da década de 1980, o Brasil esboça um novo período de crescimento, no Plano Cruzado (1986), interrompido após a moratória imposta pelo Brasil aos seus credores em 1987. O único setor que apresentou crescimento no período foi a agricultura, devido a exportações e ao Pro-álcool.}. Agora estamos numa rota de melhoria, conquanto caminhando a passos lentos. Se você analisar o período de pós-guerra, houve três ondas de crescimento. A primeira onda, quando se criou o Mercado Comum Europeu, depois houve o plano Ikeda no Japão, o Brasil participou dessa onda, eu fui um dos comparsas, no tempo de Juscelino [JK], com o Plano de Metas. Houve uma segunda onda de crescimento no fim da década de 60. O Brasil tinha feito as duras reformas no período do [presiente] Castelo Branco e também participou dessa onda. Veio uma terceira onda nos anos 80, de 84 a 90, o Brasil não participou dessa onda, foi a década perdida. E a minha angústia é saber se vamos ou não participar da quarta onda, que provavelmente ocorrerá no fim de milênio. Já começa a se desenhar, porque este ano, pela primeira vez, todos os países da OCDE [Organização para a Cooperação e Desenvolvimento Econômico], sem exceção, terão crescimento positivo acima de 2,5%, o que indica que há uma terceira onda em gestação. Para o Brasil participar dessa onda precisa melhorar a competitividade e sua mão-de-obra."
