DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
22/06/1992,Telê Santana,1,[...],Programa ao vivo.
22/06/1992,Telê Santana,2,Jorge Escosteguy,"Boa noite. Depois de 9 anos de jejum, o futebol brasileiro conseguiu conquistar de novo a Taça Libertadores da América. Dessa vez, coube ao São Paulo Futebol Clube conquistar o título, tornando-se candidato ao Mundial Interclubes. O São Paulo deve disputar o mundial contra o Barcelona, da Espanha, em dezembro. Nessa campanha vitoriosa e em outras, dirigiu o São Paulo um treinador magro, aparentemente mal-humorado, que no passado jogou como ponta-esquerda do Fluminense, do Rio de Janeiro. Um treinador que colecionou muitos títulos ao longo de sua carreira e foi considerado pelo doutor Sócrates [ex-jogador da Seleção Brasileira de Futebol e médico, Sócrates de Oliveira (1954-)], hoje, talvez mais conhecido como irmão do Raí [de Oliveira, ex-jogador da Seleção Brasileira de Futebol, revelado no São Paulo Futebol Clube], o grande gênio tático do futebol do mundo. Esse gênio chama-se Telê Santana e é o convidado desta noite no Roda Viva, que está começando agora pela TV Cultura de São Paulo. Telê Santana tem 61 anos e nasceu em Itabirito, Minas Gerais. Como jogador, atuou pelo Fluminense, Madureira e Vasco da Gama, 3 times do Rio de Janeiro, e pelo Guarani, de Campinas. Como técnico, conquistou quase todos os títulos possíveis: campeão carioca, campeão paulista, campeão mineiro, campeão gaúcho, campeão brasileiro e campeão da Taça Libertadores da América. Só não conseguiu ser campeão do mundo com a Seleção Brasileira, que dirigiu por 2 vezes, em 1988 e 1986. Os maldosos chegaram a dizer que Telê Santana era pé-frio, pois não conseguiu ganhar a copa com uma das melhores seleções já formadas em toda história do futebol brasileiro. Tomara que todo time de futebol tenha um técnico pé-frio como Telê, pois, certamente, não iriam lhe faltar títulos. Para entrevistar Telê Santana esta noite no Roda Viva nós convidamos Roberto Benevides, colunista de esportes do jornal O Estado de S. Paulo; Osmar Santos, comentarista de esportes da Rádio Globo; Sérgio Sá Leitão, editor de esportes da Folha de S. Paulo; Roberto Bascchera, repórter do Jornal do Brasil; Luis Alberto Volpe, editor de esportes da TV Cultura; Sidney Mazoni, sub-editor de esportes do Jornal da Tarde; Roberto Avallone, diretor de esportes da TV Gazeta, e Wilson Ferreira Junior, repórter da Rede OM de Televisão. Boa noite, Telê."
22/06/1992,Telê Santana,3,Telê Santana,Boa noite.
22/06/1992,Telê Santana,4,Jorge Escosteguy,"Você sempre defendeu – e é considerado talvez o último técnico romântico do futebol brasileiro–, um futebol bonito, futebol de gols, ofensivo, futebol-arte. Agora, a final da copa Libertadores, não foi muito assim. Quer dizer, foi 1 x 0 lá [em Rosário, na Argentina], com gol de pênalti, e 1 x 0 aqui, com gol de pênalti. A decisão foi na disputa de pênalti. Você sentou mais o pé no chão e resolveu esquecer o futebol-arte em função dos títulos ou são contingências da final?"
22/06/1992,Telê Santana,5,Telê Santana,"Eu diria que, nas 2 partidas, quem assistiu viu, o São Paulo atacou, tanto lá em Rosário como aqui, procurou fazer os gols e perdeu gols. Isso não quer dizer que não seja um time ofensivo, que não consiga fazer os gols que cria, mas nós criamos lá e aqui. Tivemos um futebol ofensivo, mas, infelizmente, as 2 partidas terminaram em 1 x 0, com 1 gol de pênalti para cada lado. Mas continuamos acreditando no futebol, muito embora uma decisão quase nunca se apresente com um bom futebol."
22/06/1992,Telê Santana,6,Jorge Escosteguy,"Parece que, depois do jogo, você tirou o sapato e mostrou o pé à imprensa. Como é que foi essa história? É mentira essa história de pé-frio?"
22/06/1992,Telê Santana,7,Telê Santana,"Não, eu não gosto, porque quando nós ganhamos o primeiro título aqui, em Bragança Paulista, a primeira pergunta dos repórteres no campo foi: “– É essa resposta que você dá?” E eu não tenho que dar resposta para ninguém. Eu sei o que eu fiz dentro do futebol, o que eu consegui, o que eu conquistei desde que eu comecei a jogar futebol no Fluminense. Eu sei o que eu conquistei. Então, não é porque um ou outro fala que eu sou pé-frio que eu vou me preocupar. No início até me chateou um pouco e, como tenho todos os títulos na cabeça, eu andava dizendo: “– Ah, eu ganhei isso, ganhei aquilo”, mas depois eu deixei de lado, porque são pessoas que não mereciam nem que eu respondesse."
22/06/1992,Telê Santana,8,Jorge Escosteguy,"Agora, você acha que... Esse é o terceiro título consecutivo pelo São Paulo?"
22/06/1992,Telê Santana,9,Telê Santana,"É, nós disputamos 4 e ganhamos 3."
22/06/1992,Telê Santana,10,Jorge Escosteguy,Você acha que com essa conquista essa história está morta?
22/06/1992,Telê Santana,11,Telê Santana,"Não, eu..."
22/06/1992,Telê Santana,12,Jorge Escosteguy,"Aliás, desculpa, no começo do programa eu disse que você era aparentemente mal-humorado e você fez um gesto assim, como se fosse fazer uma observação. Mas eu me lembro que, na cobertura da imprensa sobre o título do São Paulo, as pessoas disseram maravilhadas: “O Telê Santana sorriu”. Como é que é essa história? Você é uma pessoa mal-humorada, não gosta de conversa?"
