DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
29/01/2007,Thomas Lovejoy,1,[...],"[programa gravado, impossibilitando a participação dos telespectadores]"
29/01/2007,Thomas Lovejoy,2,Heródoto Barbeiro,"Boa noite. Ele é um americano de alma brasileira, de alma verde, pois é biólogo. É um dos mais reconhecidos estudiosos da Amazônia, pioneiro da pesquisa sobre fragmentação florestal. E diz que, na velocidade da devastação atual, a Amazônia está próxima de um ponto limite. A redução da cobertura verde vai diminuir a chuva necessária e, em poucos anos, teremos notícias de uma nova seca. O entrevistado de hoje no programa Roda Viva é o ambientalista, pesquisador, professor e escritor americano Thomas Lovejoy, que conversa com a gente daqui a pouquinho."
29/01/2007,Thomas Lovejoy,3,[...],[intervalo]
29/01/2007,Thomas Lovejoy,4,Heródoto Barbeiro,"Thomas Lovejoy é referência mundial no debate ecológico, um dos primeiros a desvendar o conceito biodiversidade. Ele também é pioneiro na criação de áreas de estudo e de proteção na Amazônia, por onde se embrenhou a partir dos anos 1960."
29/01/2007,Thomas Lovejoy,5,[Comentarista],"O Brasil e especialmente a Amazônia são velhos conhecidos de Thomas Lovejoy. Há mais de 40 anos, ele estuda a maior floresta tropical do mundo, com uma grande biodiversidade. São cerca de 30 mil espécies vivas entre animais e plantas, além da rica cultura dos povos da região. Lovejoy esteve pela primeira vez na Amazônia em 1965, retornando depois em várias ocasiões. Em 1979, implantou perto de Manaus uma área de interesse ecológico que já rendeu uma série de trabalhos de preservação e estudos sobre a flora e a fauna da Amazônia. A região, que nos anos 1960 tinha dois milhões de habitantes e uma única estrada, hoje tem cerca de vinte milhões de moradores e várias rodovias. O crescimento das cidades, a expansão da pecuária e da agricultura extensiva e a acelerada exploração da madeira já causaram uma perda de quase 18% do total da área da floresta. O alerta contra o desmatamento não é novo, mas ganha peso na voz de cientistas de renome como Thomas Lovejoy. Considerado uma dos mais importantes formuladores do ambientalismo internacional, ele é membro de várias instituições de pesquisa e conselheiro do vice-presidente dos Estados Unidos, Al Gore [vice-presidente de Bill Clinton entre 1993 e 2001. Disputou e perdeu as eleições americanas em 2001 e, logo após, começou uma campanha mundial visando encontrar soluções para os problemas ambientais]. Também trabalha na Fundação Smithsonian, em Washington, e é chefe da área de biodiversidade do Banco Mundial. Há décadas Thomas Lovejoy percorre o mundo fazendo palestras e debates com especialistas sobre ambientalismo e relações humanas e sobre a necessidade de se combinar iniciativas nacionais e internacionais para enfrentar a grave situação da natureza."
29/01/2007,Thomas Lovejoy,6,Heródoto Barbeiro,"Para entrevistar o ambientalista Thomas Lovejoy, nós convidamos Liana John, editora executiva da revista Terra da gente; Marcelo Leite, colunista da Folha de S. Paulo e do blog Ciência hoje em dia; Maurício Tuffani, assessor de comunicação da Unesp [Universidade Estadual Paulista]; Cristina Amorim, repórter de ciência e ambiente do jornal O Estado de S. Paulo; Maria Zulmira de Souza, coordenadora de pautas do quadro biodiversidade, do Repórter Eco daqui da TV Cultura; Maria Cecília Wey de Britto, coordenadora da Fundação Florestal, e também conosco Sérgio Leitão, que é diretor de políticas públicas do Greenpeace. Nós temos também a participação do cartunista Paulo Caruso, registrando em seus desenhos momentos e flagrantes do programa desta noite. O Roda Viva é transmitido em rede nacional para todo o Brasil. Boa noite, doutor Lovejoy."
29/01/2007,Thomas Lovejoy,7,Thomas Lovejoy,Boa noite.
29/01/2007,Thomas Lovejoy,8,Heródoto Barbeiro,"Dr. Lovejoy, recentemente conversei com a ministra [do Meio Ambiente] Marina Silva [filiada ao Partido dos Trabalhadores (PT), foi ministra do Meio Ambiente entre 2003 e 2008, quando se demitiu do cargo] e ela disse: “Olha, nós temos uma boa notícia para dar à opinião pública brasileira e também à opinião pública mundial. Nós vamos conseguir – segundo ela, já é um fato real– diminuir a velocidade com a qual a floresta Amazônica é destruída”. Dr. Lovejoy, será que posso acreditar nessa informação emitida pela própria ministra Marina Silva?"
29/01/2007,Thomas Lovejoy,9,Thomas Lovejoy,Com certeza é uma informação precisa. O grande desafio é continuar a tendência de redução.
29/01/2007,Thomas Lovejoy,10,Heródoto Barbeiro,"O senhor acredita que ela tenha comprovações reais, científicas, para saber se esse cuidado maior do governo com a Amazônia é real?"
