DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
23/01/1995,Wanderley Luxemburgo,1,[...],"[programa ao vivo, permitindo a participação dos telespectadores]"
23/01/1995,Wanderley Luxemburgo,2,Milton Jung,"Boa noite. Nosso entrevistado de hoje é um apaixonado por automobilismo, conhecedor de mecânica, amante da velocidade. Chegou a pensar em correr na Fórmula 1, mas acabou correndo no Circuito de Jacarepaguá [atual Autódromo Internacional Nelson Piquet], no Rio [de Janeiro], com fuscas e DKWs envenenados. Mas o destino dele estava traçado e não era o automobilismo, era o futebol. No centro do Roda Viva de hoje, [está] o técnico de futebol Wanderley Luxemburgo. Com 42 anos de idade, ele é natural de Tinguá, no estado do Rio. Luxemburgo foi lateral-esquerdo e, em 1980, iniciou uma carreira de sucesso como técnico de futebol. Foi campeão brasileiro pelo Bragantino em 1990, bicampeão paulista e bicampeão brasileiro em 1993 e 1994 pelo Palmeiras. Logo após ganhar seu terceiro título de expressão nacional, há cerca de um mês, Luxemburgo se transferiu para o Flamengo do Rio de Janeiro. O time, que tem uma das maiores torcidas do país, se não [for] a maior, e que também completa cem anos em 1995, fez uma das maiores contratações do futebol brasileiro: o atacante Romário {Romário: Romário de Souza Faria, o “Baixinho”, como também é chamado, é um dos maiores centroavantes da história do futebol brasileiro, com 71 gols marcados pela Seleção e a conquista tida como heróica da Copa do Mundo em 1994. Em campo, chegou à marca dos mil gols registrados. Começou sua carreira jogando pelo Vasco da Gama, time pelo qual foi bicampeão carioca. Na Europa, jogou pelo PSV Eindhoven, time holandês no qual ainda é considerado grande ídolo, e no espanhol Barcelona, que o consagrou como um dos maiores jogadores do mundo. Dirigido na Espanha por Johan Cruyff, foi homenageado por este com a frase: “Ele é o gênio da grande área”. Carismático, irreverente, celebrizou-se não somente por sua perícia nos gramados, mas também por seu comportamento indisciplinado, afeito a badalações e conquistas amorosas.}. Na próxima sexta-feira, o treinador faz sua primeira grande partida pelo Flamengo, que é contra a seleção do Uruguai, um amistoso que marca também a estréia de Romário com a camiseta rubro-negra. Para entrevistar o técnico Wanderley Luxemburgo, convidamos os jornalistas: Juca Kfouri, diretor da revista Placar e comentarista da Rede Cultura; Sérgio Baklanos, repórter especial da Gazeta Esportiva; Oldemário Touguinhó, repórter especial do Jornal do Brasil; Melchiades Filho, editor de esporte da Folha de S.Paulo; Luiz Antônio Prósperi, repórter especial do Jornal da Tarde; Odinei Edson, narrador esportivo da TV Manchete; Milton Neves, âncora do programa Terceiro Tempo, da rádio Jovem Pan; e Ubiratan Brasil, repórter especial do jornal O Estado de S. Paulo. Este programa é transmitido para 27 emissoras do sul ao norte do país, em rede nacional. Você também pode participar do Roda Viva fazendo perguntas pelo telefone (11) 252-6525. A Cristina, a Alessandra e a Ana anotarão as perguntas. Wanderley, boa noite. Primeiro, o grande interesse de todos é saber o que leva um técnico de futebol a deixar uma equipe bicampeã brasileira, com a infra-estrutura do Palmeiras e com o dinheiro da multinacional Parmalat [então co-gestora do futebol do Palmeiras], para ir para o Flamengo do Rio de Janeiro que, até pouco tempo, tinha uma dívida de 22, 23, 25 milhões de dólares e um time que ainda tem que ser estruturado."
23/01/1995,Wanderley Luxemburgo,3,Wanderley Luxemburgo,"Muito boa noite. É um prazer participar do programa Roda Viva e rever os amigos que estavam no nosso dia-a-dia aqui em São Paulo. O que leva um treinador a trocar de clube é a proposta de trabalho, acima de tudo, e as pessoas. Quando eu saí do Palmeiras, comentavam isso que você está falando, de trocar o Palmeiras pelo Flamengo, que o Flamengo está com uma estrutura ruim nesses dois últimos anos, que o Palmeiras tem a estrutura da Parmalat, com sucesso em nível de time, um time muito forte e dando toda a condição de você desenvolver um trabalho. Só que todo mundo esquece que o Flamengo é grande, é um dos maiores clubes do país, é um clube conhecido mundialmente. Dificilmente o Flamengo consegue ficar tanto tempo sem conquistar e sem realizar um grande trabalho. Eu nasci no Flamengo, iniciei minha carreira no Flamengo, conheço a força dele. Na conversa que eu tive com o Kléber Leite [presidente do Flamengo entre 1995 e 1998], após o Campeonato Brasileiro, senti que nós poderíamos realizar um grande trabalho, que ele estava muito esperançoso e confiante. O convite foi feito e eu, sendo flamenguista... Em 1991, saí do Flamengo de uma maneira muito ruim, sai brigado com o clube, porque eu não concordava com a estrutura do Flamengo na época. Na minha saída, coloquei para amigos e para minha família que eu voltaria ao Flamengo, porque eu tinha realizado um trabalho... vamos dizer, eu roí o osso e os outros comeram o filé. Então, eu queria voltar ao Flamengo para dar continuidade a esse trabalho e nada melhor que voltar ao Rio de Janeiro, que é minha cidade, e realizar um trabalho no Flamengo."
23/01/1995,Wanderley Luxemburgo,4,Milton Neves,"Agora, Wanderley, há uma outra versão e fica aqui a primeira pergunta - daqui a pouco a gente vai falar muito de uma palavra de sete letras: Romário -, mas eu queria saber o seguinte: o que você tem a dizer a respeito da informação ou insinuação de que prometeram a CBF [Confederação Brasileira de Futebol] a você? Eu, particularmente, entendo que o Zagallo {Zagallo: Mário Jorge Lobo Zagallo (1931-),ex-jogador e treinador brasileiro. Foi o primeiro futebolista a ganhar a Copa do Mundo como jogador (Copa de 1958 e Copa de 1962) e como técnico (Copa de 1970). Atuou como auxiliar-técnico da Seleção de Carlos Alberto Parreira que ganhou a Copa de 94. Voltou ao cargo de auxiliar técnico na Copa do Mundo de 2006, na Alemanha. Com ele como técnico, a Seleção foi ainda segundo lugar na Copa de 1998 e quarto lugar na de 1974.} não chega respirando no futebol até 1998 [ano de ralização da Copa do Mundo da França]. Será que você não trocou o Palmeiras porque, além do amor e da importância do Flamengo, prometeram em curto prazo a Seleção [Brasileira] a você?"
23/01/1995,Wanderley Luxemburgo,5,Wanderley Luxemburgo,Mas há quanto tempo você trabalha comigo em São Paulo?
23/01/1995,Wanderley Luxemburgo,6,Milton Neves,"Três, quatro anos, não é?"
23/01/1995,Wanderley Luxemburgo,7,Wanderley Luxemburgo,Três ou quatro anos. E você conhece minha conduta?
23/01/1995,Wanderley Luxemburgo,8,Milton Neves,Perfeito...
23/01/1995,Wanderley Luxemburgo,9,Wanderley Luxemburgo,"Jamais eu faria um acordo desses, porque sou um profissional sério e respeito os treinadores que lá estão. Se você vir alguma linha minha de comentários sobre o Parreira [Carlos Alberto Parreira, técnico da Seleção Brasileira em 1983, 1984, 1991, e de 2003 a 2006] durante a Copa do Mundo, o Wanderley não é ético. Se você vir alguma linha minha de comentários sobre o Zagallo, o Wanderley não é ético. Não faria um acordo desses, eu acho que o cargo de treinador de Seleção Brasileira é de competência, não de acordo e experiência."
23/01/1995,Wanderley Luxemburgo,10,Milton Neves,"Eu não falo da questão ética, que eu respeito. Estou falando da questão até matemática, a proximidade em relação ao que acontece no Rio e da Rua da Alfândega, número 70 [antiga sede da CBF, no centro do Rio de Janeiro], que é onde está a CBF..."
23/01/1995,Wanderley Luxemburgo,11,Wanderley Luxemburgo,[interrompendo] Eu vou continuar te respondendo...
23/01/1995,Wanderley Luxemburgo,12,Milton Neves,"...Parreira, Zagallo, Flávio Costa, Edu, Evaristo [de Macedo] e até [Sebastião] Lazaroni, o pior da história, Antoninho, Ernesto Paulo, Wendell, Nielsen [Elias], Toledo [enumera técnicos, treinadores e jogadores integrantes da Seleção Brasileira ao longo da história]. Quer dizer, o carioca é eternamente 80%, 70% do pessoal da comissão técnica da Seleção, sempre mais próximo da Seleção. Não estou dizendo que você fez um acordo ilegal ou imoral, estou dizendo que fica mais próximo para você, que é um sonho seu."
23/01/1995,Wanderley Luxemburgo,13,Wanderley Luxemburgo,"Não, mas você falou anteriormente que foi um acordo, que eu já havia conversado algo antecipadamente para que eu fosse para a Seleção Brasileira..."
23/01/1995,Wanderley Luxemburgo,14,Milton Neves,Foi uma pergunta que eu te fiz.
23/01/1995,Wanderley Luxemburgo,15,Wanderley Luxemburgo,"Uma pergunta, né? E eu estou te respondendo. Não sou homem de acordo, sou homem de trabalho. Acho que a competência do treinador o leva, o conduz à Seleção Brasileira, não pode ser diferente. E você mostra a competência no Palmeiras, no Flamengo, no Bragantino... Isso normalmente te coloca em nível de uma Seleção Brasileira. Eu sempre falo que eu vou ser treinador da Seleção Brasileira, não sei quando. Eu estou me preparando para isso. Se você pegar o crescimento da minha carreira, vai me colocar na Seleção Brasileira, mas nunca com esse tipo de comportamento de acordo ou então de estar no Rio de Janeiro por estar mais próximo à CBF. Pelo contrário, o que coloca um treinador na CBF é a realização de seu trabalho, aquilo que ele faz ao longo de um campeonato, ao longo de sua carreira."
23/01/1995,Wanderley Luxemburgo,16,Milton Jung,"Seu Wanderley, o senhor acha que já tem trabalho suficiente para chegar à Seleção Brasileira? Porque quando você saiu do Bragantino, era campeão paulista e todos esperavam que pudesse chegar ao título brasileiro. O senhor deixou o Bragantino e foi para o Flamengo dizendo que pretendia pegar um clube maior para ter experiência e chegar à Seleção Brasileira. Vendo uma pesquisa de todas as suas entrevistas, é uma das coisas que o senhor mais fala: o sonho de chegar à Seleção. Hoje o senhor já tem esse trabalho?"
23/01/1995,Wanderley Luxemburgo,17,Wanderley Luxemburgo,"Preste bem atenção: não é um sonho, é uma coisa que acho que vai acontecer naturalmente. As pessoas estão acostumadas a se resguardar um pouco nesse sentido, de não falar aquilo que acham que vai acontecer. Eu acho que minha carreira na Seleção vai acontecer naturalmente. Em 1990, quando eu estava no Bragantino, eu saí de lá porque eu senti que poderia ser convidado naquela época. E eu não estava preparado para ser o treinador da Seleção naquela época. Para você ser treinador da Seleção Brasileira, você tem de ter respaldo nacional, você tem que realizar um trabalho. E o trabalho do Bragantino não me dava suporte para ser o treinador da Seleção Brasileira, eu não estava realmente preparado. Hoje, eu trabalhei no Flamengo, no Guarani, na Ponte Preta, no Palmeiras, eu acho que já tenho uma experiência muito maior. Ao longo do tempo, haverá mais campeonatos pela frente, mais essa passagem pelo Flamengo, outros clubes que eu possa dirigir, tudo isso vai me preparar muito mais para, se um dia for convidado, poder ser o treinador da Seleção. E se [isso] não acontecer, isso não vai mexer em nada na minha vida, não é uma obsessão, uma coisa extremamente..."
23/01/1995,Wanderley Luxemburgo,18,Milton Jung,[interrompendo] Não é uma obsessão?
23/01/1995,Wanderley Luxemburgo,19,Wanderley Luxemburgo,"Não, é algo que eu acho que vai acontecer. Eu falo aquilo que eu acho que vai acontecer, assim como eu falei que achava que ia dirigir o Palmeiras ou o São Paulo. Fiquei dois anos e meio no Bragantino, porque eu achava que isso ia acontecer naturalmente na minha carreira..."
23/01/1995,Wanderley Luxemburgo,20,[...],[sobreposição de vozes]
23/01/1995,Wanderley Luxemburgo,21,Juca Kfouri,"Eu só queria pedir desculpas, antes de mais nada, que eu queria fazer uma pergunta, mas não é para você não... E pedir desculpas também a você, Milton, mas é porque aqui nos bastidores do Roda Viva a gente teve uma informação tão feliz e tão surpreendente! Eu queria que o Odinei Edson contasse isso a todos que estão preocupados com a saúde do Osmar Santos [Consagrado narrador esportivo brasileiro. Ficou conhecido por usar vários jargões na narração dos jogos, entre esses, “ripa na chulipa” e “pimba na gorduchinha”. Em 1994, sofreu um acidente que deixou o lado direito do corpo paralisado]. O que aconteceu hoje é a grande notícia do dia para as pessoas que gostam dele."
23/01/1995,Wanderley Luxemburgo,22,Odinei Edson,"É, a gente está em um clima bastante otimista, pelo menos hoje, porque a gente passa por um momento bastante delicado com o estado de saúde do Osmar. Osmar teve um acidente recentemente, no último dia 22 de dezembro, e vem numa luta pela vida muito grande, mas com o carinho e com essa força de vontade... Sei que é muita gente que gosta dele, a gente recebe ligações de toda parte do território brasileiro. A gente vem com essa luta, com essa batalha, com essa experiência de vida realmente bastante difícil. E hoje, a gente teve uma notícia bastante agradável. Recentemente, já vimos seu primeiro contato com os filhos, ele teve um reconhecimento. Mas hoje foi mais uma prova de que ele realmente está voltando para a gente, até me emociona muito quando eu lembro dele acariciando os filhos, beijando, mostrando que realmente está retornando pra gente..."
23/01/1995,Wanderley Luxemburgo,23,Milton Jung,"[interrompendo] Lembrando que Odinei Edson é irmão de Osmar Santos, narrador reconhecido nacionalmente que teve um acidente há pouco tempo. Mas..."
23/01/1995,Wanderley Luxemburgo,24,Juca Kfouri,"[interrompendo] Agora deixa eu pegar o Wanderlei aqui de jeito! Wanderley, você é uma pessoa que fala as coisas que sente, fala as coisas do jeito que você as vê. Recentemente, e não tão recentemente - os arquivos da TV Cultura são implacáveis - você deu uma entrevista para o Jornal do Brasil em outubro, em que você dizia que o Caixa D’Água, que vem a ser o presidente da Federação Carioca de Futebol, até hoje não fez nada pelo futebol e que estava na hora de começar a fazer. Essa birra do Caixa D’Água e do Eurico Miranda {Eurico Miranda: Foi presidente do Vasco entre 2001 e 2008. A história com o time, no entanto, começou ainda no início da década de 70. Em 1986, foi convidado a assumir a vice-presidência de futebol, atuando como homem de confiança do então presidente Antônio Soares Calçada. Os dois conseguiram conquistar títulos importantes para o clube, como a Taça Libertadores da América de 1998. Também foi deputado federal pelo Rio de Janeiro em duas gestões (1994-1998;1999-2002). Tanto a vida política, como a carreira esportiva do ex-presidente do Vasco foi marcado por problemas judiciais e polêmicas envolvendo inimigos, inclusive na imprensa. Eurico é tido como figura símbolo do poder dos cartolas no futebol.}, que são frente e verso da mesma moeda... Você não teme que, vingativo como é o Caixa D’Água e apoiado pelo Eurico Miranda, dirigente do principal adversário do Flamengo [refere-se ao Vasco da Gama], você tenha problemas no Campeonato Carioca por causa de esquemas tão falados no Rio de Janeiro, com arbitragem e tudo mais?"
23/01/1995,Wanderley Luxemburgo,25,Wanderley Luxemburgo,"Eu acho que não posso ter nenhum problema, não é? Quem pode ter é o Flamengo, mas aí os dirigentes têm que tomar contar dessa parte. O que eu falo é o seguinte: o Eurico Miranda é uma pessoa que eu gosto muito, tenho um carinho muito grande por ele, ele é o melhor dirigente de clube, ninguém defende o clube como ele defende. Só que para o futebol brasileiro ele é ruim, porque prejudica o futebol por defender tanto o Vasco da Gama. Se ele colocasse esse conhecimento dele para defender o futebol em geral, o futebol brasileiro, ele poderia ser um grande dirigente, só que ele defende o Vasco e esquece que há outras coisas inerentes ao futebol que ele pode também participar. Quanto ao Caixa D’Água, eu sempre acho que ele é uma pessoa... Eu o chamo de “Doutor Silvana, o gênio do mal” [faz referência ao vilão dos quadrinhos do Capitão Marvel], porque ele é muito inteligente, mas só faz as coisas no sentindo de prejudicar o futebol carioca. Não o conheço pessoalmente, eu falo aquilo que eu vejo, mas nunca conversei com ele. A administração dele no futebol carioca dos últimos anos não foi boa."
23/01/1995,Wanderley Luxemburgo,26,Juca Kfouri,Você imagina a hipótese de ele mandar esburacar de novo o campo do Americano [Americano Futebol Clube] para o Romário não poder jogar futebol direito lá?
23/01/1995,Wanderley Luxemburgo,27,Wanderley Luxemburgo,Eu não sei.
23/01/1995,Wanderley Luxemburgo,28,Juca Kfouri,"Ele já fez isso, não é?"
23/01/1995,Wanderley Luxemburgo,29,Wanderley Luxemburgo,"Já fez, quer dizer, essas coisas podem... Eu não acredito que isso vai acontecer, porque eu acho que o astral do Rio de Janeiro está tão bonito, não só de futebol, mas a cidade está esperançosa de crescimento em um todo. O povo carioca é muito sofrido com esses problemas sociais. É difícil você viver sua vida normalmente, e agora está tudo assim em um crescente... Acho que essas pessoas que possam prejudicar vão ser tão pequenas no processo, que não terão condições de fazer nada."
23/01/1995,Wanderley Luxemburgo,30,[...],[sobreposição de vozes]
