DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
22/10/2001,Zilda Arns,1,Paulo Markun,"Boa noite. Nesta semana em que a questão da solidariedade ganha a atenção especial em São Paulo e também na rádio e na TV Cultura, o Roda Viva apresenta o personagem que comanda hoje, no Brasil, a maior organização não governamental do mundo a trabalhar com a saúde, a nutrição e a educação da criança. É a médica pediatra Zilda Arns, fundadora e coordenadora nacional da Pastoral da Criança."
22/10/2001,Zilda Arns,2,[...],"[Inserção de vídeo com imagens de Zilda Arns, de seu irmão, Dom Paulo Evaristo Arns, do trabalho dos voluntários na Pastoral da Criança e de sua indicação para o Prêmio Nobel da Paz]"
22/10/2001,Zilda Arns,3,[Comentarista Márcia Bongiovanni],"O sobrenome Arns, da Dra. Zilda, tem um significado nessa história: ela é irmã de Dom Paulo Evaristo Arns, arcebispo emérito de São Paulo. Partiu dele, no início dos anos [19]80, o convite para que a irmã, que já tinha experiência com trabalhos comunitários, montasse um plano nacional para ensinar mães a combater a diarréia e a desidratação, que eram as principais causas da mortalidade infantil no Brasil, na época. O plano, baseado no trabalho voluntário e na ação de líderes comunitários, ganhou forma em 1983. Com o apoio da Conferência Nacional dos Bispos do Brasil, foi criada a Pastoral da Criança. A experiência começou no pequeno município de Florestápolis, interior do Paraná, e espalhou-se para o país todo, estando presente, hoje, em mais de três mil municípios brasileiros, desenvolvendo ações básicas de saúde e educação, junto às comunidades. A Pastoral da Criança articulou uma rede de solidariedade que já reúne mais de 150 mil pessoas, treinadas e capacitadas para um trabalho voluntário inédito no país: combater a mortalidade infantil e melhorar as condições de vida de mães e crianças brasileiras carentes. Os voluntários trabalham nas periferias das grandes cidades e nos bolsões de miséria dos pequenos e médios municípios, incluindo também as áreas rurais. Eles andam de casa em casa, ensinando como prevenir doenças e melhorar a saúde de gestantes e crianças. As mães recebem orientações e acompanhamento durante a gravidez. São estimuladas a dar atenção especial ao aleitamento materno, à vacinação. O desenvolvimento dos bebês é acompanhado mensalmente e as crianças recebem uma alimentação especial, enriquecida, para prevenir a desnutrição. A Pastoral da Criança, que através da campanha do soro caseiro, já tinha revertido um quadro nacional de morte de crianças por desidratação, promoveu outra mudança estatística. Nos municípios onde atua, a mortalidade infantil caiu 50% em relação à média brasileira. Os recursos que sustentam esse trabalho vêm, principalmente, do Ministério da Saúde, mas chegam também através de doações do setor privado. Os voluntários atendem a mais de um milhão e meio de crianças e quase oitenta mil gestantes, através de visitas mensais a um milhão e cem mil famílias. Além de ensinar às mães como prevenir doenças e melhorar o nível de saúde nas comunidades, os voluntários passaram a desenvolver um trabalho de prevenção de acidentes domésticos e de melhoria das relações familiares, estimulando uma cultura de paz e de melhor convivência entre as pessoas. Os resultados, que não só melhoram índices de saúde e saneamento, promovem a auto-estima e fazem crescer o sentimento de dignidade e de cidadania entre as populações atendidas. O modelo já foi exportado para países da América Latina e da África, e recebeu do governo brasileiro a indicação para o Prêmio Nobel da Paz deste ano. O prêmio não veio, pelo menos desta vez, mas no entendimento de Zilda Arns, a indicação já foi um prêmio, chamando a atenção do mundo para uma ação social que está ao alcance de qualquer comunidade, e que mostra como a solidariedade, através do trabalho voluntário, pode mudar a realidade salvando vidas e promovendo o desenvolvimento humano."
22/10/2001,Zilda Arns,4,Paulo Markun,"Para entrevistar a médica Zilda Arns, coordenadora nacional da Pastoral da Criança, nós convidamos: Gilberto Nascimento, colunista do jornal O Diário de São Paulo; a jornalista Nilza Iraci Silva, coordenadora executiva do Geledés {Geledés: Geledés - Instituto da Mulher Negra - organização política, criada em 1988, que tem por missão institucional a luta contra o racismo e o sexismo, a valorização e promoção das mulheres negras e da comunidade negra em geral. O termo Geledés teve origem na Nigéria. Era o nome dado a sociedades secretas femininas de caráter religioso, e expressa o poderio da mulher na fertilidade, procriação e promoção do bem-estar na comunidade.} - Instituto da Mulher Negra; Ricardo Soares, apresentador e diretor do programa Caminhos e Parcerias, da TV Cultura, e do programa Literatura, da STV; Stephen Kanitz, articulista da revista Veja e diretor do site www.voluntarios.com.br; Marcos Kisil, professor da Faculdade de Saúde Pública da USP e presidente do IDIS – Instituto para o Desenvolvimento do Investimento Social; Gilmar Carneiro dos Santos, representante da Central Única dos Trabalhadores, a CUT, no Conselho de Administração do BNDES - Banco Nacional do Desenvolvimento Econômico e Social, e curador do Projeto Travessia, e Cleide Silva, repórter de economia do jornal O Estado de S. Paulo. O Roda Viva é transmitido em rede nacional para todos os estados brasileiros e também para Brasília. Se você quiser participar deste programa, pode usar o nosso telefone que é o 0xx11-252-6525; o fax é 3874-3454, e o endereço do programa na internet [é] rodaviva@tvcultura.com.br."
22/10/2001,Zilda Arns,5,Paulo Markun,Boa noite.
22/10/2001,Zilda Arns,6,Zilda Arns,"Boa noite. É um prazer muito grande estar aqui; eu gostaria de mandar um grande abraço para todos que me vêem, principalmente os voluntários, os líderes da Pastoral da Criança."
22/10/2001,Zilda Arns,7,Paulo Markun,"O prazer é nosso! É, a gente, vendo aí e lendo a trajetória da Pastoral, do trabalho dos voluntários, os resultados obtidos, dá a impressão de que aquele... a história do ovo de Colombo, quer dizer, uma idéia simples, uma coisa aparentemente banal, que funcionou. A senhora acha que existem outros desafios, outros problemas grandes da sociedade brasileira que podem ser resolvidos dessa maneira ou outras coisas exigem outro tipo de solução: políticas públicas, mudança na maneira de governar, enfim, alterações maiores do que as que a Pastoral promoveu?"
22/10/2001,Zilda Arns,8,Zilda Arns,"Normalmente não se dá muito valor às coisas simples e também não se dá valor à promoção e à prevenção. É assim, tanto na área da saúde, quanto [n]a [de] educação, marginalidade, né? Então, eu creio que nessa área nós podemos avançar bastante, e, naturalmente, compete, não só ao governo, mas também à sociedade, às próprias famílias, assumir o seu papel. E a Pastoral da Criança, principalmente, se ocupa com as famílias, para saberem cuidar bem dos filhos. Agora, tem que também, muitas vezes, ter melhores condições de vida, alfabetização, geração de renda e outras coisas mais."
22/10/2001,Zilda Arns,9,Paulo Markun,"Qual foi a chave, na opinião da senhora, do sucesso do trabalho da Pastoral?"
22/10/2001,Zilda Arns,10,Zilda Arns,Eu creio...
