DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
03/09/2007,Adib Jatene,1,Paulo Markun,"Boa noite. Antigamente cinco médicos davam conta da nossa saúde do começo até o final: o clínico, o cirurgião, o ginecologista, o obstetra e o pediatra. Hoje, oficialmente, existem 53 especialidades. “Para que tudo isso?”. A pergunta é de um dos mais renomados cardiologistas do Brasil. Com mais de 50 anos de medicina e experiências marcantes na área administrativa da saúde, ele conhece bem as doenças do coração e também as do sistema público de saúde no Brasil, que vive uma nova crise, agora caracterizada, localizada, mais no Nordeste. Crítico do excesso de especializações médicas, ele também questiona o nível do ensino de medicina no país. E defende a criação de um exame de habilitação para o exercício da profissão. O Roda Viva entrevista hoje o doutor Adib Jatene, diretor geral do Hospital do Coração e professor emérito do Instituto do Coração, o Incor, e da Faculdade de Medicina da Universidade de São Paulo. Você acompanha a entrevista num instante."
03/09/2007,Adib Jatene,2,Paulo Markun,"Médico, professor, homem público, Adib Jatene tem um capítulo próprio na história da cardiologia brasileira. Um dos responsáveis pelos avanços nessa área e pelo desenvolvimento de institutos especializados em coração, há anos ele se coloca no debate público sobre os desafios da área de saúde no Brasil."
03/09/2007,Adib Jatene,3,[Comentarista],"Adib Jatene é de Xapuri, no Acre. Nasceu em 1929, num lugar distante e carente de tudo, principalmente, de médicos. Tinha dois anos quando o pai, um imigrante libanês seringueiro morreu de febre amarela. Foi com a mãe para Uberlândia, em Minas Gerais, e mais tarde, para São Paulo. Começou a estudar engenharia, mas deixou o curso no último ano para fazer medicina. Se formou médico em 1953, pela Universidade de São Paulo. Influenciado pelo professor Zerbini, pioneiro do transplante de coração no Brasil, Adib Jatene fez carreira em cardiologia no Hospital das Clínicas, no Instituto do Coração e no Instituto Dante Pazzanese de Cardiologia, em São Paulo. Além do trabalho de cirurgião e professor, integrou e comandou equipes de pesquisas na área de bioengenharia e foi um dos responsáveis pelos avanços científicos da cardiologia brasileira nos últimos anos. Aos 78 anos de idade, premiado no Brasil e no exterior, reconhecido como referência em sua especialidade, Adib Jatene tem, no extenso currículo, três experiências na vida pública. Foi secretário de Saúde do estado de São Paulo no governo Maluf e duas vezes ministro da Saúde, no governo Collor, no início dos anos 90 e, depois, no governo Fernando Henrique, quando Jatene conseguiu aprovar o imposto do cheque. Uma idéia destinada a aumentar os recursos do sistema público de saúde. Não deu certo, e Jatene deixou o ministério frustrado por não ter conseguido mais verbas. O imposto do cheque virou CPMF, contribuição provisória que já dura 11 anos e pode se tornar permanente. E o dinheiro arrecadado, inicialmente destinado à saúde, teve outras finalidades. Há décadas sem a atenção e os recursos necessários, o sistema público de atendimento médico e hospitalar segue uma rotina de crises. A mais recente se espalha pelo Nordeste, com greves de médicos e profissionais da saúde que reclamam dos baixos salários. Em Alagoas, a greve dos médicos durou quase três meses. Na Paraíba, duas mulheres morreram no mês passado porque suas cirurgias foram adiadas pela greve médica. No Ceará, pacientes não conseguem marcar cirurgias pelo SUS. E em Pernambuco, mais de 130 médicos do sistema público pediram demissão. No outro extremo do país, no Rio Grande do Sul, hospitais filantrópicos suspenderam cinco mil consultas na semana passada para reclamar da falta de reajuste nas tabelas do Sistema Único de Saúde."
03/09/2007,Adib Jatene,4,Paulo Markun,"Para entrevistar o cardiologista Adib Jatene nós convidamos: Miguel Srougi, médico urologista e professor titular da cadeira de urologia da Faculdade de Medicina da USP; Nelson Ibañez, médico sanitarista, professor de medicina da Santa Casa e da Faculdade de Saúde Pública e vice diretor do instituto Butantan; convidamos também Laura Capriglione, repórter do jornal Folha de S.Paulo; está conosco ainda Luís Nassif, comentarista de economia da TV Cultura; Gonzalo Vecina Neto, médico sanitarista, ex-secretário de Saúde do município de São Paulo, e Demétrio Weber, repórter do jornal O Globo. Temos a participação do cartunista Paulo Caruso, registrando em seus desenhos os momentos e os flagrantes do programa. O Roda Viva é transmitido em rede nacional de TV, pela TV pública, para todo o Brasil e também por meio da rádio Cultura AM em 1200 kHz. Para participar, você pode fazer a sua pergunta, sua crítica, sua sugestão, pelo telefone que está aí na tela: 11 3677 1310. 11 3677 1310. Ou o fax: 11 3677 1311. Pela internet, você acessa o site do programa – o endereço é: www.tvcultura.com.br/rodaviva–, e manda o seu e-mail. Também pelo site da Cultura, você tem acesso ao blog da Cultura, que transmite as informações sobre a programação, as mudanças na emissora e na Fundação Padre Anchieta e, ao mesmo tempo, abre espaço para que você faça a sua crítica, sua observação, seu pedido, sua reclamação, seja lá o que for, democraticamente. Doutor Jatene, boa noite."
03/09/2007,Adib Jatene,5,Adib Jatene,Boa noite.
03/09/2007,Adib Jatene,6,Paulo Markun,Queria perguntar para o senhor se o senhor acha que greve é um jeito bom de resolver a questão da saúde no Brasil.
03/09/2007,Adib Jatene,7,Adib Jatene,"Olha, Markun, a primeira greve de médicos aconteceu em 1979, quando eu tinha recém assumido a Secretaria da Saúde. O Ibañez deve se lembrar disso. Eu fui entrevistado pelo Demétrio, que era um jornalista da... do Jornal da Tarde, e ele me perguntou o que eu achava da greve de médicos. E eu disse, naquela época, que os médicos estavam sendo transformados em profissionais assalariados. Então, “ninguém se surpreenda se eles se comportarem como assalariados”. De lá para cá, a situação se complicou porque o sistema de saúde foi ampliado. Naquele então, você tinha indigentes, você tinha os segurados da Previdência e você estava iniciando a... a medicina de pré-pagamento. Depois da Constituição, acabou o indigente. O sistema passou a atender todo mundo, indistintamente. Então, você aumentou muito a clientela e você não deu o suporte financeiro que os constituintes previram. Porque nas disposições transitórias da Constituição está estabelecido – estava estabelecido – que o sistema de saúde iria ser suportado com 30% do orçamento da seguridade. O que nunca aconteceu."
03/09/2007,Adib Jatene,8,Luís Nassif,"Doutor Jatene. O senhor foi o líder aí de uma, de uma batalha heróica, lá na aprovação do IPMF. Quando muitos economistas, aí, ex-ministros, diziam que a aprovação do IPMF iria acabar com o Brasil, na época. Eu queria que senhor relembrasse um pouquinho os argumentos que foram utilizados e todo aquele seu esforço para entender o orçamento e desarmar esse tipo de retórica e, finalmente, como que houve esse efeito substituição do IPMF entrando por uma porta, e verbas orçamentárias da saúde saindo pela outra?"
03/09/2007,Adib Jatene,9,Adib Jatene,"É... na verdade, eu propus o CPMF."
03/09/2007,Adib Jatene,10,Luís Nassif,Já era o CPMF?
