|DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
0|21/07/1997|Affonso Celso Pastore|1|Matinas Suzuki| Boa noite. Ele é um dos mais respeitados economistas brasileiros. Acredita que o país tem tempo para acertar sua economia, mas é preciso acelerar as reformas. No centro do Roda Viva, o professor Affonso Celso Pastore. Paulistano, 60 anos, bacharel e doutor em economia pela Universidade de São Paulo, ele está na USP há quase vinte anos como professor titular de macroeconomia. Na vida pública foi secretário da Fazenda de São Paulo em 79, e presidente do Banco Central em 1983. Entre livros e artigos, o professor Pastore já escreveu praticamente sobre todos os temas econômicos, criticando o déficit público, as altas taxas de juros, defendendo a abertura econômica e o ajuste fiscal. Foi contra o Plano Cruzado e o Plano Verão. Apoiou o Plano Real, mas diz que as reformas são urgentes e que o déficit externo é insustentável, e que faltam incentivos às exportações. Para entrevistar o professor Affonso Celso Pastore nós convidamos essa noite o Marcelo Pontes, diretor de redação do Jornal do Brasil; Celso Pinto, colunista da Folha de S. Paulo; a Miriam Leitão, colunista do jornal O Globo e comentarista da Rede Globo de Televisão; o empresário Boris Tabacof, diretor do departamento de economia da Fiesp ; o Paulo Sotero, correspondente do jornal O Estado de S. Paulo em Washington, que estava em São Paulo e nós aproveitamos e pusemos ele para trabalhar um pouquinho aqui em São Paulo; o Roberto Teixeira da Costa, vice-presidente do banco SulAmérica e presidente do capítulo brasileiro dos Conselhos de Empresários da América Latina; e José Paulo Kupfer, diretor e comentarista do programa Negócios & Companhia da Rede Bandeirantes e da rádio CBN. O Roda Viva é transmitido em rede nacional para todos os estados brasileiros. Você também pode participar deste programa fazendo perguntas pelo telefone 011, código de São Paulo, 252-6525, 252-6525. Se você preferir o fax, use o número 011 874-3454, 874-3454; ou você pode ainda enviar as suas perguntas pelo nosso endereço na internet, que é: rodaviva@tvcultura.com.br, rodaviva@tvcultura.com.br. Boa noite, professor Pastore.
1|21/07/1997|Affonso Celso Pastore|2|Affonso Celso Pastore| Boa Noite.
2|21/07/1997|Affonso Celso Pastore|3|Matinas Suzuki| Professor Pastore, o susto dos tigres asiáticos já passou no Brasil, ou ainda temos alguma coisa a temer aí pela frente?
3|21/07/1997|Affonso Celso Pastore|4|Affonso Celso Pastore| Olha, a minha impressão é  que o susto dos tigres asiáticos não andou pelo Brasil. Nós sofremos... a Tailândia sofreu um ataque especulativo, e várias economias asiáticas tiveram ataques contra as suas reservas. Simultaneamente, no Brasil, ocorreu um fenômeno de extrema volatilidade nas bolsas de valores. Teve-se dias de queda de 9%, dias de recuperação de 6 a 7%, seguidos novamente de uma queda de 8%.  Evidente que pessoas olhando essas oscilações enormes nos índices da Bolsa podiam associar isso a uma conseqüência do fenômeno da Tailândia, ou até certas pessoas poderiam sugerir que isso fosse uma indicação de um início de ataque contra as reservas , contra o Real. Um economista atento que olhasse para esse... para tudo o que se passou na área econômica, não apenas para aquilo que se passou na Bolsa, no entanto, iria notar algumas outras características. A primeira delas foi uma subida muito forte das taxas de juros nos mercados futuros de juros, como que nos dizendo que os mercados acreditam que, se o governo precisar puxar a taxa de juros para cima, para atrair capitais e defender a posição de reservas, ele o fará. Quer dizer, nós assistimos a uma inclinação muito forte da taxa de juro a termo, quer dizer, as taxas para trinta, sessenta, noventa dias. Simultaneamente, não houve nenhum sintoma no mercado futuro de câmbio, nem nos forwards de câmbio  da Bolsa Mercantil e de Futuros  e nem nos preços das NTNs  denominadas em dólares, ou seja, as evidências que vieram do mercado de câmbio foram de que a demanda por hedging  não cresceu depois do problema da Tailândia. Ora, um ataque especulativo só ocorre quando se instala na cabeça dos agentes econômicos a noção de que a probabilidade de ocorrer uma desvalorização discreta da taxa de câmbio é alta. Se tivesse ocorrido a noção de que poderia ocorrer uma desvalorização discreta da taxa de câmbio no Brasil, a demanda por hedging teria crescido e esses sinais teriam aparecido nos mercados futuros. Ao contrário, o que ocorreu foi uma subida da taxa de juros nos mercados futuros, indicando que os agentes econômicos esperam que o governo defenda a posição de reservas, e, na marola da subida da taxa de juros no mercado futuro, acentuou-se a queda na Bolsa, que é um fenômeno natural de queda quando ocorre uma subida na expectativa de subida de taxa de juros, particularmente se você tiver os tomadores de ações com posições muito alavancadas no mercado de ações. O que me parece que nós assistimos foi... eu não quero dizer com isso que o Brasil jamais sofra ataques especulativos, nada disso, isso é um outro aspecto da história, pode ser que um dia tenha, eu espero que não, mas nesse caso eu não consegui ver nenhum sintoma de que o efeito Tailândia fosse um efeito direto sobre o mercado de câmbio.
4|21/07/1997|Affonso Celso Pastore|5|[...]| Pastore...
5|21/07/1997|Affonso Celso Pastore|6|Miriam Leitão| Professor, é o seguinte: eu queria antes fazer uma pergunta que não é para saciar a minha curiosidade, mas eu acho que a do telespectador. Os economistas, eles inventam... cada dia aparecem com uma palavra nova, e nós jornalistas aceitamos essas palavras, e escrevemos sobre elas, e usamos. E agora a gente apresentou aos leitores e telespectadores a expressão “ataque especulativo”. Então eu queria que o senhor explicasse para o telespectador, que não é economista, que não é especialista, como é que acontece um ataque especulativo.
6|21/07/1997|Affonso Celso Pastore|7|Affonso Celso Pastore| Quando ocorre a percepção de que vai ocorrer uma desvalorização cambial forte, discreta, um número grande de desvalorização,  pessoas que têm passivos em dólares, pessoas que tomaram dinheiro emprestado na moeda externa, terão uma perda de capital muito forte. Quer dizer, numa situação como essa, os indivíduos que têm passivos  em dólares querem converter os seus passivos em dólares para passivos na moeda doméstica. Quer dizer, no caso do baht na Tailândia ou no caso do peso no México, como foi em 1994, a perspectiva de uma desvalorização cambial gerou na cabeça dos detentores de passivos em dólares que eles teriam uma perda de capital forte, quer dizer, um prejuízo derivado da desvalorização na moeda. Num momento como esse, ocorre uma tendência muito grande a quitar os passivos na moeda externa e assumir posições ativas na moeda externa. Se tiver um título público denominado em reais e um título público denominado em dólar, a perspectiva de desvalorização cambial faz com que o indivíduo queira reter o ativo denominado em dólar e não queira ter um empréstimo que seja corrigido em dólar. Isso produz uma demanda por ativos em dólar. Se existirem ativos em dólar na economia suficientes para que os indivíduos se cubram do risco cambial, e existir confiança de que o emissor desse ativo em dólar honre o ativo, o sistema se cobre do risco. Se não, as pessoas vão pré-pagar as suas posições passivas em dólar, e o único jeito de pré-pagarem isso é comprando dólares do banco central. Se o Banco Central não vender os dólares, a taxa de câmbio se desvaloriza. Agora, os bancos centrais muitas vezes, e no caso do México não queriam, as autoridades mexicanas não queriam que ocorresse uma desvalorização do peso, e no caso da Tailândia as autoridades tailandesas não queriam que ocorresse uma desvalorização do baht. A única maneira de esses dois bancos centrais evitarem a desvalorização do baht e do peso foi suprirem o setor privado da quantidade de dólares que o setor privado queria para si. Quer dizer, de onde tiram esses dólares? Tiram da reserva , quer dizer, o que eu acabei de descrever para você é exatamente como se materializa um ataque.
7|21/07/1997|Affonso Celso Pastore|8|Roberto Teixeira da Costa| O que isso confirma, Pastore, que basicamente essas crises são geradas, portanto, de dentro para fora e não de fora para dentro.
8|21/07/1997|Affonso Celso Pastore|9|Affonso Celso Pastore| Essas crises são geradas quando os fundamentos da economia estão errados. Há dois tipos de fundamentos que podem estar errados. Um primeiro... toda essa teoria sobre crises especulativas vem evoluindo desde 1979, quando um economista do MIT  chamado Paul Krugman  publicou um primeiro artigo teorizando como ocorrem os ataques especulativos. Naquele momento o que ele fez foi supor que um país que tivesse câmbio fixo, como é o caso da Argentina, e tivesse um fundamento errado, que era a política fiscal. Política fiscal expansionista, financiada... esse déficit financiado por emissão de moeda. É claro que, se a taxa de câmbio é fixa, a moeda é endógena . Se você expande o crédito doméstico  para poder pagar o déficit público , você diminui a posição de reservas. A diminuição da posição de reservas é extrapolada para o mercado para chegar a zero num particular ponto. Antes que ela chegue a zero surge a idéia de que você vai desvalorizar a moeda doméstica e, quando isso ocorre, ocorre o ataque especulativo. O que  que estava errado aqui? Era um fundamento, que era o déficit público alto. No caso da Tailândia não tinha déficit público alto, no caso da Tailândia tinha política monetária...
9|21/07/1997|Affonso Celso Pastore|10|José Paulo Kupper|  Nem baixas reservas, como tinha no México, e a taxa de juros foi, antes do grande ataque, foi sendo elevada a ponto de ter subido mais de 1.000%. Queria perguntar para o senhor exatamente isso: a idéia de que é possível resistir aos ataques com posições elevadas de reserva cambial, e, pelo que parece até aqui, como o próprio mercado vê aqui no Brasil, com uma disposição de subir os juros até onde for necessário, na Tailândia parece que não funcionou. Abriu-se um novo... uma nova situação, em que nada disso resistirá quando o ataque for feito diante de fundamentos frágeis. É isso mesmo?
