DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
13/07/1987,Almino Affonso,1,Rodolfo Gamberini,"Boa noite. Está começando neste momento mais um Roda Viva, programa de entrevistas e debates da TV Cultura de São Paulo. É um programa transmitido simultaneamente pela rádio Cultura AM. Esta noite, no centro do Roda Viva, está o vice-governador de São Paulo, Almino Affonso. Para participar deste programa, o Roda Viva convidou: o jornalista Cláudio Abramo, da Folha de S. Paulo e da revista Senhor; Mauro Chaves do jornal O Estado de S. Paulo; Irede Cardoso, vereadora do PT e editora do programa Mulher 87, da rede Manchete de televisão; Tonico Ferreira, da Gazeta Mercantil; Ennio Pesce, da TV Globo; Ricardo Setti, do Jornal do Brasil; Ruy Falcão, da revista Exame; e João Batista Natali, da Folha de S. Paulo. Para você, que está em casa, já sabe que, pelo telefone 252-6525, vocês podem fazer qualquer pergunta ao vice-governador Almino Affonso. As moças anotam a sua pergunta e eu a transmito ao vice-governador. Vice-governador, nós sabemos que o senhor já defendeu publicamente - não sei se continua defendendo - o mandato de cinco anos do presidente Sarney. E o senhor tem passado os últimos dias em conversas com o pessoal do PMDB: hoje mesmo, o senhor teve uma reunião com o partido aqui em São Paulo, já se preparando para a convenção nacional - que, no mínimo, vai tocar nesse tema do mandato presidencial. O ex-governador Franco Montoro declarou, no final de semana, que continua favorável ao mandato de quatro anos - e disse, até, que a bancada paulista na convenção nacional do partido vai votar pelos quatro anos. Como está essa questão dentro do partido em São Paulo e como é que o senhor vê essa declaração do ex-governador Franco Montoro?"
13/07/1987,Almino Affonso,2,Almino Affonso,"Eu começo dizendo que em nenhum instante eu me manifestei por cinco anos. Não me parece o ponto central. O que eu tenho defendido é que há um conjunto de outras questões mais urgentes para o PMDB definir-se, e que o problema de ser quatro ou cinco anos deve ser entregue à Assembléia Nacional Constituinte, que é soberana para poder tomar a decisão que lhe pareça adequada. Enquanto isto, o PMDB, na sua convenção, deve concentrar os seus esforços na análise e na superação de algumas divergências internas. São problemas fundamentais do país, exemplo: a recessão, a política salarial, o risco de nós voltarmos, realmente, a um desemprego em massa e a um arrocho salarial inevitável, à repressão que seja uma seqüela política desses problemas sociais. Há problemas que, na ordem da Constituinte, não estão devidamente definidos pelo PMDB, como a questão da reforma agrária, a questão da reforma urbana, a questão da informática e tantos outros que sacodem o PMDB. E nos tem faltado, por um conjunto de razões que nós podemos pouco a pouco analisar, uma linha de conduta clara. Ora, como um problema de quatro ou cinco anos leva a divergências internas pelo conjunto de conseqüências - no meu entender negativas, em termos imediatos -, eu digo e tenho dito em público - e essa tem sido a razão da minha linha de conduta: adiemos isto para que, no momento oportuno, quando a Assembléia Constituinte tiver que decidir, o partido opte; e, até lá, nós tomamos decisões sobre as questões que são fundamentais e que estão nos afastando do povo - porque está nos vendo como alguém que não respeita os compromissos populares."
13/07/1987,Almino Affonso,3,Rodolfo Gamberini,"Mas isso não seria empurrar com a barriga um assunto tão sério, vice-governador?"
13/07/1987,Almino Affonso,4,Almino Affonso,"Não. Na ação política, como em tudo na vida, escolhe-se a hora da batalha. Há algumas batalhas que são fundamentais e devem ser travadas agora; outras, que não se prejudicam pelo fato do adiar, dado que isso será um problema que será definido no seu momento oportuno pela Assembléia Constituinte - e, em decorrência, pelo PMDB. eu não anulo em nada o que eu tenho a fazer, mas ganho em eficiência resolvendo alguns problemas de maior urgência."
13/07/1987,Almino Affonso,5,Rodolfo Gamberini,"Aliás, o Cláudio Abramo escreveu um editorial na Folha de S. Paulo em que ele disse que..."
13/07/1987,Almino Affonso,6,Cláudio Abramo,"Editorial, não."
13/07/1987,Almino Affonso,7,Rodolfo Gamberini,"Um “comentário”. Posso chamar de “comentário”? Um comentário em que ele diz que a discussão... Como é que era o editorial, Cláudio? Que a discussão deve ser...?"
13/07/1987,Almino Affonso,8,Cláudio Abramo,"Eu creio que a duração do mandato não é importante; quer dizer, não tem importância nenhuma. Tem tanta gente... O problema maior é a integração nacional, acabar com a miséria, resolver alguns problemas... O PMDB é um grande partido e está ocupado em valer quatro ou cinco anos. Se você fizer a conta depois, daqui a 25 anos - vai se saber o processo de democratização -, vai saber se durou um ano a mais ou a menos... Eu acho isso uma besteira; é uma coisa cretina se ocupar disso aí."
13/07/1987,Almino Affonso,9,Rodolfo Gamberini,"Mas, vice-governador, dentro do partido há pessoas, há candidatos em potencial que defendem cinco anos porque fazem os cálculos de duração dos seus mandatos que detêm hoje; outros, que não têm mandato, preferem que a eleição seja antecipada - talvez por motivos, até, pessoais. Não existe isso dentro do PMDB?"
13/07/1987,Almino Affonso,10,Almino Affonso,"Somos um partido de seres humanos, não de anjos. Seguramente, deve haver problemas dessa índole. Mas a minha análise política transcende a isso, porque eu estou fora desse debate que você coloca. Eu analiso que, neste momento, há algumas coisas que são graves e que o PMDB não pode fugir delas. Por exemplo, há um programa agora, econômico e social, posto em marcha pelo ministro Bresser. Qual a função do PMDB? O Plano Bresser corresponde ou não à linha que o PMDB deve sustentar? Isso me parece chave. Quando o ministro Bresser colocou o seu plano, foi previamente analisado pela direção do partido? Não. Presume-se que alguém que vai do PMDB para o ministério corresponda à linha de conduta que o PMDB espera; presume-se, mas, na prática, nem sempre é assim: há condicionamentos de diversas ordens. Neste instante eu indago: qual é a posição uniforme do PMDB sobre isso? Não há. E, entretanto, nós somos cobrados na rua, na assembléia popular, em todo lugar. O que nós achamos do Plano Bresser? Pois bem, isso não pode ser adiado. Em determinado instante, meu ilustre presidente, Ulysses Guimarães disse algo assim: “O Plano Bresser é do governo, embora o ministro seja do PMDB.” Não me contenta, tampouco, alegra o povo, que nos cobra uma linha clara, nítida, definida. Então, eu digo: definamo-nos em torno disso; e aquilo que pode nos dividir em algo que é secundário em termos imediatos, adiemos para um momento oportuno - sem que isso implique em nada, como no começo do nosso diálogo, em “levar com a barriga”."
13/07/1987,Almino Affonso,11,Antônio Carlos Ferreira,"Doutor Almino, o que eu procuro entender não é que o senhor não ache fundamental a questão do mandato - pelo menos, o senhor não acha que é uma questão a ser decidida imediatamente."
13/07/1987,Almino Affonso,12,Almino Affonso,Exatamente.
13/07/1987,Almino Affonso,13,Antônio Carlos Ferreira,"Mas eu pergunto para o senhor: que plano o governo pode tocar se algumas pessoas - alguns analistas políticos, jornalistas e mesmo políticos - acham que nenhum plano pode ser tocado neste país por este governo, na medida em que ele não é confiável? Portanto, quaisquer questões dessas que o senhor levantou - que são importantes - não poderiam ser implementadas por um governo que não tem legitimidade; e, portanto, a questão do mandato seria prioritária. E essa argumentação, o que o senhor diz dela?"
13/07/1987,Almino Affonso,14,Almino Affonso,"Eu lhe pergunto: no ano passado, quando o presidente Sarney havia sido eleito pelo Colégio Eleitoral - e, portanto, em termos jurídicos institucionais, tinha a mesma legitimidade de hoje -, não estava, por acaso, ganhando, enfim, loas e aplausos em toda parte, como nunca nenhum presidente deste país jamais ganhou? Tinha, ontem, mais legitimidade do que hoje. Logo, o problema não é por aí."
13/07/1987,Almino Affonso,15,Antônio Carlos Ferreira,"O doutor Tancredo tinha uma legitimidade - se não legal, pelo menos política. Agora, já o presidente Sarney, é de se discutir a legitimidade."
13/07/1987,Almino Affonso,16,Almino Affonso,"Você discute hoje; mas, um ano atrás, o país não discutia isso. Um ano atrás, ele tinha um trânsito popular que eu não vi..."
13/07/1987,Almino Affonso,17,Antônio Carlos Ferreira,Mas é que......que o governo fez.
13/07/1987,Almino Affonso,18,Almino Affonso,"Me perdoe, eu vou concluir o meu raciocínio:...como nenhum presidente da República jamais teve neste país. Nem Juscelino Kubitschek! Entretanto, a origem dele era a mesma de hoje."
13/07/1987,Almino Affonso,19,Mauro Chaves,"Mas, Almino, é que no tempo do Plano Cruzado, independentemente da eficiência do governo em justificar ou não legitimidade - e não justifica -, estava-se dentro do prazo de quatro anos prometido pelo Tancredo Neves e também prometido por José Sarney. Então, essa questão da legitimidade me parece, para um partido como o PMDB - a luta histórica do PMDB das diretas, da campanha de que o senhor fez parte -, me parece uma situação de falta de credibilidade, uma situação de desânimo, uma situação de crise. Parece-me que esse é um assunto muito importante. Tanto importante é, que tem comovido setores expressivos, lideranças expressivas do seu partido. Agora, as versões que correm, que o senhor está desmentindo agora - eu gostaria que o senhor as desmentisse categoricamente ou as confirmasse -, as versões que correm é que o senhor tem conversado com correligionários seus tentando convencê-los dos cinco anos do mandato do presidente Sarney. O senhor desmente essas versões?"
13/07/1987,Almino Affonso,20,Almino Affonso,"Eu desminto tranqüilamente. O meu objetivo, nas conversações que eu tenho mantido, não é de dividir pró-quatro ou pró-cinco. Eu acho isso menor, em termos imediatos. Não que a duração não seja significativa - claro que é, é um fato político importante -; apenas, eu digo que não é o momento de defini-la. Façamos ao fim do ano, na hora em que a Constituinte for votar o projeto de Constituição do país. Este é o centro."
13/07/1987,Almino Affonso,21,João Batista Natali,"...que a Constituinte teria a possibilidade de recuar em relação ao compromisso que deu nascimento à Nova República? E aqui, veja bem, eu estou me colocando mais ou menos de uma maneira oposta àqueles que acreditam que, se o presidente Sarney tiver um bom desempenho, o mandato dele deve ser de seis e, se ele tiver um péssimo desempenho, deve ser de quatro. Então, não entro nesse detalhe do Plano Cruzado, da popularidade dele e assim por diante; eu me reporto ao compromisso que foi assumido pelo Tancredo Neves e por ele como vice na chapa de Tancredo, no momento em que se fixou o prazo da transição, ou seja, que a transição teria fim no momento em que a nova Constituição fosse promulgada - e isso vai ocorrer num prazo tal que a sucessão presidencial deveria se dar em novembro do ano que vem. Essa aqui é a posição, também, do governador Franco Montoro e assim por diante. Faço essa pequena observação para chegar à seguinte pergunta: o senhor não se sente um pouco incomodado quando o senhor vê, digamos, que o PT conseguiu reunir ontem, na praça da Sé, 25 mil pessoas, quando a expectativa do PT era de 15? Não é uma bandeira para que o seu partido estivesse incluído?"
13/07/1987,Almino Affonso,22,Almino Affonso,"Eu não vejo porque que nós temos que disputar bandeira com outro partido. Cada qual tem sua bandeira. Trinta mil pessoas para o PMDB não significa nada; para o PT, é a glória. Então, que fique feliz com a sua glória. Fique feliz com a sua glória."
13/07/1987,Almino Affonso,23,Irede Cardoso,Almino...
13/07/1987,Almino Affonso,24,Almino Affonso,"Deixa só eu terminar, Irede..."
13/07/1987,Almino Affonso,25,Irede Cardoso,Depois é minha vez.
13/07/1987,Almino Affonso,26,Almino Affonso,"...só para terminar este raciocínio. A sua primeira parte foi - perdoe-me, que, com a intervenção da Irede, eu me perdi...?"
13/07/1987,Almino Affonso,27,João Batista Natali,"A questão não se tratava de se vincular a questão da duração do mandato presidencial a uma perspectiva plebiscitária - ou seja, eu gosto do governo e ele fica bastante; ou eu não gosto do governo e tem que ficar pouco -, mas simplesmente ao compromisso do Tancredo Neves. A pergunta que estava embutida nisso tudo é a seguinte: a Constituinte teria o direito de modificar um dos temas fundamentais dentro dos quais a Nova República..."
13/07/1987,Almino Affonso,28,Almino Affonso,"A Assembléia Constituinte é soberana, pode modificar isso e qualquer outra coisa. O problema é que vocês estão centrados no debate político. Eu digo “vocês” porque as perguntas todas giraram em torno disto, de que eu defendo cinco anos e não quatro. Eu não disse isso; estou dizendo apenas que o PMDB, na sua convenção de sábado e domingo, não deve definir-se por isso, porque é um debate interno que nos divide, quando nós temos outros debates fundamentais, em torno dos quais não devemos nos dividir. Então, eu digo: centremos as nossas forças nas coisas que são fundamentais e permanentes e, no final do ano, na hora de votar a Constituição, optemos."
13/07/1987,Almino Affonso,29,João Batista Natali,"Mas é uma solução politicamente tão perigosa - porque, veja o senhor, no momento em que também existem divergências no PMDB em relação à reforma agrária, então significa que o partido não vai se posicionar em relação à reforma agrária?"
13/07/1987,Almino Affonso,30,Almino Affonso,"é exatamente que a questão agrária me parece fundamental. Se há que correr riscos de divisões, dividamo-nos na reforma agrária. A informática é uma questão fundamental; a questão urbana, igual; e outras. Agora, por que eu tenho que queimar cartuchos internamente em torno de um assunto que dentro de seis meses será resolvido de uma forma ou de outra, quando eu tenho algumas questões mais fundamentais?"
13/07/1987,Almino Affonso,31,Irede Cardoso,Senhor Almino...
13/07/1987,Almino Affonso,32,Rodolfo Gamberini,"Só uma coisinha, em seguida você pode falar. Eu queria que o senhor respondesse, neste momento, uma pergunta gravada do deputado Brandão Monteiro, presidente nacional do PDT. Por favor, a pergunta entra por aqueles monitores ali."
13/07/1987,Almino Affonso,33,[VT de José Carlos Brandão Monteiro],"Ilustre amigo vice-governador Almino Affonso, vossa excelência não acha que o país passa por uma crise econômica, política, social e, sobretudo, institucional em função de que o presidente da República não cumpriu os seus compromissos para a transição democrática brasileira? Em conseqüência, nós temos a maior transição do mundo. Perguntaria a vossa excelência: vossa excelência não acha que chegou a hora de o presidente da República e o PMDB devolverem ao povo o direito de eleger o seu presidente da República?"
13/07/1987,Almino Affonso,34,Almino Affonso,"Muito bem, nobre deputado, se a coisa é tão grave assim que nós devemos de imediato devolver ao povo a escolha do seu presidente, na linha do seu argumento, então por que novembro de 1988? Por que não fazemos já? Por que não fazemos em março de 1988? Por que a Constituinte, arrogando os seus poderes de soberana, não limita já o mandato do presidente da República e convoca eleições presidenciais para janeiro? Porque, por trás desse argumento seu, que é formal, há uma coisa chamada “correlação de forças políticas”. A transição se dá no bojo de um conjunto de fatores onde entra o seu partido, entra o meu, entra o PT, entra o PFL etc, mas entra também uma figura institucional chamada “presidente da República”. É um dado da realidade, não fui eu quem inventou e nem o senhor. Logo, é no conjunto dessas circunstâncias que o processo político de transição avança ou pára. O que eu digo é que neste instante há outras razões prementes, para as quais o senhor chama a atenção, e nós não estamos conseguindo sequer nos entender. Amanhã, se o país avançar no atropelo em que está, com uma recessão que, eventualmente, pode aguçar-se, com uma crise social que pode nos levar outra vez ao desemprego em massa, com protestos de rua que talvez levem à repressão, com uma falta de credibilidade do presidente da República crescente, tudo isso pode de tal maneira anular o período de transição que algumas figuras com um pouco mais de força de coesão podem ser chamadas a cumprir a ordem e nós todos vamos depois filosofar sobre os fatos que se passaram."
13/07/1987,Almino Affonso,35,Rodolfo Gamberini,"Professor doutor Almino, a próxima pergunta é do Rui Falcão, da revista Exame."
13/07/1987,Almino Affonso,36,Rui Falcão,"A minha pergunta é simples, doutor Almino. Nós teremos duas horas, aqui, para debater vários desses pontos importantes que o senhor citou, como a questão do salário mínimo, da recessão, e todas as perguntas foram dirigidas no sentido de que o senhor defenderia o mandato de cinco anos. O senhor tem deixado claro que não, embora também se diga que o senhor articula os governadores para que essa decisão não seja tomada na convenção do PMDB."
13/07/1987,Almino Affonso,37,Almino Affonso,"interrompê-lo: essa palavra, “articular”, me parece delicada..."
13/07/1987,Almino Affonso,38,Rui Falcão,"Articular é uma coisa comum na democracia, é uma negociação; até “conchavo”, inclusive. A minha pergunta é mais simples. Já que o senhor desmente a sua posição favorável aos cinco anos, os telespectadores gostariam de conhecer a posição do nosso governador no caso de a convenção do PMDB resolver se pronunciar em torno da questão do mandato do presidente da República."
13/07/1987,Almino Affonso,39,Almino Affonso,do governo.
13/07/1987,Almino Affonso,40,Rui Falcão,"Do nosso vice-governador, que é o senhor. Quantos anos o senhor acha que deve ter o mandato do presidente Sarney? Quatro, cinco, seis ou outro prazo de duração?"
13/07/1987,Almino Affonso,41,Almino Affonso,Dez.
13/07/1987,Almino Affonso,42,Rui Falcão,O senhor acha que deve ter dez?
13/07/1987,Almino Affonso,43,Almino Affonso,
13/07/1987,Almino Affonso,44,Rui Falcão,"Quatro, cinco, seis ou outro... Pode ser menos de quatro, já que a perda de credibilidade é crescente, como o senhor mesmo reconheceu aqui; pode ser que a atuação deva ser menor que quatro anos."
13/07/1987,Almino Affonso,45,Almino Affonso,"Não reconheci, levantei a hipótese."
13/07/1987,Almino Affonso,46,Rui Falcão,Eu gostaria que o senhor se pronunciasse em torno de uma dessas hipóteses.
13/07/1987,Almino Affonso,47,Almino Affonso,É que essa é uma pergunta um pouco ao estilo autoritário que não me agrada. A pergunta é feita em aberto e eu respondo como me parece.
13/07/1987,Almino Affonso,48,Rui Falcão,Supondo que a convenção se pronuncie pela duração do mandato - o senhor é convencional.
13/07/1987,Almino Affonso,49,Almino Affonso,Eu não sou convencional.
13/07/1987,Almino Affonso,50,Rui Falcão,Não é convencional?
13/07/1987,Almino Affonso,51,Almino Affonso,"Não sou. Portanto, posso não votar lá e posso não votar aqui. Então, está respondido. Eu acho que o problema do debate não é esse - e querem nos colocar num debate que não é o fundamental! E me parece, isso, primário. Parece-me, isso, primário!"
13/07/1987,Almino Affonso,52,Antônio Carlos Ferreira,"Mas o debate, foi o próprio presidente Sarney..."
13/07/1987,Almino Affonso,53,Almino Affonso,"Deixa eu terminar, aqui, para não faltar a gentileza com o meu velho amigo. Eu acho isso primário, eu acho que há outras coisas mais importantes a nos convocarem a um debate nacional e, quem sabe, a um grande entendimento nacional - que é o que nos falta para sairmos da transição e consolidarmos uma instituição democrática. Agora, você me disse que foi o presidente da República. É verdade, e eu condeno. Por que eu tenho que fazer o jogo do presidente da República? Eu acho que ele errou."
13/07/1987,Almino Affonso,54,Antônio Carlos Ferreira,"Porque, aparentemente, a política do governo, hoje, é centrada em função do mandato de cinco anos. É por isso que há uma pressão em cima do PMDB para ele também se decidir."
13/07/1987,Almino Affonso,55,Almino Affonso,"Mas por que eu não posso divergir do presidente da República, ao fim e ao cabo? Eu acho que, na hora em que ele fez a fala que fez, atropelou a Constituinte, revelou que não compreendeu ainda que estamos numa etapa nova. Passou vinte anos de regime autoritário e não se capacitou que estava numa etapa de construção democrática. Tudo isso é negativo da parte dele. Então, por que devo aplaudi-lo? Não o aplaudo."
13/07/1987,Almino Affonso,56,[...],
13/07/1987,Almino Affonso,57,Irede Cardoso,"Ah, eu também quero perguntar. Várias vezes..."
13/07/1987,Almino Affonso,58,Rodolfo Gamberini,"Ennio Pesce, por favor. Ennio Pesce vai perguntar. Você, em seguida, Irede."
13/07/1987,Almino Affonso,59,Ennio Pesce,"Você disse, agora há pouco, que o partido deve escolher quando e como fazer as suas batalhas. Mas tem uma batalha já marcada para este fim de semana, que é a Convenção Nacional - pelo menos, ela está sendo considerada uma batalha, até porque ameaça uma divisão do partido, ou assim temem algumas das figuras do partido. Então, eu pergunto: se a questão do mandato não é prioritária e se é em torno disso que se está dando a ameaça de cisão do PMDB, vai ser o quê, essa convenção? Uma espécie de batalha de Itararé, onde não vai se decidir nada?"
13/07/1987,Almino Affonso,60,Almino Affonso,Há tantas coisas importantes o partido precisa definir-se. Vou dar-te uma...
13/07/1987,Almino Affonso,61,Ennio Pesce,Mas o que ameaça dividir o partido não é a reforma agrária...
