|DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
0|25/08/2003|Aloizio Mercadante|1|Paulo Markun| Boa noite. Depois da previdenciária é a reforma tributária que domina a cena política em Brasília. O relatório sobre a mudança do sistema tributário foi aprovado - ou pelo menos vai ser aprovado, tudo indica, amanhã -, mas segue mergulhado em polêmicas e disputas. Junto a isso, o comércio e a indústria buscam se ajustar à recente redução da taxa básica de juros e sentir se o mercado consumidor já será capaz de algum sinal de aquecimento da economia. São esses alguns dos assuntos do Roda Viva de hoje. O nosso entrevistado é o senador Aloizio Mercadante, o economista que há 20 anos participa diretamente da elaboração do programa econômico do PT .
1|25/08/2003|Aloizio Mercadante|2|[Comentarista]| Economista e filiado ao PT de São Paulo, desde a fundação do partido em 1980, Aloizio Mercadante tornou-se conhecido em 1989 como principal articulador econômico da primeira campanha presidencial de Luís Inácio Lula da Silva. Depois foi eleito duas vezes deputado federal e disputou a vice-presidência da República na chapa de Lula em 1994. Em 2002 foi eleito senador com a maior votação já registrada numa disputa para o Senado. Aos 49 anos de idade, Aloizio Mercadante é um dos nomes fortes do presidente Lula e um dos principais interlocutores do partido com o mercado financeiro. Líder do governo no Senado, carrega boa parte da missão de obter no Congresso os apoios aos projetos do presidente Lula. Missão que se torna crucial agora: o governo entra esta semana na fase decisiva para aprovação da reforma tributária, que teve o texto básico aprovado sexta-feira pela comissão especial da Câmara. Os deputados travaram uma batalha política por conta das polêmicas que ainda cercam vários pontos do projeto. A CPMF , alíquota de 0,38% sobre movimentações financeiras, que era provisória, torna-se permanente. O ICMS  tinha 27 legislações e 44 alíquotas; deve receber legislação única e cinco alíquotas, a menor delas para a cesta básica e remédios. O IPI , que varia de 0% a mais de 300%, deve ter reduções para desonerar máquinas e equipamentos para a indústria. Benefícios fiscais que criaram a rixa fiscal entre estados para atrair empresas vão ser proibidos só daqui a oito anos. O imposto da herança , que hoje é de 4% e uniforme, deve ter alíquota progressiva conforme o valor da herança. Críticas, dúvidas e conflitos de interesses em torno destes e sobre outros pontos da reforma não faltam. O governo já teve de admitir possibilidades de mudanças, mas vai ser outra batalha. Governadores e prefeitos não querem ficar fora da partilha da CMF , o imposto que vai substituir a CPMF, e o governo federal não quer abrir mão de receitas da União. A oposição vai insistir em mudar totalmente o texto da reforma, por não concordar com a proposta em andamento. E o setor produtivo também quer interferir. Para a Fiesp - Federação das Indústrias de São Paulo, o projeto piora o sistema tributário; complica a cobrança de impostos; aumenta a carga tributária e exclui setores da desoneração representada por isenções de IPI e ICMS. De olho nas mudanças dos impostos que pagam, comércio e indústria também se movimentam, esta semana, buscando se ajustar à redução das taxas básicas dos juros. Procuram testar nas novas vendas se os financiamentos, um pouco mais baratos agora, já serão capazes de representar algum estímulo à economia.
2|25/08/2003|Aloizio Mercadante|3|Paulo Markun| Para entrevistar o senador Aloizio Mercadante, nós convidamos: Silvio Bressan, repórter especial do jornal O Estado de S. Paulo; Pedro Cafargo, editor-executivo do jornal Valor Econômico; Helena Chagas, chefe de redação da sucursal de Brasília do jornal O Globo; Bob Fernandes, redator-chefe da revista Carta Capital; Nelson Breve, repórter de política da sucursal de Brasília do Jornal do Brasil; e Clóvis Rossi, colunista do jornal Folha de S. Paulo . Boa noite, senador.
3|25/08/2003|Aloizio Mercadante|4|Aloizio Mercadante| Boa noite, Paulo
4|25/08/2003|Aloizio Mercadante|5|Paulo Markun| Queria começar  o seguinte: é mais complicado aprovar a reforma tributária do que a previdenciária?
5|25/08/2003|Aloizio Mercadante|6|Aloizio Mercadante| Acho que as duas são reformas complicadas, complexas e que têm resistências de natureza distintas. A reforma da previdência foi focada no ajuste do setor público, pelo desequilíbrio profundo do que existia entre o INSS , que atinge o grosso da população brasileira... Lembrando que 40 milhões de brasileiros sequer têm direito à previdência do setor privado; dos 21 milhões que estavam aposentados e pensionistas, 16 milhões ganharam até um salário mínimo, ninguém ganhava mais de 1580 reais. No setor público a diferença de situação era muito profunda. No legislativo a aposentadoria média é de 10 mil reais; judiciário 7 mil reais; o Ministério Público 12 mil reais; no executivo 2980 reais; e a média do setor privado 380 reais. Esse desequilíbrio exige um ajuste, este ajuste eu acho que foi apoiado por todos os governadores, pelo presidente. Foi uma iniciativa suprapartidária, nós tivemos uma série de negociações na Câmara, várias “flexibilizações” foram feitas: permite-se ainda aposentadoria integral, a paridade... Quer dizer, uma série de modificações que aumentaram o prazo da pensão, mas a resistência era social.
6|25/08/2003|Aloizio Mercadante|7|Paulo Markun| Sim, mas era uma discussão de justiça de um lado...
7|25/08/2003|Aloizio Mercadante|8|Aloizio Mercadante| E sustentabilidade fiscal.
8|25/08/2003|Aloizio Mercadante|9|Paulo Markun| ... E, digamos, direito de outro.
9|25/08/2003|Aloizio Mercadante|10|Aloizio Mercadante| Não, é sustentabilidade fiscal, porque você não tem como manter esse nível de aposentadoria, estados e municípios não tinham condições de projetar essa situação para o futuro. Então era absolutamente indispensável, eu acho que venceu a racionalidade dentro de uma visão de buscar uma aproximação desses dois sistemas progressivos. Não se fez um ajuste total, e com isso você tem um alívio nas contas públicas, você tem sustentabilidade no sistema, pelo menos por um longo período, e você diminuiu o nível de injustiças num país em que 40 milhões de pessoas estão fora do sistema.
10|25/08/2003|Aloizio Mercadante|11|Paulo Markun| Mas na reforma tributária o que eu queria entender a seguinte: é mais complicada, porque não tem uma fórmula só.
11|25/08/2003|Aloizio Mercadante|12|Aloizio Mercadante| O problema da reforma tributária, eu acho que primeiro nós entendemos que o Brasil atravessa uma grave crise financeira e fiscal. A dívida pública chegou a 62,5% do PIB  em setembro do ano passado, e o Estado praticamente não tinha crédito. Os títulos eram lançados com o período máximo de seis meses; o prazo de vencimento da dívida era muito curto, com juros elevadíssimos que o país vem praticando. A recuperação da qualidade do crédito público significa você conseguir alongar os títulos da dívida pública, hoje elas estão em torno de dois anos, dois anos e meio; os títulos todos estão sendo lançados no prazo de três anos, dois a três anos, nós tivemos um alongamento. Estamos conseguindo agora uma queda da taxa básica de juros, uma queda que já  três últimas decisões do Copom . Essa é a trajetória, eu diria, à medida que a inflação foi debelada e as contas externas melhoram muito, mas as restrições fiscais ainda são muito severas. A dívida pública caiu de 62,5% do PIB para 55% do PIB. Ainda é muito alta, e para que a taxa de juros  possa cair  você  aliviar as finanças públicas, o país precisa de um superávit primário, exatamente para desendividar o Estado brasileiro. Esse superávit compromete muito a capacidade de gasto de investimento em todos os níveis: a união, os estados e municípios. Fazer uma reforma tributária nesse cenário: a margem de manobra é pequena. Nós iniciamos durante toda a campanha, estamos reafirmando agora, não dá para reduzir a carga tributária neste momento. O que é possível é racionalizar o sistema, simplificar, democratizar, buscar atingir alguns setores - como os setores exportadores -, desonerar as exportações, estimular o investimento, simplificar a burocracia fiscal das empresas e buscar mais justiça fiscal; esses objetivos dentro de um quadro de manter a carga tributária - nem aumentar e nem reduzir. Foi isso que fez, foi isso que desenhou, eu diria, o compromisso dos governadores com o presidente em torno da reforma tributária; também foi um projeto apresentado em comum acordo com governadores e presidente. Agora, a reforma tributária é alvo de uma disputa entre os municípios, que querem aumentar sua participação na receita tributária; os estados que querem uma participação maior;  a união, que tem de manter a sua receita em função dos compromissos, tanto de investimento do setor público - infra-estrutura que é absolutamente indispensável, energia, transporte, os gastos sociais - e mais o superávit primário que perpassa todos os níveis. As empresas: parte delas será beneficiada sim; a maioria das empresas serão beneficiadas pela reforma tributária. Agora, algumas que eram favorecidas pela guerra fiscal não têm interesse na reforma tributária. A matéria  mostra: nós tínhamos 27 códigos tributários, 44 alíquotas; nós vamos ter cinco alíquotas no Brasil, e um único código tributário. Só que isso fere duramente a guerra fiscal, porque com essas cinco alíquotas, todos os produtos no Brasil vão ser enquadrados, e você vai ter muito mais transparência e muito mais controle. Você restringe a margem dos governadores para promover a guerra tributária.
12|25/08/2003|Aloizio Mercadante|13|Helena Chagas| Então, pelo o que o senhor está falando, o que vai sobrar mesmo desse projeto todo que foi enviado ao Congresso pelo governo, e assinado pelos governadores, é muito pouco, pelo que está nos parecendo. O que o senhor acha que dá para salvar  além da CPMF e da tal da DRU - desvinculação das receitas orçamentárias  -, que é o que interessa mesmo para o governo? A gente não corre o risco de o Congresso acabar aprovando isso, porque o governo vai para cima dele, vai forçá-lo a aprovar isso, e o resto vai para as calendas , e a gente nunca mais ouvirá falar em reforma tributária? Não há esse risco?
