|DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
0|16/11/1992|Antonio Houaiss|1|[Programa gravado, não permitindo, portanto, a participação de telespectadores]|
1|16/11/1992|Antonio Houaiss|2| Jorge Escosteguy| Boa noite. Apoio à cultura no Brasil é mais ou menos como imposto: todo mundo acha importante, mas ninguém paga, ou só acha justo quando os outros pagam. Os governos também acham importante e chegam mesmo a convidar intelectuais para ocupar o Ministério da Cultura. O governo, formalmente interin,o de Itamar Franco também convidou um intelectual para ocupar o Ministério da Cultura, o filólogo Antonio Houaiss, que é hoje, o centro do Roda Viva, que está começando agora pela TV Cultura de São Paulo. Nós vamos saber dele, até que ponto vai a boa vontade do atual governo e que planos tem o novo ministro para o setor cultural. Antonio Houaiss tem 77 anos, nasceu no bairro de Copacabana no Rio de Janeiro. Entre outras coisas, ficou conhecido como tradutor para o português, de Ulisses, do escritor irlandês James Joyce. Filólogo, crítico literário, enciclopedista e diplomata, Houaiss ocupa há 21 anos, uma cadeira na Academia Brasileira de Letras. Presidente de honra do Partido Socialista Brasileiro, estabeleceu como prioridades de seu trabalho no ministério, o apoio ao cinema, a aprovação pelo Congresso da unificação ortográfica com os países de língua portuguesa e a defesa do patrimônio histórico nacional. Para entrevistar Antonio Houaiss esta noite no Roda Viva, nós convidamos: Arnaldo Jabor, jornalista da Folha de S.Paulo; o diretor de teatro, Cacá Rosset; Celso Nucci, secretário editorial da Editora Abril; Hamilton dos Santos, do jornal O Estado de S. Paulo; a escritora Lygia Fagundes Telles; o jornalista e escritor, Ivan Ângelo; a secretária municipal de Cultura de São Paulo, Marilena Chaui. Boa noite, ministro. Segundo os jornais, o senhor foi o sexto convidado para o Ministério da Cultura, os outros cinco recusaram, e o senhor finalmente aceitou. O senhor diria que faltou aos outros cinco espírito cívico, ou sobrou coragem ao senhor, para tratar de cultura em um país como o Brasil?
2|16/11/1992|Antonio Houaiss|3|Antonio Houaiss| Muito boa noite. O senhor está, neste instante, revelando uma coisa que eu não sabia: que haviam sido convidados cinco anteriormente a mim. Eu, quando fui convidado, evidentemente, levei em conta as circunstâncias em que nós estamos do ponto de vista político. Eu estou muito solidário com este governo que emergiu nesta conjuntura. Acho que era uma questão de saneamento político brasileiro e, evidentemente, dei um crédito de expectativa e de honra para esse governo que emergiu, na pessoa do vice- presidente da República. Em conseqüência disso, quando fui convidado, sem saber se outros haviam sido ou não - e continuo a ignorar o nome dos outros - houve... Eu vou fazer até um parêntese a esse respeito. Eu estive tentando ver se fazia um ou outro ministro, tanto eu não presumia que havia outros, que eu estive vendo se poderia ajudar na obtenção do posto para fulano ou beltrano. 
3|16/11/1992|Antonio Houaiss|4|Jorge Escosteguy| Que ministros o senhor tentou fazer? E por que não conseguiu?
4|16/11/1992|Antonio Houaiss|5|Antonio Houaiss| Não consegui porque fui convidado.  
5|16/11/1992|Antonio Houaiss|6|Jorge Escosteguy| Mas que ministros o senhor tentou fazer?
6|16/11/1992|Antonio Houaiss|7|Antonio Houaiss| Ah não, isso não... Eu tentei fazer ministro da Cultura, exatamente. É a área em que eu poderia acaso atuar um pouco, e tratei de ver se, dentre as personalidades que podiam, eventualmente, levar uma sugestão ao presidente Itamar Franco, eu tentei sugerir certos nomes que eu não estou autorizado agora a fazer. Ao ser convidado, eu tive que pensar alguns segundos, estava com a minha viagem para a França paga, e no dia seguinte deveria ir para Paris - o que tenho feito nos últimos dez anos, de uma forma quase regular - e tive que dizer sim, porque era um imperativo ético para mim. Se você pode, é convidado a prestar algum serviço ao seu país, suspeita que, ao ser convidado por quem tem autoridade para fazê-lo, você estaria em condições de prestar esse mínimo serviço. Eu não poderia recusar. 
7|16/11/1992|Antonio Houaiss|8|Jorge Escosteguy| Há duas semanas, esteve aqui no Roda Viva, o ministro do Trabalho, Walter Barelli , que sempre foi um militante de oposição do Dieese , do PT etc. E nós lhe perguntamos também por que ele resolveu assumir finalmente um cargo no governo, ou seja, ser ministro do Trabalho. E ele disse, como o senhor acabou de dizer, que esse governo merecia crédito e apoio. Então eu lhe pergunto como eu perguntei ao ministro Barelli: o senhor acha que esse governo merece crédito e apoio, pela sua origem, ou seja, nesse movimento que desaguou no impeachment , ou pela sua essência, pelas pessoas que o formam, independente de como chegaram ao governo?
8|16/11/1992|Antonio Houaiss|9|Antonio Houaiss| Não, eu tenho a impressão de que os dois componentes existem. E eu acho que os nomes que emergiram para esses ministérios são alguns realmente nomes novos. Mas já é tempo de a população sentir que eles foram escolhidos dentro de um critério, que eu diria de honorabilidade pessoal. E nesse conjunto eu me incluo, porque minha vida é aberta, meu patrimônio é claríssimo. O que eu ganhei ao longo da vida, nesse tempo, trabalhei ininterruptamente, tem a sua explicabilidade facílima. E, por conseguinte, eu me senti integrado. Agora, o processo político é que é fundamental. Nós, o país elegeu um presidente para certas missões prometidas nas suas mensagens e, em um dado momento, nós começamos a ter provas em contrário, de que aquilo havia sido um pouco em vão. Depois apareceram circunstâncias pelas quais o trato da coisa pública não honrava as altas autoridades do país. Esse quadro evidentemente se deteriorou a tal ponto, que a Câmara teve que votar a admissibilidade do impeachment. Isso tudo cria um quadro em que cada cidadão brasileiro se empenha do ponto de vista moral, antes que do ponto de vista político. E talvez fosse essa a minha posição. Eu me senti não só anteriormente identificado politicamente, mas os antecedentes partidários explicam que eu não estivesse de acordo com esse presidente, mas isso era uma forma de perder democraticamente. Agora ela se confirmou pelo fato mesmo de que o processo de condução da presidência não era honroso. 
9|16/11/1992|Antonio Houaiss|10|Jorge Escosteguy| Por que entre as suas prioridades está o cinema? Porque, veja bem, patrimônio histórico e a questão da língua portuguesa são coisas mais ou menos óbvias para um ministro da Cultura no Brasil.
10|16/11/1992|Antonio Houaiss|11|Antonio Houaiss| Não, eu creio que nós estamos... 
11|16/11/1992|Antonio Houaiss|12|Jorge Escosteguy|  Agora, por que o cinema, de repente?
12|16/11/1992|Antonio Houaiss|13|Antonio Houaiss| Muito bem. Eu creio que nós estamos todos viciosamente raciocinando em termos de ministério. Um ministério que fizesse a prioridade um, a levasse a cabo, para depois entrar na dois, a levasse a cabo, para depois entrar na três e etc, seria um ministério de uma inoperância gritante. De maneira que a palavra prioridade tem que ser entendida em um contexto maior. Blocos de prioridades, se o senhor quiser, eu tenho um bloco de prioridades, nos quais se inclui... Por exemplo, não existe uma prioridade visceral para o problema brasileiro no sistema ortográfico, para quem toma isso como conhecimento atual. Mas para quem, como eu, está voltado para o problema há setenta anos, nos meus 77, e está trabalhando por essa causa há vinte anos, desde que entrei para a Academia, incluir isso no grupo de prioridades é incluir isso no grupo de possibilidades. E aí eu darei a explicação do porquê tenho para mim que isso é indispensável. Mas evidentemente, do ponto de vista imediato, é muito menos relevante do que o cinema, que por sua vez, também não é relevante. O conjunto de providências que podem ser tomadas concomitantemente inclui o cinema, inclui a ortografia, inclui o patrimônio histórico, inclui a simplificação da legislação de amparo à cultura, e inclui a retomada da legislação cinematográfica, e inclui... Estou repetindo-me, mas inclui a retomada de uma quantidade de coisas, inclusive uma articulação fundamental com as secretarias de cultura dos diversos estados, e até, em certos casos, de várias municipalidades importantes no Brasil, que têm também essa área como ponto de honra e que podem, articulados, produzirem muito para a cultura brasileira. 
13|16/11/1992|Antonio Houaiss|14|Celso Nucci| Eu queria abordar com o senhor uma das suas prioridades que o senhor acabou de citar, que é a do patrimônio histórico. Eu estou supondo que a administração do patrimônio histórico, a conservação do nosso patrimônio arquitetônico e tudo mais, tem sido feita de maneira paternalista e ineficiente, salvo uma ou outra ilha na administração da Cultura, como a de Aloísio Magalhães , por exemplo, saudoso Aloísio Magalhães. E eu suponho também que se isso continuar, ali por 2020, 2030, muito disso terá caído pelo chão, ruído, porque a gente acompanha há 25 anos e vê o que está acontecendo. Então eu queria perguntar, para o senhor, qual é a sua receita para não ruir o patrimônio histórico.
