DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
27/06/2005,Benjamin Steinbruch,1,Paulo Markun,"Boa noite. Ele foi do tecido para o aço, de uma tecelagem criada pela família para uma das principais siderúrgicas do país que, a exemplo de outras estatais, saiu da mão do governo e hoje é controlada pela iniciativa privada. O Roda Viva entrevista, esta noite, o empresário Benjamin Steinbruch, diretor presidente da Companhia Siderúrgica Nacional."
27/06/2005,Benjamin Steinbruch,2,[Comentarista],"Benjamin Steinbruch é um dos principais representante do novo empresariado que surgiu no Brasil nos anos 90. Carioca, formado em administração e pós-graduado em marketing e finanças na Fundação Getúlio Vargas, em São Paulo, começou a trabalhar com o pai na Tecelagem Vicunha, empresa criada pelas famílias Steinbruch e Rabinovich. No comando do processo de diversificação dos negócios da Vicunha, nos anos 80, Benjamim Steinbruch aumentou o faturamento do grupo a ponto de se permitir uma ousadia: comprar a Companhia Siderúrgica Nacional, estatal colocada a venda no processo de privatização do governo Fernando Henrique. A frente do consórcio vencedor do leilão em 1993, Benjamim Steinbruch empreendeu uma reformulação da siderúrgica e 3 anos depois ampliou o negócio. Liderando outro negócio, venceu o grupo Votorantin no leilão de privatização de outra gigante, a Companhia Vale do Rio Doce, maior produtora e exportadora de minérios de ferro do mundo. Juntas, CSN e Vale formaram o maior grupo siderúrgico brasileiro, o que não durou muito. Estratégias diferentes entre integrantes dos consórcios levaram a um descruzamento das participações acionárias e as 2 empresas se afastaram. A CSN centrou o foco na busca de novas metas, fez mais investimentos, firmou sua liderança no setor siderúrgico brasileiro e se globalizou. Em 2004, registrou o maior lucro líquido de sua história e, no balanço do primeiro trimestre de 2005, entrou na lista das 8 empresas mais lucrativas de país."
27/06/2005,Benjamin Steinbruch,3,Paulo Markun,"Para entrevistar Benjamin Steinbruch nós convidamos José Paulo Kupfer, editor da revista Foco Economia e Negócios, Carlos Marques diretor de redação da Isto É Dinheiro, Cida Damasco, diretora de economia do Caderno de Economia do jornal O Estado de S. Paulo, Luís Nassif comentarista de economia da TV Cultura, Ivo Ribeiro, editor do Caderno de Empresas do jornal Valor Econômico, e Júlio César Gomes de Almeida, diretor executivo do grupo IED – Instituto de Estudos para o Desenvolvimento Industrial. Também temos a participação do cartunista Paulo Caruso, mostrando com seus desenhos os momentos e flagrantes do programa. O Roda Viva é transmitido em rede nacional para todo o Brasil. Boa noite, Benjamim."
27/06/2005,Benjamin Steinbruch,4,Benjamin Steinbruch,Boa noite.
27/06/2005,Benjamin Steinbruch,5,Paulo Markun,"Queria começar pelo seguinte: a publicação do balanço de vocês, aqui da CSN, na “gestão de riscos” estão relacionados os aspectos que podem afetar os negócios da companhia, alguns nas esferas de influência da CSN e outros independentes da CSN. Então, quais são? A política monetária e fiscal no Brasil em mercado chave, como a China e Estados Unidos, a atividade econômica mundial e brasileira, o ambiente regulatório em nível global, os assuntos do mercado financeiro e o ambiente político do Brasil. Queria perguntar: em que medida você imagina que esta crise que nós estamos vivendo no Brasil pode interferir nos negócio da CSN? Aliás, como em toda economia brasileira?"
27/06/2005,Benjamin Steinbruch,6,Benjamin Steinbruch,"É ligado, claro, a parte política com a parte econômica. Até agora não foi contaminada pela crise política, a economia, mas eu acho que nós estamos num bom momento. Talvez até estejamos um pouco atrasados no sentido de abafar esta crise política. Abafar, que digo, é realmente entender o que aconteceu, sem pré-julgamentos, afastando aquilo que tem que ser afastado, apurando aquilo o que tem que ser apurado. A partir daí, eu acho, que o presidente tem que ter uma chance de recompor o seu governo, seja do ponto de vista de pessoas, seja do ponto de vista de estruturas, reduzir o número de ministérios, agrupar esses ministérios na preocupação de reduzir gastos e também poder ter um poder gerencial maior sobre isso. Precisa também partir para ofensiva. Quer dizer, eu acho que se aconteceu alguma coisa que não devia, aconteceu, tem que encarar de frente, reconhecer, arrumar e tocar em frente, antes que contamine a questão econômica. Quer dizer, o Brasil..."
27/06/2005,Benjamin Steinbruch,7,Paulo Markun,"Por que, na sua opinião, até agora não contaminou? Em ocasiões anteriores crises menos graves contaminaram."
27/06/2005,Benjamin Steinbruch,8,Benjamin Steinbruch,"Eu tenho a impressão que foi feito um trabalho muito duro por parte do ministro Palocci. Quer dizer, nós estamos sofrendo um arrocho monetário grande e, em função disso, eu acho que não contaminou ainda. Acho que temos créditos lá fora com os investidores, com aqueles que acompanham os mercados emergentes. Agora, eu acho que foi feito esse exagero de política monetária justamente para o país poder crescer."
27/06/2005,Benjamin Steinbruch,9,Carlos Marques,"Desculpe, sobre essa “não contaminação”, a gente vê hoje 2 situações. Você tem hoje o mercado financeiro, que de fato não está analizando se as exportações parecem estar indo bem. Mas a gente vê casos pontuais, creio que no seu próprio setor, o do aço, onde você sente que de alguma forma está se preparando a contaminação. Vamos supor, semana passada, por exemplo, o próprio Grupo Gerdau e o Grupo Belgo falavam em engavetar projetos. Efetivamente, na área econômica, você acredita que as empresas estão dispostas a investir neste momento, apesar do cenário de crises políticas? Não vai acontecer esse engavetamento de projetos?"
27/06/2005,Benjamin Steinbruch,10,Benjamin Steinbruch,"Não. Eu acho que vai, mas não em função da crise política, será em função da política monetária que o governo adotou. Então, você não tem investimentos se você não tem perspectiva de exportação se você não tem perspectiva de mercado interno. Você vai investir para quê? Hoje, com os juros na medida que estão, que são os mais exagerados, os mais altos do mundo e não tem necessidade disso, faz com que seja clara a mensagem do governo de querer combater a inflação a todo custo. Então, está vencendo a inflação até agora."
