|DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
0|26/12/2005|Bonnie Anderson|1|Paulo Markun| Boa noite. Uma pesquisa nos Estados Unidos mostrou que 58% dos entrevistados acreditam que os jornalistas inventam matérias. Uma veterana jornalista americana acha que as razões disso estariam no jornalismo de entretenimento adotado por grande parte da mídia americana e que também é praticado no Brasil. Ela faz um alerta: misturar diversão com notícia pode colocar em risco a credibilidade dos meios de comunicação. Imprensa livre e jornalismo sério são as bases da democracia. O Roda Viva entrevista essa noite Bonnie Anderson. Uma das mais conhecidas jornalistas americanas e que se tornou também uma das maiores críticas do jornalismo de entretenimento.
1|26/12/2005|Bonnie Anderson|2|[Comentarista]| Bonnie Maria Anderson é uma veterana do jornalismo americano. Começou como repórter em jornais e depois foi trabalhar em grandes redes de TV. Passou pela NBC News e mais tarde pela CNN, onde ficou 10 anos. Chegou a ocupar a vice-presidência da empresa e foi responsável pela implantação da CNN em espanhol. Hoje, Bonnie Anderson trabalha como consultora na área de comunicação e jornalismo. Analista e crítica das práticas adotadas por jornais e telejornais americanos, ela tem centrado sua atenção nas relações entre jornalismos, entretenimentos e negócios. Chegou a ser processada pela CNN por criticar práticas jornalísticas da rede, que considera não recomendável. Mas ganhou o processo. Leva seu trabalho a vários países, incluindo o Brasil, através de cursos, congressos e treinamento para profissionais e estudantes de jornalismo.
2|26/12/2005|Bonnie Anderson|3|Paulo Markun| Para entrevistar Bonnie Anderson, nós convidamos Nelson Hoineff, presidente do Instituto de Estudos de Televisão; Lourival Sant'Anna, repórter especial do jornal Estado de S. Paulo; Andréa Dantas, editora chefe da revista Caras; Mauro Malin, Observatório da Imprensa; Cadão Volpato, editor do grupo Trip; Demétrio Magnoli, editor do jornal Mundo; Domingos Fraga, criador da revista Quem e diretor da Editora DF5. Também temos a participação do cartunista Paulo Caruso registrando em seus desenhos os momentos e os flagrantes do programa. O Roda Viva é transmitido em rede de televisão para todos os estados brasileiros e também para Brasília. E, hoje, o programa está sendo gravado, por isso não permite a participação dos telespectadores. Boa noite, Bonnie. Eu queria começar com você contando um pouco da sua trajetória pessoal e profissional. Você nasceu em Cuba?
3|26/12/2005|Bonnie Anderson|4|Bonnie Anderson| Sim. Antes de mais nada, quero agradecer. É uma grande honra estar aqui com você no Roda Viva, com nossos estimados colegas.
4|26/12/2005|Bonnie Anderson|5|Paulo Markun| Nós que agradecemos.
5|26/12/2005|Bonnie Anderson|6|Bonnie Anderson| Na verdade, eu sou fã do seu programa. Nasci em Cuba, de mãe cubana e pai americano, e ficamos... Fiquei lá cinco anos. Quando eu tinha cinco anos meu pai foi fuzilado por Fidel Castro . Nesse momento, acho que cresceu... Foi aí que começou a crescer minha vontade de ser jornalista, porque sei que com uma imprensa livre e responsável esse tipo de coisa não aconteceria.
6|26/12/2005|Bonnie Anderson|7|Paulo Markun| Seu pai trabalhava em quê?
7|26/12/2005|Bonnie Anderson|8|Bonnie Anderson| Ele tinha negócios próprios, postos de gasolina. Era americano. Na verdade, quando Fidel Castro apossou-se de todo tipo de negócio dos americanos, não podia fazer isso com o nosso, porque era uma empresa cubana. E os postos sempre são, durante uma revolução, propriedades estratégicas. Nós perdemos meu pai, perdemos nosso país, ficamos alguns anos em Miami, depois em Bogotá, onde me criei. Então, estudei jornalismo um ano nos EUA, e o choque cultural foi tamanho que fui à Espanha no 2º ano, mas voltei para receber o diploma.
8|26/12/2005|Bonnie Anderson|9|Paulo Markun| No livro você menciona uma frase que seu pai deixou para seu irmão, que gostaria que você repetisse. E também algo que, de alguma forma, você considerava uma espécie de resumo da filosofia dele para você.
9|26/12/2005|Bonnie Anderson|10|Bonnie Anderson| De meu pai?
10|26/12/2005|Bonnie Anderson|11|Paulo Markun| Sim.
11|26/12/2005|Bonnie Anderson|12|Bonnie Anderson| Ser honesto, dizer a verdade, não ter medo do que pode acontecer se você disser a verdade. Isso é sumamente importante para mim. Como jornalista, essa deve ser a nossa missão - informar o público de maneira honesta, responsável, equilibrada. E fazer isso de maneira responsável. A base para isso é ser honesto com você mesmo e com o público.
12|26/12/2005|Bonnie Anderson|13|Paulo Markun| E como você foi parar na televisão?
13|26/12/2005|Bonnie Anderson|14|Bonnie Anderson| Como entrei para a televisão? Foi um engano. Foi uma coisa que aconteceu de repente. Eu era correspondente do  Miami Herald, então, um diretor de jornalismo de um canal local de Miami me ligou e disse: “Se você quiser, poderemos ensiná-la a fazer jornalismo na TV.” Eu pensei bem, porque era jornalista da imprensa escrita e achava que nosso jornalismo era o único verdadeiro, mas pensei: “por que não? Por que não?”. Então, me contrataram. Fiquei nesse canal local por dez meses. E, então, a NBC, que já era um canal nacional, quis me contratar para ser correspondente na América Latina, e esse era meu objetivo final. Eu sempre quis vir para América Latina para ser correspondente para minha gente, sobre minha gente, para tratar de lançar uma luz sobre os problemas do continente.
14|26/12/2005|Bonnie Anderson|15|Lourival Sant'Anna| Bonnie, depois desse percurso, você voltou à sua premissa original, de que jornalismo só se faz em jornal, em revista impressa. E que na televisão é impossível fazer jornalismo.
15|26/12/2005|Bonnie Anderson|16|Bonnie Anderson| Aprendi que é possível fazer bom ou mau jornalismo em qualquer meio. É possível fazer um péssimo jornalismo em jornais, revistas, em televisão ou rádio. Mas também, se nos orientarmos por boas causas, se realmente levarmos em conta nossa responsabilidade de informar o público, já que a questão não somos nós, isso não importa, a estrela não sou eu, nenhum repórter é estrela. Somos pessoas que transmitem os feitos de outras pessoas. Se você mantiver essa linha dá para fazer um bom jornalismo. Devemos sempre procurar fazer as coisas assim.
16|26/12/2005|Bonnie Anderson|17|Mauro Malin|" No seu livro, a senhora usou a palavra “lixo disfarçado de notícia"". “Garbage”  é uma palavra pesada. O que a levou, exatamente, a usar essa palavra. O que a senhora viu?"
17|26/12/2005|Bonnie Anderson|18|Bonnie Anderson| Usar essa palavra para o que se vê com freqüência na TV? Porque não é notícia. Tenho fascínio pelo entretenimento, por programas de entretenimento, desde que fique bem separado o que é entretenimento e o que é notícia, desde que haja uma linha muito bem delineada entre um e outro. Infelizmente, agora, muitas redes nos EUA têm, nos cargos mais altos, gente que vem do mundo do entretenimento e que usa técnicas e estratégias do entretenimento para vender notícia. Como escrevi no livro, todos que tenham mais de quarenta anos eles estão dispensando. Eles me deram a seguinte ordem: “Bonnie, quero que você contrate apenas jovens bonitos”. Isso não tem nada a ver com notícia. Para mim, muito do que está sendo colocado no ar supostamente como notícia, não é. É lixo. É lixo. E é desperdício de um tempo fundamental, um tempo que poderíamos usar para informar as pessoas, por exemplo, sobre quem era Osama Bin Laden antes do 11 de Setembro . Ou, para mostrar ao público americano, por exemplo, o ódio de muitos países do mundo contra os EUA. O público americano não sabia nada disso, e a culpa é totalmente da mídia, das fontes de informação americanas que, em vez de informar sobre questões importantes, mostram cem horas de reportagem sobre Michael Jackson , ou sobre O. J. Simpson , ou sobre qualquer mulher bonita que é morta não sei onde. Isso é, na verdade, lixo, não é jornalismo.
18|26/12/2005|Bonnie Anderson|19|Domingos Fraga| Mas você pode fazer jornalismo sério ouvindo as fontes erradas, o que não deixa de ser um erro.
19|26/12/2005|Bonnie Anderson|20|Bonnie Anderson| Se dá para fazer jornalismo sério?
20|26/12/2005|Bonnie Anderson|21|Domingos Fraga| Você pode, por exemplo, falar de assuntos sérios ouvindo fontes erradas, isso não tem nada a ver com entretenimento. Vou dar um exemplo, você pode desvirtuar o que você está fazendo. Você pode passar duas horas, ou escrevendo duas horas sobre um assunto sério só ouvindo as fontes do governo Bush , por exemplo. Isso não tem nada a ver com entretenimento, você está discutindo um assunto sério, mas de uma maneira desvirtuada.
21|26/12/2005|Bonnie Anderson|22|Bonnie Anderson| Há quem ache que duas horas sobre Bush é entretenimento?
22|26/12/2005|Bonnie Anderson|23|[Risos]|
23|26/12/2005|Bonnie Anderson|24|Andréa Dantas| Você não acha que o público americano também tem culpa? Porque afinal é ele que assiste, e a mídia faz o que ele quer assistir. Então, ele prefere o entretenimento à notícia.
24|26/12/2005|Bonnie Anderson|25|Bonnie Anderson| Exatamente. A culpa é da mídia, mas também do público, que não está pedindo mais e melhor. As pessoas ficam olhando e aceitando tudo que chega por meio do aparelho de TV. Mas, se quiserem uma imprensa livre e responsável - visto que é possível ser livre e passar informações irresponsáveis - elas precisam parar e falar, começar a dizer, votar com seu próprio televisor tirando do programa, mas o melhor é mandar cartas, falar com os canais e dizer: “Hoje morreram sete pessoas no Iraque, e você começou o programa falando da morte de Bob Hope ”. Por favor, o que é mais importante? Bob Hope... Contar a história da morte de Bob Hope é importantíssimo, mas o que é mais importante? Isso merece tempo em outro programa e uma menção no noticiário principal.
25|26/12/2005|Bonnie Anderson|26|Andréa Dantas| Mas você acha que o público está com esse interesse? Porque esse público poderia está migrando, por exemplo, para os jornais ou para as revista analíticas e elas também estão perdendo leitores e audiências. Então, a impressão que dá é que o público não está interessado. Não só lá, aqui também.
26|26/12/2005|Bonnie Anderson|27|Bonnie Anderson| Eu acho o seguinte: se nós, jornalistas, fizermos reportagens bem feitas, sérias, com contexto, com informação e bem relatadas, bem escritas, o público se interessa. Se eu preparar uma matéria para a TV ou para o rádio sobre a morte de pessoas na África, vítimas da aids, e se fizer isso usando exemplos verdadeiros, mostrando uma família que perdeu todos os filhos, se for bem feito, as pessoas vão ver, vão querer ver. O problema é que muitos colegas nossos são preguiçosos, não querem trabalhar tanto, não fazem o trabalho de maneira interessante para o público. E estão mais interessados em sua própria carreira, em saber quando vão ficar no seu lugar  aqui nesse programa tão elegante e respeitado...
27|26/12/2005|Bonnie Anderson|28|Paulo Markun| O meu não. 
