DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
23/10/2000,Cem anos de psicanálise,1,Paulo Markun,"Boa Noite. Ela já foi considerada a panacéia universal, uma invenção do diabo, uma enganação bem bolada, uma revolução silenciosa. No centro do Roda Viva, esta noite, a psicanálise, que faz cem anos."
23/10/2000,Cem anos de psicanálise,2,[Comentarista],"O pai da jovem velha senhora foi um médico austríaco, Sigmund Freud. Devido a essa paternidade, ele chegou a ser acusado de tudo em vida, de charlatão a endemoniado. Líderes religiosos o sentenciaram às penas do inferno por uma incrível ousadia: escavar fundo na alma humana, a fim de expor as motivações mais profundas dos pensamentos, palavras e ações de homens e mulheres e dar a elas explicações absolutamente originais. Condenações à parte, durante todo o século XX, milhões de pessoas saíram do seu próprio inferno graças aos ensinamentos e pesquisas de Freud e seus seguidores. No entanto, ao contrário do que possa parecer, não se trata apenas de se colocar alguém em um divã e fazer essa pessoa falar sobre as suas mazelas e frustrações. O processo sugerido por Freud implica lançar um olhar, tanto quanto possível, objetivo sobre as raízes mais longíquas da formação da personalidade de cada um de nós. De posse dessas informações, passamos a ter condições de readquirir equilíbrio emocional e resolver nossos próprios conflitos e ansiedades. Esse trabalho envolve participação decisiva de um profissional devidamente treinado: cabe a ele guiar o paciente nessa dura batalha do autoconhecimento. Apesar da enorme influência do seu criador original, hoje a psicanálise comporta também outros pontos de vista, novas tendências de visões são exploradas e debatidas no mundo inteiro à medida que os seres humanos se confrontam com as diferentes tensões e angústias de cada época. Esse esforço faz parte da procura incessante de novos caminhos e novas respostas para indagações muito antigas: o que somos? Como somos? Por que somos? São essas inquietações fundamentais que constituem sempre o material de estudo principal da psicanálise."
23/10/2000,Cem anos de psicanálise,3,Paulo Markun,"Nós não podemos ter alguém que melhor represente a psicanálise, nós colocamos aqui no centro do Roda Viva um divã e uma poltrona, representando aí, digamos, a instituição. E, para participar desse Roda Viva, nós convidamos o jornalista Alberto Dines, editor do Observatório da Imprensa; o psicanalista Leopoldo Nosek, da Sociedade Brasileira de Psicanálise, coordenador das exposições “Freud: conflito e cultura” e “Brasil, modernismo e psicanálise”. Convidamos também o psicanalista Luiz Meyer, membro efetivo da Sociedade Brasileira de Psicanálise de São Paulo; a jornalista Mônica Teixeira, aqui da TV Cultura; o psiquiatra Eduardo Iacoponi, professor e chefe do Departamento de Psiquiatria e Psicologia Médica da Faculdade de Ciências Médicas da Santa Casa de São Paulo; o psicanalista e psiquiatra Mário Eduardo Costa Pereira, professor do Departamento de Psiquiatria da Unicamp e especialista em literatura e psicanálise, e o psiquiatra Giordano Estevão, do Hospital do Servidor Público Estadual e da casa de saúde Nossa Senhora do Caminho. O Roda Viva é transmitido em rede nacional para todos os estados brasileiros e também para Brasília. Bem, eu tinha planejado começar com uma brincadeira; na verdade, dizendo que tive um sonho na noite passada e pedir ai para os especialistas que começassem interpretando isso. Mas acho que a gente tem que fazer uma correção e aproveitar até para um esclarecimento. A chamada do nosso programa, erradamente, falou em cem anos psiquiatria. Eu queria começar colocando de cara o seguinte: qual é a diferença entre psiquiatria e psicanálise, para a gente começar a situar o que nós estamos falando. O Leopoldo começa?"
23/10/2000,Cem anos de psicanálise,4,Leopoldo Nosek,"Pode ser. Praticamente são duas disciplinas da mesma idade, quer dizer, o nascimento no fim do século... A psiquiatria, vou falar quase no nível do senso comum, é uma disciplina médica, que procurou estudar as doenças, fez uma classificação, a partir de Kraepelin, dos distúrbios emocionais, dos distúrbios psicológicos. E enveredou pelo estudo como se estudam as doenças médicas. Teve um desenvolvimento enorme nos últimos anos, a partir das neurociências. Sempre tem uma intersecção com uma base biológica, apesar de que em determinadas épocas tem uma intersecção ampla com a psicanálise. A psicanálise, ao meu modo de ver, já é uma disciplina humana, na qual, a partir de uma prática clínica, a partir dos estudos do Freud, nós vamos poder estender isso. Ele pegou algo o que seria o resto deixado pela medicina, o que não se pegava na medicina. Então, pegou a histeria, que era uma subdoença na época. Pegou também outro campo que era deixado de lado, os sonhos, que eram mais da magia, da mística, da religiosidade. E a tornou uma disciplina para a decifração dos sintomas. A partir disso, ele chegou a uma teoria geral do funcionamento humano, no fim da vida, da psique humana, ele desenvolveu uma teoria própria sobre as origens e funções da civilização, da religião. Então, acredito que a psicanálise é muito mais uma visão do ser humano que inclui uma terapia e tem uma visão de melhorar o ser humano. Mas ela se situa ao lado, fora do campo. Só para começar a conversa."
23/10/2000,Cem anos de psicanálise,5,Paulo Markun,"Quer dizer, mal comparando: seria como se a psiquiatria tratasse do hardware e a psicanálise tratasse do software?"
23/10/2000,Cem anos de psicanálise,6,Leopoldo Nosek,"Seria uma comparação possível. Acho que nenhum psiquiatra faria essa comparação. Mas a própria psicanálise se espalha mais amplamente no campo da cultura, nos campos da... Mas é uma comparação possível, principalmente nos últimos tempos, não é?"
23/10/2000,Cem anos de psicanálise,7,Luiz Meyer,"Acho que a gente podia problematizar essa comparação, lembrando aquilo que Freud foi procurar a partir de sintomas, não é? A psiquiatria clássica – talvez, nisso, a psiquiatria tenha se modificado – via no sintoma uma produção, vamos dizer assim, de um desarranjo cerebral. Então, a psiquiatria clássica... lembraram o Kraepelin aqui. Dentro de um modelo médico, era necessário reunir um conjunto de sintomas que formassem uma síndrome e que caracterizassem uma doença. Essa é uma característica da história da medicina, tal como a medicina evolui, criando uma série de síndromes e doenças conhecidas, que puderam, então, ser classificadas. A psicanálise começou a olhar o doente mental como alguém que sofria de conflitos e que o sintoma que surgia no comportamento social, o sintoma que era expresso pela linguagem era produto de um conflito intrapsíquico. E que, portanto, a possibilidade de a gente chegar a conhecer esse conflito era reproduzi-lo em uma relação. Então, esse, para mim, é um dos extraordinários achados de Freud. Ele criou uma situação, a situação dual, na qual, pela transferência, era possível reproduzir-se aquilo que provocava os sintomas no paciente, dentro desta concepção: aquilo que o paciente vivia internamente como provocando os sintomas. Essa é uma outra maneira de vermos a diferença entre a psiquiatria, entre a compreensão do sintoma pela psiquiatria tradicional. Repito, não acredito que a psiquiatria veja o sintoma hoje dessa maneira mecanicista, mas, dentro de uma concepção histórica, esta foi a grande guinada de Freud: procurar, na relação humana, recriar o conflito interno do paciente."
23/10/2000,Cem anos de psicanálise,8,Mônica Teixeira,"Mas... Na época de Freud, quando ele criou a psicanálise, se opunha à psiquiatria? Quer dizer, a partir de que momento essa diferença entre a psiquiatria e psicanálise se coloca, como o Leopoldo colocou, quer dizer, a psicanálise, como uma disciplina humana, como se diz, e a psiquiatria, talvez como uma disciplina – para usar uma palavra de agora – biológica?"
23/10/2000,Cem anos de psicanálise,9,Mario Eduardo,"Pois é, me parece que esse programa começa de uma maneira muito interessante, porque começa por um lapso formidável. Discussão a respeito dos cem anos da psicanálise, apresentada em uma vinheta, para todo o Brasil, como cem anos da psiquiatria e, talvez, para retomar a questão da Mônica..."
23/10/2000,Cem anos de psicanálise,10,Paulo Markun,"Essa nem “Freud explica”, com o perdão do trocadilho desgastado."
