DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
29/04/1996,César Maia,1,Matinas Suzuki Jr.,"Boa Noite. Ele dirige os destinos da cidade maravilhosa. No centro do Roda Viva está o prefeito do Rio de Janeiro, César Epitácio Maia."
29/04/1996,César Maia,2,[Comentarista],"A trajetória do carioca César Maia não é, exatamente, o exemplo de coerência política. Ele está, hoje, no PFL. Depois de ter sido preso 3 vezes como militante de um grupo marxista clandestino e se refugiado no Chile no fim dos anos de 1960. César Maia voltou do exílio com um diploma de economia, casado e com 2 filhos. Filiou-se ao PDT e assumiu a secretaria de governo do Rio no governo de Leonel Brizola em 1993. Elegeu-se deputado federal em 1986 e 1990 e em 1991, rompeu com Brizola e entrou no PMDB. Disputou a prefeitura do Rio e prometeu que, se eleito, convocaria até o exército para conter a violência na cidade que, segundo César Maia, vivia uma guerra civil. Com esse discurso, derrotou Benedita da Silva, do PT no segundo turno. Em 1995, trocou o PMDB pelo PFL e admitiu, pela primeira vez, que pode ser candidato a governador em 1998. César Maia ficou conhecido, também, por uma série de atitudes polêmicas, como a de querer manter o horário de verão só no Rio e obrigar motoristas de táxis a usar gravata e também por enfrentar problemas sérios, como a escalada da violência do Rio e, em 1993, atos que horrorizaram o mundo, como a chacina da Candelária e a tragédia provocada pelas chuvas em fevereiro último, quando os deslizamentos nos morros deixaram quase 70 mortos e quase 2 mil desabrigados."
29/04/1996,César Maia,3,Matinas Suzuki Jr.,"Bem, para entrevistar o prefeito César Maia, nós convidamos, esta noite, o diretor de redação do jornal O Globo, Merval Pereira; Luciano Suassuna que é editor-chefe da revista Isto é; o diretor da revista Veja, no Rio de Janeiro, Alfredo Ribeiro; a Cláudia de Souza, chefe da Sucursal do Jornal do Brasil em São Paulo; o secretário de redação do Jornal da Tarde, Marcelo Mendonça e o Maurício Styger que é carioca e repórter da Folha de S. Paulo. Boa noite prefeito. Como está o Rio de Janeiro?"
29/04/1996,César Maia,4,César Maia,"Bem, graças a Deus, vivendo as nossas dificuldades. Claramente, o Rio vive um momento de transição, enfrentou uma crise quase terminal, aí, no final dos anos de 1980 e início dos anos de 1990. Agora passa por um processo de reversão de expectativas, de intervenções profundas na área urbana, de reconquista de espaços econômicos, representação política nacional. Eu estou muito otimista."
29/04/1996,César Maia,5,Matinas Suzuki Jr.,"Prefeito, hoje o Rio volta a ser o centro de atrações de boa parte do noticiário não só nacional como internacional. Iniciou-se o julgamento dos acusados pela chacina da Candelária, em 1993. Como o senhor avalia esse julgamento, como o senhor está vendo este julgamento?"
29/04/1996,César Maia,6,César Maia,"Bem, é um momento importantíssimo não só para a cidade do Rio de Janeiro, mas para todas as grandes cidades, principalmente. Enfrentar uma questão absurda, grave, como a questão do menor abandonado, hoje chamado de menino de rua. Quando eu assumi a prefeitura, a prefeitura tinha inaugurado, em dezembro de 1992, uma casa de acolhida. Hoje, talvez até produto e seqüela dessa chacina... hoje, a prefeitura conta com 18 casas de acolhida e abrigos, conta com um programa para ressocializar as crianças que estão na rua, tem uma ação contundente em relação às crianças mais pobres, sistema de creches, pré-escola e, infelizmente, isso foi produto de uma reação nossa a uma situação quase de barbárie, que nós temos vivido nestes anos. Os homicídios de crianças têm lançado nosso país ao noticiário internacional, um noticiário que nos entristece, que nos magoa, mas que é verdadeiro e que nós temos que responder com solução e não com desculpas. É o que procuramos fazer neste momento."
29/04/1996,César Maia,7,Cláudia de Souza,"Agora, prefeito, se eu pudesse complementar a pergunta, a sua prefeitura é conhecida como detentora de bons recursos, em termos de caixa. No entanto, é claramente insuficiente esse programa que o senhor mencionou. Nós também estamos às vésperas..."
29/04/1996,César Maia,8,César Maia,No que é que é claramente insuficiente?
29/04/1996,César Maia,9,Cláudia de Souza,O programa que o senhor mencionou.
29/04/1996,César Maia,10,César Maia,Por que é claramente insuficiente?
29/04/1996,César Maia,11,Cláudia de Souza,"Eu já complemento a minha pergunta. No entanto, hoje, às vésperas, como contribuinte a entregar o meu imposto de renda, e sendo mãe, eu lhe faço a seguinte pergunta: “Não é possível divisar alguma coisa um pouco mais ampla e um pouco mais abrangente para retirar, de fato, essas crianças e esses jovens da rua”? Não só na sua cidade, mas em todas as cidades do país, o problema não vem diminuindo, ele vem crescendo. Ainda houve assassinatos, enfim, de crianças ainda agora nos últimos dias. Então, eu gostaria de saber se não é possível... Ao longo dos últimos anos, as populações das cidades brasileiras viram governos de todos os partidos se sucederem e o problema do menor abandonado nas cidades continuou. Então, eu gostaria de saber, com toda a experiência que o senhor tem, e enfim, com essa tradição de técnico, além de político, o que afinal é possível fazer de mais abrangente e de mais eficaz?"
29/04/1996,César Maia,12,César Maia,"Olha, a questão anterior, retirar as crianças das ruas é não deixar as crianças irem para as ruas. A cidade do Rio de Janeiro é a única cidade do Brasil que tem responsabilidades completas sobre o sistema de primeiro grau. Nós temos praticamente 700 mil crianças na rede escolar, que durante o que se chamava no meu tempo de curso primário, nessa fase de 1a. à 4a. série, elas permanecem nas escolas. Mas a partir da 2a. fase, chamada anteriormente de ginásio, elas começam a sair. Se nós temos 100% de crianças no curso primário até 4a. série, nós terminamos o curso ginasial, 8a. série, com 35% das crianças que entraram. E, principalmente, os meninos saem muito mais das escolas em função das suas necessidades econômicas e de suas famílias."
29/04/1996,César Maia,13,Cláudia de Souza,"Então, não está na hora de agir em cima dos pais dessas crianças?"
