DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
18/03/2002,Ciro Gomes,1,[...],
18/03/2002,Ciro Gomes,2,Carlos Alberto Sardenberg,"Boa Noite. A campanha presidencial, neste momento, tem quatro candidatos definidos, candidatos firmes, competitivos. Há uma quinta candidatura que estava firme, mas agora, dadas as circunstâncias, está pendente, que é a da governadora do Maranhão, Roseana Sarney. Todo mundo está à espera da definição das regras para as coligações partidárias. Enquanto isso, cada candidato procura, à sua maneira, avançar na candidatura. Dos quatro candidatos já definidos, dois deles, José Serra, do PSDB e Anthony Garotinho, do PSB, governador do Rio de Janeiro, já estiveram aqui no Roda Viva, nesta série especial que entrevista os principais candidatos à Presidência da República. Nosso convidado hoje é Ciro Gomes, candidato do PPS. Ciro Gomes é apoiado pela Frente Trabalhista, formada pelo PPS, pelo PTB e pelo PDT."
18/03/2002,Ciro Gomes,3,[Comentarista],"Tudo começou cedo na vida de Ciro Ferreira Gomes, paulista de Pindamonhangaba, interior de São Paulo. Aos quatro anos de idade, foi embora com a família para o Ceará, onde cresceu e estudou até formar-se em direito pela Universidade Federal do Ceará. A carreira política veio logo e a cada disputa eleitoral, Ciro Gomes surgia como o mais jovem ou um dos mais jovens candidatos do país. Elegeu-se deputado estadual com 23 anos de idade em 1982, sendo reeleito em seguida. Aos 29 anos, ganhou a eleição para prefeito de Fortaleza e aos 31, para governador do Ceará. Em 1994, com 35 anos, renunciou ao governo cearense para ser ministro da Fazenda nos quatro últimos meses do governo Itamar Franco. Em janeiro de 95, deixou o Ministério e o Brasil. Foi para os Estados Unidos estudar economia política na Universidade de Harvard. De volta, Ciro Gomes, que já tinha passado pelo PDS, MDB, PMDB e PSDB, entrou para o PPS, o Partido Popular Socialista, em 97. Em 1998, aos 40 anos de idade, tentou a eleição para presidente da República. Retorna agora à disputa, apoiado pela Frente Trabalhista formada pelo PPS, PTB e PDT. Na página oficial do PPS na internet, há um acesso direto ao site www.ciro23.com.br. Ali está o perfil de Ciro Gomes, sua história política, jornais com artigos e entrevistas, galeria de fotos e um detalhado programa de governo onde ele reúne idéias e propostas a respeito dos problemas brasileiros. No mesmo site, uma enquete pergunta qual é o principal problema do país: violência, desigualdade social, educação e saúde, desemprego ou corrupção. 34% das respostas colocam a corrupção como o maior problema. Em segundo lugar, com 27%, vem a desigualdade social."
18/03/2002,Ciro Gomes,4,Carlos Alberto Sardenberg,"Para entrevistar o candidato Ciro Gomes, da Frente Trabalhista, Roda Viva convidou os seguintes jornalistas: Ricardo Amaral, que é repórter especial do jornal Valor Econômico; Andrei Meireles, que é repórter especial da revista Época; o cientista político Carlos Novaes; Fernando Rodrigues, colunista e repórter da Folha de S.Paulo em Brasília; o editor executivo do jornal O Globo, Luiz Antonio Novaes e, finalmente, Silvio Bressan, que é repórter de política do jornal O Estado de S. Paulo. Roda Viva é transmitido em rede nacional para todos os estados brasileiros e também para o Distrito Federal. Você pode participar do programa, mandar suas perguntas pelo telefone. O número é (011) 252-6525. Pode também optar pelo fax, que é (011) 3874-3454 e, finalmente, o meio mais moderno que é o e-mail rodaviva@tvcultura.com.br. Ciro Gomes, boa noite."
18/03/2002,Ciro Gomes,5,Ciro Gomes,"Boa Noite,"
18/03/2002,Ciro Gomes,6,Carlos Alberto Sardenberg,"Nós havíamos perguntado antes como deveríamos chamá-lo, se de governador, de ministro..."
18/03/2002,Ciro Gomes,7,Ciro Gomes,Me chama de Ciro.
18/03/2002,Ciro Gomes,8,Carlos Alberto Sardenberg,"Bom, estávamos falando, agora há pouco, dos candidatos que já estão definidos. Há um que é tradicionalmente o candidato das esquerdas, o Luiz Inácio Lula da Silva. Do outro lado, temos dois candidatos do governo, um firme o outro pendente, mas sempre haverá um candidato do governo com um potencial aí de 25, 30% dos votos, assim como pelo outro lado. A primeira pergunta é a seguinte: como o senhor pretende construir sua candidatura? Pela esquerda, pelo centro, procurar uma aliança mais ao centro, enfim, como o senhor pretende construir sua candidatura?"
18/03/2002,Ciro Gomes,9,Ciro Gomes,"Nossa proposta é de uma aliança de centro-esquerda, mas nós queremos traduzir esse centro-esquerda para além dos adjetivos superficiais que estão meio confusos hoje nos debates políticos brasileiros, traduzindo isso numa proposta concreta, um marco de modelo de relação do Estado com a economia, aceitando a iniciativa privada nos fatores da produção, construindo um modelo que equilibre as oportunidades e atue fundamentalmente em quatro grandes vetores. O primeiro vetor construir um nível alto de poupança no país para que se blinde ou, pelo menos, atenue a grande necessidade que tem hoje de capitais externos que nos deixam de joelhos diante de uma agenda que definitivamente não nos serve, como a Argentina já demonstrou. O outro passo é vincular essa poupança a um investimento produtivo, emular no Brasil uma rota de crescimento econômico. Eu estou convencido de que se o país não crescer, nós não teremos solução para nenhum dos nossos explosivos passivos, nem o passivo financeiro, quanto mais o passivo social. O outro caminho é uma nova instituição que aperfeiçoe a distribuição de renda no país. O Brasil é um dos países mais profundamente desiguais do mundo e isso é conseqüência dos arranjos institucionais, e não de um erro de manejo ou de gerência daqui ou dali, nem será resolvido com políticas sociais compensatórias. E o quarto movimento é uma instituição que refunda as bases da democracia brasileira sob o ponto de vista das suas instituições. A direção aqui é radicalizar a democracia, aperfeiçoar os controles sociais sobre a representação política e prevenir a imoralidade e a corrupção."
18/03/2002,Ciro Gomes,10,Carlos Alberto Sardenberg,Quem o senhor vê como seu principal adversário? Eu pergunto isso porque o candidato Lula disse que a disputa hoje é entre ele e o candidato José Serra. Qual é o seu adversário principal?
