|DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
0|25/06/2001|Daniel Filho|1|Paulo Markun| Boa Noite. Como ele mesmo escreveu, no princípio era o verbo. Mas a televisão, quando surgiu, trouxe um dilema: o que fazer com ela? Que tipo de programa criar? A transmissão de imagens era, sim, um avanço em relação ao rádio. Mas, e a programação? O que oferecer para as pessoas que levaram os primeiros aparelhos de TV para casa? Foi no rádio, no teatro de revista  e no circo que a TV encontrou os elementos para produzir seus primeiros programas. A história dessa mistura de rádio, teatro e circo e do fenômeno que se viu, depois, na TV, tem agora um novo e importante narrador, que o Roda Viva entrevista esta noite: Daniel Filho, ator, autor, produtor e diretor, que acaba de lançar um novo livro para esmiuçar e discutir um pouco mais o circo eletrônico .
1|25/06/2001|Daniel Filho|2|[inserção de vídeo]|
2|25/06/2001|Daniel Filho|3|Narração de Valéria Grillo| O circo eletrônico: fazendo TV no Brasil, o novo livro de Daniel Filho, traz a história de um personagem que é quase a história da própria televisão. Ele participou de mais de 40 dos 50 anos da TV no Brasil. Daniel Filho, que estreou como ator em 1952 na companhia de teatro de revista de seus pais, chegou à TV Rio em 57. Em 59 era contratado para o Teatro de Comédia da TV Tupi com Yara Cortes e Nicette Bruno. Fez o Visconde de Sabugosa na primeira versão do Sítio do pica-pau amarelo  na TV, em 1958. Foi ator, cantor e imitador em Ali Babá e os 40 garçons , cumprindo a regra da versatilidade exigida na época. Quem trabalhava em TV tinha que fazer de tudo. Dos tempos pioneiros às produções profissionalizadas de hoje, o Circo eletrônico, de Daniel Filho, faz um relato ricamente ilustrado dos programas humorísticos, dos musicais que marcaram época, das novelas, dos seriados, das minisséries. Uma delas foi realizada aqui na TV Cultura em 94: Confissões de adolescente . A história de quatro irmãs que moram com o pai num apartamento classe média do Rio de Janeiro, e que dividem com ele suas aventuras e dramas adolescentes. Foi a primeira produção independente de Daniel Filho depois de comandar a Central Globo de Produção durante oito dos 24 anos em que esteve na Rede Globo. Fora da televisão, participou de 20 filmes. O mais recente teve a sua direção: A partilha , que Daniel Filho adaptou da peça de Miguel Falabella. O circo eletrônico, segundo livro de Daniel Filho sobre os bastidores da TV, vai além dos relatos da experiência e das vivências pessoais. Traz plantas de cenários, desenhos de figurinos, storyboards  e um fac-símile e análise do primeiro capítulo da novela Pecado capital . Pretende ser uma referência para estudantes e profissionais, e um livro de entretenimento para curiosos e fãs eternamente interessados em saber como são feitos os programas de televisão e como funciona a engrenagem desse circo eletrônico.
3|25/06/2001|Daniel Filho|4|Paulo Markun| Para entrevistar Daniel Filho, nós convidamos a jornalista Maria Amélia Rocha Lopes, editora do Caderno de TV e do Divirta-se do Jornal da Tarde; o crítico de cinema e televisão Luiz Carlos Merten, do jornal O Estado de S. Paulo; o sociólogo Laurindo Leal Filho, jornalista, professor da Escola de Comunicações e Artes da USP, a Universidade de São Paulo, e presidente da ONG Tver; o crítico de televisão Gabriel Priolli, diretor do programa Vitrine, aqui da TV Cultura; o jornalista Flávio Amaral, crítico de TV do jornal Diário Popular; e a professora Esther Hamburger, do Departamento de Cinema e Rádio da Escola de Comunicações e Artes, a ECA, da Universidade de São Paulo. O Roda Viva é transmitido em rede nacional para todos os estados brasileiros e também para Brasília. Se você quiser participar do programa, fazer perguntas para o Daniel Filho, pode utilizar o nosso telefone, que é o 252-6525, nosso fax, que é o 3874-3454, e o endereço do programa na internet é rodaviva@tvcultura.com.br. Boa noite, Daniel.
4|25/06/2001|Daniel Filho|5|Daniel Filho| Poxa vida! Estou impressionado com o bom material que foi apresentado aí. Boa noite. E para todos vocês : boa noite, boa noite. Por favor, sejam carinhosos comigo .
5|25/06/2001|Daniel Filho|6|Paulo Markun| Para um homem de sete instrumentos como você, acho que a pergunta já tenha sido feita muitas vezes, mas eu tenho que repetir. Das atividades que você exerce e exerceu na televisão: ator, diretor, autor, produtor, qual é a que você mais gosta? Se tivesse que escolher uma e dissesse: olha, se eu quiser amanhã ser identificado como isso, eu seria: Daniel Filho, vírgula ...?
6|25/06/2001|Daniel Filho|7|Daniel Filho| Boa pergunta. Sempre que eu vou responder, eu dou uma resposta diferente a essa . Portanto, como já disse um velho médico quando eu tinha um problema no braço, e eu perguntei se existia uma boa operação para consertar o problema, ele disse que existiam 100, e por isso nenhuma delas era boa. Então, eu posso lhe dar várias respostas, porque eu gostaria de ser isso ou aquilo. Logicamente, dirigir, quando eu estou dirigindo, o prazer é imenso. Quando eu produzo, e que é uma coisa que eu coloco no livro, que é uma função pouco conhecida do público – o que é ser produtor, o que o produtor faz –, também é muito gostoso, apesar de que você, quando produz, está mais é colocando azeitona na empada dos outros. E, na verdade, o  ator é o meu princípio, é minha base. Eu tenho certeza, eu gostaria de que, quando eu não tiver mais forças para dirigir – porque dirigir é um trabalho braçal, também – ou quando eu não tiver mais muita cabeça para estar produzindo e comandando a produção de muitas coisas, e como eu venho de família que vive bastante – meu pai está com 94 anos, e a minha mãe, desculpas, mamãe, vou dizer a sua idade, está com 90, mas ela gosta que diga 88, então, 88, pronto , mulher sempre diminui dois, não sei por que –, eu acho que eu vou ficar com ator. Ator é mais o tranqüilo, é mais o descansado.
7|25/06/2001|Daniel Filho|8|Maria Amélia Rocha Lopes| Embora  sejam vaidosos, como você diz no livro. Você é muito duro com eles. É assim? É verdade, Daniel? Aliás, eu estava lendo aqui os depoimentos do seu livro e até levantei alguns: Euclydes Marinho, Gilberto Braga, José Carlos Pieri, Lia Renha, Marília Carneiro, Regina Duarte, João Paulo Carvalho. Todos esses são unânimes em falar da sua competência, tudo isso, mas todo mundo sempre dá um toquezinho, dizendo que você pode ser cruel, pode ser malvado, que você é bravo. Todos os depoimentos têm pelo menos uma linhazinha falando isso.
8|25/06/2001|Daniel Filho|9|Daniel Filho| É, é uma verdade. O diretor tem a difícil missão de dizer: “não, não gosto”. Ele não pode ser gentil totalmente, porque ele quer que todo mundo colabore com ele, que some à idéia que ele tem na cabeça, mas ele tem que conduzir para um lugar. E, ao mesmo tempo, ele é o comandante. Se ele sentar, possivelmente todos sentarão. É ele que dá o ritmo da gravação ou da filmagem. Atualmente os jornais andam confundindo muito gravação com filmar, e todo mundo diz assim: começou a ser gravado o filme tal . Tenho lido isso sem parar. E eu  sou muito severo com as pessoas que são relapsas. Eu, por exemplo, agora no filme A partilha, eu fui severo com uma das atrizes. Ela não era relapsa, mas ela tinha um estilo, e eu precisava colocar todos em uma harmonia, e ela não estava conseguindo harmonizar. Então, eu também falo no livro que você é obrigado a trabalhar meio como psicólogo, e quando você trabalha comandando muitas pessoas, e todas são muito criadoras, inteligentes e sensíveis, você não pode tratar todo mundo igual. Você tem que ter, para cada um, um jeito de tratar. Então, às vezes, você é muito severo, às vezes você é paternalista, às vezes você finge que está zangado. Eu tenho o costume de, várias vezes, dar uma bronca, e aí entra o  ator, fingindo a bronca, a bronca não existe. E tem aquela coisa do fingidor, que finge tanto . E aí, às vezes, eu estou dando a bronca e me embalo e realmente passo a dar bronca, e levo um tempo para me frear, no  que eu vou me convencendo da bronca. Então realmente eu sou um diretor severo. Se alguém não decorar direito, se for no trato da novela, se chega atrasado, essas coisas com maus profissionais... Ou quando é o caso de achar psicologicamente de que maneira eu tenho que conduzir essa pessoa para ela chegar à harmonia necessária, ou ao som necessário para a obra que estamos conduzindo.
9|25/06/2001|Daniel Filho|10|Laurindo Leal Filho| Daniel, o seu livro já foi elogiado. A Esther  fez uma brilhante resenha do seu livro;  já foi mencionado aqui na abertura. Eu acho que nós que trabalhamos com estudantes, trabalhamos na universidade, sentimos a falta de uma bibliografia sobre televisão mais vasta. Você vai para outros países, para a Europa, Estados Unidos, e fica embasbacado quando chega nas livrarias e vê a quantidade de obra sobre televisão, e aqui a gente tem dificuldade de indicar livros para os alunos. E, pior ainda, os profissionais de televisão com grande experiência como você têm muita dificuldade de refletir sobre o que fazem e, muito pior, têm muita dificuldade de transmitir para os outros a sua experiência. Eu acho que esse livro resolve grande parte desses problemas e será uma bibliografia de referência a partir de agora no ensino de televisão, no trabalho de televisão no Brasil. Mas eu queria, como já foram feitos os elogios, eu queria trazer um outro livro para essa discussão. Eu trouxe aqui para nós um livro que começou a ser citado agora, que é o livro do  Popper e do  Condry que se chama Televisão: um perigo para a democracia. Ele começou a ser mencionado agora, embora ele seja do início da década, diante da vitória do  Berlusconi  na Itália. Eles mostram como a televisão, por ser um poder às vezes superior aos poderes da república, pode ser um perigo para a democracia. A pergunta que eu quero lhe fazer é a seguinte: como produtor, como homem que decide o que vai ser colocado no ar... o Popper, que não pode de maneira alguma ser chamado de totalitário, ao contrário,  um liberal empedernido, estava assustado com o poder da televisão, e propõe no final da vida a criação de um conselho de produtores, do tipo da OAB  ou do Conselho  de Medicina, um conselho de ética para os produtores. Eu fico diante de você, pensando: você é um homem poderosíssimo, coloca no ar temas para milhões de pessoas. Será que todos têm a percepção, todos os produtores têm a percepção da responsabilidade social que têm? Eu sei que alguns têm, outros não. Eu queria que você me dissesse como vê o poder que tem o homem que decide o que vai e o que não vai para o ar, e que vai ser visto, refletido, consumido e adotado por milhões de pessoas num país como o Brasil, onde, diferente da Europa, muitas vezes só resta a televisão como janela para o mundo. Queria que você falasse um pouquinho do seu poder.
10|25/06/2001|Daniel Filho|11|Daniel Filho| É uma tese o que você está me pedindo . Eu tenho que fazer quase uma tese . Você estava falando, e eu me lembrei de uma frase que eu li há pouco: quando surgiu a bicicleta, as pessoas pensaram que isso ia prejudicar o livro, porque os meninos iriam andar de bicicleta e não iriam mais ler. Essas coisas, quando surgem, poderes fortes, como foi a coisa da televisão, já foi muito discutido... Curiosamente esta sua pergunta me foi feita por uma... não me leve a mal, Laurindo . Laurindo, é o seguinte:  me foi feita por um conjunto  do Estado-Maior, antes de eu estrear .
11|25/06/2001|Daniel Filho|12|Laurindo Leal Filho| É sacanagem... 
12|25/06/2001|Daniel Filho|13|Daniel Filho| Não. Eu juro . Eu estava para estrear  Malu mulher .  Malu mulher estava no ar. Eu fui até o  fui no andar onde era o restaurante da Globo, no último andar. E quando eu entrei, estavam lá perto de uns 20 oficiais do Estado-Maior, e me fizeram essa pergunta: se eu achava que podia botar no ar um programa como Malu mulher, falando de coisas que poderiam mexer com a cabeça das mulheres, poderia desagregar lares, e eu fiquei espantado. E olha, eu estou lhe falando  quando ia começar a abertura , a chamada abertura, mas ninguém tinha certeza, diziam que viria aí a abertura, era o início do governo do  Figueiredo . E eu respondi que eu achava que sim, que a minha consciência achava que sim. Eu acho que as pessoas, e aí é o caso também de o governo, por exemplo, no Brasil, dar as concessões,  saber das responsabilidades dessas pessoas que têm as concessões. Eu acho que o conselho, qualquer tipo de conselho que vá mexer ou dar opinião sobre o que nós estamos produzindo ou criando, eu sou contra. Isso para mim vira censura.
13|25/06/2001|Daniel Filho|14|Laurindo Leal Filho| Não, o problema não é o conselho que determina sobre o programa. É um conselho dos próprios produtores, que reflitam sobre esse papel. Aí o problema não é se são os generais ou o professor quem perguntou, o problema é de quem responde sobre a responsabilidade que tem.
14|25/06/2001|Daniel Filho|15|Daniel Filho| Eu me sinto como um homem de televisão, com minha responsabilidade, minha cabeça, minha consciência, eu com a televisão, com os produtos que eu fiz, que eu apresentei e mexi em determinados momentos com coisas delicadas. Quando eu fiz Confissões de adolescente, como apareceu aí.
15|25/06/2001|Daniel Filho|16|Laurindo Leal Filho|  Excelente , eu não estou...
16|25/06/2001|Daniel Filho|17|Daniel Filho|" Era, para muitas pessoas, um assunto delicado. E se a gente visse, na época e no tempo, quando a gente falava que uma menina menor de idade... olhe bem, aquele programa foi produzido porque foi produzido aqui, na TV Cultura. Possivelmente, se aquele programa – aí vai uma injustiça grande – fosse feito na Rede Globo, possivelmente o juiz de menores não deixaria fazer. Eu tenho quase que certeza, porque naquela época não estavam deixando fazer. E como nós estávamos aqui,  eu gravava independentemente, filmava independentemente, eu pude fazer então cenas de uma menina como a  Deborah Secco, que na época tinha 14 para 15 anos, ela alcoolizada, e eu pude fazer cenas da  Georgiana , que estava com 17 anos, falando da perda da virgindade. Isso seria impossível ser feito na Rede Globo, porque  teria que ser maior de idade, porque não poderia menor de idade aparecer alcoolizado, então a minha consciência, enquanto profissional e enquanto homem de televisão... eu sou sempre muito preocupado com o que o público está assistindo, como ele está recebendo. Agora, quando a gente passa para ""cachorro mais forte"", que dizer, ""briga de cachorro grande"", que são os Berlusconi da vida, ou como a gente até há pouco estava conversando, que com o tempo todos serão contratados do  Rupert Murdoch , então nós temos um grande poder, que é o Rupert Murdoch, que vai se tornando muito mais forte até do que o Berlusconi, na medida em que é a Fox é um canal na Austrália, nos Estados Unidos. Existe uma coisa muito mais séria, que é essa globalização, as pessoas estão brigando...."
17|25/06/2001|Daniel Filho|18|[sobreposição de vozes]|
18|25/06/2001|Daniel Filho|19|Daniel Filho| Parece-me que é uma briga muito que é uma briga muito alta, muito acima do meu escalão.
19|25/06/2001|Daniel Filho|20|Laurindo Leal Filho| Só para não deixar passar. Eu concordo plenamente. Acho que Confissões de adolescente, Malu mulher colocaram para a sociedade questões importantíssimas que tinham que ser discutidas. E eu não estou falando exatamente do seu trabalho, eu estou falando dos produtores em geral, do poder que eles têm em colocar, por exemplo, crianças deformadas no ar, ou submeter à tortura psicológica crianças em programas de auditório. Eu estou me referindo a esse tipo de degradação da televisão, jamais a Malu mulher ou Confissões de adolescente, que eu acho que foram avanços importantíssimos na televisão brasileira.
