|DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
0|07/08/2006|Danilo Miranda|1|Paulo Markun| Boa noite. Ele está à frente de um projeto que se tornou modelo de promoção do bem-estar social e da difusão cultural no país, administra uma das maiores verbas destinadas à cultura no Brasil e pilota diariamente uma infinidade de ações também na área de lazer, esportes, saúde e artes. Debates, cursos, oficinas, espetáculos de teatro, música, cinema, jogos, recreação, programação para todo tipo de público, de crianças a idosos, tudo de graça ou a preços realmente baixos. O Roda Viva entrevista esta noite, Danilo Miranda. Ele é o diretor regional do Serviço Social do Comércio de São Paulo, Sesc, uma entidade privada que virou referência no espírito público no Brasil. Em duas semanas, Danilo Santos de Miranda recebe a maior comenda do governo francês para a área da cultura, torna-se assim, oficial das artes e letras da França. O Sesc, que ele comanda em São Paulo, é muitas vezes comparado a um ministério informal da cultura, e os números compravam isso. A entidade está presente em 26 estados, e no Distrito Federal. Mas só no estado de São Paulo, onde o Sesc tem 30 unidades, foram realizadas no ano passado mais de 8 mil apresentações artísticas, com público de aproximadamente três milhões de pessoas.
1|07/08/2006|Danilo Miranda|2|[Comentarista]| O Sesc, Serviço Social do Comércio, criado em setembro de 1946, é mantido por empresários do comércio de bens e serviços e atua nas áreas de educação, saúde, lazer, cultura e assistência. Criado para contribuir na melhoria da qualidade de vida dos trabalhadores do comércio e seus dependentes, as ações do Sesc abrangem também as populações da periferia de cidades de pequeno, médio e grande porte. Por ano o Sesc atende cerca de 3 milhões e 600 mil pessoas nas ações sociais da entidade, além de cuidar de produção cultural, crescimento do turismo, conscientização ecológica e preservação ambiental. O Sesc oferece creche, educação infantil de jovens e adultos, além de odontologia, medicina preventiva e apoio. Na cultura o Sesc suporta ações de cinema, teatro, música, artes plásticas, dança e artesanato. Entre os serviços, o associado conta com biblioteca, ação comunitária e assistência especializada. Desde 68 no Sesc, Danilo Miranda assumiu em 84 a direção geral da entidade em São Paulo. Filósofo e cientista social, Danilo tem especialização em recursos humanos, é dele a responsabilidade de administrar uma equipe de 6 mil pessoas nas 30 unidades do estado e um orçamento que ultrapassa 300 milhões de reais por ano.
2|07/08/2006|Danilo Miranda|3|Paulo Markun| Para entrevistar Danilo Miranda, nós convidamos Alessandro Duarte, editor da Veja São Paulo; Celso Fonseca, editor de comportamento da revista Isto É; Maitê Proença, atriz e escritora; Ana Paula Sousa, sub-editora de cultura da revista Carta Capital; Ivan Isola, coordenador do Núcleo de Produção para Cinema Digital da TV Cultura; Mario César Carvalho, repórter especial da Folha de S. Paulo e Jefferson Del Rios, crítico de teatro e professor de jornalismo cultural da Faculdade Cásper Líbero. Também temos a participação do cartunista Paulo Caruso, registrando em seus de desenhos os momentos e os flagrantes do programa. Boa noite, Danilo. 
3|07/08/2006|Danilo Miranda|4|Danilo Miranda| Boa noite. 
4|07/08/2006|Danilo Miranda|5|Paulo Markun| Vinte e um anos no comando do Sesc e não tem nenhuma outra entidade cultural que eu conheça no país que tem tanto tempo o comando da mesma pessoa. O que falta para as outras, o que sobra para o Sesc?
5|07/08/2006|Danilo Miranda|6|Danilo Miranda| Olha, Markun, este projeto do Sesc é um projeto que vem de muitos anos. Criado nos anos 40 do século passado, essas entidades, os chamados “ésses”, foram criados pelos empresários com o objetivo claro de prestar um serviço de bem-estar social à população, dos trabalhadores de modo geral. E esse desenvolvimento todo é fruto de uma ação cumulativa, que foi organizando uma série de preparações, sobretudo na área de recursos humanos. Com relação a essa continuidade, esse tempo, é dependente, obviamente da administração superior. Ou seja, no caso do Sesc, a presidência da Federação do Comércio, o doutor Abram Szajman, que é responsável, digamos assim, pela condução do Sesc, Senac e da Federação do Comércio, mantém esse quadro tanto no Senac como no Sesc de uma pessoa que dá continuidade, dá condição para um trabalho a médio e longo prazo, um trabalho que assenta bases muito profundas, seja do ponto de vista da infraestrutura, seja do ponto de vista da programação, seja no ponto de vista do preparo de recursos humanos, nas alterações necessárias. Quer dizer, tudo isso deu condição para que a gente pudesse implantar essa ação de uma maneira bastante completa, bastante integral, podendo abranger todos os campos da ação voltada para o bem-estar social. 
6|07/08/2006|Danilo Miranda|7|Paulo Markun| Mas na nossa época em que tudo é manchete de jornal, tudo vira matéria de televisão, tudo, às vezes nem... até na internet dura quinze segundos. Não é nem quinze minutos, como dizia aquele artista americano, o Andy Warhol . O que permite que vocês operem - está bom, tudo bem, com essa coisa de persistência - mas ao mesmo tempo acertando algumas coisas, principalmente no campo cultural que fazem com que ele conquiste a manchete?
7|07/08/2006|Danilo Miranda|8|Danilo Miranda| Olha, eu acho que é ter claro o objetivo, ter clara a intenção da instituição. Essa não é uma instituição, no caso do Sesc especialmente eu digo isso, não é uma instituição prioritariamente, centralmente cultural, no sentido estrito do termo. É uma instituição voltada para o bem-estar social, para promoção do indivíduo. É um projeto de educação. Eu costumo dizer que o Sesc é realmente um projeto de educação, educação permanente, educação no sentido amplo, educação através da cultura, através do lazer, através da ocupação adequada do tempo livre, onde a questão cultural tem um papel prioritário, fundamental, porque é o único processo que realmente transforma, que muda as pessoas. Nós temos uma questão grave no país que é um problema de educação. Nós falamos com freqüência da importância da educação e sabemos que a educação realmente é um problema central no Brasil. E o que a gente necessita neste país é exatamente centrar a questão da educação de uma maneira, assim, muito mais forte como política de estado, não política de governo, política de ação aqui ou ali, mas política de estado, onde todas as ações públicas tenham a educação como centro da coisa, centro do objetivo final. E uma instituição como a nossa, que tem isso bem presente, porque  treinamento, discussão, aprofundamento, um lastreamento completo em todas as ações, de modo que a gente pudesse ter essa questão educacional muito bem colocada. E não da educação regular apenas que é importante, mas não é suficiente, mas da educação como um processo permanente, que começa muito antes da escola e vai muito além da escola. 
8|07/08/2006|Danilo Miranda|9|Mario Cesar Carvalho| Danilo, o governo Lula, especificamente, fez uma reclamação, há coisa de um ano atrás, dizendo que o Sesc era meio impermeável, falava do “sistema S” como um todo, mas que as entidades eram impermeáveis às ações do governo. Faz sentido esse tipo de crítica? Ele falava, especificamente sobre acúmulo de Sesi , Sesc e Senac  em algumas cidades, enquanto outras não tinham nenhum aparelho cultural. E a falta de diálogo entre o governo, Ministério da Cultura e vocês, a impressão que dava é que o governo cobrava, sei lá, uma sinergia maior.
9|07/08/2006|Danilo Miranda|10|Danilo Miranda| Olha, Mario, nós temos uma ação muito próxima hoje tanto com o Ministério da Cultura, como com outras áreas do governo Lula, e já tínhamos antes e sempre tivemos uma ação muito integrada. Sempre procuramos uma cooperação muito grande na área de esportes, da inclusão através do esporte, na área cultural como um todo. Eu participei, no governo anterior , da Comissão Nacional de Incentivo à Cultura, outras pessoas do Sesc também o fizeram. Tivemos hoje a oportunidade de assinar, exatamente hoje, um convênio em nível nacional com o Ministério da Cultura para promover ações em nível nacional, fora do eixo Rio-São Paulo voltado para capacitação, para o desenvolvimento de ações em todo o Brasil, aproveitando a rede do Sesc, que é uma rede espalhada no país inteiro, em colaboração com o Ministério da Cultura, esse convênio foi assinado hoje. Então eu realmente estranho um pouco que haja essa queixa, talvez com relação aos “S” em geral, mas diria que nem assim, porque existe, realmente, um esforço muito grande. Para dar um exemplo para você, quando foi lançado o Programa Fome Zero, que é um programa que não é diretamente ligado à questão cultural, embora tenha aspectos culturais importantes também, um dos programas que o governo foi buscar para estender para o Brasil todo como programa exemplar, foi um programa desenvolvido aqui pelo Sesc de São Paulo, Mesa São Paulo, que se transformou em Mesa Brasil, e hoje é um programa exemplar no país todo. Olha, a cooperação tem sido muito grande. O presidente Lula é formado no Senai, e ele tem dito isso com todo orgulho, a sua origem no chamado sistema S, nesses “ésses” todos: Sesc, Senac, Senai  e Sesi, que são as entidades formadas nos anos 40 com esse objetivo. São muitas? Olha, eu diria que elas têm objetivos definidos, têm clientela definida, têm objetivos definidos, têm recursos definidos e são diferentes. Existe uma certa confusão achando que tudo é mais ou menos a mesma coisa, mas não são. São duas entidades voltadas para a formação profissional, para os trabalhadores, comércio e indústria - Senai e Senac - e duas entidades na origem criadas com objetivo do bem-estar social - Sesi e Sesc. São essas quatro entidades. De lá para cá vieram outras no campo dos transportes, no campo das cooperativas e outras que foram formadas, mas basicamente essa é a origem das entidades nos anos 40. 
