DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
12/02/2007,Debate Aquecimento Global,1,[...],Programa ao vivo
12/02/2007,Debate Aquecimento Global,2,Paulo Markun,"Boa noite. O relatório da ONU sobre as mudanças no clima colocou a humanidade contra a parede. Os níveis do dióxido de carbono na atmosfera são os maiores já registrados e o aquecimento global é um fato irreversível. A culpa é do homem. As conseqüências, já manifestadas, podem piorar: mais chuvas, mais seca, furacões e tempestades mais intensos e invernos mais quentes. Podemos entrar em uma era de extremos, com danos pesados para o meio ambiente, agricultura e a vida no planeta. Os estudos que levam a essas previsões são mais precisos do que os anteriores. Foram feitos com mais tecnologia e melhores recursos, o que aumentou o grau de certeza sobre os efeitos do aquecimento da Terra, das mudanças do clima e da influência humana nesse processo. O desafio que isso representa é o tema do Roda Viva de hoje. Reunimos uma bancada de cientistas e especialistas que têm se dedicado à questão, e vamos discutir com eles a dimensão do diagnóstico feito pela ONU, e também, como e quando essas conseqüências poderão chegar até nós. O relatório feito pelo painel de cientistas, organizado pela ONU, comprova que o aquecimento global é causado por atividades humanas e que se tornou um desafio sério, que deve influenciar bastante o debate político e econômico no planeta. Esse diagnóstico assustou e chegou a ser chamado de alarmista, mas foi também anunciado como um relatório mínimo, já que representa o consenso entre cientistas de todo o mundo. Para eles, as conseqüências do aquecimento da Terra foram, até agora, subestimadas. O clima mudou muito mais do que se previa e muito antes do que se imaginava."
12/02/2007,Debate Aquecimento Global,3,[Comentarista],"São Paulo da garoa é coisa do passado, e a neblina de Londres não é mais a mesma. O pico do Monte Fuji, a montanha sagrada e simbólica do Japão, perdeu parte da neve. E o Kilimanjaro, na África, já deixou de ser o vulcão das neves eternas. Bem mais longe, o derretimento põe abaixo o gelo, mudando a paisagem na calota polar. No Brasil, o verde amazônico abriu espaço para o vermelho da terra desmatada e para a fumaça das queimadas. Cenários românticos e reservas biológicas há tempos sinalizam que algo pode estar mudando. Mais recentemente os sinais se tornaram violentos: a Ásia, campeã de mortes por desastres naturais, teve ilhas varridas pelo tsunami das ondas gigantes, que matou mais de 230 mil pessoas. O sul dos Estados Unidos, acostumado a furacões, foi atingido pelo pior deles, o Katrina, que destruiu Nova Orleans com ventos de 240 km/h, matando mil pessoas e desabrigando um milhão. No sul do Brasil, o Catarina foi o primeiro fenômeno desse tipo ocorrido no país, mostrando para brasileiros o estrago que ventos de 140 km/h podem fazer. Na Europa, as altas temperaturas no último verão causaram dezenas de mortes, principalmente entre idosos. O gélido inverno russo foi o mais quente desde 1879. Faltou neve e faltou frio para os ursos, que começaram a hibernação com dois meses de atraso. Caprichos da natureza? O relatório da ONU disse que não. Divulgado no começo do mês, em Paris, pelo IPCC - Painel Intergovernamental de Mudanças Climáticas - o documento afirma com segurança de mais de 90%, que o clima não mudaria, como tem mudado, não fosse a humanidade; e usa o termo “inequívoco” para o grau de certeza do aquecimento global. O problema está no crescente acúmulo na atmosfera, de gases de efeito estufa: o dióxido de carbono, o metano e o óxido nitroso. Eles são produzidos pela queima de petróleo e derivados, carvão, pela agricultura e pela destruição de florestas. O acúmulo de gases forma uma barreira, impedindo que o calor do Sol, irradiado pela Terra, volte para o espaço. Daí o aquecimento da superfície terrestre e a sensação de que estamos em uma estufa. Nas medições que deram base ao relatório, o aumento da temperatura da Terra, que foi de 0,6 ºC, de 1900 a 2000, será bem maior no século XXI. As projeções apontam para uma elevação entre 1,8 e 4 ºC, até o ano 2100. Os cientistas acham muito provável uma elevação média de 3ºC. As geleiras vão derreter mais, elevando o nível dos oceanos. No século XX o mar subiu 17 cm. Agora pode subir entre 18 e 59 cm, até 2100 - uma ameaça para as populações de milhares de cidades litorâneas. Mais quente, o ar dos oceanos também fortalece furacões e tempestades, da mesma forma que nos continentes, o calor pode aumentar a estiagem nas regiões secas, como na África e no Nordeste brasileiro. O ex-vice-presidente americano e agora ambientalista Al Gore lançou recentemente um livro e um documentário sobre mudanças climáticas. Ele faz um alerta ainda mais dramático sobre o aquecimento do planeta e seus prejuízos à saúde, à economia e ao ser humano. Em sua cruzada ambientalista, Al Gore conclama as pessoas a mudarem a maneira de produzir e consumir recursos e energia. E avisa governos e grandes poluidores que é imoral tomar decisões que condenem as futuras gerações a diminuir suas vidas. Os fortes interesses em jogo e a dificuldade política de discutir responsabilidades mostram que não será fácil pagar esta fatura ambiental. Países ricos e países pobres vão se debater, o que deixa no ar a indagação sobre qual será a força capaz de mudar esse quadro, qual o papel a ser assumido por governos, sociedades e cidadãos."
12/02/2007,Debate Aquecimento Global,4,Paulo Markun,"Para o debate neste Roda Viva especial nós convidamos Eduardo Giannetti, economista, sociólogo e professor do Ibmec São Paulo; convidamos também Paulo Artaxo, professor do Instituto de Física da USP e membro do IPCC, o Painel Intergovernamental para Mudanças Climáticas; está aqui também Ricardo de Camargo, professor de meteorologia do IAG-USP, Instituto de Astronomia, Geofísica e Ciências Atmosféricas da USP; Ilana Wainer, coordenadora do Laboratório de Oceanografia, Física e Clima do Instituto Oceanográfico da USP; Marcelo Furtado, diretor de campanhas do Greenpeace; José Antônio Marengo, pesquisador climatologista do Cptec-Inpe, Centro de Previsão de Tempo e Estudos Climáticos, no Intituto de Pesquisas Espaciais e também membro do IPCC, Painel Intergovernamental sobre Mudanças Climáticas. Também temos a participação do cartunista Paulo Caruso, registrando em seus desenhos os momentos e os flagrantes do programa. Boa noite. Eu queria começar esta discussão colocando o seguinte. As imagens que a gente viu nessa reportagem de abertura são quase todas elas dramáticas. Agora a impressão que eu tive lendo o relatório, as partes do relatório que foram apresentadas pela imprensa é que o relatório é mais dramático do que isso. Então, o que eu queria começar a questionar é o seguinte: em que medida esse documento divulgado pelos cientistas muda alguma coisa na percepção que a sociedade tem do problema, e mais ainda, em que medida ele muda o conhecimento que a gente tem sobre este problema? Começamos pela Ilana."
12/02/2007,Debate Aquecimento Global,5,Ilana Wainer,"Eu vou tentar responder do ponto de vista dos oceanos, que é a minha especialidade. Eu acho que esse relatório coloca uma importância grande do papel dos oceanos nas mudanças climáticas. Uma delas é a capacidade que o oceano tem de armazenar e redistribuir esse calor. Então, o oceano tem um papel, funciona como um refrigerador no planeta. Ele recebe o excesso de calor das regiões tropicais, que é redistribuído para as regiões de déficit, as regiões polares, e através de correntes muito profundas, ocorre uma redistribuição, resfria-se o planeta levando essas correntes mais densas e frias para a região tropical. O que acontece é que com o aquecimento do planeta - não vou entrar em detalhes desses processos agora - essa corrente acaba se desintensificando, ela fica menos intensa, redistribui-se menos excesso de calor para as regiões de déficit, e, consequentemente, aumentam os contrastes de temperatura. Existem outros vários aspectos, como a mudança de salinidade, o fato de que a região tropical está tendo mais evaporação; mais evaporação implica mais vapor d'água, o que contribui para a intensificação dos furacões, enfim, está tudo interligado. Então, voltando a sua pergunta, eu acho que esse relatório vai buscar, então, nos oceanos, o grande mecanismo físico, um dos grandes mecanismos físicos para explicar o que está acontecendo."
12/02/2007,Debate Aquecimento Global,6,Paulo Artaxo,"Evidentemente esse relatório é um marco no conhecimento científico sobre a questão de mudanças climáticas globais. Porque até o momento, quer dizer, os modelos não davam as respostas em que os cientistas confiariam o suficiente para dar um recado importante para o planeta como um todo. Esse relatório muda esse patamar porque ele dá um nível de confiabilidade muito grande e as previsões hoje do relatório, das quais algumas delas foram feitas na introdução do programa, são realmente importantes do ponto de vista das alterações do clima físico e vão ter conseqüências importantes do ponto de vista socioeconômico e político para o nosso planeta. E a repercussão dessas conclusões foram muito importantes, não só no Brasil, como no mundo todo."
12/02/2007,Debate Aquecimento Global,7,Marcelo Furtado,"E acho que vale a pena, Markun, a gente colocar um ponto importante, que é a dimensão política disso. Esse documento foi feito para tomadores de decisão. E nós sabemos que havia muita pressão dentro do IPCC para que as conclusões fossem minimizadas, ou seja, o documento original que entrou na reunião de Paris, na segunda-feira, é diferente do que foi o resultado da sexta-feira, em função de pressão política. Nós temos pressões que vieram até mais brandas do que historicamente a gente tem visto nessas reuniões por parte dos Estados Unidos e o bloco do Oriente Médio, mas uma pressão maior, por exemplo, do governo da China, em função de suas conclusões. A comunidade científica hoje fala em níveis de aumento do que é o nível do mar, maiores do que o painel concluiu. Os estudos já estão passando de um metro, no aumento do nível do mar na sua previsão para o final do próximo século. Por que isso foi minimizado? Porque a comunidade científica sofreu uma pressão e porque alguns estudos fundamentais não entraram no prazo para a conclusão dos estudos, para serem avaliados pelo IPCC, e nós perdemos uma oportunidade de um documento ainda mais contundente. Então a pergunta que fica é: esse relatório já é bastante importante, já traz questionamentos fortíssimos do jeito que é, mas ele poderia inclusive ser mais forte."
12/02/2007,Debate Aquecimento Global,8,Ilana Wainer,"Eu posso acrescentar uma coisa? Eu acho que, além disso, eu discordo só um pouquinho, porque o relatório mostra que houve uma aceleração do aquecimento, do aumento do nível do mar de 93 para cá. Então eu não acho que ele foi tão pequeno. Eu acho que ele mostrou que até 93 a gente tinha dados insuficientes. A partir de 93 nosso monitoramento e observação melhorou muito. Então, com relação específica ao nível do mar, esse aumento foi muito maior, eu acho que o que é preocupante é a taxa do aumento. Muito mais do que um valor absoluto, são as taxas."
12/02/2007,Debate Aquecimento Global,9,Eduardo Giannetti,"Eu acho que esse documento estabelece um cenário para que a gente possa começar a trabalhar em duas direções. Uma delas é a seguinte: algumas dessas tendências são muito poderosas e dificilmente serão revertidas. A humanidade vai ter que se adaptar de alguma forma a isso. Ele serve como um alerta também. É um cenário que mostra que medidas preventivas podem atenuar, a longo prazo, efeitos que se materializarão nas gerações futuras, se nada for feito. Mas de qualquer maneira, a humanidade vai ter que se resignar à adaptação e a alguma prevenção se nós levarmos a sério um alerta dessa magnitude."
12/02/2007,Debate Aquecimento Global,10,José Antônio Marengo,"Eu acho que é importante considerar que esse é um relatório do grupo 1, que é o relatório científico, e como o Marcelo mencionou, é o chamado “Sumário para tomadores de decisão”, um documento curto. O relatório 1 possivelmente tem 1500 páginas. Então, eu concordo com Artaxo, é um marco épico para nós, meteorologistas, se comparado àquele relatório publicado em 2001, o terceiro relatório. Em 2001 se falava que o aquecimento chegaria a 5,8°, agora se fala em 4° ou 4,5°; melhores modelos, melhores apresentações, melhores observações e técnicas estatísticas, o que é importante, talvez. Em 2001 se falava que a conclusão principal era: o aquecimento global não é unicamente conseqüência de variação natural do clima. Agora já se fala claramente: é estatisticamente significativa a ação humana. Nos extremos, que nós estamos experimentando, tem muita informação, e lendo os livros que serão publicados, poderemos ter mais informação. O que saiu é apenas uma coisa que um tomador de decisão pode entender, mas tem muitos detalhes que não aparecem naquele documento. Mas, com certeza vão sair no volume que deve ser publicado este ano."
