|DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
0|19/07/2007|Debate Crise Aérea|1|Paulo Markun| Boa noite. Daqui a pouco, 20 de julho, é data do aniversário de nascimento de Santos Dumont, 134 anos. Nosso inventor do avião nasceu e morreu no mês de julho e é também no mês de julho que registramos o mais grave acidente aéreo da história da aviação brasileira. O desastre com o avião da TAM , terça-feira em Congonhas, que já apresenta uma contagem próxima de 190 mortos , realimenta a discussão sobre a segurança e gestão do tráfego aéreo no Brasil. Devemos ter medo dos aviões? Podemos confiar no controle de vôo, nas condições de operação dos aeroportos? O Roda Viva de hoje é uma edição especial. Reunimos uma bancada de especialistas para uma reflexão sobre o momento vivido pela aviação brasileira e para discutir também que futuro é possível traçar para o setor, novas políticas públicas, melhor gestão e infra-estrutura e, sobretudo, iniciativas que possam mesmo prevenir acidentes, como tantos que já ocorreram e como este mais recente em Congonhas.
1|19/07/2007|Debate Crise Aérea|2|[Comentarista]| Terça feira, 17 de julho. Às 7 da noite, o noticiário começava a anunciar um acidente aéreo no aeroporto de Congonhas, em São Paulo. Inicialmente, se falava num avião de porte médio, talvez um avião de carga. Aos poucos, confirmou-se o pior, um Airbus 320 da TAM, com capacidade para 170 passageiros, decolara de Porto Alegre às 5:15 da tarde com destino a São Paulo e não conseguiu completar o pouso. Três minutos depois de registrar um pouso normal, onde uma outra aeronave da TAM aparece em velocidade cada vez mais reduzida, as câmeras da Infraero  no aeroporto de Congonhas registraram a aterrissagem do Airbus 320. Em três segundos ele fez um trecho da pista normalmente percorrido em 11 segundos, rápido demais para aterrissar e talvez não tão rápido assim para arremeter e retomar o vôo. O Airbus sai de cena, logo depois, o clarão da explosão. Fora de controle, quase no final da pista, o avião deu uma guinada para a esquerda, atravessou a avenida Washington Luis e se chocou contra o prédio de três andares da TAM Express, terminal de cargas da própria empresa. Final de expediente, dos mais de 200 funcionários que trabalham no terminal, 50 ou 60 estavam no prédio. Um incêndio, logo depois seguido pela explosão, criou as primeiras situações dramáticas. Dois funcionários da TAM Express saltaram do segundo e terceiro andares. No interior do terminal, em pânico, outros tentavam escapar e, ao mesmo tempo, socorrer amigos com queimaduras ou soterrados pelas paredes que desabaram. São Paulo parou no trânsito e na angústia. Pela TV, o Brasil começava acompanhar as mais de 5 horas de incêndio que fez do prédio apenas escombros. Do avião, só restou o leme e parte do estabilizador traseiro, peças do controle que não conseguiram mudar o destino do Airbus. Com a dimensão do desastre conhecida, estava ali o maior acidente da aviação brasileira. Superou a queda do Boeing da Gol, em setembro de 2006, que matou 154 pessoas depois de ser atingido por um Jato Legacy. Menos de 10 meses separam os dois desastres ocorridos num contexto de um conjunto de problemas que, desde o ano passado, coloca em cheque a segurança dos vôos no país. O crescimento do setor aéreo nos últimos anos já criava dificuldades nos aeroportos e no controle aéreo com aumento crescente de passageiros e de aeronaves no ar. Mas o acidente da Gol, em 2006, colocou sobre suspeita a qualidade do controle e a gestão do setor aéreo. Limites e estresses de pilotos e controladores ficaram mais explícitos, greves e operações padrão, em nome de maior segurança, provocaram atrasos e cancelamentos de vôos em todo país, levando os aeroportos ao caos. Duas CPIs , uma no Senado e outra na Câmara, passaram a investigar o apagão aéreo que trouxe transtorno, revolta, sentimento de insegurança e um questionamento sobre o transporte aéreo brasileiro que pode ter atingido, agora, o pico de sua crise.
2|19/07/2007|Debate Crise Aérea|3|Paulo Markun| Para realizar este Roda Viva especial, nós convidamos os representantes das principais entidades do setor aéreo. O presidente da Infraero, José Carlos Pereira e o chefe do Cenipa, Centro de Investigação e Prevenção de Acidentes Aeronáuticos, Jorge Kersul Filho, alegaram ter reuniões em Brasília e não puderam vir. Convidamos também a Anac, Agência Nacional de Aviação Civil, que informou não poder participar. O Sindicato Nacional das Empresas Aéreas também não, uma vez que seu diretor técnico, Ronaldo Jenkis, está impedido de dar entrevistas por fazer parte da comissão que investiga o acidente de Congonhas. Em nossa bancada, estão representantes, técnicos e pesquisadores do setor aéreo. Carlos Camacho, diretor de segurança de vôo do Sindicato Nacional dos Aeronautas; Coronel Franco Ferreira, especialista em segurança de vôo; Jorge Leal Medeiros, engenheiro especializado em transportes aéreos e professor da Escola Politécnica da Universidade de São Paulo; Anderson Correia, professor do Instituto Tecnológico de Aeronáutica e presidente da Sociedade Brasileira de Pesquisa em Transporte Aéreo; Adalberto Febeliano, vice-presidente executivo da Associação Brasileira de Aviação Geral, e Ricardo Sterchele, secretário executivo da Federação Brasileira de Controladores de Tráfego Aéreo. Boa noite, eu queria começar o debate fazendo uma rodada rápida aqui dos participantes, colocando a questão que eu considero, talvez, uma das mais importantes que é a seguinte: o aeroporto de Congonhas tem segurança para ser utilizado, ele pode continuar a ser utilizado depois desse acidente? Eu queria começar pelo coronel Franco Ferreira.
3|19/07/2007|Debate Crise Aérea|4|Coronel Franco Ferreira| Sim, nos limites para os quais estiver capacitado. Vale dizer peso de aeronave, velocidade de pouso, sim, o aeroporto tem condições, condições meteorológicas favoráveis, ele tem condições de ser usado para a operação.
4|19/07/2007|Debate Crise Aérea|5|Paulo Markun| Adalberto Febeliano.
5|19/07/2007|Debate Crise Aérea|6|Adalberto Febeliano| Bem, o Aeroporto de Congonhas tem todas as condições para operar com segurança, é tudo uma questão de manter as aeronaves dentro dos parâmetros que são determinados pelos fabricantes em função de peso, velocidade, temperatura, velocidade de vento. São os parâmetros que interferem com a distância necessária para você pousar. Isso tudo, tem manuais que são homologados pelas autoridades certificadoras dos países e, dentro desses limites, é totalmente segura a operação em Congonhas, ainda mais agora que foi feita uma reforma nas duas pistas, o pavimento das duas pistas. A informação que nós temos dos pilotos que operam lá é que a qualidade do pavimento ficou muito boa, salvo problemas de eventuais deslizes quando... Ainda não está feito o grooving  na pista principal, mas a qualidade do pavimento, pelo menos o que eu tenho ouvido dos pilotos que operam freqüentemente lá, é que ficou muito boa, a qualidade do pavimento. Então, realmente, eu não vejo nenhum problema de segurança no aeroporto de Congonhas .
6|19/07/2007|Debate Crise Aérea|7|Paulo Markun| Em vez de eu seguir a rodada um a um, eu vou inverter a questão e colocar a seguinte questão: Quem considera que há algum dado a acrescentar em relação ao que foi dito ou que discordam desse ponto? Porque, senão, nós vamos ter... Se todos concordarem, nós vamos perder um tempo aqui dizendo sim, sim, sim.
7|19/07/2007|Debate Crise Aérea|8|Jorge Leal Medeiros| Eu queria acrescentar uma coisa só, o seguinte: a parte de segurança da aviação é essencialmente uma questão numérica. A segurança aviação ela é rainha, ela é o ponto mais importante da aviação, o modo de transporte mais seguro e você consegue estabelecer limites numéricos para segurança, estabelece limites numéricos. É uma questão puramente matemática, não é uma questão subjetiva, ela é totalmente objetiva. Essas posições são dadas pelas de organização de aviação civil internacional e pelas próprias autoridades.
8|19/07/2007|Debate Crise Aérea|9|Ricardo Sterchele| Com certeza esses limites têm que ser respeitados, independentes dos interesses econômicos e dos interesses pessoais. Acima de tudo, a gente tem que manter a segurança em primeiro lugar, como o Jorge já disse.
9|19/07/2007|Debate Crise Aérea|10|Paulo Markun| Carlos.
