DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
02/06/2006,Debate Mercado Internacional de TV,1,Paulo Markun,"Boa noite. O que está mudando no mercado audiovisual? Como as novas tecnologias e as novas regulamentações estão alterando os conteúdos e a forma de produção de filmes, documentários e programas de TV? A indústria internacional do vídeo abre a discussão sobre o futuro do audiovisual, e o Roda Viva entra neste debate com um programa especial esta noite. Reunimos aqui uma bancada de produtores, diretores... gente que representa a cadeia global de produção e distribuição de vídeo e que está desvendando a tendência que vai mudar este mercado nos próximos anos. O Roda Viva começa num instante."
02/06/2006,Debate Mercado Internacional de TV,2,[...],
02/06/2006,Debate Mercado Internacional de TV,3,Paulo Markun,"O mercado de formatos, roteiros e produções está globalizado. Emissoras de TV e produtoras do mundo inteiro ampliam suas parcerias, trabalham cada vez mais no sistema de co-produção. Tudo isso está mexendo com as formas tradicionais de produzir conteúdos, principalmente na televisão."
02/06/2006,Debate Mercado Internacional de TV,4,[Comentarista],"O primeiro MITV, mercado internacional de televisão, trouxe a São Paulo representantes de outros sete países e trouxe, também, uma amostragem de produtos que a indústria audiovisual, representada no encontro, está oferecendo ao mundo. Filmes, novelas, documentários, séries, curta metragens, animações, programas de televisão. Uma grande e variada lista de produtos, um novo catálogo de conteúdos que produtores independentes, emissoras de TV, estúdios, distribuidores e investidores têm a mostrar e a negociar. Empresas participantes montaram stand’s para divulgar projetos e idéias que devem alimentar novos negócios do setor e também promoveram discussões sobre mudanças tecnológicas, novos meios de distribuição, e exibição de vídeos, bem como as tendências deste mercado e o que está mudando os conteúdos no formato e jeito de produzir. Organizados pela revista especializada Tela Viva, o evento buscou fazer uma aproximação do mercado internacional de televisão. Mercado que está, também, globalizado e que não tem mais fronteiras para conteúdos e muito menos para negócios."
02/06/2006,Debate Mercado Internacional de TV,5,Paulo Markun,"Para discutir o novo mercado audiovisual, negócios e conteúdos que vão marcar a televisão, nós convidamos Michel Thornton, diretor da Forward Entertainment, de Nova Iorque, Estados Unidos. Eric Michel, produtor executivo da FRV Media International, do Canadá; Charles Zamaria, diretor financeiro da Bell Canadá Fund e professor da Universidade do Canadá; José Eduardo Moniz, diretor-geral da televisão independente TVI de Portugal; André Mermelstein, Editor da revista Tela viva, Fernando Dias, presidente da BPITV, Associação Brasileira dos Produtores Independentes de Televisão; Ivan Isola, coordenador do núcleo de linha de produção para cinema digital e animação da TV Cultura, e Alberto Flaksman, coordenador dos cursos de formação de executivos para cinema e televisão da Fundação Getúlio Vargas e superintende de produção e comércio exterior da Ancine. Temos também a participação do cartunista Paulo Caruso, registrando em seus desenhos os momentos e flagrantes do programa. O Roda Viva, como você sabe, é transmitido em rede nacional de TV para todo Brasil. Como o programa de hoje está sendo gravado, ele não permite a participação direta do telespectador."
02/06/2006,Debate Mercado Internacional de TV,6,"Eu queria começar esse debate pela aquela questão que, certamente, nós não vamos encontrar resposta aqui. Aliás, isso costuma acontecer com freqüência em programas desse gênero. É o seguinte","para onde está caminhando a maneira de produzir conteúdo audiovisual neste mundo em que ninguém mais sabe em que meio que a gente coloca o conteúdo, se é na televisão, se é na internet, se é em celulares ou se em outras mídias que nem a gente sabe... capaz de imaginar quando vão surgir, mas certamente vão surgir. E que sentido tem, neste mundo e nesse novo mundo, os formato tradicionais como este que nós estamos fazendo aqui agora, quer dizer, um programa que é produzido em série toda semana por uma emissora de TV que faz um programa do começo ao final e exibe para seus telespectadores em rede aberta de televisão. Então, essa é a questão número um, talvez começando pelo Zé Eduardo."
02/06/2006,Debate Mercado Internacional de TV,7,José Eduardo Moniz,"Bom, é uma questão complicada, eu vou tentar dar o meu ponto de vista sobre ela enquanto diretor de uma estação de televisão que tem uma experiência intensa em termos de sua implantação no mercado. Eu fui um produtor independente, portanto, estou à vontade para, enfim, discutir esta questão. O que eu acho é que tem se falado muito que os programas que tradicionalmente se vê na televisão vão começar a mudar, mas eu acho que não é bem assim. Aquilo que nós vamos passar a ver é, provavelmente, o mesmo tipo de programa espalhado por muitas plataformas. Aquilo que nós temos que nos interrogar é: Qual é o papel da televisão generalista no futuro? Esta que é a grande questão. Não é tanto: Como vamos produzir? Nós temos que continuar a produzir programas, porque as pessoas que vão ver são as mesmas, aquelas que escolhem e decidem do futuro desses mesmos programas e do nosso próprio futuro. Aquilo que mudou foi que o telespectador, hoje em dia, vê a televisão quando quer, onde quer, como quer, e, enfim, da forma que lhe apetece. E ele é quase um programador, portanto o que nós temos que fazer é ajudá-lo, também, a facilitar um pouco a sua vida. Se você quer ver televisão em qualquer sítio, nós temos que nos ajustar a esta realidade, não temos que estar contra ela ou lutarmos contra ela. Acho que este programa que nós estamos a ver aqui hoje ou a fazer aqui hoje é um programa que, no futuro, provavelmente passará na vossa televisão, num modelo tradicional de difusão e, simultaneamente, sobre a internet, sobre os celulares, enfim, haverá uma ampla forma de observação do programa e de seguir o programa. Acho que, basicamente, aí que vai residir o futuro da televisão e, principalmente, a televisão generalista. Não quero me alongar, mas gostaria de citar o resultado de uma conferência em que participei há pouco tempo em Bruxelas, durante a qual se discutia precisamente o que vai ser a televisão generalista em 2010. E a conclusão a que nós chegamos todos foi que nós não sabemos o que vai ser em 2007, quanto mais em 2010, porque está tudo a mudar em velocidade aceleradíssima."
02/06/2006,Debate Mercado Internacional de TV,8,André Mermelstein,"Na verdade, o que me parece é que a grande mudança está se dando do lado do espectador, talvez até mais do que no lado da produção e a produção está correndo atrás do espectador. Uma série de tecnologias que no Brasil não são conhecidas, como o caso do gravador digital, o chamado digital vídeo recorder, DVR, que é oferecido por algumas operadoras de TV por assinatura no Brasil, mas nos Estados Unidos é um grande fenômeno de popularidade. Basicamente é um aparelhinho que o sujeito tem em casa e em que ele programa aquilo de forma simples e transparente, não é como vídeo cassete que você tem que saber o horário. Quer dizer, a partir da própria tela de televisão, ele diz para o aparelho o que ele quer assistir e, imediatamente, aquele aparelho começa a gravar todos os conteúdos que ele tem em todos os canais. O conceito de grade de programação, essa grade que a gente conhece com horários, com canais, ele desaparece e o expectador começa a montar seu próprio canal."
02/06/2006,Debate Mercado Internacional de TV,9,Paulo Markun,É um super controle remoto que permite você assistir qualquer coisa em qualquer horário.
02/06/2006,Debate Mercado Internacional de TV,10,André Mermelstein,"No momento em que você quer. Quer dizer, isso muda muita coisa, muda o modelo tradicional de televisão em que você tem os intervalos comerciais. De repente, o espectador começa a poder pular estes horários comerciais. Isso muda o conceito até de canal, porque o espectador ele passa a ser dono, ele passa a criar o seu próprio canal. Isso vai requerer um esforço muito grande dos produtores de conteúdo, em termos de tornar seu conteúdo atrativo para este espectador que está tão ligado. E também, sem querer me alongar muito, mas uma outra questão interessante são os novos dispositivos digitais, né? Além desse, você tem hoje dispositivos portáteis e você tem a possibilidade de, por exemplo hoje, de comprar conteúdos pela internet e assistir num vídeo portátil ou ligar este vídeo na sua televisão e assistir conteúdo que não estaria disponível de outra forma. Quer dizer, eu não acho que as tecnologias necessariamente matam a tecnologia anterior. As pessoas não vão deixar de ver televisão, não vão... a televisão como a gente conhece não vai morrer, assim como a televisão não matou o cinema também. Enfim, as tecnologias acabam se complementando, mas sem dúvida você vai ter um cenário de muita fragmentação dessa programação, e os produtores de conteúdo, os difusores de conteúdo, vão ter que se virar, aí, para cativar este público que está ganhando muito poder na hora de decidir o que quer assistir."
