DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
13/05/1991,Debate: rumos da economia,1,Jorge Escosteguy,"Boa noite. Estamos começando mais um Roda Viva pela TV Cultura de São Paulo. No centro do Roda Viva desta noite, um centro especial: o Brasil e a situação econômica em função das últimas mudanças no governo Fernando Collor de Mello, com a saída de Zélia Cardoso de Mello e a entrada do ministro atual da Economia, Marcílio Marques Moreira, ex-embaixador em Washington. Para debater a questão econômica no Roda Viva nesta noite, nós convidamos: João Paulo dos Reis Velloso, presidente do Instituto Brasileiro de Mercado de Capitais e ex-ministro do Planejamento; Luiz Carlos Mendonça de Barros, diretor e vice-presidente do Banco de Investimentos Banibank; Paul Singer, professor de economia da USP e secretário de Planejamento de São Paulo; Carlos Alberto Longo, membro do conselho editorial da Folha de S. Paulo e professor de economia da USP; Fernando Milliet, administrador e presidente da Soma Seguradora, ex-presidente do Banco Central e do Banespa. Para ajudar nos debates convidamos também os jornalistas: Luis Nassif, jornalista econômico da agência Dinheiro Vivo e Marco Antônio Rocha, apresentador do programa Imprensa na TV. Boa noite, ministro."
13/05/1991,Debate: rumos da economia,2,João Paulo Reis Velloso,Boa noite.
13/05/1991,Debate: rumos da economia,3,Jorge Escosteguy,"A substituição da ministra Zélia Cardoso de Mello pelo embaixador Marcílio Marques Moreira indica uma política economia mais ortodoxa, uma política que apresenta um combate à inflação mais lento, mais seguro, sem grandes sustos, ou seja, uma economia mais estável? O senhor acredita que nós teremos este quadro no Brasil?"
13/05/1991,Debate: rumos da economia,4,João Paulo Reis Velloso,"Não necessariamente uma política mais ortodoxa. Eu acredito que vá ser algo mais previsível. Eu não creio que nós tenhamos uma repetição dos choques. Nós temos tido essa terapia de choques desde 1986, quando houve o Plano Cruzado. Talvez o Plano Cruzado tivesse alguma chance aos choques, isso dificilmente. Eu acho que vai haver uma preocupação muito grande com que nada surja de repente na economia e não haja mais essas, digamos, mágicas, cartas tiradas assim do bolso. Creio que vamos ter uma política fiscal rigorosa, uma política monetária rigorosa e alguma forma de encaminhar essa saída do congelamento, que é o grande problema, no momento, por onde tudo começa. Não é possível deixar que haja realmente uma perda de controle. Nós não podemos fazer uma liberalização de preço repentina, porque aí eu acho que é haveria um salto na taxa da inflação."
13/05/1991,Debate: rumos da economia,5,Jorge Escosteguy,"A questão da saída do congelamento é, realmente, um dos temas mais importantes discutidos atualmente com a mudança de Ministério. Eu perguntaria ao Luiz Carlos Mendonça de Barros como pode ou deve ser feita essa saída do congelamento sem grandes traumas?"
13/05/1991,Debate: rumos da economia,6,Luiz Carlos Mendonça de Barros,"Bom, a primeira coisa importante, eu acho que é específico da situação atual do congelamento, é que dada a recessão bastante profunda que nós temos da economia, eu acredito que se possa ter uma liberação parcial e gradativa dos preços sem grandes traumas. Nós temos, mesmo com o congelamento, certos setores da economia que os preços estão praticamente livres, principalmente os preços na área agrícola. O que a gente vem acompanhando no aumento de preço nessa área é que há uma certa tranqüilidade. Evidente que nós estamos numa conjugação muito favorável em relação a esse preço que é a safra que está sendo colhida e está sendo vendida e a recessão. Também parece que, dentro dessa condição de pouca demanda, de pouca força do lado das empresas, pode ser arbitrado via, principalmente, câmaras setoriais, onde se discute cada cadeia de produtos, uma forma de liberação gradual dos preços sem uma explosão, assim, efetivamente muito grande."
13/05/1991,Debate: rumos da economia,7,Jorge Escosteguy,"Professor Paulo Singer, um dos outros temas também econômicos da atualidade que estavam em debates antes das mudanças do Ministério é a questão da liberação dos cruzados. O ex-ministro Reis Velloso disse que inclusive agora podemos ter uma economia sem grandes choques, sem grandes sustos, mas a própria liberação desses cruzados, a partir de setembro, não seria uma espécie de choque para a economia, ou seja, como receber esse montante de cruzados todos os meses a partir de setembro?"
13/05/1991,Debate: rumos da economia,8,Paul Singer,"Não, eu acho que isso é um temor que eu pelo menos não compartilho. Na verdade, se trata de novamente devolver com os proprietários o domínio de dinheiro que eles provavelmente não tinham plano de gastar quando foi retido pelo governo, em março de 1990. Não necessariamente irão gastar agora, a não ser como, digamos, conseqüência da própria surpresa que, enfim, da arbitragem do que aconteceu a eles. Quer dizer, como reação ao fato de que tiveram suas poupanças confiscadas e retidas por um ano e meio e só vão recebê-las de volta... Portanto, perderam o domínio, perderam a liquidez, perderam a oportunidade de gastar o que gastariam imediatamente. É possível que uma parte dessas pessoas prefira pegar esse dinheiro e colocar em bens, mas isso são alguns bens muito específicos, quer dizer, isso não tem efeito direto sobre a inflação. Dificilmente as pessoas comprarão roupas e alimentos para colocar no freezer e coisas dessa natureza. Agora, provavelmente o governo tratará de oferecer taxas de juros muito atraentes para que as pessoas mantenham uma grande parte desse dinheiro realmente aplicada."
13/05/1991,Debate: rumos da economia,9,Jorge Escosteguy,"Sem sair gastando por aí. Professor Carlos Alberto Longo, o senhor acha que a política econômica do ministro Marcílio Marques Moreira caminha nesse sentido, ou seja, o governo de repente não poderá inventar mais uma daquelas justificativas para oferecer esses cruzados, por exemplo, de outra forma que não moeda sonante, como disse aqui uma vez o professor Kandir, quando se perguntou a ele se ele ia liberar os cruzados ou não?"
13/05/1991,Debate: rumos da economia,10,Carlos Alberto Longo,"Perfeitamente. Acho que uma das saídas para liberar os cruzados é exatamente oferecer um ativo alternativo. Ele pode fazer isso, deve fazer isso. A transformação para uma economia onde todos os ativos estão liberados pode ser feita de uma maneira espontânea, desde que haja credibilidade na política, economia. A questão do que o novo ministro vai fazer, ainda é um pouco cedo para poder fazer inferências sobre esse fato, mas me parece que os sinais iniciais que estão sendo expedidos são preocupantes, na medida em que não há ainda claramente uma visão do que fazer com a economia. As questões são muito polêmicas, são questões como, por exemplo, do gradualismo ou do tratamento de choque. Certamente, esse governo não vai optar por um tratamento de choque, ou seja, um novo pacote, pelo menos nos próximos 30 ou 60 dias. Mas também o gradualismo exacerbado, ou seja, a omissão e a tentativa de resolver tudo pelo diálogo, por exemplo, como câmaras setoriais, e coisas dessa natureza, pode levar rapidamente à perda de controle, o que forçaria perversamente, paradoxalmente a um novo choque."
13/05/1991,Debate: rumos da economia,11,Jorge Escosteguy,"Bom, são notáveis, são evidentes as diferenças de perfis entre a ministra Zélia Cardoso de Mello e o novo ministro Marcílio Marques Moreira. Eu perguntaria, então, ao Fernando Milliet se ele acha que a substituição de um pelo outro foi um avanço ou um recuo na política econômica do governo?"
13/05/1991,Debate: rumos da economia,12,Fernando Milliet,"Eu já não acho que tenha sido propriamente nem um avanço nem um recuo. Eu acho que são... Evidentemente essa decisão foi tomada em um âmbito de uma crise, as poucas notícias que se têm mostram que não está fácil preencher os cargos, o que confirma a idéia de que está difícil encontrar pessoas que queiram servir este governo, ou porque não concordam com ele ou porque não acreditam nele."
13/05/1991,Debate: rumos da economia,13,Jorge Escosteguy,"Por que a situação está muito ruim, de repente?"
13/05/1991,Debate: rumos da economia,14,Fernando Milliet,"Eu acho que a situação de credibilidade do governo está muito ruim. Quer dizer, um governo que tem dificuldade de preencher os seus quadros nos cargos talvez mais importantes da administração deste país, evidentemente, é um governo que está sendo rejeitado por segmentos muito amplos da população. Eu acredito que o ministro terá, provavelmente... em um primeiro momento vai tentar manter pelo menos as linhas básicas da política atual e gradualmente vai mostrar, digamos assim, para onde ele tende. Eu diria que, numa certa medida, isso também vai depender dos assessores que ele venha a convocar e orientá-lo, porque é uma pessoa que a par de diversas qualidades, não teve ainda uma experiência executiva dessa complexidade, dessa dificuldade. Então, eu acho que realmente o que vai ser a política econômica do atual ministro a gente tem que levar, talvez, um ou dois meses para começar a se desenhar com maior clareza."
13/05/1991,Debate: rumos da economia,15,Jorge Escosteguy,"Bom, o Luis Nassif, além, da agência Dinheiro Vivo, é também colunista da Folha de S. Paulo e também tem acompanhado o mercado desses últimos dias e poderia nos dar algumas informações hoje de como tem reagido o mercado em função dessas mudanças da economia."
13/05/1991,Debate: rumos da economia,16,Luis Nassif,"O mercado, ele anda um pouco assustado ainda. Já sabia que tinha avaliações antes da queda do ministro, o próprio ministro comentava isso em particular, comentou com várias pessoas que tinha uma situação que não estava boa no ponto de econômico, uma série de bombas de efeito retardado que iriam explodir em um certo momento. Com a mudança da equipe, o que vimos é o seguinte: o novo ministro já entra meio amarrado, amarrado pela situação concreta e amarrado por essa reação inesperada de canonização da ex-ministra, em um processo de psicologia de massa que merecia ser um pouquinho melhor analisado como de um dia para o outro se mudam as opiniões. Esse processo de canonização reflete, no fundo, a imensa canonização contra o governo. Então, o Marcílio entra sendo acusado de ser um defensor do capital estrangeiro, para tentar indispor o Senado no momento em que tem que negociar a dívida externa. Ele entra sendo acusado de, antes de tomar qualquer atitude, antes de ter tempo para tossir, de abrir o país ao capital estrangeiro. O principal trunfo que era apresentado era essa abertura ao capital estrangeiro. É acusado de, a partir de agora, mudar a política econômica, fazer uma política econômica contra os interesses dos trabalhadores, como se um milhão de desempregados fossem a favor de uma política a favor dos interesses dos trabalhadores. Então, dentro desse processo, acho uma questão... o meu papel também é levantar questões como jornalista. Uma questão que eu colocaria para os debatedores é a seguinte: até que ponto, dentro desse descrédito do governo, do novo ministro, desse processo que deixou ele sem fala, inclusive tirando toda a equipe de assessores, até que ponto, com todo diálogo liberal, é possível reverter essa situação sem medidas de impacto?"
13/05/1991,Debate: rumos da economia,17,Jorge Escosteguy,"Antes de abrir o debate eu gostaria que o Marco Antônio Rocha desse a sua opinião, inclusive sobre essa questão levantada pelo Nassif, que de repente a ministra Zélia passou a ser canonizada, quando até deixar o governo isso era o contrário."
