DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
13/11/1989,Décio Pignatari,1,[...],
13/11/1989,Décio Pignatari,2,Jorge Escosteguy,"Boa noite! Estamos começando mais um Roda Viva. Esse programa é transmitido ao vivo pelas TVs Educativas de Porto Alegre, Minas Gerais, Espírito Santo, Mato Grosso do Sul, Bahia e Piauí; TV Cultura de Curitiba e TV Cultura do Pará. É, ainda, retransmitido pela TV Educativa do Ceará. O convidado do Roda Viva desta noite é o professor, poeta e escritor Décio Pignatari. Você, que está em casa e quiser fazer perguntas por telefone, pode chamar 252-6525. 252-6525, que a Carla, a Bernadete e a Ana estarão anotando suas perguntas. Para entrevistar o professor Décio Pignatari esta noite, nós convidamos os seguintes jornalistas: Alberto Helena Júnior, diretor geral da Rádio Gazeta AM/FM; Maria Tereza Sadek, cientista política da Universidade de São Paulo; Gabriel Priolli Neto, diretor de redação da revista Imprensa; Hamilton dos Santos, subeditor do Caderno 2 do jornal O Estado de S. Paulo; Julio Carlos Duarte, editor executivo da revista Leia. Na platéia, assistem ao programa convidados da produção. O escritor, poeta e professor universitário Décio Pignatari é paulista de Jundiaí e tem 62 anos. Foi um dos criadores do movimento da poesia concreta e é apontado como um dos maiores especialistas no estudo e análise dos meios de comunicação de massa, especialmente a televisão. Boa noite, professor!"
13/11/1989,Décio Pignatari,3,Décio Pignatari,Boa noite.
13/11/1989,Décio Pignatari,4,Jorge Escosteguy,"Ontem nós terminamos uma maratona – nós, os telespectadores, e os candidatos–, uma maratona da propaganda político-eleitoral pela televisão. Eu queria que, neste começo de Roda Viva, o senhor nos desse uma rápida análise desses programas. Nós avançamos, sem dúvida, na democracia, mas eu gostaria de saber se nós avançamos também na comunicação com o público, na comunicação com o eleitor para convencê-lo a votar neste ou naquele candidato?"
13/11/1989,Décio Pignatari,5,Décio Pignatari,"Sim, sem dúvida, avançamos. Sem dúvida avançamos, quer dizer, ao contrário do que alguns analistas diziam – e, aliás, continuam dizendo ainda hoje, especialmente na imprensa escrita –, que esse circo era muito chato e que ninguém iria assistir, que isso era uma perda de tempo... Deu-se o contrário, isto é, o horário gratuito do TSE despertou um enorme interesse: todo mundo acompanhando em todas as classes sociais. E, realmente, fazendo a cabeça, decidindo e tendo um papo, assim, mais vivo com os eleitores."
13/11/1989,Décio Pignatari,6,Jorge Escosteguy,"O senhor acha que os candidatos em geral tentaram passar realmente um programa de governo, suas idéias ou fizeram mais uma jogada de marketing, de construção de uma imagem que, de repente, não é aquela que corresponde à realidade?"
13/11/1989,Décio Pignatari,7,Décio Pignatari,"Bem... Eles, como sempre, usam de todos os truques para cativar o eleitor, pegar o voto útil. Mas uma coisa é certa, do ponto de vista de televisão... Televisão é um meio de baixa definição, então a regra primeira é a seguinte: na televisão, quem faz discurso perde, não se sai bem, isto é, você tem que realmente que ter um tipo de conversa mais cool, mais fria, mais direta com o telespectador. E não pode fazer discurso. Então, veja um Ulysses Guimarães, veja outros que só liam o teleprompter... Um desastre completo!"
13/11/1989,Décio Pignatari,8,Jorge Escosteguy,"De repente, talvez esteja aí uma explicação para o sucesso do Enéas, por exemplo, que durante 15 segundos..."
13/11/1989,Décio Pignatari,9,Décio Pignatari,"De fato, sim."
13/11/1989,Décio Pignatari,10,Jorge Escosteguy,"Falou, falou, falou, “meu nome é Enéas” e..."
