DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
05/03/2001,Denise Stoklos,1,Paulo Markun,"Boa noite. Ela defende um teatro que tem o mínimo possível de efeitos especiais e o máximo de teatralidade pura, e foi, justamente, através dessa procura que ela criou um trabalho próprio de muito originalidade, que abriu um dos maiores espaços já conquistados pelo teatro brasileiro no exterior. O Roda Viva entrevista esta noite a diretora, autora, atriz dramática e mímica, Denise Stoklos."
05/03/2001,Denise Stoklos,2,[Comentarista],"Há trinta e dois anos é assim, sozinha no palco, substituindo a fantasia da composição, como ela diz, pela presença viva do ator. É o teatro essencial de Denise Stoklos de palco nu, onde o gesto é a força que critica, questiona e clama por inovação. Denise já criou uma dúzia de peças que ela encenou em mais de 30 países, em sete idiomas. Múltipla de si mesma, levou a sua produção também para o cinema, fotografia, música e literatura. Seus livros reúnem os textos de suas idéias e traçam os horizontes de sua arte. Este espetáculo é o mais recente de Denise Stoklos, Louise Bourgeois: faço, desfaço, refaço, foi gravado em maio de 2000 no teatro Lá Mamma de Nova Iorque e será montado brevemente no Brasil."
05/03/2001,Denise Stoklos,3,Paulo Markun,"Para entrevistar Denise Stoklos, nós convidamos o sociólogo Danilo Miranda, diretor regional do Sesc São Paulo; o jornalista Alberto Guzik, crítico de teatro do programa Metrópolis e do Jornal da Tarde; a jornalista Marici Salomão, colaboradora do Caderno Dois do jornal O Estado de S. Paulo e coordenadora da dramaturgia do CPT, Centro de Pesquisa Teatral do Sesc; a escritora Sônia Régis, doutora em semiótica da literatura e professora da Faculdade de Filosofia e Comunicação da PUC de São Paulo; o ator Pedro Brício da Companhia Teatral do Movimento e o ator Guilherme Weber diretor da Sutil Companhia de Teatro. O Roda Viva é transmitido em rede nacional para todos os estados brasileiros e também para Brasília, e como este programa foi gravado, ele não permite a participação dos telespectadores. Boa noite, Denise."
05/03/2001,Denise Stoklos,4,Denise Stoklos,Boa noite.
05/03/2001,Denise Stoklos,5,Paulo Markun,"No seu livro Teatro essencial há uma definição que acho que poucos atores assinariam em baixo, pelo menos com orgulho. Você diz aqui: “No meu país sou talvez a única atriz que vive exclusivamente de teatro, não faço televisão, publicidade ou cinema, não dou workshop e nem participo de nenhum evento coletivo. Não possuo nenhuma outra fonte de renda, nunca recebi patrocínio para montagem dos meus trabalhos, o único patrocínio que eu tenho é o do público”, diz você. Mais do que uma afirmação, digamos, de um compromisso, ou de um projeto de vida, tem algum tipo de insatisfação nessa declaração?"
05/03/2001,Denise Stoklos,6,Denise Stoklos,"Não, não, inclusive, quanto à última parte, a questão dos patrocínios, como esse livro foi escrito em 1987, muita coisa aconteceu a esse favor."
05/03/2001,Denise Stoklos,7,Paulo Markun,Pelo menos patrocínio você já teve?
05/03/2001,Denise Stoklos,8,Denise Stoklos,"Com certeza, muito bem vindo, inclusive do Sesc. Sem o Sesc eu não trabalharia neste país, que tem me apoiado desde o meu retorno de Londres quando eu comecei o meu trabalho solo aqui e tem sido meu constante parceiro em todos os trabalhos."
05/03/2001,Denise Stoklos,9,Paulo Markun,Mas você mantém a coisa do trabalho solitário?
05/03/2001,Denise Stoklos,10,Denise Stoklos,"Sim, e essa questão da televisão, eu gostaria, se possível, nunca precisar fazer televisão especialmente nos moldes em que a televisão comercial é feita. Tenho planos, projetos, idéias, vontades de fazer televisões que não trabalhem com esse tipo de padrão comercial. Tanto na TV Cultura como nessas TVs abertas, que têm o mínimo de público possível, onde haja mais liberdade de um formato."
