DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
13/12/2004,Dilma Rousseff,1,Paulo Markun,"Boa noite. O governo coloca em prática as novas regras do setor elétrico brasileiro: é o plano do governo Lula de ampliar e garantir o fornecimento de eletricidade no país sem riscos de racionamento e de apagão. O setor é de máxima importância para o desenvolvimento e precisa andar na frente da economia, senão a economia não anda. Para discutir o novo modelo do setor elétrico, o que muda para os consumidores, o futuro e as alternativas de energia no Brasil, o RodaViva entrevista esta noite a economista Dilma Rousseff, ministra de Minas e Energia."
13/12/2004,Dilma Rousseff,2,[Comentarista],"Dilma Rousseff foi um dos primeiros nomes anunciados para o ministério do presidente eleito Lula. Economista com doutorado em teoria econômica, com passado ligado à militância de esquerda e à luta armada nos anos 60, ela foi secretária de Energia no Rio Grande do Sul, em 1993 e depois em 99. Viveu de perto o racionamento de eletricidade que atormentou o Rio Grande do Sul, na época, por mais de um mês. Assumiu o Ministério de Minas e Energia com a tarefa de implantar políticas novas para o setor energético que ela, também, ajudou o governo Lula a formular. Uma mudança importante começa a ser colocada na prática. Na semana passada foi realizado em São Paulo o mega leilão de energia elétrica, o primeiro passo para implantação do novo modelo do setor. Empresas geradoras e distribuidoras fecharam contratos de compra e venda de grande parte do estoque de energia disponível para os próximos dez anos. Os resultados vão determinar os novos rumos do setor elétrico influenciando os investidores e alterando as tarifas pagas pelos consumidores de eletricidade. A busca de combustíveis alternativos também faz parte das novas políticas que estão sendo adotadas agora pelo governo. A comercialização do biodiesel está autorizada e vale a partir do ano que vem. Ônibus e caminhões poderão trafegar com uma mistura de 2% de óleo vegetal no óleo diesel mineral. O biocombustível extraído da soja ou da mamona deve alterar a matriz energética brasileira, diminuindo a emissão de poluentes e a dependência do petróleo. Mas é no setor elétrico que o governo faz a principal aposta agora. Existem incertezas quanto à oferta de eletricidade na próxima década e o modelo colocado busca retomar planejamentos de longo prazo, organizando demanda e oferta da energia elétrica disponível agora e da energia que será produzida proximamente pelas novas usinas hidrelétricas previstas."
13/12/2004,Dilma Rousseff,3,Paulo Markun,"Para entrevistar a ministra de Minas e Energia, nós convidamos Paulo Ludmer, diretor-executivo da Associação Brasileira dos Grandes Consumidores Industriais de Energia, a Abrace; Cláudio Sales; diretor-presidente da Câmara Brasileira de Investidores em Energia Elétrica; Leila Coimbra, repórter do jornal Valor Econômico; Eugênio Meloni, repórter da área de energia da Agência Estado; Oldon Machado, subeditor do portal canalenergia.com.br; Luís Nassif, comentarista de economia da TV Cultura. Em nossa platéia, aqui no estúdio, acompanham a entrevista os seguintes convidados: Renan Tadeu Pires da Silva, da Enerpeixe que reúne Furnas e Energia de Portugal, Eduardo Monteiro, diretor-executivo na Câmara Brasileira de Investidores em Energia Elétrica, Olga Curado, jornalista e diretora da Curado e Associados Consultores, Rodrigo Ferreira, diretor-executivo do portal Canal Energia, Merchede Alcântara de Carvalho, advogado da empresa Furnas Centrais Elétricas, Camila Curado, estudante do colégio Dante Alighieri, Pedro Palatinic, coordenador da força-tarefa sobre agência reguladora da Câmara Americana de Comércio, Deny Tenenblat, gerente do Canal Energia, José Renato Hilst Izar, gerente de otimização energética da Votorantin Energia, José Saide de Brito da Excelência Energética Consultoria, Théo Araújo estudante da Fundação Getúlio Vargas de São Paulo e Gisele Morais, da Associação Brasileira dos Grande Consumidores Industriais de Energia. Ministra, durante a próxima uma hora e meia vamos falar de um assunto importante e, inclusive complicado, mas eu queria começar obrigatoriamente por uma questão que está na ordem do dia, que a senhora, como membro do governo Lula e ex-militante de esquerda na década de 60, certamente tem uma opinião a respeito. O Fantástico de ontem registrou a queima de documentos confidenciais e secretos numa base da Aeronáutica na Bahia, como é que a senhora encara esse episódio no momento que a gente está vivendo?"
13/12/2004,Dilma Rousseff,4,Dilma Rousseff,"Primeiro, eu queria cumprimentar os telespectadores e dizer meu muito boa noite e de como é importante esta oportunidade de fazer um debate amplo sobre o setor elétrico. Eu considero que a década de 70, no Brasil, foi um momento muito difícil da vida brasileira, quem não viveu aquele momento em que qualquer atividade era considerada subversiva e o mais elementar valor democrático não era preservado, não consegue perceber o que foi aquele momento para milhões de jovens brasileiros, que não tiveram oportunidade do debate e para centenas que morreram. Eu acredito que é de todo oportuno um processo pelo qual se tem acesso àqueles registros, acredito que esse processo tem que ser um processo prudente, correto, sem sensacionalismo, mas que tem que ser abertos os arquivos, eu defendo isso, eu lamento que eventualmente se tenha perdido, queimado, ou qualquer outro procedimento em relação àquilo, eu acho que é também um momento da história brasileira. E hoje, já com a distância necessária para gente fazer avaliação dos momentos históricos, ou seja, sem grandes paixões, mas eu acho com a certeza que eventos como aquele, aquele processo de ditadura, perseguição, torturas e as mortes, não podem se repetir, então, iluminá-los é algo que eu acredito bom para a democracia brasileira."
13/12/2004,Dilma Rousseff,5,Paulo Markun,"Muito bem. Ministra, em relação ao leilão, mega leilão de energia, da chamada energia velha que é uma coisa que eu gostaria que a senhora inclusive explicasse, porque eu acho que o grande público ignora a diferença de energia velha e nova, para a gente toda energia é nova, chega em casa, liga a geladeira, faz a televisão funcionar, faz o ferro elétrico esquentar, energia é energia, se é velha se é nova pouco importa para o consumidor. A senhora classificou repetidas vezes esse leilão como um sucesso, muito embora ele não tenha alcançado os preços que estavam estimados, não tenha alcançado o valor, o volume total de venda que tinha estabelecido e nem mesmo todas as empresas participaram ativamente do leilão. Queria que a senhora explicasse por que a senhora acha que foi um sucesso essa iniciativa e principalmente o que era essa história de leilão, de energia velha, porque senão, vamos estar num debate aqui, temos muitos especialistas na bancada, vamos falar de uma coisa que ninguém vai saber do que é."
13/12/2004,Dilma Rousseff,6,Dilma Rousseff,"Bom eu acho que é simples, a energia que se chama velha na verdade é a existente, o correto seria a gente chamá-la de energia existente. O que é energia nova? É aquela que ainda não existe, aquela que vai ser objeto de investimento e daí, há um prazo de maturação que pode ser de três a cinco anos, ela vai passar a existir. Então, uma é um projeto que já deixou de ser projeto e passou a ser realidade, energia existente, existe, é usina trabalhando, usina funcionando e fornecendo a energia na casa do telespectador. A energia que você recebe na sua casa, é a energia que existe. A outra energia é aquela que nós gostaríamos e iremos fazer o possível para que ela seja objeto de um investimento e que ela produza no futuro, através da construção de uma planta, ou de hidrelétrica, ou de termelétrica, ou de uma planta que vai queimar a biomassa, que se produza energia no futuro. Então, nós separamos dois leilões, nós tratamos estes dois leilões de forma diferenciada, porque entendíamos que se tratam de coisas distintas, algo que existe e algo que ainda não existe. Qual foi o objetivo disso? O primeiro objetivo é que nós nos deparamos, ao chegarmos no Ministério, com uma sobra de energia muito grande, ou seja, o país passava por um processo muito estranho, em 2001, 2002, ele sofreu um racionamento de quase 20% do consumo de energia durante oito a nove meses. Este momento, era o seguinte, o que acontecia? Não havia energia suficiente, não havia portanto oferta de energia suficiente para abastecer as indústrias, os lares, as famílias, enfim, o comércio. Essa falta de energia a gente chama de... havia uma escassez de energia, o racionamento provoca o quê? Uma contração do consumo, ele reduz o consumo, ao mesmo tempo os projetos que estavam atrasados começaram a entrar. O consumidor absorveu práticas de consumo de energia mais racionais, mais eficientes, então nós tivemos um outro efeito, como se fosse um pêndulo, nós saímos do momento em que havia escassez, para um momento que havia sobre-oferta e isso evidenciava o absoluto desequilíbrio que o setor elétrico vivia. Ao mesmo tempo as tarifas estavam tendo um processo de crescimento muito acelerado, este crescimento acelerado das tarifas não era suficiente, não foi suficiente para sinalizar investimentos porque enquanto as tarifas cresciam não havia contrato, ninguém contratava energia, este contrato teria de ser dado pelas distribuidoras, então o que nós resolvemos fazer? Nós resolvemos modificar a forma como o setor elétrico estava funcionando. Primeiro, nós gostaríamos que o setor elétrico funcionasse na geração de maneira competitiva, não iríamos mais concordar com processos de contratação de energia dentro do mesmo grupo econômico porque as tarifas cresciam muito, inclusive de forma descontrolada. Ou seja, uma distribuidora do mesmo grupo econômico de uma geradora privada ou pública, este era um critério que era legal, tinha direito de comprar 30% de toda sua energia do seu grupo e repassar a um valor que se chamava normativo, que era um preço teto e ainda tinha um bônus de mais um aumento de 11,5% na tarifa. Isso de um lado, de outro lado havia um processo de leilão em que quem ganhava o direito de construir uma nova planta é quem pagasse mais por ela, em alguns casos. E isso levou a quê? Ao custo marginal da expansão, ou seja, o que o investidor considera uma remuneração correta para ele construir uma usina, foi somado algo em torno de dez dólares, ou seja trinta reais! Então, nós tínhamos uma situação de explosão tarifária, ao mesmo tempo o investidor não tinha um contrato de longo prazo, ele ganhava o leilão, ele não tinha um contrato de 25 anos de compra da sua energia. Ele não tinha como financiar a sua energia, ele não tinha licença prévia, então, ele ia buscar a licença prévia. Ele não tinha previamente ao leilão a licença prévia. Tudo isso era um tumulto! O que nós resolvemos fazer? Nós resolvemos contratar: primeiro, assegurar que para expansão haveria um contrato de 25 anos, contrato de longo prazo; segundo, que toda energia seria licitada, ou seja, que o leilão de energia seria generalizado, quem quisesse vender energia para o consumidor que está me escutando na sua casa, teria de vender através de um processo público, transparente e no qual todos os participantes tivessem os mesmos direitos, ou seja, mesmo sendo do mesmo grupo econômico, uma geradora não podia vender para distribuidora, a não ser em leilão. Isso significaria para nós, do nosso ponto de vista, que através da competição entre os diferentes agentes a gente conseguiria a tarifa mais competitiva possível, a mais correta possível do ponto de vista daquele empreendimento e daquele agente. Ao mesmo tempo, nós consideramos que uma das maiores questões que a gente estava enfrentando, era a crise nos agentes, crise financeira forte nos agentes, primeiro nas distribuidoras, que foi muito forte. Quando eu subi as distribuidoras estavam com processo financeiro bastante preocupante. Seja porque tinha havido uma redução do próprio mercado das distribuidoras, seja porque elas tinham enfrentado crises cambiais sucessivas, mas as geradoras tinham uma situação tão ou mais grave que das distribuidoras, quais sejam? Elas estavam descontratadas, elas tinham energia e não tinha para quem vender. Qual era a opção? Das geradoras que estavam descontratadas? Em torno de sete mil megawatts no início de 2003, talvez um pouco mais, mas vamos ser conservadores, sete mil megawatts. Qual era a alternativa? Ir ao mercado atacadista de energia, naquele momento, o MAE, hoje que chama CCEE, Câmara de Comercialização de Energia Elétrica, e vender aquela energia a 18 reais. Então, o que aconteceu? Aconteceu que muitas geradoras, privadas e públicas tiveram muitos prejuízos. E algumas, inclusive, no início de 2003 diminuíram o ritmo de investimento. O que nós achamos oportuno? Vamos recontratar essa energia. Como a gente não pode criar demanda irreal, artificial, como é que nós resolvemos contratar? Nós dividimos em três produtos, contratamos então o primeiro produto de 2005 até 2012, o segundo produto de 2006 até 2013, um terceiro produto de 2007 até 2014. Com isso o que a gente queria dar? É impossível você contratar tudo em 2007. Por quê? Porque sobra energia em 2007. Mas é possível sinalizar para as distribuidoras um horizonte de contratação, elas vão ter um fluxo de caixa, elas vão ter a possibilidade ao ter o contrato, de ter recebíveis, a situação delas deixa de ser dramática. E até 2007 a oferta é maior que a demanda. A partir de 2007, nós separamos outros dois produtos, 2008 e 2009, onde você não vai contratar apenas energia existente, uma parte de 2008, vai ser atendido pelo que nós chamamos de energia nova e 2009, uma parte muito grande, 2008, pode ser atendido talvez, pelo que nós chamamos de botox. O que é energia botox? Para o consumidor, para o telespectador, para gente, vamos dizer, nivelar os conceitos. O botox é uma imagem, ele reflete o seguinte, a crise era tão grande no setor de geração que no início de 2000 teve energia sendo comercializada sem contrato de longo prazo. Então, ficava pronto aquele projeto e ninguém comprava. Então, muitos geradores tinham energia disponível para comercialização em 2000, tinham conseguido vender por dois anos, tinham conseguido vender por um ano, tinham conseguido vender por três anos, mas contrato de longo prazo, de 20, 25 anos não tinha. Essa energia que existe, ela é recente, ela é uma energia que se poderia chamar de velha que recebeu uma injeção de botox que é descontratação, que é o fato dela não ter sido comercializada, ela vai ser contratada agora dentro de outras regras, tanto como energia nova, nós vamos tratar essa energia existente como se ela não fosse a energia velha. E por isso pode ser separado: uma parte de 2008, energia existente e outra parte de energia nova. São eventos diferentes."
13/12/2004,Dilma Rousseff,7,Luís Nassif,"Ministra, o Brasil sempre teve uma posição competitiva na parte de energia elétrica em função dessa energia velha, hidrelétrica já depreciada e tudo mais, com a entrada dessa energia velha sendo convertida em energia nova, por outro lado, também o fato de ter energia barata, impedir capitalização com a energia velha e entrada em vigor de novos contratos, dependendo do ano, você tem uma oferta maior, você tem um preço mais baixo por 25 anos, outro ano você pode ter um movimento de escassez e esse preço fica alto, por muito tempo também. No resultado final, qual é a sua visão sobre a tarifa média no Brasil em comparação com outros países do mesmo porte?"
13/12/2004,Dilma Rousseff,8,Dilma Rousseff,"Nassif, do ponto de vista de um país dominantemente hidrelétrico, nós teríamos de ser mais competitivos do que éramos no passado recente. Por quê? Porque os países majoritariamente desenvolvidos são países térmicos, a tarifa térmica, no mundo inteiro, é uma tarifa mais cara. A tarifa dos empreendimentos hídricos é relativamente uma tarifa mais barata em relação às outras fontes: térmica, gás, carvão, nuclear e alternativas em geral. A hídrica é mais barata. Então o Brasil sempre teve uma grande competitividade, o que aconteceu? Com o modelo anterior você teve o pior dos dois mundos, você não teve segurança de abastecimento, garantia de abastecimento e a tarifa explodiu, isso aconteceu também em outros países do mundo em que uma certa regulamentação desordenada levou a esse fenômeno, apesar de a tarifa ser crescente e elevada, você tinha desabastecimento, você não garantia oferta, nós acreditamos que é importante perceber que há essa, esse balanço entre tarifa mais baixa ou modicidade tarifária e segurança de abastecimento, nós não achamos que a tarifa tenha de ser uma tarifa que não remunere o investimento. O que nós achamos é que a tarifa tem de ser a mais baixa possível, ou seja, dada a situação em que você vive, dada a sua matriz energética, dada a relação oferta demanda de energia, dadas as regras claras de mercado, você tem de buscar tarifa mais competitiva. No Brasil, ela pode e deve ser um fator de crescimento econômico, de viabilização da competitividade nacional."
13/12/2004,Dilma Rousseff,9,Luís Nassif,A tributação não distorce tudo isso não?
13/12/2004,Dilma Rousseff,10,Dilma Rousseff,Como?
