DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
23/12/1991,Dom Luciano Mendes de Almeida,1,[...],
23/12/1991,Dom Luciano Mendes de Almeida,2,Jorge Escosteguy,"Boa Noite. Hoje, antevéspera do Natal, nós vamos discutir um pouco, aqui no Roda Viva, pela TV Cultura, os caminhos da Igreja Católica: a crise das chamadas vocações sacerdotais e o objetivo de boa parte do clero de se aproximar cada vez mais dos mais pobres e dos despossuídos. No centro do Roda Viva esta noite, está Dom Luciano Mendes de Almeida, presidente da Conferência Nacional dos Bispos do Brasil. Lembramos que o Roda Viva também é transmitido ao vivo pela TV Minas Cultural e Educativa; TVE do Ceará; TV Cultura do Pará; TVE do Piauí; TVE da Bahia; TVE de Porto Alegre e TVE do Mato Grosso do Sul. Dom Luciano Pedro Mendes de Almeida tem 61 anos. Ele nasceu no Rio de Janeiro; foi o primeiro jesuíta brasileiro a ser sagrado bispo e a trabalhar numa diocese; foi nomeado bispo auxiliar de São Paulo em 1976; eleito secretário-geral da Conferência Nacional dos Bispos do Brasil em 1979; foi nomeado pelo Papa arcebispo de Mariana (MG) em 1988; eleito presidente da CNBB um ano antes. Em fevereiro de 1990, sofreu um grave acidente entre Mariana e Belo Horizonte. Foi reeleito, em abril de 1991, presidente da CNBB. Para entrevistar Dom Luciano esta noite no Roda Viva nós convidamos Walter Falceta Jr., repórter do jornal O Estado de S. Paulo; Dermi Azevedo, jornalista; padre Antônio Aparecido Pereira, editor-chefe do jornal O São Paulo; Lina de Albuquerque, subeditora de sociedade da revista IstoÉ Senhor; Oliviero Pluviano, correspondente da agência italiana de notícias ANSA, no Brasil; Carlos Tramontina, editor-chefe e apresentador do telejornal Bom Dia São Paulo, da TV Globo; e Pedro Del Picchia, jornalista e colaborador da Folha de S.Paulo. Boa noite, Dom Luciano."
23/12/1991,Dom Luciano Mendes de Almeida,3,Dom Luciano Mendes de Almeida,Boa noite.
23/12/1991,Dom Luciano Mendes de Almeida,4,Jorge Escosteguy,"Eu tenho aqui em mãos a Veja desta semana, que sai com a capa falando sobre “A decadência do catolicismo no Brasil”. Diz ela que, depois de se distanciar dos pobres, a Igreja Católica está perdendo a classe média. Gostaria que o senhor nos dissesse, nesta antevéspera do Natal, o que está acontecendo com a Igreja Católica."
23/12/1991,Dom Luciano Mendes de Almeida,5,Dom Luciano Mendes de Almeida,"A Igreja Católica está a serviço de uma população hoje sofrida, e a Igreja sofre com esse povo. Se há perdas ou ganhos, é muito difícil de avaliar. No momento, o que se requer é a solidariedade, ficar perto, ficar junto, procurar caminhos de solução e anunciar a esperança. Todos aqueles que aceitarem essa verdadeira, assim, palavra de afeto e de esperança, eu creio que de algum modo estão relacionados com a Igreja Católica, porque a grande palavra do Cristo é a vida. E essa vida, nós gostaríamos que ela de novo acontecesse nesse povo que nós amamos. Agora, quantos praticam, não praticam, é muito difícil eu saber. Mas como eu lhes digo, o importante para a Igreja é servir, e nós estamos aí com essa grande vontade de servir."
23/12/1991,Dom Luciano Mendes de Almeida,6,Jorge Escosteguy,"Agora, quanto às vocações sacerdotais, Dom Luciano, o próprio Papa, inclusive, quando esteve no Brasil, se não me engano, em uma de suas intervenções públicas, ele reclamou, se queixou um pouco da falta de padres na Igreja."
23/12/1991,Dom Luciano Mendes de Almeida,7,Dom Luciano Mendes de Almeida,"Sim, veja, é claro, há uma falta enquanto que, sendo numerosos os fiéis, para que eles sejam melhor atendidos, é claro que seria muito bom que nós tivéssemos o maior número de padres. Mas há dois elementos que não podem deixar de estar presentes nessa reflexão. O primeiro é que uma comunidade se constitui viva, forte, atuante, também com outros membros, que não são apenas os padres e os sacerdotes, mas são aqueles que nós chamamos de servidores, ministros, que estão aí atuando, por exemplo, a serviço dos doentes, das crianças, dos casais. E todos eles formam esse grupo de serviço pastoral, de modo que o padre é importante, mas não é só ele que atua na comunidade. Por outro lado, eu estou chegando justamente de Roma. Estive com o Papa ao meio-dia de sexta-feira, e um dos assuntos de que nós tratamos foi esse do aumento das vocações sacerdotais no Brasil, aumento que, ainda hoje, nós podemos perceber. Mesmo agora em Mariana, temos dez ordenações, que é um número bastante elevado para uma diocese que, afinal, é modesta. Mas são muitas que estão pedindo para entrar no seminário. Agora, estamos com três seminários em uma só diocese, de modo que acredito que é importante percebermos que existe uma falta, mas o que vem acontecendo é um conceito de Igreja servidora com muitos tipos de serviços e de ministérios, entre os quais, é claro, o ministério ordenado, que nós chamamos de sacerdote. Mas esse também vai melhorando, tanto que, em relação ao mundo, creio que o Brasil hoje tem uma palavra a dizer em nível de serviço, e serviço missionário. Há poucos dias, três ou quatro dias, foram enviados para a África, para a Ásia, 31 brasileiros e brasileiras que querem servir, em nome do Brasil, a populações mais necessitadas."
23/12/1991,Dom Luciano Mendes de Almeida,8,Jorge Escosteguy,O senhor disse que esteve com o Papa. O que o senhor conversou com o Papa? Conversar com o Papa é uma coisa muito importante. Quais são as preocupações do Papa?
23/12/1991,Dom Luciano Mendes de Almeida,9,Dom Luciano Mendes de Almeida,"A razão dessa visita ao Papa foi, eu diria, antes do Natal, em nome do nosso povo, representando também a presidência da Conferência Nacional dos Bispos do Brasil, ir agradecer ao Papa e dizer: “Santidade, muito obrigado pela visita apostólica que fez ao Brasil”. Nós já tínhamos escrito, inclusive em nome de todos os bispos que se reuniram no final do mês de novembro; o Santo Padre nos respondeu, mas cabia um agradecimento pessoal, e eu fui levar isso, essa palavra de gratidão, justamente ao meio-dia de sexta-feira, portanto há poucos dias. O Santo Padre me recebeu com grande alegria, dizendo assim: “Acabo de estar com o presidente do Brasil, e agora o senhor vem aqui agradecer. E disse-me o presidente do Brasil – o Santo Padre me afirmava – que há necessidade e vontade de reformas para que o Brasil possa responder à expectativa de um povo que é muito bom”. Aí, tomando a palavra, eu disse: “Esse povo é muito bom”. Eu disse: “Santidade, o senhor ficou satisfeito com a visita ao Brasil?”. Ele disse: “Fiquei muito contente, porque esse povo é muito bom!”. E eu fiquei feliz, porque ele falava em português, as expressões ele que as escolhias, e ele trazia do Brasil essa impressão de um povo que estava aí sedento da palavra de Deus, acolhendo a pessoa do Papa com grande afeto. E pelo que ele percebeu também, desejosa essa multidão de caminhar em demanda de um nível de vida que responda aos filhos de Deus. Quer dizer, que esteja impregnado desses valores do Evangelho."
23/12/1991,Dom Luciano Mendes de Almeida,10,Pedro Del Picchia,"A propósito da visita do Papa, Dom Luciano, eu tive a oportunidade de acompanhar as duas viagens pela Folha de S.Paulo, e todo mundo viu pela televisão o impacto e os efeitos das duas viagens. E uma diferença muito grande: em 1980, foi uma mobilização gigantesca em todos os lugares por onde o Papa passou, e dessa vez, em todas as manifestações, os cultos, os atos religiosos, as intervenções com movimentos sociais etc, sempre se ficou aquém da expectativa, desde o Congresso Eucarístico em Natal, a missa em Brasília e assim por diante. A que fato o senhor atribui, não digamos esse fracasso, mas essa falta do mesmo impacto da visita anterior, nessa visita de João Paulo II ao Brasil?"
