DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
02/09/2002,Elza Soares,1,Paulo Markun,"Boa noite. Cada vez que o samba mandou chamar, ela veio. Ultimamente, nem tem sido o samba propriamente dito que tem chamado, mas o prazer pela música. Ela, que num determinado momento cantou para não enlouquecer, hoje só quer viver para cantar, com a garganta e a voz que só ela tem. Elza Soares, apelidos: guerreira, abelha rainha, gata de sete fôlegos, dura na queda. O Roda Viva mandou chamar e ela veio."
02/09/2002,Elza Soares,2,[Comentarista],"Elza Conceição Soares, filha de mãe lavadeira e pai operário, nascida em favela e quase menina de rua, foi mãe aos 12 anos de idade e viúva aos 21 anos com quatro filhos. Por causa da doença de um deles, foi tentar ganhar dinheiro cantando; voz ela já tinha desde menina, quando subia o morro cantando, reclamando de ter que carregar água. Voz rouca e rasgada. Voz malandra, sincopada. Aos 20 anos, virou crooner de orquestra, fazia temporada na Argentina, cantava na Rádio Mauá, na Rádio Tupi, em boates de Copacabana, até que veio o primeiro disco, em 1960, sucesso imediato e não por acaso. Madrinha da seleção brasileira em 1962, Elza foi ao Chile ver o Brasil jogar na Copa do Mundo. Lá, ela conheceu e impressionou Louis Armstrong. Só não foi para os Estados Unidos com ele, porque conheceu e se impressionou com Garrincha. Apaixonada, voltou ao Brasil e casou com o grande ídolo, com quem viveu uma história de paixão e drama, como quase tudo em sua vida. Aqueles momentos felizes se foram e a história da menina pobre que virou estrela ficou marcada por uma vida tumultuada de altos e baixos, de ganhos e perdas. Perdeu maridos, filhos, amargou a falta de dinheiro e de trabalho. Ela, que tinha tamanha discografia, que cantou todos os mestres da música popular brasileira, passou quase dez anos sem gravar. Rodou pelos Estados Unidos e pela Europa, só reaparecendo em 1984 num CD de Caetano Veloso. Voltando aos poucos, retornando ao Rio de janeiro em 1994 com novas gravações, novo CDs e um livro com sua história, parte da história de Garrincha, Estrela solitária. Cantando para não enlouquecer, foi mais que um título, foi a fórmula de sobrevivência que, a cada tombo, inclusive um no palco com fraturas, levou Elza Soares a compensar os desaforos da vida e a ressurgir. Uma história de ressurgimentos e de recomeços, como agora no novo CD, Do cóccix até o pescoço, que ela fez com José Miguel Wisnik. Moderna, com diversidade de repertório, a mulata assanhada reaparece, forte e lírica, com feridas curadas e com direito a cantar tudo que quiser."
02/09/2002,Elza Soares,3,Paulo Markun,"Para entrevistar Elza Soares, nós convidamos Tárik de Souza, crítico de música do Jornal do Brasil; João Pimentel, crítico de música do jornal O Globo; Regina Porto, radialista, editora e musicista; Lia Machado Alvim, produtora e diretora dos programas Faixa livre, Instrumental BR e Todos os sons, da Rádio Cultura AM; Luís Caversan, repórter especial do jornal Folha de S. Paulo; Washington Olivetto, presidente e diretor de criação da W/Brasil e Zuza Homem de Mello, crítico de música. Roda Viva é transmitido em rede nacional para todos os estados brasileiros e também para Brasília. Se você quiser participar do programa, fazer sua pergunta ou observação, pode usar nosso telefone, que é (011) 252-6525. Nosso fax é o 3874-3454 aqui em São Paulo, código da cidade é 11. O endereço do programa na internet é rodaviva@tvcultura.com.br"
02/09/2002,Elza Soares,4,Paulo Markun,"Boa noite, Elza."
02/09/2002,Elza Soares,5,Elza Soares,Boa noite.
02/09/2002,Elza Soares,6,Paulo Markun,"Queria começar pelo começo, não é muita novidade. Como é que a música entrou na sua vida? Eu sei que você já contou esta história algumas vezes, mas vamos começar por isso."
02/09/2002,Elza Soares,7,Elza Soares,"Pois é, eu acho que eu já nasci música. Eu acho que eu chorava cantando e meu pai era músico, tocava violão e tinha o maior prazer de dizer para as pessoas que tinha uma filha que cantava, isso quando eu era pequenininha. Quando eu levei o negócio a sério, meu pai disse: “Não, cantar não”. Mas eu nasci cantando, se eu não cantasse, eu morreria, eu já disse várias vezes “cantar ainda é remédio bom”, e cantando para não enlouquecer."
02/09/2002,Elza Soares,8,Paulo Markun,"E você canta fora do expediente, digamos assim?"
02/09/2002,Elza Soares,9,Elza Soares,"Não, não me peguei cantando ainda não."
02/09/2002,Elza Soares,10,Paulo Markun,E você canta quando vai trabalhar ou em casa se pega cantando?
