|DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
0|04/02/2002|Especial Violência|1|[programa gravado, não permite a participação dos telespectadores]|
1|04/02/2002|Especial Violência|2|Paulo Markun|" Boa noite. A segurança, uma preocupação antiga, tornou-se prioridade absoluta na lista de problemas da nossa vida comunitária. O Roda Viva tem discutido a questão da segurança e da criminalidade. É um tema recorrente, alimentado pela banalização do crime. Fica claro que o conteúdo das discussões permanece o mesmo e que as dificuldades e a ansiedade por soluções também são as mesmas. Os governos estaduais e o governo federal discutem agora novas ações contra a criminalidade, e esse será o tema no nosso próximo encontro, dia 25, com a presença do ministro da Justiça, Aloísio Nunes Ferreira, que está coordenando essas ações. Hoje o Roda Viva reúne dois momentos importantes nesse debate, idéias, modelos e experiências que foram apresentados aqui e que ajudam na compreensão dos problemas e na discussão em torno de políticas de segurança pública. São dois programas: um com o criminalista George Kelling, que ajudou a reformular o plano de segurança em grande cidades americanas; e outro com o antropólogo Luiz Eduardo Soares, também um estudioso da criminalidade, autor do projeto de reformulação da segurança pública no Rio de Janeiro. George Kelling, há mais de 30 anos, participa de experiências com o policiamento preventivo em cidades como San Diego, Boston e Nova Iorque. É um dos autores da Teoria da Janela Quebrada, e do livro Consertando janelas quebradas. Ele diz que se um prédio tem uma janela quebrada, é melhor consertá-la logo, antes que um vândalo quebre todas as outras. É a idéia básica que tem orientado programas de segurança pública nos Estados Unidos, onde o controle das pequenas infrações tem ajudado a prevenir crimes mais graves. Nesse primeiro bloco, reunimos trechos da entrevista com George Kelling, onde ele fala das parcerias entre comunidade e polícia, da relação entre pequenos delitos e crimes graves e onde quebra um pouco o mito criado em torno do chamado plano de ""tolerância zero"". "
2|04/02/2002|Especial Violência|3|George Kelling|" Eu jamais escrevi a expressão ""tolerância zero"". Eu acho que ela simplifica demais uma questão muito complexa. O que eu defendo e discuti com James Wilson , no início dos anos 1980, e depois o coloquei no livro, é que o argumento é uma metáfora. Assim como uma janela que é deixada quebrada é sinal de que ninguém se importa e acaba levando a outros danos, determinados comportamentos, se ignorados, são sinais de que ninguém se importa, e acabam levando a crimes mais graves e à decadência urbana. O que eu vi e o que eu escrevi é sobre a polícia dentro das comunidades, desenvolvendo conceitos sobre um comportamento adequado e trabalhando com os cidadãos para reforçar o sentido comunitário. Tudo isso, claro, dentro da lei. Não sei de onde vem a expressão ""tolerância zero"", mas ela mostra um excesso de zelo e dá a impressão de que a polícia não tem poder discricionário . A polícia tem poder discricionário, e esperamos que ela a use com sabedoria. O que se perde na expressão ""tolerância zero"" é que a ênfase na tolerância se concentra na polícia, e não nos cidadãos. Por isso, eu sou contra a expressão ""tolerância zero"". Eu a usei livremente nos EUA, dizendo que a extrema esquerda gosta da ""tolerância zero"" porque eles se sentem como fascistas, e a extrema direita gosta da ""tolerância zero"" porque é um instrumento de controle total. O que eu digo é que não é nenhuma das duas coisas. O que queremos é uma solução de centro, buscando um consenso sobre um comportamento adequado. Polícia e cidadãos devem trabalhar juntos para fortalecer esse consenso."
3|04/02/2002|Especial Violência|4|Paulo Markun|" O senhor mencionou o fato de que considera a política de mais carros na rua inadequada, uma política não correta do ponto de vista da segurança pública. E menciono isso, porque essa é outra questão que, volta e meia, aparece aqui no Brasil. São duas expressões freqüentes: a primeira é ""lugar de bandido é na cadeia"" - como se fosse possível haver outro lugar para bandido - e, de outro lado, ""é preciso botar a polícia na rua"". E quando se fala em polícia na rua, pensa-se em mais viaturas, mais armamento, mais condições para a polícia, até porque as próprias autoridades dizem que os bandidos andam com carro de último tipo, e os policiais, com carros arrebentados. Eu queria que o senhor explicasse esse conceito."
4|04/02/2002|Especial Violência|5|George Kelling| Em primeiro lugar, quero fazer uma introdução. Toda a minha experiência é baseada no cenário dos EUA. Então, não tenho receitas para a situação no Brasil. A razão pela qual eu critico o uso de viaturas é que, nos EUA, criou-se a idéia de que patrulhar em viaturas e responder rapidamente aos chamados resolveria o problema dos crimes. Isso não deu certo. Você pode aumentar ou diminuir o número de viaturas e ninguém perceberá a diferença. Os criminosos não perceberão, os cidadãos também não. Não fará diferença. Como conseqüência, nos EUA, começamos a nos focar em a polícia usar viaturas, sim, mas como um meio de transporte ou para perseguições, caso seja necessário. O trabalho policial é feito fora das viaturas. Ele acontece no contato com os cidadãos, desenvolvendo um consenso sobre os problemas, tentando defini-los e resolvê-los. A polícia, na viatura, perde o contato com a comunidade e passa a ser vista como uma força estranha, impondo a ordem e a lei de fora para dentro, em vez de trazer isso de dentro da comunidade.
5|04/02/2002|Especial Violência|6|George Kelling|" Pediram-me, em 1989, por causa do livro , para ajudar a restaurar a ordem no metrô. Todos, na época, sabiam qual era o problema. Havia os desabrigados - os jornais sabiam disso, a polícia sabia - e também havia os roubos. Se você fosse ao metrô ver o que acontecia, não havia desabrigados e não havia roubos. Havia uma série de pequenos delitos, 250 mil pessoas por dia não pagavam passagem. E a polícia não fazia nada a respeito. Havia uma ausência de lei no metrô que dava a impressão de que o metrô era o pior exemplo do que acontecia nos EUA. E a polícia não queria envolver-se em crimes pequenos. Finalmente, trouxeram Bratton  de Boston, e ele restaurou a ordem. Em dois anos, os crimes no metrô caíram 80%. O número de passageiros aumentou, e havia uma sensação diferente no metrô. Era antigo, não era um sistema moderno, mas a sensação era outra. E depois essa política foi implantada em Nova Iorque. Mas, para mim, o princípio envolvido foi o de que a polícia leva a sério as coisas que mais incomodam os cidadãos. O que descobrimos nos EUA é que você pode ir para as áreas mais problemáticas em Chicago, New Haven, Nova Iorque, Nova Jérsei, Nova Orleans - as cidades mais complicadas dos EUA - e perguntar aos moradores quais são os problemas. Eles dirão: ""Embriaguez e venda de drogas em parques; prostitutas abordando os homens diante das crianças; mendigos, não pedindo dinheiro, mas extorquindo, pessoas agarrando o limpador de pára-brisas do seu carro e tirando o seu dinheiro"". Essas são as coisas que incomodam as pessoas. E o que foi feito foi tentar casar as preocupações das pessoas com as prioridades da polícia. E os crimes mais graves diminuíram, não só no metrô, mas também nas cidades. Nova Iorque foi mais complicada que o metrô. Não havia apenas a manutenção da ordem. Havia o combate a crimes graves, outros programas aplicados que iam além do ""Janelas Quebradas"". Mas havia um princípio envolvido, que era o de ouvir os cidadãos e atender suas prioridades."
6|04/02/2002|Especial Violência|7|George Kelling| O crime é, basicamente, um problema local. Falo de uma pesquisa nos EUA, mas na Europa e Austrália também é assim. Isso significa que o criminoso opera perto de casa, e diferentes crimes significam coisas diferentes em comunidades diferentes. Quando se tem um sistema policial muito centralizado, é difícil concentrar-se em problemas locais e entender que os problemas de um bairro são diferentes dos problemas de outro bairro. Na cidade de Boston, por exemplo, se um carro é roubado em um bairro, ele poderá ser achado em outro bairro. Isso significa que ele será transportado...e mostra um crime organizado. Se ele for roubado em outro bairro, ele será achado no subúrbio. Alguém usou o carro para ir para casa mais rápido que com o transporte público. Embora o roubo seja local, o problema de gerenciamento, aqui, é como pegar um sistema federal centralizado e fazê-lo voltar seu foco para os problemas das comunidades. São muitas prioridades diferentes com as quais a polícia tem de lidar, porque se você acreditar que o crime é local e que deve buscar soluções para a comunidade, você deve deixar a autoridade na base da organização. E o modelo militar, que domina a polícia na América do Sul e nos EUA, não aceita muito bem que alguém de médio escalão tome decisões táticas e estratégicas importantes. O problema desse gerenciamento é como manter algum controle e, ao mesmo tempo, permitir que o médio escalão e os responsáveis por São Paulo possam se concentrar nas prioridades dos bairros.
7|04/02/2002|Especial Violência|8|George Kelling|" Acho que São Paulo tem poucos policiais, mas é só um palpite. Não sabemos qual é o número adequado. Vamos tomar a experiência americana como exemplo. No metrô, em Nova Iorque, eles se concentraram em crimes graves por trinta anos, e só piorou. Foi só quando mudaram as prioridades e passaram a priorizar os cidadãos, que a criminalidade começou a diminuir. Eu diria também que a polícia americana e a de Nova Iorque sempre acharam que sabiam onde estava o crime. Quer fosse homicídio, ou desordem no metrô, o que aconteceu foi que, observando de perto, ao desmembrarmos alguns dos problemas, eles pareciam muito diferentes e podíamos vislumbrar soluções que iriam requerer muita análise e podíamos resolver problemas rapidamente. Por exemplo, em Boston, levaram 15 meses para descobrir como parar com a violência das gangues. E assim que descobriram, acabaram com ela. Em relação às pessoas que limpavam pára-brisas em Nova Iorque, levamos cinco meses para planejar o que fazer, e acabamos com isso em três meses. Não só estabelecemos prioridades, mas estudamos os problemas com cuidado para termos certeza de quais eram eles, e, então, implementamos táticas para ver a resposta. Vou dar um exemplo de algo que ocorreu no metrô e que desencadeou o processo em Nova Iorque. A ligação entre crimes graves e crimes menores é mais complicada do que o programa Janelas Quebradas sugere. Quando agimos sobre quem não pagava a passagem no metrô - 250 mil pessoas por dia, e a polícia dizia estar ocupada, não podia se concentrar nisso - o que descobrimos, em muitas estações, é que um em cada sete indivíduos que não pagavam tinham mandados de prisão contra eles e podiam ser presos na hora, ou portavam armas ilegais - e também podiam ser presos. Então, ao mantermos a ordem, tivemos contato com quem iria cometer crimes graves. O que aconteceu foi que, quando continuamos a agir contra isso, a notícia se espalhou: ""Eles estão fiscalizando e, se estiver armado, irá preso"". As pessoas pararam de portar armas. As armas são um meio eficaz de matar. Se as pessoas não portam armas, reduzimos os homicídios. O máximo, em Nova Iorque foi de 2.245 homicídios. Em 1998, foram pouco mais de seiscentos. E não nos concentramos em homicídios, mas em pequenos crimes e em nos livrarmos de pessoas armadas. A polícia tornou-se agressiva quanto ao porte de armas. Eu sei que parece que vocês não têm policiais suficientes. Mas a questão da prioridade é mais complicada, e eu digo que, se você quer atender às prioridades dos cidadãos, deve agir sobre os pequenos crimes. Então, as pessoas ficam fortalecidas, outras instituições se envolvem com a polícia, eles dizem quem usa armas, a informação é usada para nos livrarmos dos maus elementos, e temos um efeito sinérgico."
8|04/02/2002|Especial Violência|9|George Kelling| Quando eu falei do conceito da  Janela Quebrada, eu disse que a desordem levava ao medo. Outras coisas também levam ao medo, como a mídia. Nos EUA, sempre banalizamos o medo, não levávamos o medo a sério. Os cidadãos não estavam sendo realistas. Nós não entendíamos que as pessoas agiam devido ao medo. Elas compravam cães e armas para proteger suas casas. Elas mudavam da cidade devido ao medo. Eram anti-sociais, afastavam-se dos vizinhos. Uma das coisas que ocorreu nos EUA foi que passamos a levar o medo muito a sério. Em segundo lugar, sempre houve uma relação ambígua entre segmentos da comunidade, em especial afro-americanos, que não acreditavam que a polícia cumpriria suas promessas. A única resposta a isso é a polícia cumprir suas promessas e levar as preocupações dos cidadãos a sério. O interessante quanto aos afro-americanos é que, mesmo quando a polícia não era bem sucedida, se a polícia ouvisse os cidadãos, se desse atenção a eles e tentasse fazer alguma coisa, os cidadãos ficavam satisfeitos. E a confiança no governo aumentava muito. Isso ocorreu ao expormos policiais e cidadãos. Uma das coisas que não comentamos, em termos de controle da corrupção, é o papel dos grupos de cidadãos que batalha para manter a polícia honesta sob controle. Quando um policial está andando sozinho, ele vai pensar antes de bater em alguém com um cassetete, porque ele também tem de sobreviver nas ruas. Ele passará a abordar os cidadãos de modo diferente. É um dos motivos para tirar os policiais das viaturas. Policiais em viaturas escondem-se dos cidadãos e não lidam com eles. Fora das viaturas, os policiais têm de lidar com cidadãos. Todas as pesquisas sobre patrulhas a pé - e não se pode fazer isso em várias áreas de São Paulo - mostram que a atitude dos cidadãos diante da polícia muda, e a atitude da polícia também muda, quando cidadãos têm contato com a polícia. Grandes coisas ocorrem quando policiais e cidadãos interagem. Coisas muito grandes. Nada muda mais a cultura da polícia do que sair das viaturas e lidar com os cidadãos. E eles acabam gostando.
9|04/02/2002|Especial Violência|10|George Kelling| Parte do problema vem da idéia, desenvolvida nos anos 1960, de que a polícia poderia resolver isso sozinha, que o controle do crime era uma questão profissional, que os profissionais resolveriam: “Cidadãos, fiquem em suas casas e nós cuidaremos do problema do crime”. E promotores, oficiais de justiça - sei que o sistema de vocês é diferente - e outras pessoas ligadas à lei se envolviam. Essa idéia foi totalmente descartada pela polícia. A polícia descobriu que essa abordagem fazia com que áreas da cidade ficassem sem controle. E essa é a pior das situações, porque, mesmo nas áreas mais perigosas, mesmo quando a polícia agia dentro da lei, os cidadãos não apoiavam a ação policial. Agir dentro da lei não bastava, era preciso trabalhar com os cidadãos para obter seu consentimento e, depois, sua cooperação. Mesmo nas partes mais problemáticas das cidades...a moradia em Chicago, que era uma monstruosidade, mães solteiras e seus filhos morando numa situação terrível, se você falasse com essas pessoas, elas queriam mais policiamento, queriam a polícia lá. Mas não queriam a polícia entrando e saindo de viaturas. Queriam que a polícia ficasse lá e os protegesse das gangues que as intimidavam e recrutavam seus filhos. O que vemos nos EUA é que a polícia passou a pensar diferente. Um, não podemos fazer as coisas sozinhos. É um desastre quando tentamos. Dois, mesmo agindo dentro da lei, não dará certo sem o apoio do público. Por isso, a polícia busca uma colaboração que não era possível antes.Temos uma nova cooperação entre polícia e comunidade que é essencial na democracia. Acreditamos que, na democracia, a lei não é suficiente. São necessárias a cooperação e a participação dos cidadãos.
