|DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
0|18/05/1987|Fernando Collor|1|Rodolpho Gamberini| Boa noite! Neste momento, mais um programa Roda Viva, o programa de debates da TV Cultura de São Paulo. Esta noite no centro da roda está Fernando Collor de Mello, governador eleito do estado de Alagoas. Para participar do Roda Viva desta noite estão conosco aqui nos estúdios da TV Cultura: Augusto Nunes, do Jornal do Brasil; Antônio Carlos Ferreira, da Gazeta Mercantil; Etevaldo Dias, da revista Veja, que trabalha em Brasília; Francisco Wianey Pinheiro, da TV Bandeirantes; Jorge Escosteguy, da revista Isto É e também comentarista da TV Cultura; Mauro Chaves, do jornal O Estado de S. Paulo; Freitas Neto, da TV Alagoas; Adhemar Altieri, da Rádio Eldorado, de São Paulo. Está também o cartunista Caruso, que é aquele cartunista que faz os desenhos que a gente vai ver durante o programa. Aqui do meu lado estão as moças que atendem todos os telefonemas de quem está em casa vendo o Roda Viva desta noite. Governador, o senhor lançou, anunciou hoje à tarde, formalmente, que seu estado deve adotar daqui para frente uma economia de guerra por causa de todos os problemas que estão acontecendo lá no seu estado. O que que o senhor vai... Quais são as medidas concretas que o senhor vai adotar e por que isso?
1|18/05/1987|Fernando Collor|2|Fernando Collor de Mello| Bom, inicialmente, as medidas que nós anunciamos como economia da guerra são realmente medidas drásticas para podermos tentar superar o grave impasse criado pela Presidência da República ao se negar receber um governador de estado para tratar de assuntos de sua administração e, portanto, de interesses da população alagoana. Em função disso e diante do desconforto administrativo que essa decisão traz, nós tivemos que, hoje, numa reunião do conselho político e posteriormente com todo secretariado anunciar medidas de contenção drásticas de despesas, para tentarmos, se possível for, superar os obstáculos que estão colocados diante de Alagoas com essa posição antidemocrática e, para nós sob todos os pontos de vista,  lamentável que tomou o presidente da República  em relação a um estado tão pequeno, tão sofrido como Alagoas.
2|18/05/1987|Fernando Collor|3|Rodolpho Gamberini| Diante da organização brasileira, o senhor acha possível um estado romper totalmente com a presidência da República e conseguir sobreviver com recursos próprios, mesmo adotando uma economia de guerra como o senhor está chamando?
3|18/05/1987|Fernando Collor|4|Fernando Collor de Mello| Acho difícil, porque apesar de estarmos incluídos no que se chamaria de República Federativa do Brasil e, portanto, de uma federação, o que nós assistimos é um regime extremamente concentrador, não somente de rendas, mas, sobretudo, de decisões. E o presidente da República é, na realidade, o dono de todas as ações administrativas que se desenvolvem num país. Daí ser dessa concentração inteiramente tolhedora da autonomia dos estados e dos municípios. E, portanto, concluindo e respondendo a sua pergunta, é muito difícil para estados sobreviverem sem que o governo federal lhes transfira os recursos necessários para promoverem as suas ações de desenvolvimento.
4|18/05/1987|Fernando Collor|5|Rodolpho Gamberini| Mas o senhor não votou no presidente Tancredo Neves?
5|18/05/1987|Fernando Collor|6|Fernando Collor de Mello| Não, não votei no presidente Tancredo Neves, nem votei no presidente José Sarney. Isso é uma questão que se coloca sempre com muita insistência , quando sou entrevistado. Naturalmente, um político jovem e sem uma tradição conhecida pela opinião pública nacional, tem que sempre estar explicando as suas posições.
6|18/05/1987|Fernando Collor|7|Rodolpho Gamberini| Nem só os políticos jovens, governador.
7|18/05/1987|Fernando Collor|8|Fernando Collor de Mello| Nem só os políticos jovens, está certo. Político jovem, no sentido... pelo fato de não ter uma longa tradição, talvez não tenha uma longa história para contar. A minha história é muito simples, quer dizer, eu sou inicialmente um homem comum, como qualquer um outro, agora que tenho talvez uma virtude ou um defeito de ser leal ao partido ao qual eu sirvo, de ser leal às pessoas com as quais eu estou convivendo partidariamente e, sobretudo, nunca falhar com a palavra empenhada. Em função disso, eu adoto  as minhas posições e pode ocorrer o que for nessa caminhada, mas eu enfrento com galhardia, enfrento com coragem, com destemor, mesmo que prejuízos políticos ou pessoais tiverem que ser pagos para assumir essas posições.
8|18/05/1987|Fernando Collor|9|Freitas Neto|  O senhor como governador do partido que está crescendo hoje... o PMDB . Através do seu gabinete, se negou de receber os familiares das vítimas da Tapera, quando seus companheiros vereadores foram assassinados em São José da Tapera . Só tinha vaga ... sua agenda estava cheia até o final do ano.
9|18/05/1987|Fernando Collor|10|Fernando Collor de Mello| Essa pergunta  eu acharia que deveria ter sido feita ao chefe de gabinete civil. Porque, se alguém for perguntar em Alagoas e for chamado a responder sobre a minha posição em relação à questão dos crimes, todo mundo sabe que eu sou um homem de coragem , sou um homem que enfrenta os problemas e nunca me neguei a receber as vítimas da Tapera. Naturalmente eles lá chegaram. As vítimas indiretas, as vítimas indiretas.
10|18/05/1987|Fernando Collor|11|Freitas Neto| Estão sem ter audiência com o senhor, pediram em abril , pediram em maio e até o final do ano, sem conseguir audiência com o senhor. O senhor colocou que uma das prioridades é o combate à impunidade e ao crime em Alagoas, a começar com um crime tão bárbaro como esse, e as famílias não têm acesso ao governador do seu estado.
11|18/05/1987|Fernando Collor|12|Fernando Collor de Mello| Eu gostaria de colocar, porque isto pode deixar alguma dúvida em relação ao meu posicionamento. Nós temos lá em Alagoas, como todos sabem, e é normal em qualquer governo, a chefia da casa civil, que orienta e que ordena os pedidos de audiência. Eu devo ter talvez solicitações de 100 audiências por dia, infelizmente não posso cumprir todas as 100 audiências. O crime ao qual se refere ... o vereador... foi um crime bárbaro, um crime brutal, que matou, assassinados, com balas de mãos assassinas, cerca de três políticos do município São José da Tapera. Nós estivemos... e quem estava lá para enfrentar os acusados, os supostos mandantes do crime na campanha de 1986 fui eu . Quem esteve lá para enfrentar todo o sindicato do crime fui eu. Quem os enfrentou em 1986, e continua enfrentando, sou eu . Quem teve que mandar reabrir o processo de acordo com o que foi prometido fui eu.
12|18/05/1987|Fernando Collor|13|Freitas Neto| O seu secretário de segurança disse que não podia reabrir o processo porque estava no Superior Tribunal Federal. Acho que o senhor não está nem informado disso.
13|18/05/1987|Fernando Collor|14|Fernando Collor de Mello| Eu quero informar ao senhor, vereador, que eu me refiro ao processo agora do crime do vereador Luis Artur, do PST .
