|DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
0|10/07/2006|Fernando Haddad|1|Paulo Markun| Boa noite. Depois de 38 anos da última reforma da educação superior no Brasil, o Congresso Nacional começa a analisar a reforma universitária anunciada pelo governo. O projeto representa um novo marco regulatório para o ensino superior no país. A reforma universitária mais a criação do Fundeb (Fundo de Desenvolvimento da Educação Básica) completam a agenda da educação elaborada pelo atual governo. Para conhecer mais e discutir o que as novas propostas mudam no ensino superior e nos demais níveis de governo, o Roda Viva entrevista esta noite o ministro da Educação Fernando Haddad, responsável pela implantação das novas ações propostas para o ensino brasileiro. O Roda Viva começa num instante.
1|10/07/2006|Fernando Haddad|2|[intervalo]|
2|10/07/2006|Fernando Haddad|3|Paulo Markun| 60% das crianças brasileiras terminam a quarta séria sem saber ler corretamente e só 9% dos estudantes entre 18 e 24 anos estão no ensino superior. São essas e outras estatísticas que revelam o atraso educacional no Brasil e todas estão na mira dos novos projetos que o governo começa a colocar em prática pelas mãos do ministro Fernando Haddad, da Educação.
3|10/07/2006|Fernando Haddad|4|[Comentarista]| Paulistano, 43 anos, Fernando Haddad é formado em direito, economia e doutor em filosofia. Foi professor de teoria política na Universidade de São Paulo, consultor da Fundação  de Pesquisas Econômicas, chefiou o gabinete da Secretaria de Finanças da Prefeitura de São Paulo na gestão Marta Suplicy e foi assessor especial do Ministério do Planejamento. Em 2004, assumiu a Secretaria Executiva do Ministério da Educação, ajudando o ministro Tarso Genro a elaborar, entre outros projetos, a reforma universitária. Em 2005, no auge da crise do mensalão, Tarso Genro foi para a presidência nacional do PT e Fernando Haddad assumiu o ministério com a missão de concluir os principais problemas do atual governo na área da educação, o mais polêmico deles, a reforma do ensino superior, chegou ao Congresso no mês passado e está em discussão na Câmara. São 58 artigos que regulam e definem a função social da educação superior, valem para todas as instituições de ensino superior – públicas e privadas. A reforma traz novos critérios para credenciamentos, autorização, funcionamento e reconhecimento de cursos e escolas. Obriga que, nas entidades com fins lucrativos, 70% do capital devem pertencer aos brasileiros, 75% da verba federal de educação serão aplicados no ensino superior. A distribuição dos recursos fica vinculada aos indicadores de desempenho e qualidade e cada universidade federal deverá reservar o mínimo de 9% da verba de custeio para assistência ao estudante. O outro projeto já em andamento é o Prouni (Universidade para Todos). Prevê bolsas integrais e parciais em universidades privadas que, em contrapartida, recebem isenção de impostos. O Prouni é destinado a alunos de baixa renda selecionados conforme classificação do Enem (Exame Nacional do Ensino Médio). Para este ano a previsão é de mais de 138 mil bolsas em faculdades de todo país, a meta até 2011 é colocar no ensino superior 30% dos jovens na faixa de 18 a 24 anos. O fundo da educação básica , aprovado na semana passada pelo Senado, voltou à Câmara para ser rediscutido e votado, ele substitui o atual Fundef, que prevê investimentos só no ensino fundamental. O Fundeb deverá investir no ensino infantil, fundamental e médio, devendo beneficiar 48 milhões de estudantes.
4|10/07/2006|Fernando Haddad|5|Paulo Markun| Para entrevistar o ministro Fernando Haddad nós convidamos: Demétrio Weber, repórter da área de educação do jornal O Globo em Brasília; Fernando Rosset, secretário geral do Gife (Grupo de institutos, fundações e empresas) e comentarista de políticas educacionais do Canal Futura; Lisandra Paraguassú, repórter da sucursal de Brasília do jornal o Estado de S. Paulo; Âmbar de Barros, jornalista fundadora da Andi (Agência de Notícias dos Direitos da Infância) e coordenadora do escritório da Unesco em São Paulo; Carlos Haag, editor da revista Pesquisa Fapesp; Antônio Gois, repórter da Folha de S. Paulo, e Gilberto Nascimento, repórter do Correio Brasiliense em São Paulo. Também temos a participação do cartunista Paulo Caruso, que registra em seus desenhos os flagrantes e os momentos principais do programa. Como você sabe, o Roda Viva é transmitido em rede nacional de TV para todo Brasil e você pode participar usando o telefone para fazer sua pergunta, sua crítica, sua sugestão. Boa noite, ministro.
5|10/07/2006|Fernando Haddad|6|Fernando Haddad| Muito boa noite.
6|10/07/2006|Fernando Haddad|7|Paulo Markun|" Eu começo com a pergunta de Sérgio Alencar de Rezende, do Rio de Janeiro, que diz o seguinte: ""Qual a justificativa para o governo Lula ter adotado o ensino superior como prioridade?"""
7|10/07/2006|Fernando Haddad|8|Fernando Haddad| Bem, eu gostaria de qualificar essa afirmação, que eu acho que ela não corresponde à realidade. Na educação brasileira, de cada cem reais gastos pelo setor público, em média vinte reais vão para o ensino superior, oitenta reais vão para a educação básica e, ao final do governo, essa proporção deve ser mantida, por quê? Porque com a reforma universitária nós devemos aportar uma coisa em torno de um bilhão de reais adicionais para a educação superior e, se nós considerarmos o fundo da educação básica, que aporta algo como quatro bilhões de reais adicionais, mais um incremento da arrecadação do salário-educação, algo em torno de dois bilhões de reais adicionais, nós vamos verificar que, dos sete bilhões de reais adicionais para a educação da parte do governo federal, seis são para educação básica e um para educação superior.
8|10/07/2006|Fernando Haddad|9|Paulo Markun| Agora, ministro, tudo isso é ainda tese, né, está certo? Na prática, o Fundeb ainda não foi aprovado e a reforma também não. No momento atual, se eu não estou enganado, o grande investimento, o recurso que o governo federal tem para a educação é no ensino superior, não é isso?
9|10/07/2006|Fernando Haddad|10|Fernando Haddad| Não, também não. O MEC (Ministério da Educação) tem quatro fontes de financiamento. Tem a fonte vinculada para educação em geral, tem os recursos do salário-educação, todo ele direcionado para o ensino fundamental – teve um incremento de arrecadação de 3,7 bilhões em 2002. Nós devemos fechar 2006 com R$ 7 bilhões. Já o ano passado a arrecadação foi de R$ 5,9 bilhões, portanto, dois bilhões e duzentos milhões de reais a mais para o ensino fundamental. Afora todos os outros programas do Ministério da Educação voltados para educação básica. Eu lembro a você que, por exemplo, nós não tínhamos um programa de formação inicial de professores da educação básica de nível superior, os professores sem licenciatura ou curso superior de pedagogia não tinham apoio do governo federal para concluir seus estudos, nós não tínhamos, por exemplo, o livro didático e o nível médio, só tínhamos para o nível fundamental, dentre outros programas direcionados para a educação básica. Então, mesmo se nós levarmos em consideração o incremento do orçamento do Ministério da Educação, nós vamos verificar que a maior parte deles foi direcionada para a educação básica.
10|10/07/2006|Fernando Haddad|11|Antônio Gois| Ministro, uma das prioridades do governo aparentemente foi abandonada. No início o governo Lula prometeu que iria erradicar o analfabetismo de jovens e adultos, falava-se em vinte milhões de analfabetos, o ministro Cristovam, quando entrou no primeiro governo, falava que iria alfabetizar vinte milhões de pessoas em quatro anos, essa era uma meta de governo, com a transição do ministro Cristovam para o ministro Tarso esse discurso parece ter desaparecido do Ministério e, mais do que isso, quando a gente olha os dados do IBGE, de 2002 para 2004, que são as estatísticas mais recentes, a redução de número de analfabetos foi de apenas cento e trinta e quatro mil, ou seja, para um governo que falava em alfabetizar vinte milhões nos dois primeiros anos, o resultado prático foi cento e trinta e quatro mil. O que parece, para a gente, é que o governo prometeu o impossível e fez menos que o possível e essa parece ter sido uma meta que foi abandonada, talvez privilegiando outros setores como educação superior. Por que isso aconteceu?
11|10/07/2006|Fernando Haddad|12|Fernando Haddad| Bem, no primeiro ano do governo Lula,  o então ministro Cristovam à frente da pasta, foram matriculados no Brasil, alfabetizados 1,7 milhão de brasileiros, essa meta foi ampliada para mais de 2 milhões, tanto em 2004 quanto em 2005, e agora as matrículas estão sendo realizadas para o ano de 2006. Nós devemos chegar a 7 milhões de matrículas. Ocorre que o Brasil Alfabetizado não ataca frontalmente apenas o analfabetismo absoluto, que é o dado estatístico que o IBGE divulga. O Brasil Alfabetizado também tem como público-alvo aqueles que não se declaram analfabetos para o pesquisador do IBGE. Se você verificar o que esse cidadão sabe, você vai verificar que ele sabe pouco mais do que ler o seu nome ou algumas letras do alfabeto; consegue, às vezes, ler um letreiro de um ônibus ou coisa assim, mas ele não está alfabetizado. Então, o que nós precisamos verificar é que não há uma completa superposição do Brasil Alfabetizado, cujos indicadores do IBGE deram analfabetismo absoluto. E esses brasileiros que pouco sabem ler, eles estão saindo do Brasil Alfabetizado com nível de compreensão relativamente satisfatório, o que faz com que o programa tenha méritos inquestionáveis.
12|10/07/2006|Fernando Haddad|13|Antônio Gois|" Mas mudou, então, o foco do programa? Porque no início do governo era ""vamos acabar, vamos alfabetizar 20 milhões de pessoas e vamos erradicar o analfabetismo"", era muito cara a promessa de campanha. Mudou o enfoque, então, desse programa especificamente?"
13|10/07/2006|Fernando Haddad|14|Fernando Haddad| Olha, mudou. Menos por desejos do governo e mais pela forma como os processos de alfabetização estão se dando no país. Nós, hoje, temos analfabetos em localidades de difícil acesso para os próprios sistemas educacionais e o apelo da alfabetização para esses brasileiros que estão nessas localidades é muito baixo. Nós temos muita dificuldade em atrair esse brasileiro especificamente para programas de alfabetização. Tal oferta existe, o que não existe é a demanda. Tanto é que nós estamos atendendo os dois milhões, que era a meta estabelecida no começo do governo – atender 2 milhões de brasileiros ao ano. Mas o público-alvo não é aquele do início do governo, porque a demanda por parte de analfabeto absoluto é muito baixa para o programa de alfabetização.
14|10/07/2006|Fernando Haddad|15|Lisandra Paraguassú| Mas quando o senhor fala nas pessoas que têm pouca compreensão e sabem mais só escrever seu nome, o senhor está falando em quase 2 ou 3 milhões de pessoas pelos dados que eu me lembro.
15|10/07/2006|Fernando Haddad|16|Fernando Haddad| Quase?
16|10/07/2006|Fernando Haddad|17|Lisandra Paraguassú| 53 milhões de pessoas são analfabetas funcionais. O governo não tem uma meta hoje plausível para alcançar essas pessoas?
17|10/07/2006|Fernando Haddad|18|Fernando Haddad| É. O que nós fizemos... Eu penso que é uma medida muito importante que o governo tomou foi trazer o programa de alfabetização para alçada do Ministério da Educação. O programa de alfabetização não estava sob a alçada do MEC, então, ter trazido para alçada do MEC em si mesmo é muito importante, porque permite estabelecer um nexo entre alfabetização e a educação continuada. Com a criação da Secretaria da Educação Continuada foi possível permitir que o egresso do  Brasil Alfabetizado pudesse  matricular numa turma de educação continuada  jovens e adultos, isso é muito importante. Agora, o que eu estou dizendo é de outra natureza, o que eu estou dizendo é que a oferta de alfabetização não tem atraído uma demanda específica que o programa originalmente pretendia atender, que é a demanda do analfabeto absoluto. Esse analfabeto absoluto não está chegando às portas do Brasil Alfabetizado na escala que nós pretendíamos. Quem está chegando às portas do Brasil Alfabetizado é aquele cidadão que não se declara analfabeto para o pesquisador do IBGE, mas tem uma condição de alfabetização que não o torna um leitor. Ele não é um leitor e ele sai do Brasil Alfabetizado sendo leitor.
18|10/07/2006|Fernando Haddad|19|Demétrio Weber| Existe algum tipo de avaliação, ministro, que mostre quantos desses analfabetos aprendem, de fato, a ler e escrever?
19|10/07/2006|Fernando Haddad|20|Fernando Haddad| Nós estamos concluindo análises em relação a isso. Hoje, no Brasil Alfabetizado, ele se dá por dentro do Sistema Público de Educação, também uma variante do que aconteceu no passado. Não só o Brasil Alfabetizado estava fora do âmbito do Ministério da Educação, como ele se processava por intermédio de organizações não-governamentais. Então, trazê-lo para o âmbito do MEC e usar o sistema público de ensino para promover, me parece também que foi uma decisão correta.
20|10/07/2006|Fernando Haddad|21|Demétrio Weber| Mas o Ministério tem uma idéia, poderia dar um índice... Por exemplo, para cada 100 alunos que entram quantos, de fato, saem tendo aprendido a ler e escrever?
21|10/07/2006|Fernando Haddad|22|Fernando Haddad| Foi feito um estudo preliminar no Piauí em que o dado que nos chegou foi de 58% de efetividade.
22|10/07/2006|Fernando Haddad|23|Demétrio Weber| Isso aí em termos de assinar o nome ou de conseguir ler, escrever um pequeno texto, uma carta?
23|10/07/2006|Fernando Haddad|24|Fernando Haddad| Não, 58% significa, pelo que nos chegou,  a pessoa se tornou um leitor, ou seja, é capaz de compreender um texto, de ler um texto como compreender um texto.
24|10/07/2006|Fernando Haddad|25|Paulo Markun| Houve, inclusive, ministro, um recente acordo de se utilizar um método cubano, é isso, de alfabetização?
