DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
12/04/1993,Fernando Henrique Cardoso,1,[...],
12/04/1993,Fernando Henrique Cardoso,2,Jorge Escosteguy,"Boa noite. Antes mesmo da realização do plebiscito de 21 de abril, a campanha sucessória à Presidência da República já está nas ruas, deflagrada por todos os candidatos mais visíveis. O presidente Itamar Franco, depois de um tiroteio verbal com esses candidatos, busca agora se não um clima de entendimento, pelo menos menos hostil para que ele possa governar. No Roda Viva, que começa agora pela TV Cultura de São Paulo, nós vamos discutir a política brasileira e também diplomacia. No centro da roda está sentado o ministro das Relações Exteriores, Fernando Henrique Cardoso. Carioca, 61 anos, sociólogo, professor, foi aposentado compulsoriamente da USP pela ditadura militar em 1969. Fundou o Cebrap, Centro Brasileiro de Análise e Planejamento; eleito suplente de senador em 78, assumiu o mandato em 83; foi reeleito pelo PMDB em 86. Fundador do PSDB, ocupou a liderança do partido entre 88 e 92. Interlocutor privilegiado de Itamar Franco durante o processo do impeachment, acabou sendo convidado para ser seu ministro das Relações Exteriores. Numa das primeiras entrevistas que deu como ministro, Fernando Henrique disse: “Acabou o espetáculo, agora é a normalidade”, referindo-se ao governo Itamar e ao marketing que regia antes o governo Fernando Collor. Lembramos que o Roda Viva também é transmitido ao vivo pela TVE da Bahia, TVE do Ceará, TVE do Piauí, TVE de Porto Alegre, TVE do Espírito Santo, TVE do Mato Grosso do Sul e TV Minas Cultural e Educativa. Para entrevistar Fernando Henrique esta noite no Roda Viva, nós convidamos: Ricardo Setti, diretor editorial adjunto da editora Abril; Mac Margolis, correspondente da revista Newsweek no Brasil; Ricardo Noblat, diretor da sucursal da revista IstoÉ em Brasília; Pedro Cafardo, editor-chefe do jornal O Estado de S. Paulo; Heródoto Barbeiro, editor do programa Opinião Nacional da TV Cultura de São Paulo; Marcelo Beraba, secretário de redação da Folha de S.Paulo; Tonico Ferreira, repórter especial do Telejornal Brasil do SBT; e Milton Coelho da Graça, jornalista da TVE do Rio de Janeiro. Você que está em casa e quiser fazer perguntas por telefone, pode chamar 252-6525. Boa noite, ministro."
12/04/1993,Fernando Henrique Cardoso,3,Fernando Henrique Cardoso,Boa noite.
12/04/1993,Fernando Henrique Cardoso,4,Jorge Escosteguy,"Como é que o senhor vê, como político, como sociólogo, esse tiroteio já desencadeado em torno da sucessão presidencial, que é óbvia, por todos esses candidatos mais notáveis ou mais considerados, e a tentativa agora do presidente Itamar Franco de buscar um clima de menos hostilidade ou de mais tranqüilidade para que ele possa governar? O senhor acha que é possível interromper esse processo dessa forma para que se tenha um plebiscito, se tenha reforma da Constituição e o governo possa governar com mais tranqüilidade?"
12/04/1993,Fernando Henrique Cardoso,5,Fernando Henrique Cardoso,"Eu tenho a impressão de que o Brasil ficou um país excitado. Quando há uma semana calma, as pessoas ficam logo buscando alguma razão para que a semana seguinte não seja calma."
12/04/1993,Fernando Henrique Cardoso,6,Jorge Escosteguy,Ficam excitadas com a calma?
12/04/1993,Fernando Henrique Cardoso,7,Fernando Henrique Cardoso,"Excitadas com a calma. Então, depois também de tantas transformações bruscas como aconteceu no ano passado, com o impeachment, com tantos zigue-zagues na nossa política, é compreensível isso. Agora, eu acho que em primeiro lugar é uma imprudência o lançamento de candidatura a não sei quanto, a vinte meses das eleições, não sei quanto tempo tem daqui até lá, até outubro, é muito cedo para isso. Isso é ruim. É ruim para o Brasil, porque fica discutindo o futuro, quando nós temos que resolver o presente, já está retardando. Aqui no Brasil nós estamos sempre postergando, não estamos enfrentando as questões importantes do cotidiano do povo, estamos pensamos sempre numa ilusão futura, e é ruim para os candidatos, porque ficam na chuva esse tempo todo. Acho que isso é uma coisa que não se sustenta."
12/04/1993,Fernando Henrique Cardoso,8,Jorge Escosteguy,Mas parece que eles estão com vontade de se molhar mesmo. Estão na chuva para ver quem se molha primeiro.
12/04/1993,Fernando Henrique Cardoso,9,Fernando Henrique Cardoso,"Pois é, mas se olhassem a história eleitoral iam ver que não é assim, quer dizer, quem ganha não é necessariamente quem sai na frente. Até pelo contrário: a tradição tem sido outra, e acho que é uma precipitação. É verdade que eu não posso nem dizer que os candidatos estão fazendo isso, é a chamada opinião pública que está carente de ter alguma fixação em alguém. Então, eu acho que eu não poderia dizer..."
12/04/1993,Fernando Henrique Cardoso,10,Jorge Escosteguy,"Mas o senhor acha, por exemplo, que o governador Leonel Brizola, quando vai no programa do presidencialismo, por exemplo, ele vai ali apenas como político que vai defender o presidencialismo?"
12/04/1993,Fernando Henrique Cardoso,11,Fernando Henrique Cardoso,"Não, ele vai para enraizar-se mais no povo. Isso eu não nego que seja assim. Acho que é uma precipitação, acho que é difícil manter esse clima de excitação até as eleições. Pode ser que se mantenha. Agora, há prejuízos, porque você mencionou alguns fatos muito importantes. Além do plebiscito, vamos ter uma revisão constitucional. Neste ano corrente, o que nós teríamos que fazer, do ponto de vista político, me parece, pensando nos problemas do Brasil, seria primeiro decidir o plebiscito – tudo bem, estamos às portas disso –, mas em seguida pensar que Brasil vai ser esse na revisão constitucional. É claro que isso não vai impedir que haja pretensões, que a pessoa se lance, mas tem que ser com certa moderação. E, por outro lado, nós temos problemas muito graves que estão aí no dia-a-dia. A inflação é uma questão que atormenta há décadas. Bom, isso tem que ser enfrentado. Por outro lado, a reorganização do aparelho estatal; a finança pública, que está num estado realmente lastimável; um país que se acostumou ao sofrimento; o emprego... Agora há sinais de recuperação da economia, aqui, ali, ainda são sinais que não são muito consistentes ainda, mas são de esperança. Mesmo assim nós temos uma população empobrecida, que vem se empobrecendo há muito tempo. Essas questões deviam ter precedentes sobre as demais. Então, isso provoca depois essa cisão enorme entre a expectativa do povo e a expectativa dos que fazem a política, porque fica desconectado. Os que fazem a política só discutem como é que se distribui o poder, num clube fechado, e o povo quer outras coisas: quer emprego, quer casa própria, quer melhor transporte, enfim."
12/04/1993,Fernando Henrique Cardoso,12,Pedro Cafardo,"Mas as críticas dos candidatos, ministro, são exatamente nesse sentido, dos problemas econômicos. Eles falam sobre a inflação, a questão da recessão, do desemprego."
12/04/1993,Fernando Henrique Cardoso,13,Fernando Henrique Cardoso,"Todo candidato fala disso, não é?"
12/04/1993,Fernando Henrique Cardoso,14,Pedro Cafardo,"Alguns estão falando sobre isso, sim."
12/04/1993,Fernando Henrique Cardoso,15,Fernando Henrique Cardoso,"Todo candidato fala disso, é normal."
12/04/1993,Fernando Henrique Cardoso,16,Pedro Cafardo,"Pois é, mas qual é o mal de eles levantarem essas coisas? Eles têm que levantar sempre."
12/04/1993,Fernando Henrique Cardoso,17,Fernando Henrique Cardoso,"Essas coisas, tudo bem. Você levanta também, eu levanto, todo mundo levanta. Não é disso que se trata. O que se trata é: se levanta com propósito de realmente encaminhar ou se levanta simplesmente para marcar uma posição eleitoral..."
12/04/1993,Fernando Henrique Cardoso,18,Jorge Escosteguy,"Como se dizia antigamente, com objetivo eleiçoeiro."
12/04/1993,Fernando Henrique Cardoso,19,Fernando Henrique Cardoso,"Eleiçoeiro, essa que é a diferença. Claro que todo mundo tem que se preocupar com essas questões."
12/04/1993,Fernando Henrique Cardoso,20,Pedro Cafardo,"Não acha também que o presidente se irritou demais, desnecessariamente? Ele não precisava ficar tão bravo; deixe as pessoas falarem."
12/04/1993,Fernando Henrique Cardoso,21,Fernando Henrique Cardoso,"Cada um tem um temperamento; você sabe, o tiroteio é forte, as pessoas também têm que se defender."
12/04/1993,Fernando Henrique Cardoso,22,Ricardo Noblat,"Ministro, eu proporia uma outra questão, aliás, um derivativo dessa questão. O senhor não acha que isso se deve pela fraqueza do governo, na medida em que nós temos um governo que foi interino ali até dezembro, em dezembro o presidente assumiu de fato com o afastamento do presidente Collor e, desde lá, nós tivemos três ministros da Fazenda, nós temos o ministro Eliseu Resende, já há mais de trinta dias no cargo, sem ter ainda apresentado alguma proposta mais concreta de combate à inflação, quer dizer, não é a falta de governo ou de aparência de governo que permite esse vazio?"
12/04/1993,Fernando Henrique Cardoso,23,Fernando Henrique Cardoso,"Você usou uma expressão correta: “aparência de”, é simbólico."
12/04/1993,Fernando Henrique Cardoso,24,Ricardo Noblat,"“Aparência” aí foi mais generosidade minha, ministro."
