DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
11/09/2006,Francis Fukuyama,1,Paulo Markun,"Boa noite. 11 de setembro. Cinco anos depois do mais espetacular ataque terrorista ao coração da América e da onda de terror que se espalhou pelos continentes e colocaram o mundo em uma nova situação de queda de braço e traçaram um novo rumo para história. O entrevistado de hoje no Roda Viva criou polêmica entre os intelectuais dos anos 1990 quando proclamou o fim da história. Ele achava que a queda do Muro de Berlim e o fim da União Soviética interrompiam a evolução ideológica da humanidade e que restaria ao mundo apenas a democracia liberal ocidental. Assim, por falta de alternativa, a história acabava ali. Essa era a tese do cientista político americano Francis Fukuyama, que depois voltou atrás e também relativizou sua idéia de que a democracia americana seria uma espécie de modelo para o mundo. O questionamento da política externa dos Estados Unidos, da visão de que a América pode oferecer ou mesmo impor sua fórmula liberal democrática para qualquer país, foi uma das conseqüências práticas dos atentados de 11 de setembro de 2001. Eles foram relembrados hoje, pela ousadia e violência que representaram, e também pelo novo confronto que abriram no mundo."
11/09/2006,Francis Fukuyama,2,[Comentarista],"Milhões de pessoas assistiram a tragédia ao vivo, pela TV, no mundo todo. Em pouco mais de uma hora, dois aviões seqüestrados atingiram as torres do Word Trade Center, em Nova Iorque. Um outro foi lançado contra o prédio do Pentágono, em Washington, e um quarto aparelho, aparentemente destinado a outro alvo em Washington, caiu na Pensilvânia, depois de um possível conflito entre passageiros e seqüestradores. Para aumentar a incredulidade daquelas imagens, as duas torres, símbolos de Nova Iorque e do poder econômico dos Estados Unidos, desmoronaram depois dos ataques. Morreram ali quase 3000 pessoas, além de mais de 200, em Washington e na Pensilvânia, e dos 19 seqüestradores que se lançaram na missão suicida. Vendo de perto os escombros do World Trace Center, o presidente norte-americano George Bush declarou guerra ao terror a partir daquele momento, personificado em Osama Bin Laden, líder terrorista tido como responsável pelos ataques às torres gêmeas. Um mês depois, tropas dos Estados Unidos invadiram o Afeganistão em busca de Bin Laden, que provavelmente estaria escondido nas montanhas do norte do país, onde nunca foi achado. Em 2003, considerando o Iraque uma frente central na guerra contra o terror, George Bush ordenou um ataque a Bagdá. As primeiras tropas de coalizão norte-americanas entraram no Iraque sob o pretexto de que o ditador iraquiano, Saddam Hussein, teria armas de destruição em massa. Saddam foi derrubado e as armas nunca foram encontradas. A invasão, que teve o apoio dos aliados Inglaterra, Espanha e Itália, apesar de desautorizada pela ONU, fez crescer o sentimento internacional antiamericano, com boa dose de ódio no mundo mulçumano. Nesses cinco anos do maior ataque terrorista da história, centenas de outros atentados comandados ou inspirados na Al-Qaeda, de Bin Laden, tomaram conta do cotidiano da Ásia, Indonésia e especialmente do Oriente Médio. Embora não se tenha repetido nos Estados Unidos, os mais simbólico dos novos ataques atingiram dois aliados norte-americanos que enviaram tropas ao Iraque, Espanha e Inglaterra. O primeiro foi em Madri, em março de 2004, com a explosão de quatro trens, deixando 192 mortos e mais de 2000 feridos. Um ano depois, foi a vez de Londres. Três bombas no metrô e uma em um ônibus de dois andares, deixaram 56 mortos e mais de 700 feridos. No começo do mês passado, a policia britânica anunciou ter frustrado um mega ataque terrorista, que explodiria pelo menos 10 aviões na rota entre a Inglaterra e os Estados Unidos. O anúncio gerou caos nos aeroportos e mais medo na Europa, que passou a se ver cada vez mais insegura. Com a facilidade de trânsito em seus países, deu medo também nos Estados Unidos, onde a vida ficou crescentemente tensa, controlada e temerosa de algum novo ataque, que pode acontecer em algum lugar a qualquer momento. O medo e a tensão criados com a divisão do mundo entre capitalismo e comunismo, e que desapareceram com o fim da Guerra Fria e a queda do Muro de Berlim, ressurgiram neste começo de século XXI pelas mãos do terrorismo de fundo religioso. A Al-Qaeda, mais que uma organização terrorista, revelou ser uma associação de dezenas de grupos espalhados pelo mundo, encarregados do que chamam de vingança islâmica. Uma explosiva mistura de religião e política que dividiu o mundo no conflito entre o Ocidente e o islã e que, mais uma vez, de modo trágico, faz a história continuar. Como definir o mundo que estamos vivendo agora? Qual é o novo modelo que as sociedades globais deverão adotar? E, afinal, que mundo globalizado é esse que se abre na economia e se fecha na intolerância cultural? A entrevista que você vai ver agora com o cientista político americano Francis Fukuyama foi feita no ultimo mês de junho. Não se trata de uma gravação realizada especialmente para este 11 de setembro, mas de um programa produzido com a intenção de discutir um momento histórico criado a partir desse novo confronto."
11/09/2006,Francis Fukuyama,3,Paulo Markun,"Francis Fukuyama é professor de economia política da Universidade Johns Hopkins, em Baltimore, nos Estados Unidos. Faz parte do Conselho de Bioética, do governo do presidente George Bush, e também já trabalhou em outras ocasiões para o governo americano, paralelamente às suas atividades acadêmicas."
11/09/2006,Francis Fukuyama,4,[Comentarista],"Francis Fukuyama, de 53 anos, é filho de mãe japonesa e pai americano. Nasceu em Chicago e cresceu em Nova Iorque. Fez doutorado em ciências políticas pela Universidade de Harvard e virou celebridade em 1989, quando o Muro de Berlim caiu e o império soviético começou a desabar. Na época, publicou em um jornal artigo anunciando sua tese sobre o fim da história. O artigo virou livro em 1992, ampliando a polêmica, que também custou muitas críticas a Fukuyama. Na seqüência, escreveu outros livros, falou de confiança social, da natureza humana, da democracia, da prosperidade, falou do consenso em torno do modelo liberal democrático e provocou mais polêmica. Voltou a ser alvo de críticas ao apoiar a intervenção americana no Afeganistão e no Iraque com a tese de que o modelo americano era a solução para a crise desses e de outros países. Fukuyama, que já foi funcionário do Departamento de Estado de Washington, há anos freqüenta o círculo do poder na Casa Branca. Ele ajudou a construir o pensamento neoconservador que marcou o governo Bush, mas mudou de posição depois. Concluiu que a Guerra do Iraque, ao contrário do que todo seu grupo pensava, não foi uma boa idéia, e passou a criticar o unilateralismo americano, dizendo que George W. Bush tem dificuldade de admitir que errou e que precisa da cooperação internacional."
11/09/2006,Francis Fukuyama,5,Paulo Markun,"Para entrevistar o cientista político Francis Fukuyama nós convidamos: Fábio Santos, editor da revista e do site Primeira Leitura; Marcelo Leite, colunista da Folha de S.Paulo e do blog Ciência em Dia; Demétrio Magnoli, geógrafo, especialista em relações internacionais e editor do jornal Mundo - Geografia e Política Internacional; Jaime Pinsky, historiador, professor titular do Departamento de História da Unicamp e diretor editorial da Contexto; Dario Vizeu, consultor cultural da TV Cultura; Marco Antônio Rezende, jornalista; e Cristian Lohbauer, cientista político do Gacint, Grupo de Análises e Conjuntura Internacional da USP. Também temos a participação do cartunista Paulo Caruso registrando em seus desenhos os momentos e os flagrantes do programa. O Roda Viva é transmitido em rede nacional de TV para todo o Brasil. Como o programa de hoje está sendo gravado, não permite a participação dos telespectadores. Boa noite, Francis Fukuyama. Depois que o senhor fez aquela afirmação, em 89, sobre o fim da história, nós tivemos o 11 de setembro, a invasão do Iraque e, mais recentemente, episódios como o surgimento de uma liderança no Irã, que vira o grande temor ocidental. Aqui, na América Latina, figuras como Hugo Chávez e Evo Morales. O que houve foi uma espécie de posfácio de história ou realmente não dá para dizer que a história acabou?"
11/09/2006,Francis Fukuyama,6,Francis Fukuyama,"O fim da história é uma teoria sobre a modernização. Se você pensar nos últimos séculos, os intelectuais progressistas viam uma direção para a história com a modernização, levando a uma sociedade socialista. O que observei, em 1989, data do artigo original, foi que não estávamos na direção do socialismo e que, se houvesse um ponto de encerramento, seria algo como a democracia ocidental liberal e um sistema direcionado ao mercado não planejado. É obvio que temos novos desafios, porque os sistemas democráticos não são perfeitos. Temos um desafio ideológico no radicalismo islâmico, mas a maioria das pessoas prefere sociedades modernas e acho muito difícil imaginar uma sociedade moderna que não precise ter algum tipo de democracia e algum tipo de economia de mercado. Nesse sentido, a base da tese se mantém, embora haja novas forças. A religião ganhou mais importância no mundo, o que eu não previa quando escrevi o artigo."
11/09/2006,Francis Fukuyama,7,Dario Vizeu,"Às vezes parece como se a experiência humana, até mesmo a partir da análise desses pensadores que o senhor citou, estaria restrita a uma possibilidade, ou umas poucas possibilidades. A pergunta que eu faço é a seguinte: será que não seria interessante nós colocarmos como contraponto a essa tradição - que sem dúvida alguma é muito forte, de decidir esse direcionamento da história - a idéia de diversidade, de outras possibilidades para esse experimento humano?"
11/09/2006,Francis Fukuyama,8,Francis Fukuyama,"É claro que há muita variedade cultural no mundo e isso não vai desaparecer. Na verdade, acho que queremos viver num mundo multiforme. Resta saber se há valores ou princípios universais, que vão além das culturas já existentes no passado. Meu professor na Harvard, Samuel Huntington, dizia que essas unidades culturais seriam permanentes. Acho que, até certo ponto, isso é verdade, mas há exigências das sociedades modernas que vão além da cultura. Na Ásia, por exemplo, à medida em que as sociedades enriquecem é maior a procura dos cidadãos mais bem formados por mais participação política, por alguma responsabilização. Não se lida com a corrupção sem responsabilização perante o público. A democracia é isso. Acho que há forças que levam pessoas de culturas distintas na direção de instituições semelhantes. Acho que resta dizer que a democracia liberal mantém o maior índice de variedade cultural e é compatível com diversos sistemas culturais, ao contrário das teocracias muçulmanas."
11/09/2006,Francis Fukuyama,9,Fábio Santos,"Professor, de fato, no liberalismo e na democracia liberal acho que abre espaço para diversas manifestações culturais. Imagino que a adversidade que o Dario se referia é possível ser representada, digamos assim, dentro do formato da democracia liberal. Mas o que a gente vê na verdade é que, apesar de, por exemplo, na Rússia ter havido um movimento em direção à democracia liberal, o que se vê é que o peso da cultura na Rússia e muito mais forte que esse movimento. Apesar dos otimistas olharem para a China e imaginarem a possibilidade de aquilo um dia, por conta da modernização, se tornar uma democracia liberal, eu diria que, nesse caso, há otimismo demais. Na China, a tradição é de autoritarismo, quando não de totalitarismo, como tradição milenar. Então, me parece que, apesar de não haver um concorrente ideológico da democracia liberal, há realidades, ainda que locais - mas, no caso da China, ser local é ser global -, que se contrapõe a esse formato. Esse choque de história não poder continuar em direção a uma outra coisa?"
11/09/2006,Francis Fukuyama,10,Francis Fukuyama,"Acho que a pergunta é... Para começar, há muita variação entre as democracias liberais. A versão européia é diferente da americana, que é diferente da versão japonesa. Acho que não existe um único tipo de sistema democrático. Acho que muitas das formas culturais que vemos vão continuar conosco. Se houver democracia na China ou na Rússia não vai ser como a democracia do Brasil ou dos EUA. Reconheço que haverá essa diferença básica, mas o fato é que há dois princípios, liberdade e igualdade, que são a base da democracia liberal. A pergunta é: é possível ter um regime sistemático muito diferente disso, mas bem-sucedido e moderno? Temos alguns casos. Por exemplo, a teocracia muçulmana do Irã tem como base outro princípio. Não há separação entre religião e Estado, não há um governo moderno e secular. Acho que isso nos coloca uma pergunta: essa sociedade pode ser moderna? E será satisfatória para os que vivem nela? Não tenho a resposta para isso. Muita gente no mundo muçulmano acha que sim, mas não sei se, como o tempo, esse tipo de sociedade pode dar às pessoas o padrão de vida, a liberdade pessoal, o tipo de vida oferecido às mulheres, que as pessoas querem universalmente."
