|DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
0|16/04/2001|Frederick Wiseman|1|Programa gravado |Programa gravado 
1|16/04/2001|Frederick Wiseman|2|Paulo Markun|" Boa noite. Há quase 40 anos ele vem mostrando como funcionam algumas das instituições americanas. Seus documentários já investigaram asilos, escolas, prisões, hospitais, sempre estudando o comportamento humano, mostrando e chamando atenção para aspectos poucos percebidos da realidade. O Roda Viva entrevista esta noite o documentarista norte-americano Frederick Wiseman, mestre do chamado cinema direto e que veio a São Paulo participar do 6º Festival Internacional de Documentários ""É Tudo Verdade""."
2|16/04/2001|Frederick Wiseman|3|[Comentarista]| A sexta edição do Festival Internacional de Documentários, com exibições em São Paulo e no Rio de Janeiro fez uma homenagem a Frederick Wiseman, com uma retrospectiva que reuniu oito de seus 32 filmes. Wiseman surgiu nos anos 60, quando trocou a carreira de advogado pelo cinema. Escolheu o documentário pelas possibilidades que as novas tecnologias criaram. Câmeras portáteis com sistema de som acoplado permitiram uma abordagem da realidade mais direta e mais rápida. O documentarista se tornou um marco do cinema direto, do cinema-verdade. Em preto e branco, e com filme ao invés de vídeo, ele construiu uma radiografia ampla das instituições americanas e como elas interferem na vida das pessoas. Em Lei e ordem, ele documenta a rotina de um presídio e do trabalho da polícia num bairro com altos índices de criminalidade, em Kansas City. Model desvenda a vida de modelos, artistas, profissionais no competitivo e vaidoso mundo da moda. High School é um mergulho na vida escolar americana, revelando as relações entre pais, alunos, professores. E é uma leitura densa e pesquisadora do comportamento social, humano, das relações entre pessoas e instituições. Wiseman não faz entrevistas, não interfere nos personagens. A força de seus documentários é construída pela própria realidade que ele quer investigar.
3|16/04/2001|Frederick Wiseman|4|Paulo Markun|" Para entrevistar Wiseman, nós convidamos o documentarista Wladimir Carvalho. Um de seus últimos documentários, Barra 68, está sendo exibido no festival ""É Tudo Verdade""; a jornalista Lúcia Nagib, professora de cinema da Unicamp e articulista do jornal Folha de S. Paulo, e também diretora do Centro de Estudos de Cinema da PUC; o vídeo-artista e documentarista Lucas Bambosi, um dos diretores do documentário de longa metragem O Fim dos sem fim, que está sendo lançado no festival ""É Tudo Verdade""; também está presente Amir Labaki, articulista do jornal Folha de S. Paulo e diretor do festival ""É Tudo Verdade""; convidamos ainda Sérgio Rizzo, jornalista e professor de jornalismo da Faculdade Casper Líbero, e Luiz Carlos Merten, jornalista e crítico de cinema e televisão do jornal O Estado de S. Paulo; também participa do programa Lázaro de Oliveira, do programa Metrópolis aqui da TV Cultura. Boa noite."
4|16/04/2001|Frederick Wiseman|5|Frederick Wiseman| Olá.
5|16/04/2001|Frederick Wiseman|6|Paulo Markun| Este é o mais antigo programa de entrevistas da televisão brasileira e também certamente o mais longo, uma hora e meia. Então a primeira pergunta que eu faço ao senhor, até por causa disso, o que o senhor tem contra as entrevistas, já que nenhum dos seus documentários utiliza esse recurso de esclarecimento, de investigação do que pensam as pessoas?
6|16/04/2001|Frederick Wiseman|7|Frederick Wiseman| Não tenho nada contra entrevistas, em tese. Um dos melhores documentários que conheço é baseado em entrevistas, Hotel Terminus , de Marcel Ophüls. Mas o que tento fazer em meus filmes é retratar eventos reais enquanto ocorrem. E entrevistas normalmente não fazem parte da vida cotidiana. Minha técnica é captar eventos não ensaiados e, depois, editá-los em forma dramática. É apenas uma técnica diferente. Não digo que uma é melhor que a outra.
7|16/04/2001|Frederick Wiseman|8|Paulo Markun| Mas eu imagino que em certas circunstâncias é complicado de se registrar partes da realidade sem o uso da entrevista. Quer dizer, menciona o fato, por exemplo, tudo o que é relativo a coisas acontecidas anteriormente, as pessoas podem citar numa entrevista, mas dificilmente vão mencionar naquelas situações de cotidiano que o senhor registra.
8|16/04/2001|Frederick Wiseman|9|Frederick Wiseman| Um documentário não precisa, necessariamente, lidar com o passado. Ele pode lidar com o presente, e, por inferência, sugerir o passado. Nenhum documentário, livro, peça ou filme de ficção é capaz de mostrar todos os aspectos de seu tema. É necessário selecionar e limitar. Com minha técnica, ganha-se algo e perde-se algo. Quando se faz um filme de entrevistas, pode-se lidar com questões mais abstratas, e, talvez, com questões históricas, mas há menos chance de lidar com questões atuais. Não se trata de uma coisa ou outra, trata-se de o que você quer fazer.
9|16/04/2001|Frederick Wiseman|10|Paulo Markun| Claro. Quem se habilita?
