DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
18/12/2006,Guido Mantega,1,Paulo Markun,O governo está às vésperas do anúncio de medidas que buscam promover o crescimento econômico. À frente do comando da economia está Guido Mantega. Há 16 anos ele participa das principais decisões econômicas do PT e do presidente Lula. Coube a ele a tarefa de substituir Antônio Palocci após a maior crise do Ministério da Fazenda no governo Lula.
18/12/2006,Guido Mantega,2,[Comentarista],"Guido Mantega integra a equipe econômica do PT desde 1989. Na administração de Luiza Erundina na prefeitura de São Paulo, ele foi chefe de gabinete do secretário de Planejamento Paul Singer e depois diretor de Orçamento. Em 1993, tornou-se o principal assessor econômico de Lula, e em 1994, foi um dos coordenadores do programa do PT na derrota para o presidente Fernando Henrique Cardoso. Na época, Mantega foi um crítico do Plano Real e da alta taxa de juros. Com a vitória de Lula em 2002, colaborou na transição de governo e foi chamado para a primeira equipe ministerial. Na pasta de Planejamento, Mantega enfrentou dificuldades com a proposta do projeto de lei das PPPs, as parcerias público-privadas. Durante o governo Lula, Mantega também foi presidente do BNDES. Em março deste ano, com a polêmica da quebra do sigilo bancário do caseiro Francinildo Santos da Costa, o ministro da Fazenda Antônio Palocci caiu, e Mantega ocupou a vaga. Guido Mantega nasceu em Gênova, na Itália, em 1949, e veio ao Brasil com três anos. É formado em economia pela USP, com doutorado em sociologia."
18/12/2006,Guido Mantega,3,Paulo Markun,"Para entrevistar o ministro da Fazenda Guido Mantega, nós convidamos Alexandre Machado, comentarista da TV Cultura; Delmo Moreira, diretor-executivo do jornal O Estado de S. Paulo; Valderez Caetano, repórter especial da Gazeta Mercantil e do Jornal do Brasil; Vinícius Torres Freire, colunista de economia do jornal Folha de S. Paulo; José Fucs, repórter especial de economia da revista Época e Marco Antônio Rocha, editorialista do jornal O Estado de S. Paulo. Também temos a participação do cartunista Paulo Caruso, registrando com seus desenhos os momentos e flagrantes do programa. O Roda Viva é transmitido em rede nacional de TV para todo o Brasil. Você pode participar do programa mandando a sua crítica, pergunta ou sugestão pelo telefone, aqui de São Paulo, que é (011) 3677- 1310. Se preferir o fax, é 3677-1311, e pela internet, você pode acessar o site do programa, que é www.tvcultura.com.br/rodaviva e mandar o seu e-mail. Boa noite, ministro."
18/12/2006,Guido Mantega,4,Guido Mantega,"Boa noite, Markun."
18/12/2006,Guido Mantega,5,Paulo Markun,"Queria saber do senhor o seguinte: o que é possível o governo fazer no âmbito das suas deliberações para destravar a economia, fazer com que a gente alcance um patamar de crescimento mais significativo no ano que vem, já que boa parte das coisas que poderiam ser feitas não está na alçada do governo, depende de mudanças importantes, como reforma tributária e outras alterações?"
18/12/2006,Guido Mantega,6,Guido Mantega,"Markun, o governo pode fazer muita coisa, barateando o investimento, por exemplo, que é a mola mestra de um crescimento maior. Então, neste momento, nós estamos ocupados, produzindo um conjunto de medidas que tem como principal objetivo alavancar o crescimento maior no país. E acho que, neste primeiro mandato do presidente Lula, nós conseguimos eliminar uma série de desequilíbrios que havia na economia brasileira, conseguimos solidificar os fundamentos da economia. Por exemplo, a inflação, que era um problema no passado, hoje está sob controle, está domada, e isso cria uma condição favorável para um crescimento maior, para a queda da taxa de juros. Então, hoje, nós temos que continuar nessa rota que nós estamos percorrendo desde o primeiro mandato, que é continuar aumentando o crédito na economia, continuar reduzindo a taxa de juros, criar um ambiente propício para o investimento privado e aumentar o investimento público. O investimento privado está crescendo este ano a uma taxa de aproximadamente 7% a 8% no ano, significa que já há um certo ânimo do empresariado para produzir mais, tendo em vista que o mercado consumidor está crescendo. Nós estamos com aumento de vendas no varejo este ano de aproximadamente 6% em relação ao ano passado, a massa salarial está crescendo. Então o mercado consumidor está se robustecendo. Significa que o tal do mercado de massa, que a gente vinha propugnando, está se tornando realidade. O empresariado tem que olhar para esse mercado, a indústria automobilística, setor eletroeletrônico, setor de alimentos, vestuário, calçado, etc. O mercado está crescendo e a economia vai caminhando para patamares mais avançados. Este ano nós não vamos crescer muito, o PIB, que é uma medida média do que acontece na economia... mas as exportações estão indo muito bem, os servidores..."
18/12/2006,Guido Mantega,7,Paulo Markun,Nós vamos crescer menos do que se diria que íamos crescer há poucos meses atrás?
18/12/2006,Guido Mantega,8,Guido Mantega,"É, ficou aquém das expectativas, mas se você decompuser a economia em setores, você vai ver que há setores indo muito bem. Então, por exemplo, construção civil é um setor que está deslanchando, está crescendo 5,5 a 6%, setor automobilístico voltado para o mercado interno está crescendo acho que 10 ou 12%, o consumo de automóveis, setor eletroeletrônico... Se você olhar segmentadamente, você tem vários setores indo bem, outros setores indo menos bem, aqueles que são alvo de uma concorrência internacional mais forte, setor de vestuário, calçado, moveleiro, alguns vão bem, outros vão menos bem. Agora, a economia brasileira caminha para um patamar maior de crescimento, porque as condições estão dadas, as condições são mais favoráveis. A taxa de juros foi muito alta no Brasil, é verdade, mas ela está caindo consecutivamente, há mais de 13 meses. Como a inflação caiu, mais rapidamente talvez do que a gente esperava, então a taxa de juros que está caindo não conseguiu acompanhar o ritmo, mas ela vai caminhar para a direção adequada. Então, acredito que nós estamos neste segundo mandato, defronte de situações, condições muito favoráveis para um crescimento sustentável."
18/12/2006,Guido Mantega,9,Marco Antonio Rocha,Se o senhor me permite...
18/12/2006,Guido Mantega,10,Guido Mantega,Sim.
