DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
23/12/1996,Herbert de Souza,1,[...],
23/12/1996,Herbert de Souza,2,Matinas Suzuki,"Boa noite, nós estamos no estúdio da TVE do Rio de Janeiro para o nosso Roda Viva de Natal. E nós viemos até aqui para entrevistar um brasileiro muito especial, o sociólogo Herbert de Sousa, o Betinho."
23/12/1996,Herbert de Souza,3,[Comentarista],"Mineiro de Bocaiúva, o sociólogo Herbert de Sousa aprendeu desde cedo a conviver com as limitações e com a proximidade da morte. Nos seus primeiros 8 anos de vida morou em uma penitenciária onde seu pai trabalhava, mais tarde, o pai foi transferido para uma funerária. Hemofílico, ele teve tuberculose na adolescência, viveu dos 15 aos 18 anos desenganado, preso em um quarto isolado dos irmãos. Depois de curado, já em Belo Horizonte, Betinho participou da Ação Católica em Minas Gerais e da Ação Popular. Veio o golpe de 1964, ele viveu na clandestinidade no exílio - Cuba, Chile, Panamá, Canadá, Escócia e México. De volta ao Brasil, em 1979, realizou um sonho antigo, criou o Ibase - Instituto Brasileiro de Análises Sociais e Econômicas. Mas, a vida não era sonho. Já nos anos 1980, quando pensava que a hemofilia estava controlada, foi surpreendido por uma nova doença, a aids, contraída numa transfusão de sangue. A doença levou dois de seus irmãos, o cartunista Henfil e o músico Francisco Mario. Betinho, que ainda não tinha contraído nenhuma doença, abraçou a causa contra a aids e fundou a Associação Brasileira Interdisciplinar de aids. Foi causa que daria mais popularidade ao sociólogo a partir de 1993. “Nós estamos começando por um gesto que alguns não estão entendendo muito bem, é o gesto da solidariedade”. A idéia deixou o país emocionado e espantado pela simplicidade. O eixo das prioridades nacionais era invertido, não era mais possível esperar para combater a miséria e a fome. No momento em que se questionava a ética na política, nascia a Ação da Cidadania Contra a Miséria e Pela Vida. Os que rotularam a iniciativa de assistencialista tiveram que se calar diante da enorme adesão popular. Em pouco tempo, já existiam mais de 3.000 comitês contra a fome espalhados pelo país. Artistas, empresários, sindicalistas e políticos se engajaram na campanha permanente, o governo Itamar Franco encampou a idéia e criou o Consea – Conselho Nacional de Segurança Alimentar e Nutricional. Em 1994, Betinho foi indicado para o prêmio Nobel da Paz, no mesmo ano estourou um escândalo que quase abalou a imagem ética do sociólogo, ele havia recebido 40 mil dólares de bicheiros para a Associação Brasileira Interdisciplinar de aids em 1990. “Teria que ter previsto as conseqüências políticas de uma coisa como essa, para o próprio combate à aids e, como erro, eu assumo”. Em 1995, Betinho aderiu ao programa Comunidade Solidária, da primeira dama Ruth Cardoso, saiu quase um ano e meio depois, criticando a falta de ações do governo. Em sua luta contra a aids e contra a morte, Betinho trabalha com planos à curto prazo, quer a reforma agrária, emprego para a população e o fim da miséria."
23/12/1996,Herbert de Souza,4,Matinas Suzuki,"Para esse especial do Roda Viva de Natal, nós convidamos também, com Betinho, um grupo especial de entrevistadores: Merval Pereira, que é diretor de redação do jornal O Globo; o cientista político Emir Sader; Alexandre Machado, diretor de jornalismo da TVE do Rio de Janeiro; o escritor e jornalista Zuenir Ventura; Marcelo Beraba, que é editor executivo do Jornal do Brasil; o Marco Nascimento, diretor de jornalismo da Rede Cultura; o jornalista Roberto D’Ávila do programa Conexão Roberto D’Ávila da TV Manchete e Luiz Carlos Caversan, diretor da sucursal da Folha de S. Paulo no Rio de Janeiro. Boa noite, Betinho."
23/12/1996,Herbert de Souza,5,Betinho,Boa noite.
23/12/1996,Herbert de Souza,6,Matinas Suzuki,"Betinho, você está lançando um livro A lista de Ailce, uma belíssima edição, super delicada, de acordo com os personagens que você fala nesse livro. Quem são estes personagens e por que você resolveu fazer este livro, Betinho?"
23/12/1996,Herbert de Souza,7,Betinho,"Olha, eu sou de Bocaiúva desde 1935, quando eu nasci. Mas eu não ia lá há muitos anos e tive uma parte importante da minha infância lá, então eu, de vez em quando, eu me lembrava de Bocaiúva e pensava “quem que está vivo e quem está morto?” E aí eu tive e idéia de escrever para a minha prima, Ailce, e pedi a ela que me dissesse quem havia morrido. Ela então me mandou essa lista. Eu peguei os nomes, a maioria deles eu conhecia, de diferentes idades, diferentes circunstâncias e decidi que eu ia utilizar essa lista para escrever as minhas memórias. E o resultado, eu acho, que foi fazer com que eles revivessem. Eu fiz um trabalho meio divino, de ressurreição dos mortos, através da memória."
23/12/1996,Herbert de Souza,8,Matinas Suzuki,E agora estão realmente imortalizados no livro.
23/12/1996,Herbert de Souza,9,Betinho,"São todos, estão todos vivos, não tem mais mortos em Bocaiúva."
23/12/1996,Herbert de Souza,10,Roberto D'Ávila,"Há dez anos, Zuenir Ventura, nosso mestre Zuenir, fez uma entrevista muito bonita com você no JB, e, dentro daquele contexto todo, ele perguntava para você, se você se sentia um homem condenado. Eu sei que daqui a dez anos vou te fazer essa mesma pergunta, mas agora eu queria te fazer outra que o Zuenir fez também, além dessa, você também acredita na vida eterna?"
