|DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
0|25/11/2002|Horácio Lafer Piva|1|Paulo Markun| Boa noite. Ele representa a maior entidade empresarial do país, onde o sentimento é de que a economia está estagnada, as empresas mais endividadas, o mercado desconfiado, e a margem de manobra reduzida. Considera que a oposição precisa desarmar os espíritos e que o presidente eleito, Luiz Inácio Lula da Silva, precisa agir rápido em busca: do pretendido acordo nacional; presteza nas reformas previdenciária, tributária e fiscal; e rapidez na busca do pacto social. O Roda Viva entrevista esta noite Horácio Lafer Piva, já em seu segundo mandato de presidente da Fiesp, a Federação das Indústrias do Estado de São Paulo.
1|25/11/2002|Horácio Lafer Piva|2|[Vídeo] [Narração de Valéria Grilo] [Imagens de Horário Lafer, jornais estampando notícias sobre a economia do país, empresas industriais em operação etc]|  
2|25/11/2002|Horácio Lafer Piva|3|Horácio Lafer está há 14 anos na Fiesp, dez anos como diretor, e os últimos quatro como presidente. Eleito em 1998, aos 41 anos de idade, ele continua sendo o mais jovem dirigente da história da Fiesp, o órgão líder dos sindicatos patronais da indústria paulista. Engenheiro industrial com especialização em economia, Horácio Lafer centrou sua gestão no esforço para que o setor industrial recuperasse prestígio e voltasse a ter influência direta na vida política e econômica brasileira, como já ocorreu especialmente na década de [19]70. Nos últimos vinte anos, atraso tecnológico, falta de competitividade e inadimplência levaram a indústria a viver maus momentos, com fechamento de empresas, aumento do desemprego e balanço sempre oscilando entre recuperação e retração. Este ano não foi diferente| a Fiesp esperava um crescimento de 2,5% da produção, recalculou e agora espera uma produção 1% menor que a do ano passado. Mas 2003 cria um horizonte positivo na visão de Horácio Lafer. Ele considera que há mais de dez anos não havia um ambiente tão favorável à discussão de uma nova política industrial para o país, e que empresários e governo poderão agora buscar uma nova relação de parceria. Quanto ao pacto social, todos precisarão sentar à mesa, negociar e abrir mão de alguma coisa. Na visão da Fiesp, empresários deverão contribuir com o adiamento de investimentos e o não reajuste de preços; já os trabalhadores, com o não reajuste dos salários. Ao governo caberá promover imediatamente as reformas estruturais, que tanto já se discutiu e pouco se resolveu.
3|25/11/2002|Horácio Lafer Piva|4|[Fim do vídeo]|
4|25/11/2002|Horácio Lafer Piva|5|Paulo Markun| Para entrevistar Horácio Lafer Piva, o presidente da Fiesp, nós convidamos Guilherme Barros, editor do Painel SA, do jornal Folha de S. Paulo; José Paulo Kupfer, editor da coluna Nomes e Notas do jornal Gazeta Mercantil; Celso Pinto, colunista do jornal Valor Econômico; Paulo Baia, que é professor assistente do departamento de economia da PUC de São Paulo e tem estudos sobre o programa econômico do PT  e sobre a renegociação da dívida de estados e municípios; Priscila Murphy, editora assistente de economia do jornal O Estado de S. Paulo e Vitor Nuzzi, repórter da editoria do trabalho do jornal Diário de São Paulo. O Roda Viva é transmitido em rede nacional para todos os estados brasileiros e para Brasília também; e você pode participar do nosso programa usando o telefone que está aí na tela: (011) 252-6525; nosso fax é (011) 3874-3454, aqui de São Paulo também, e o endereço do programa na internet: rodaviva@tvcultura.com.br. Boa noite, Horácio.
5|25/11/2002|Horácio Lafer Piva|6|Horácio Lafer Piva| Boa noite, Markun.
6|25/11/2002|Horácio Lafer Piva|7|Paulo Markun| Vamos começar por essa questão aí do pacto social. Já se falou isso... nos meus trinta e tantos anos de profissão eu já ouvi um punhado de vezes essa expressão sendo utilizada das mais diversas formas. Por que desta vez seria diferente?
7|25/11/2002|Horácio Lafer Piva|8|Horácio Lafer Piva| Bom, há, sem dúvida nenhuma, aqui, uma variável de esperança na equação, não se pode negar. Mas o fato é que eu sinto um grau de maturidade bastante novo dentro da sociedade brasileira - não só no governo, mas também junto aos atores sociais, aos atores econômicos - que permite que nós possamos sentar em torno de uma mesa e negociar claramente alguma coisa em prol do Brasil. A sensação que eu tenho é que há muita lucidez no reconhecimento da situação pela qual o país está passando. Enfim, é possível haver transparência nas negociações, com uma clara definição dos custos para cada um desses atores e um sentido de finalidade. As eleições, quer dizer, o processo eleitoral - que foi, na minha opinião,  show de democracia, para se ensinar qualquer país desenvolvido como é que se faz -, ele, na verdade, permitiu que se colocasse de uma maneira muito clara quais são os gargalos que impedem o crescimento da economia brasileira. Eu até reclamei algumas vezes com o fato de que as propostas precisariam ser mais aprofundadas, elas estavam excessivamente genéricas; talvez essa tenha sido até uma decisão de marketing das campanhas, mas o fato é que tudo ali foi colocado e ficou muito claro naquele momento que não seria mais possível se trabalhar dentro de um processo ganha/perde. Quer dizer, ou nós todos nos sacrificaríamos no momento, através de uma agenda de partida bastante clara na priorização das questões, tentando construir alguma coisa, ou nós vamos continuar nesta ciclotimia da qual nós mais ou menos falamos agora há pouco; e foi dito ciclotimia, essa volatilidade da economia brasileira que cresce, cai, cresce, cai, cresce, cai, que nos deixa cada vez mais distantes do desenvolvimento sustentável - que é crescimento com justiça social - e que, na verdade, é o que nos tira muito da competitividade em relação aos países desenvolvidos, que são os países com quem hoje em dia nós negociamos, diferentemente de anos atrás.
8|25/11/2002|Horácio Lafer Piva|9|[...]| Doutor Horácio,...
9|25/11/2002|Horácio Lafer Piva|10|Paulo Markun|" Mas isso não... só um pouquinho. Tudo bem, partamos desse princípio. No entanto, eu acho que o que nós estamos assistindo neste momento é o presidente eleito fazendo uma série de contatos e conversações, que efetivamente não representam nada de concreto porque o poder de decisão ainda não está nas mãos dele. O presidente em exercício, Fernando Henrique Cardoso, já em clima de final de governo, inaugurando um museu aqui, as estações dos correios ali etc e tal, e muitos setores de economia remarcando preços preventivamente para dizer que: “Não precisa fica preocupado, porque pode ser que venha aí o congelamento de preços."" e isso está pesando não só no bolso do consumidor como nas taxas de inflação. Quer dizer, eu não sei se... eu não sou especialista no assunto, não sei se pode-se dizer que os sinais de inflação que a gente está vendo são só resultado do dólar. Existe isso?"
