DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
08/05/2006,Itamar Franco,1,[...],
08/05/2006,Itamar Franco,2,Paulo Markun,"Boa noite. Ele está de volta: polêmico, algumas vezes acusado de ser imprevisível, dono de um penteado único, que já se transformou em sua marca registrada, ele é firme e reservado. O Roda Viva, que entrevista esta noite o ex-presidente da República Itamar Franco, volta em instantes."
08/05/2006,Itamar Franco,3,[Vídeo com narração de Paulo Markun],"Engenheiro, Itamar Franco já tinha sido prefeito de Juiz de Fora, em Minas Gerais, e senador pelo estado, mas ganhou projeção nacional com a renúncia do ex-presidente Fernando Collor de Mello. Agora, reaparece no cenário político com sua pré-candidatura à Presidência da República pelo PMDB. O ex-presidente nasceu no dia 28 de junho de 1930 num navio, durante uma viagem entre Salvador e Rio de Janeiro. O destino final era Juiz de Fora, onde se formou engenheiro e iniciou a carreira política, sendo prefeito duas vezes. Em 1974 se elegeu senador por Minas e se reelegeu em 82. Firme e reservado, em 1989 foi escolhido como candidato a vice-presidente na chapa encabeçada por Fernando Collor. Itamar Franco assumiu a presidência aos 62 anos, com a renúncia de Collor em 1992. A estabilidade econômica veio durante seu governo, com o lançamento do Plano Real pelo então ministro Fernando Henrique Cardoso, de quem Itamar se tornou crítico depois com o programa de privatizações de FHC. Eleito governador de Minas em 98, em 2002 apoiou o então candidato presidencial Luiz Inácio Lula da Silva, e em 2003 assumiu o posto de embaixador do Brasil na Itália, cargo que ocupou até 2005. O PMDB foi o partido no qual ficou mais tempo, mas deixou a legenda três vezes por não concordar com as lideranças. Agora, novamente no PMDB, Itamar Franco mantém a fama de imprevisível ao anunciar que irá disputar com Anthony Garotinho a vaga de candidato do partido à Presidência da República."
08/05/2006,Itamar Franco,4,Paulo Markun,"Para entrevistar o ex-presidente Itamar Franco, nós convidamos Alexandre Machado, editor de política da TV Cultura; Carlos Marchi, repórter e analista de política do jornal O Estado de S. Paulo; Renata Lo Prete, editora do Painel do jornal Folha de S.Paulo; Guilherme Evelin, editor de Brasil na revista Época; Mauro Santayana, colunista do Jornal do Brasil e da agência Carta Maior; e Josemar Gimenez, diretor de redação dos jornais O Estado de Minas e Correio Braziliense. E também temos a participação do Paulo Caruso, registrando em seus desenhos os momentos e flagrantes do programa. O Roda Viva, como você sabe, é transmitido em rede nacional de TV para todo o Brasil. Para participar do programa, você pode fazer perguntas, críticas, sugestões pelo telefone 011-3677-1310. Se você preferir o fax, o contato é pelo 011-3677-1311, e você também pode utilizar a internet, acessando o site do programa no endereço www.tvcultura.com.br/rodaviva. Boa noite, presidente."
08/05/2006,Itamar Franco,5,Itamar Franco,"Boa noite, Markun."
08/05/2006,Itamar Franco,6,Paulo Markun,"Eu tenho aqui algumas notícias de jornal de nossa pesquisa aqui, Jornal do Brasil de dezembro de 1994: “Itamar 98 já tem até palanque”; Folha de S. Paulo de julho de 2001: “Itamar se lança à presidência do PMDB”; agosto de 2001: “Itamar ameaça deixar PMDB e oferece passe a partidos”; e agosto de 2005, Valor Econômico: “Itamar já ameaça deixar PMDB se não puder ser candidato”. Eu queria saber o que faz a gente compreender que, desta vez, a candidatura do senhor seja efetiva e vá até o fim. Existe essa possibilidade?"
08/05/2006,Itamar Franco,7,Itamar Franco,"Bom, primeiro há uma contradição aí nessa informação que você – me permite chamar de você –..."
08/05/2006,Itamar Franco,8,Paulo Markun,Por favor.
08/05/2006,Itamar Franco,9,Itamar Franco,"...que você acaba de ler. Eu não estou ameaçando agora deixar o PMDB. Primeiro, eu tenho que contar uma pequena história. Eu fui fundador do MDB, num momento difícil que o país atravessava, em 1966, e fui o primeiro prefeito pós-revolução na minha cidade, em Juiz de Fora. Posteriormente, quando o governo extinguiu a Arena e o MDB, nós fundamos o PMDB nacional; eu fui o nono a assinar a ficha; fiz parte da primeira comissão provisória nacional; fui o primeiro presidente regional do PMDB em Minas Gerais, numa época difícil, porque as grandes lideranças formadas pelo presidente Tancredo Neves e doutor Magalhães Pinto formavam o PP. Quando o governo resolveu fazer aquilo que estão fazendo hoje, a chamada verticalização, o doutor Tancredo entendeu que o PP com no PMDB nós perderíamos as eleições em Minas Gerais, então se acoplou novamente o PMDB. Eu deixei o PMDB duas ou três vezes: a primeira vez em 86, quando eu fui comunicado que não teria a mínima possibilidade de concorrer a qualquer cargo; a segunda vez, agora, quando deixei o governo de Minas. Eu sempre combati a reeleição, acho que a reeleição – não sei se vamos tratar no programa –, mas a reeleição, no meu entendimento, quebrou culturalmente a tradição brasileira. Foi um erro, e nós estamos pagando por esse erro até hoje. Eu estava terminando meu mandato de governador, não queria reeleição, mas poderia disputar o Senado, quando naquela época o PMDB mineiro tinha dono, hoje não tem, felizmente. O dono do PMDB me disse: “Você não terá legenda”. Se não terei legenda... eu saí do partido, isso que é importante frisar: deixei o partido que ajudei a fundar para poder apoiar a candidatura do governador Aécio e para apoiar o presidente Lula, para que eu me sentisse mais à vontade. Não é como agora que as pessoas não querem ter candidato e continuam no partido. Eu, pelo menos, tive essa hombridade de largar o partido para fazer uma campanha, tanto do governador Aécio, repito, quando do presidente Lula."
08/05/2006,Itamar Franco,10,Carlos Marchi,"O senhor hoje está confortável no PMDB, presidente?"
