DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
30/06/1997,Jorge Castañeda,1,[...],
30/06/1997,Jorge Castañeda,2,Matinas Suzuki,"Boa noite. Ele está lançando no Brasil uma biografia de Ernesto Che Guevara. No centro do Roda Viva esta noite está o escritor mexicano Jorge Castañeda. Para entrevistá-lo, nós convidamos esta noite: José Nêumanne Pinto, editorialista do Jornal da Tarde; Fernando de Barros, que é da Folha de S.Paulo; Norma Couri, que é do jornal O Estado de S. Paulo; Fernando Gabeira, que é deputado federal pelo Partido Verde, do Rio de Janeiro; Emir Sader, professor de sociologia da Universidade de São Paulo e da Universidade Federal do Rio de Janeiro; Carlos Alberto Tenório, jornalista e escritor; Hélio Goldsztejn, chefe de redação do departamento de jornalismo da TV Cultura. O Roda Viva é transmitido em rede nacional para todos os estados brasileiros. Hoje, infelizmente, você não poderá participar do programa, enviando suas perguntas, porque esse programa foi gravado. Boa noite, Jorge Castañeda."
30/06/1997,Jorge Castañeda,3,Jorge Castañeda,Boa noite.
30/06/1997,Jorge Castañeda,4,Matinas Suzuki,"Vou começar pelo princípio, que você pudesse explicar um pouco para o nosso telespectador por que escreveu uma biografia do Che?"
30/06/1997,Jorge Castañeda,5,Jorge Castañeda,"Eu acho que tem três razões. A primeira é porque as velhas biografias foram todas escritas no final dos anos 60, começo dos anos 70, um pouco depois da morte de Che Guevara. E hoje, quase trinta anos depois, nós temos muitos testemunhos, muitos documentos, muitas informações novas, que não se conheciam naquele momento. E eu acho que tem muito o que se dizer de novo da vida de Che Guevara. Uma segunda razão é que hoje tem uma nostalgia, uma espécie de saudade pelas figuras mais importantes, os símbolos dos anos 60. Porque tem um momento de ufanismo de ideologia, ou de ufanismo de utopia no mundo e tem o renascimento daquelas figuras, entre outros, o Che Guevara. Tem uma “Che-mania”, como se disse no 30º. aniversário da morte dele. E, finalmente, porque eu queria mudar de gênero. Estava um pouco cansado do ensaio político e ainda não estou pronto para a literatura. E a biografia é um meio caminho entre o ensaio político e a literatura."
30/06/1997,Jorge Castañeda,6,José Nêumanne Pinto,"Jorge, o livro Louvados sejam nossos senhores, de Régis Debray e Che Guevara, ao qual acompanhou nas guerrilhas, principalmente na Bolívia. Em 1967 escreveu sua primeira obra, A revolução na revolução], traça o perfil paralelo entre o Fidel Castro e Che Guevara, e é justamente o oposto do que nós, leigos, mortais, achamos dessas figuras. Ele traça o Fidel Castro como uma pessoa absolutamente sedutora, encantadora, e o Che Guevara como um sujeito cruel, arrogante, brutal, e de certa forma, até um sujeito insuportável. Qual é o Che que sai da sua biografia? Qual é a sua visão sobre esse desenho que o Régis Debray traça do Che Guevara?"
30/06/1997,Jorge Castañeda,7,Jorge Castañeda,"Eu acho importante falar que Debray também fala que Che é antipático, mas muito confiável; e o Fidel é muito sedutor, mas não é confiável. Eu acho que o Debray tem razão. O Che não é um personagem simpático; é um homem duro, um homem intransigente com ele mesmo e com os outros, mas um homem de uma só palavra, como se diz em espanhol. Um homem que não muda de convicções facilmente, que não pede aos outros o que não pede para si mesmo. Um homem 100% confiável, mas é um homem duro, não é alguém de quem se queira ser amigo, a menos que precise de alguém para contar..."
30/06/1997,Jorge Castañeda,8,José Nêumanne Pinto,"No entanto a figura romântica é a de Che Guevara. O Fidel Castro é uma figura que se desgastou. Terá sido o poder? O fato do Che não ter ficado no poder? Fidel Castro hoje é quase um clown, e o Che Guevara é uma figura romântica, quase uma espécie de Cristo."
30/06/1997,Jorge Castañeda,9,Jorge Castañeda,"A morte prematura ajuda muito. É muito mais fácil ficar como um símbolo, como um mito que só viveu seis anos da Revolução Cubana e Fidel está agora há quarenta anos no poder. Eu acho que isso explica muito a diferença da preferência, mas acho que a avaliação de Debray é boa. Castro é um homem muito mais frio do que Che, mas o Che é um homem muito mais duro que Fidel."
30/06/1997,Jorge Castañeda,10,Norma Couri,"Você dedica o seu livro a Jorge Andrés, que calculo que seja seu filho..."
