DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
09/06/2003,José Aníbal,1,[...],
09/06/2003,José Aníbal,2,Paulo Markun,"Boa noite. O Roda Viva faz hoje o terceiro programa da série com líderes dos principais partidos que estão na cena política, agindo e interferindo na vida parlamentar e nas próprias ações do governo. Nós já conversamos com o presidente do PFL, o senador Jorge Bornhausen, que assumiu na recente convenção nacional do partido, uma postura de oposição declarada ao governo Lula. Entrevistamos também, na semana passada, o ex-deputado José Genoino, presidente do PT, partido que virou governo depois de 22 anos de oposição. E agora, a conversa é com o presidente do partido que nos últimos oito anos foi governo e agora está na oposição. No centro do Roda Viva esta noite, o ex-deputado José Aníbal, presidente nacional do PSDB, o Partido da Social Democracia Brasileira."
09/06/2003,José Aníbal,3,[Comentarista],"Aos 55 anos de idade, José Aníbal Peres de Pontes, nascido em Guajará-Mirim, em Rondônia, já conta mais de 35 anos de vida política, desde que entrou no movimento estudantil em Belo Horizonte, onde foi estudar em 1967. Nos anos da repressão, viveu clandestinamente no Rio de Janeiro até deixar o Brasil em 1973. Exilou-se no Chile, Panamá e depois na França, onde formou-se em economia. Com a anistia, voltou para o Brasil, iniciando carreira política ao participar da fundação do PT, em 1980. Logo depois, foi para o PMDB, onde ficou oito anos até ingressar no PSDB, em 1990, a convite do senador Mário Covas. Nos anos seguintes, elegeu-se duas vezes deputado federal pelo PSDB paulista, interrompendo o mandato em 1999 para assumir a Secretaria de Ciência e Tecnologia no governo Covas. Voltou à Câmara Federal em 2001, depois de ser eleito presidente nacional do Partido da Social Democracia Brasileira. Há dois anos no comando tucano, José Aníbal administra agora uma fase de mudanças na vida do partido. Ao perder a eleição presidencial de 2002 e ver diminuírem suas bancadas no congresso, o PSDB passou a enfrentar as dificuldades em geral vividas por partidos governistas que num dado momento deixam de ser governo. Já definido como partido de oposição, mas identificando no governo Lula propostas que já defendeu, o PSDB busca recriar uma unidade interna, levando em conta seu novo papel, e conciliar oposição e apoio governo, levando em conta as próprias idéias que têm para o país."
09/06/2003,José Aníbal,4,Paulo Markun,"Para entrevistar o presidente nacional do PSDB, José Aníbal, nós convidamos Kennedy Alencar, repórter especial do jornal Folha de S.Paulo; Carlos Novaes, cientista político e analista da TV Cultura; Rudolfo Lago, repórter especial de política do jornal Correio Brasiliense; Sílvio Bressan, repórter especial do jornal O Estado de S. Paulo; Rui Nogueira, diretor do site e da revista Primeira Leitura em Brasília, e Germano Oliveira, chefe da sucursal de São Paulo do jornal O Globo. Boa noite, presidente."
09/06/2003,José Aníbal,5,José Aníbal,Boa noite.
09/06/2003,José Aníbal,6,Paulo Markun,"Eu quero começar pelo seguinte. A impressão que dá, para quem analisa ou quem observa a cena política de fora, é que o PSDB está meio perdido, não sabe direito como é que opera na oposição, até onde vai na oposição com o governo Lula, e até onde ele deve apoiar este governo na medida em que ele o está vendo cada vez mais parecido com as propostas que o governo anterior apresentava."
09/06/2003,José Aníbal,7,José Aníbal,"Bem, em primeiro lugar, é a primeira vez que eu venho aqui no Roda Viva na oposição. Nas outras três ou quatro vezes que eu vim ao Roda Viva foi durante o período de governo do Fernando Henrique Cardoso. E eu queria acrescentar duas informações ali. A primeira é que eu sou ex-deputado porque eu tentei ser senador..."
09/06/2003,José Aníbal,8,Paulo Markun,"Era candidato ao Senado, é verdade."
09/06/2003,José Aníbal,9,José Aníbal,"...disputei a eleição para o Senado, tive cinco milhões de votos e não me elegi. Mas enfim, disputei a eleição o ano passado e tenho muita satisfação com esse resultado, embora eu não tenha sido vitorioso. E outra coisa que faltou ali, que eu fui o líder do meu partido nos dois primeiros anos do governo Fernando Henrique Cardoso. Foram os dois anos em que fizemos reformas, onde mais avançamos na realização de reformas. O PSDB não está perdido, Markun, ao contrário. Em 1990, o PSDB perdeu todas as eleições que disputou, com Mário Covas em São Paulo, com Richa no Paraná, com Pimenta em Minas, com Almir Gabriel no Pará. Só ganhou com o Ciro, no Ceará. Perdeu quase todas. E passou um período difícil, mas foi se ajustando. O importante no PSDB é um sentido de unidade num partido que tem lideranças fortes. As lideranças na época eram essas que eu mencionei que perderam a eleição, alguns estão ainda presentes, ativos; o Tasso agora como senador, o Ciro já não é mais do partido, o Pimenta mantém uma atividade partidária. Mas temos aí o Geraldo Alckmin, governador de São Paulo; Aécio Neves de Minas; Marconi Perillo, em Goiás. Esses governadores todos – Jatene no Pará, o Cássio Cunha Lima; o Marcelo Miranda; o de Rondônia; meu estado; Ivo Cassol, e tantas outras lideranças que o partido tem; Eduardo Azeredo, ex-governador de Minas, o presidente Fernando Henrique e o ex-senador José Serra. O importante é esse sentido de unidade que o PSDB, apesar de ter perdido eleições em 1990, manteve. Agora com mais razão, porque o PSDB não tem do que se envergonhar, governa metade da população brasileira através de oito governos, metade do PIB, e tem uma grande responsabilidade, uma responsabilidade adicional, por ter colocado o Brasil num rumo de fazer oposição com responsabilidade, fiscalizando, propondo, e fazendo oposição, como temos dito, a favor do Brasil."
09/06/2003,José Aníbal,10,Rudolfo Lago,"Agora, presidente, não está numa encruzilhada o PSDB? Se o PSDB não ajuda o governo a aprovar as reformas o PSDB irá contra o que sempre pregou, porque as reformas são as mesmas. Se ajuda, quem vai faturar essa ajuda vai ser o atual governo. Isso não cria aí uma armadilha para o PSDB? E como se sai dessa armadilha?"
