DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
27/03/1995,José Celso Martinez Corrêa,1,[...],
27/03/1995,José Celso Martinez Corrêa,2,Matinas Suzuki,"Boa noite. Ele é uma cicatriz no teatro brasileiro; depois dele, a cena literalmente mudou; sua trupe foi um ciclone revolucionário que mudou toda a arte dramática no Brasil e libertou a utopia dos limites do palco. Poucos como ele experimentaram a vertigem teatral, não como ato de representação, mas como ato de transformação. Natural de Araraquara, em São Paulo, José Celso Martinez Corrêa participou de uma aventura que, a partir dos anos 50, mudou o teatro no Brasil. Era o Grupo Oficina. Talvez ninguém tenha mais direito ao palco deste Roda Viva do que ele, Zé Celso. Em 68, uma apresentação da peça Roda viva, de Chico Buarque de Hollanda, dirigida por ele, é invadida por membros do CCC, Comando de Caça aos Comunistas. Com a cobertura da polícia, os agentes do CCC agridem 19 atores. A peça é proibida pela ditadura militar em todo o país, mas a violência contra a Roda viva já havia se transformado em símbolo na luta contra o autoritarismo. O reconhecimento nacional do talento e da irreverência do Zé Celso havia ocorrido um ano antes, em 1967, com O rei da vela; a peça de Oswald de Andrade é considerada o marco zero do movimento tropicalista. O rei da vela também foi proibido em todo o país. As angústias de Zé Celso não pararam por aí; um incêndio misterioso destrói o Teatro Oficina. Durante 15 anos luta pela sua reconstrução. No primeiro dia de outubro de 1993, Zé Celso reconquista o seu palco e a sua casa. Para entrevistar o diretor de teatro José Celso Martinez Corrêa, nós convidamos hoje: José Miguel Wisnik, que é compositor e professor da Universidade de São Paulo, autor das trilhas sonoras das peças de Zé Celso; o editor da revista Veja João Gabriel de Lima; Ivan Ângelo, escritor e diretor executivo do Jornal da Tarde; Lorena Calabria, do programa Metrópolis da rede Cultura; o repórter e crítico de cinema do jornal O Estado de S. Paulo Luiz Zanin Oricchio; Waly Salomão, poeta e animador cultural; o crítico de teatro da Folha de S.Paulo Nelson de Sá; e Tadeu Jungle, diretor de filmes publicitários que trabalhou em vídeos com Zé Celso. Este programa é transmitido em rede nacional por 33 emissoras. Nós lembramos que você não poderá participar hoje com suas perguntas, porque o programa está sendo gravado. Boa noite, Zé Celso. Como a gente estava vendo na nossa apresentação, no vídeo de apresentação, o Roda Viva, o nome deste programa se deve a uma montagem da peça Roda viva que você fez em 1968. Como foi o episódio Roda viva, quer dizer, vendo retrospectivamente 20 anos depois, como foi para você toda aquela violência do Roda viva?"
27/03/1995,José Celso Martinez Corrêa,3,José Celso Martinez Corrêa,"Para responder no mar: Coração do mar é terra que ninguém conhece. Permanece ao largo e contempla para o mundo como hospedeiro. Tem por nome se eu tivesse um amor, tem por nome se eu tivesse um navio. É um navio humano, quente, negreiro do mangue. Hoje, de Roda viva fica a roda viva, fica exatamente aquele êxtase que conseguiu vir à tona, e realmente o atentado de Roda viva não tem a menor importância, dado o que Roda viva talvez me rendeu agora. Hoje eu estou em um mistério gostoso, que é o mistério gozoso, graças a um dia ter existido a Roda viva. Então a Roda viva, que é o ataque, o massacre, e é o fim, pá, pá, pá, pá, pá. A única leitura que se tem dessa coisa maravilhosa que aconteceu nesse 68, entre milhares de coisas maravilhosas, é essa leitura do massacre, mas é que esse massacre, ele está sendo redito agora e ele vai ser redito eternamente enquanto existirem pessoas vivas, ao vivo, como nós estamos aqui, apesar de não ser o teatro da transmissão direta."
27/03/1995,José Celso Martinez Corrêa,4,Matinas Suzuki,"Mas, Zé, você acha que, hoje, para ter uma relação tão forte como você teve, ou o seu teatro teve, com a sociedade brasileira nos anos 60, o que mudou? Mudou muito o teatro, mudou muito a sociedade brasileira, como é que você vê essa relação entre teatro e sociedade, no momento de hoje? Hoje, o Brasil com novas perspectivas, chegando perto do novo..."
27/03/1995,José Celso Martinez Corrêa,5,José Celso Martinez Corrêa,"Felizmente mudou, e mudou bastante e vai mudar mais ainda. Quer dizer, realmente a coisa mais natural que existe é a mudança. A coisa não pára nunca, é a roda viva, a gente está sempre na roda viva. Hoje a grande diferença é que toda aquela latência que veio à tona, aquele aqui e agora que veio à tona em 68, aquele que trouxe para 68 a contemporaneidade de um renascimento – renascimento no sentido do renascimento europeu –, ou então de uma vitalidade como foi a que teve exatamente a antigüidade, imagino a presença, enfim, a presença da importância do poder, com ph, do “phoder” humano, do aqui e agora naquele instante. Porque 68 não é uma data, não é datado, 68 são daqueles momentos em que você consegue chegar no eterno presente, em que você não vê o mundo nem como passado nem como futuro, é hoje só, amanhã não tem mais, entende? E realmente nós tivemos a sorte de viver um período em que essas coisas que existem – estão aqui e agora também, estão sempre, elas jamais vão deixar de existir, mas elas tomaram corpo, elas se atreveram a vir à tona. Hoje houve realmente uma restauração no mundo todo, uma restauração muito grande..."
27/03/1995,José Celso Martinez Corrêa,6,Matinas Suzuki.,"Em um certo sentido, você acha que é como..."
27/03/1995,José Celso Martinez Corrêa,7,José Celso Martinez Corrêa,"...nós vivemos hoje sob essa nova ordem liberal, ou desordem liberal, enfim, a gente vive sob essa ordem, mas há os dados do roda viva, do viver ao vivo, aqui e agora. Eles são eternos, quer dizer, faz parte da vida, tem momentos... Ele agora é muito discreto, ele é quase que... a idéia, por exemplo, do mangue, a idéia do mangue, que é o mangue da vida, aquele lugar onde o teatro vai para se abastecer, para voltar à fonte, para voltar à origem, para manter permanentemente o que é estar potentemente vivo, ao vivo, diante da presença do poder. O que é o poder da presença? Hoje esse poder da presença é alguma coisa temível, alguma coisa que realmente... tem até uma frase do Mistério gozozo que diz assim: “A burguesia precisa do mangue; talvez a burguesia não precise do mangue”. Talvez o grande desejo da burguesia dominante, da classe imperial dominante, da coroa dominante hoje em dia no Brasil, seja do extermínio do mangue mesmo. Ela pensa que ela pode viver com o extermínio exatamente de tudo que sejam as impurezas do inferno, da vida, enfim, da grande maioria popular, da pobreza, do lado sombrio da vida. Ela pensa que ela pode viver sem isso, ela só tem disso hoje talvez, como me disse ontem o Zé Miguel, a cocaína. Ela pensa que precisa do mangue só para fazer o tráfico da cocaína, porque ela está com a cabeça ainda da sociedade patriarcal, como diria o Oswald de Andrade. Então, ela está atrás ainda da... ela quer pegar a tecnologia que vai matá-la, a tecnologia exatamente de todo esse universo cibernético que existe, ela quer tirar proveito para si e quer ficar assim ainda como aquela última casta isolada das coisas todas da terra do mangue, das coisas concretas."
27/03/1995,José Celso Martinez Corrêa,8,Matinas Suzuki,"Quer dizer, você..."
27/03/1995,José Celso Martinez Corrêa,9,José Celso Martinez Corrêa,"Mas, nesse momento, isso realmente é uma coisa completamente o teatro, o ao vivo. É uma coisa absolutamente fora de moda, completamente diferente de 68, em que isso passou a ser a relação entre as pessoas."
27/03/1995,José Celso Martinez Corrêa,10,Ivan Ângelo,"Zé, quem vai ao teatro é a classe média. A classe média dos anos..."
