DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
21/10/2002,José Genoino,1,[...],
21/10/2002,José Genoino,2,Paulo Markun,"Boa noite. O Roda Viva que estamos começando agora, às 10h da noite, excepcionalmente, é um programa especial da série que organizamos para entrevistar os candidatos que disputam o segundo turno da eleição para o governo de São Paulo. Na semana passada foi a vez dos presidenciáveis. Nós entrevistamos o candidato José Serra, do PSDB, no dia 14, mas não pudemos entrevistar o candidato do PT, Luiz Inácio Lula da Silva, porque o convite do programa foi recusado pela campanha, que alegou a agenda do candidato para não participar das entrevistas. No caso da eleição para o governo paulista, os dois candidatos aceitaram, e a escolha das datas foi decidida em um sorteio na redação da TV Cultura com a presença das assessorias dos dois concorrentes. A entrevista de José Genoino ficou para esta segunda-feira, dia 21, e a de Geraldo Alckmin, para amanhã, terça-feira, dia 22, também às 10h da noite. Portanto, no centro do Roda Viva especial desta noite, José Genoino, candidato do Partido dos Trabalhadores ao governo do estado de São Paulo."
21/10/2002,José Genoino,3,[...],
21/10/2002,José Genoino,4,Narração de Valéria Grillo,"José Genoino Neto decidiu disputar sua primeira eleição majoritária este ano, depois de ter sido eleito cinco vezes deputado federal pelo Partido dos Trabalhadores de São Paulo. No ano passado, nas prévias do PT, José Genoino foi escolhido candidato do partido para disputar as eleições para governador de São Paulo este ano. A chapa trouxe como candidato a vice Luiz Marinho, também do PT e presidente do Sindicato dos Metalúrgicos do ABC desde 1996. Genoino começou a campanha apoiado apenas pelo PC do B e, depois, por setores pequenos e isolados do PMDB, PDT e PSB. Tinha 7% das intenções de voto nas pesquisas que colocavam Paulo Maluf com 33% e Geraldo Alckmin com 29%, no mês de junho. Ao longo de três meses de campanha, muita coisa mudou. Paulo Maluf caiu e Geraldo Alckmin subiu para o primeiro lugar. Maluf continuou caindo e Genoino subiu, surpreendendo ainda mais. Passou para o segundo turno com um percentual maior do que o previsto. No resultado oficial, alcançou 32,45% dos votos válidos. Com a derrota de Paulo Maluf, o PT entrou pela primeira vez em um segundo turno na sucessão paulista e corre agora atrás do voto dos eleitores dos candidatos que não passaram no primeiro turno. O filão mais disputado é o eleitorado de Paulo Maluf, que perdeu a disputa já no primeiro turno. Maluf teve mais de quatro milhões de votos, e seus eleitores retornam às urnas no próximo dia 27 para escolher entre Geraldo Alckmin e José Genoino."
21/10/2002,José Genoino,5,Paulo Markun,"Para entrevistar o candidato do PT ao governo de São Paulo, José Genoino, nós convidamos a mesma bancada que vai estar aqui amanhã, às 10h da noite, na entrevista com Geraldo Alckmin, do PSDB. São os jornalistas: Helena Chagas, chefe da redação da sucursal de Brasília do jornal O Globo; Fernando Canzian, secretário de redação do jornal Folha de S.Paulo; Eleno Mendonça, editor-chefe do jornal O Estado de S. Paulo; Gilberto Nascimento, colunista do jornal Diário de São Paulo; Celso Fonseca, editor da revista IstoÉ São Paulo; e Alessandro Duarte, subeditor da revista Veja São Paulo. O Roda Viva desta noite está sendo transmitido para dez estados brasileiros; embora a questão seja estadual, ela evidentemente tem repercussões nacionais, e por isso dez estados acompanham a nossa entrevista de hoje. Você pode participar do nosso programa usando o telefone (011) 252-6525, para dizer a sua pergunta, a sua dúvida, a sua crítica ao programa. Pode também utilizar o nosso fax, que é (011) 3874-3454. E finalmente pode mandar a sua pergunta, a sua questão pelo endereço eletrônico do programa, que é rodaviva@tvcultura.com.br. Boa noite, candidato Genoino."
21/10/2002,José Genoino,6,José Genoino,Boa noite.
21/10/2002,José Genoino,7,Paulo Markun,"Eu queria, antes de fazer a primeira pergunta, mostrar um pequeno VT que indica o posicionamento do candidato Paulo Maluf, que foi apresentado hoje, para que a gente comente esse assunto. Vamos ver."
21/10/2002,José Genoino,8,"Paulo Maluf, no vídeo","Voto e recomendo aos meus quatro milhões e 200 mil eleitores que votem para governador em Genoino, que representa hoje a mudança a todas as mazelas que aí estão. Assina, Paulo Maluf."
21/10/2002,José Genoino,9,Paulo Markun,"Bem, candidato Genoino, a pergunta é simples: nas eleições anteriores, em que o PT não foi ao segundo turno, ele jamais apoiou Paulo Maluf. O senhor acha que o apoio de Maluf ao nome do senhor é bom ou é ruim?"
21/10/2002,José Genoino,10,José Genoino,"É claro que a declaração de voto de Paulo Maluf é boa, e é bom que todos os votos do Paulo Maluf, que foram do primeiro turno, agora venham para mim no segundo turno. Porque na eleição de segundo turno eu preciso de 50% mais um dos eleitores que votam em São Paulo, e no segundo turno nós temos uma aliança mais ampla e nós estamos recebendo apoio. Portanto, a declaração do voto de Paulo Maluf e dos que seguem Paulo Maluf é boa para a minha campanha, e eu quero deixar isso muito claro, quero governar o estado de São Paulo e quero o voto de todos os que votaram no Maluf, de todos os que votaram no Lamartine, de todos os que votaram no Pittoli, no Apolinário, no Pinheiro Pedro, de todos os que votaram no Cabreira, porque eu quero, eu preciso e vou ter o voto de 51% dos eleitores."
